RA_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA10,70364,32608,34639,67249,31525,33078,64597,31272,33588,64862,30365,32471,62840,160241,169659,329902,29411,31458,60869,28272,30475,58747,27432,29637,57067,26955,29183,56136,25514,27817,53328,137579,148576,286156,25351,27196,52544,24752,26802,51555,23802,25482,49281,24327,25672,50005,24699,26422,51122,122932,131579,254509,20991,22555,43550,19642,21198,40836,18977,20368,39348,16352,18205,34560,15847,17674,33524,91809,100003,191815,14883,16848,31733,14288,15988,30273,13190,15450,28641,12214,14797,27011,11706,14238,25950,66283,77326,143609,45903,59580,105482,28955,44523,73483,11472,23216,34689,2231,6091,8322,126,519,642,2744970,2832572,5577538
RA11,20870,9835,10516,20349,9843,10622,20470,9651,10478,20127,9721,10185,19908,49202,52526,101722,9813,9860,19673,9571,10008,19579,9417,10002,19420,9682,9955,19639,9551,9884,19435,48038,49713,97750,9550,9807,19359,9520,9515,19034,9141,9461,18602,9246,9339,18587,9916,10044,19958,47377,48162,95540,8082,8172,16257,7852,8087,15938,7577,7806,15383,6685,7079,13761,6592,6760,13352,36779,37910,74691,5963,6283,12245,5588,6030,11623,5195,5709,10902,4822,5298,10114,4611,5155,9769,26181,28469,54653,16974,20740,37719,10124,14738,24865,3592,7148,10737,656,1886,2541,43,241,288,697786,723206,1420993
RA12,7168,3445,3475,6919,3495,3446,6934,3361,3352,6712,3494,3376,6866,17405,17205,34607,3446,3242,6686,3413,3361,6774,3341,3139,6489,3392,3240,6629,3305,3107,6413,16906,16084,32989,3320,3132,6451,3356,3050,6414,3174,2926,6094,3172,2894,6063,3433,3159,6589,16454,15154,31613,2816,2630,5444,2648,2440,5094,2502,2350,4850,2183,2055,4239,2273,2189,4463,12421,11664,24087,1984,1965,3948,1861,1875,3741,1796,1788,3580,1659,1612,3269,1548,1606,3161,8850,8847,17699,5594,6220,11813,3043,4355,7394,1004,1989,2995,212,553,770,18,68,90,217654,216382,434034
RA13,458,217,194,409,277,183,460,195,226,419,224,193,417,1166,996,2169,245,193,439,236,159,395,196,149,347,202,153,352,177,157,332,1052,817,1869,187,134,324,206,155,364,147,157,305,194,129,324,195,140,344,940,714,1652,142,121,259,154,120,274,137,125,258,112,110,217,143,119,264,681,592,1271,122,111,233,130,89,218,90,103,199,93,94,188,71,82,156,509,483,990,317,297,611,158,210,367,37,94,133,11,25,30,0,0,0,15080,14214,29298
RA14,108,59,41,103,36,43,79,41,31,74,43,37,82,234,195,438,44,30,77,55,32,88,44,33,77,36,27,64,44,30,68,221,150,373,36,27,64,39,28,66,40,15,58,34,32,62,34,26,65,182,125,305,26,25,50,31,17,46,26,20,47,21,23,48,33,17,49,135,100,238,12,16,28,15,14,32,23,5,26,13,12,32,9,12,20,78,58,135,47,42,87,22,27,40,12,19,25,0,3,3,0,0,0,2999,2669,5664
RA15,13,5,3,8,0,6,6,0,4,4,0,3,3,12,23,35,5,6,13,0,3,3,0,3,3,4,8,10,4,6,16,16,26,42,3,7,7,4,10,7,6,10,13,8,12,21,5,10,12,26,36,63,4,3,10,0,9,9,3,4,6,4,5,12,3,9,12,21,28,46,0,10,8,0,0,0,0,4,3,0,3,4,0,3,3,5,14,22,10,10,19,3,7,7,3,0,3,0,0,0,0,0,0,171,239,412
RA19,190,100,60,154,103,61,165,110,80,185,94,70,159,514,341,850,119,100,225,77,74,157,94,75,173,88,79,160,90,67,153,477,391,866,114,80,191,88,69,157,74,61,138,90,56,147,94,55,145,458,326,779,81,41,124,69,30,95,39,33,73,37,27,57,40,15,62,266,154,413,37,24,61,26,17,46,28,11,38,22,16,32,11,11,24,121,78,199,43,38,83,25,27,47,4,19,26,3,3,4,0,0,0,7351,4939,12288
