RA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA10,2744970,2832572,5577538,182922,173335,356263,349783,330846,680630,171494,162588,334081,198610,193813,392426,429826,441807,871631,390446,399488,789932,354337,369632,723966,297829,318235,616060,214740,231582,446326,112191,136904,249090,42783,74350,117134,2639035,2736495,5375533,105935,96074,202011,47120,48374,95496,1414,1343,2757,1002,1037,2046,49532,50757,100291,1660025,1693549,3353575,916340,968406,1884740,1715434,1744815,3460247,868818,931292,1800111,2214635,2293573,4508206,42625,40402,83024,323162,306283,629444,134525,132280,266801,88225,91113,179336,97633,139380,237017,1270885,1343671,2614561,124770,114938,239708,417183,431047,848228,115651,126185,241830,89111,104273,193390,23707,32368,56074,2540733,2632122,5172855,197603,193161,390763
RA11,697786,723206,1420993,41849,39584,81428,92727,87617,180337,44368,42756,87125,37896,36445,74345,72687,74959,147650,78160,83167,161324,91142,97137,188280,97238,102232,199472,84158,86071,170225,43154,49217,92372,14409,24019,38424,654195,684047,1338235,43592,39160,82754,35713,35922,71635,775,732,1511,711,636,1344,37203,37287,74493,568470,587723,1156191,72232,76484,148725,612226,639657,1251885,30174,32823,62996,615704,643974,1259680,10453,10073,20529,83969,79608,163583,29779,30398,60171,8229,11098,19332,13186,27085,40267,199403,236651,436054,42624,42771,85394,174045,174724,348768,51761,51400,103158,32107,28848,60953,2047,1808,3851,622365,652959,1275325,75547,69422,144968
RA12,217654,216382,434034,12597,11946,24542,27972,27102,55072,13037,11870,24903,10269,9379,19651,20245,20880,41124,22355,23326,45682,29274,29736,59009,34306,33289,67596,28879,26819,55696,14443,15065,29512,4286,6967,11249,202728,202861,405588,14923,13518,28442,15869,16024,31894,263,237,503,277,315,589,16405,16581,32985,178078,176023,354097,16521,17366,33890,189021,188620,377641,7749,8144,15893,190700,190407,381108,3087,2930,6018,24593,23728,48319,8137,7980,16124,1370,1970,3339,2638,6422,9057,50869,62544,113413,13023,13395,26418,56788,52386,109171,18328,16171,34493,14283,10361,24645,831,574,1407,191021,191235,382254,33555,29387,62946
RA13,15080,14214,29298,1065,1067,2134,2030,1955,3983,769,723,1490,792,759,1550,1806,1849,3654,1681,1688,3363,2079,1946,4027,2220,1812,4032,1620,1307,2930,819,775,1595,206,333,533,13848,13139,26994,1231,1071,2305,2653,2842,5500,19,23,42,27,26,52,2701,2890,5591,12153,11382,23541,798,895,1690,12701,12026,24729,469,475,948,12820,12058,24874,214,262,479,1685,1642,3334,405,434,834,58,132,190,137,405,546,3144,4005,7150,893,872,1772,3638,2878,6522,1217,973,2191,1098,689,1789,89,48,138,12740,12038,24782,3031,2376,5411
RA14,2999,2669,5664,233,184,414,372,381,744,140,147,291,167,164,327,371,358,733,342,308,658,446,403,848,459,351,804,314,228,539,126,99,220,28,43,72,2738,2415,5152,261,256,513,963,968,1930,0,0,4,14,15,25,975,981,1961,2401,2135,4540,125,130,257,2423,2229,4647,83,81,160,2463,2258,4723,45,38,82,301,303,603,65,82,151,3,23,26,36,53,92,549,671,1222,174,174,353,644,552,1201,271,214,481,255,141,399,16,6,25,2460,2223,4683,1055,718,1770
RA15,171,239,412,10,4,14,7,14,22,3,7,12,9,4,9,11,24,32,18,14,34,25,31,50,22,53,74,48,60,108,16,24,42,3,7,10,173,234,409,3,3,6,4,10,10,0,0,0,0,0,0,5,10,13,102,135,232,60,86,142,119,154,279,36,55,92,137,184,325,0,0,0,10,10,22,0,5,5,0,3,3,0,6,8,52,76,125,12,15,22,38,57,93,9,22,35,13,12,27,0,0,4,0,0,0,1415,1860,3279
RA19,7351,4939,12288,188,149,338,202,200,402,285,232,517,746,615,1358,1615,1091,2703,1269,629,1900,1148,646,1798,986,732,1722,719,477,1196,162,120,282,32,48,78,0,0,0,7351,4939,12288,503,289,789,17,8,26,20,3,25,538,301,839,4304,2726,7028,1663,1346,3012,4175,3038,7212,997,821,1822,4199,3009,7203,24,19,43,148,158,304,90,82,172,137,141,283,179,254,430,2208,1965,4169,385,247,633,1339,826,2159,454,274,731,286,135,420,41,24,65,0,0,0,0,0,0
