SOS_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOS10,20800,25822,11188,14748,19734,7793,4664,5534,1507,111790,30305,31469,19757,35644,34112,14567,7675,9229,2764,185521,44598,23807,133472,51279,49972,23450,28631,29316,6193,390712,2810,1947,2186,3661,6766,3436,1967,2917,331,26024,6602,5292,4152,6887,12903,5074,3349,4076,722,49057,2927,5644,1851,1967,3480,1543,1175,1444,492,20527,4297,6561,3260,4193,5652,2836,2724,3476,6756,39757,327245,724597,220739,187452,257067,107847,71275,81790,34387,2012400
SOS11,3818,5870,2135,4808,3605,1243,622,999,278,23382,6733,7180,4544,13113,7768,2936,1296,2364,624,46556,18395,8930,61790,29590,21066,11617,15746,16993,2688,186815,1018,525,989,1849,2353,1736,888,1889,97,11340,1497,938,1099,2775,3065,1482,959,1694,186,13683,396,705,371,459,568,303,188,441,73,3495,1111,1324,1173,1875,1439,1060,1051,1926,1502,12461,54234,114192,77687,68258,51201,24472,22311,30547,6806,449708
SOS12,439,568,233,507,400,97,77,93,21,2442,631,654,392,1166,757,235,119,204,53,4207,2034,830,6379,2507,1959,995,1623,1758,302,18397,104,69,86,179,267,129,70,166,18,1086,151,104,135,248,305,146,78,173,30,1364,51,65,35,32,55,24,14,36,11,324,132,137,131,182,142,110,125,206,146,1312,5710,10087,7854,5929,4939,2059,2226,2949,738,42491
SOS13,3827,2583,847,1501,1769,516,264,567,180,12051,4070,2484,1484,3335,3000,918,453,885,252,16878,14396,2927,23148,7225,7180,3141,6618,6999,1243,72882,898,191,402,525,1023,455,275,658,54,4474,1657,475,473,802,1442,608,431,664,111,6663,377,282,136,142,247,91,63,146,47,1524,1490,569,538,539,666,434,514,780,654,6189,41938,40976,28939,17710,20624,7538,9083,12304,3269,182372
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,12,21,7,15,10,3,3,3,0,87,14,23,18,31,23,11,7,23,3,145,40,19,139,75,38,34,58,76,5,502,0,3,5,8,9,9,0,9,0,37,4,9,5,4,3,0,8,12,0,47,5,7,0,3,3,0,0,0,0,16,6,12,4,13,9,9,8,14,16,94,186,453,205,217,159,95,124,224,44,1714
