SOS_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
SOS10,8756,15187,16692,16728,18669,26553,42311,27776,8428,181084,6176,15062,18625,17807,18547,24277,40756,35558,20312,197114,5687,21324,30220,26832,24701,24970,27193,17180,8343,186447,3578,21277,35536,30760,27373,24479,18921,10071,3330,175321,1955,21448,43555,35154,32508,26524,15082,6882,2503,185609,913,19414,53827,40747,35705,28808,13404,4507,1498,198825,268,12022,47156,33773,28212,20868,7963,2380,836,153471,125,5033,40901,32087,26361,17940,6326,2150,801,131725,64,1875,28368,26457,21647,13764,4361,1311,461,98318,55,1301,39543,52192,40065,22263,5819,1672,579,163482,28,202,5839,12156,9983,4957,1577,552,249,35543,60,267,5970,20070,20710,9671,3198,1456,605,61994,8328,11215,28126,22887,17693,15170,14875,15666,17928,151882,156776,185044,447933,426387,372072,328291,258614,153451,75619,2404189,153674,37445,52628,48624,42051,59445,49408,21142,8199,472625,55297,13710,8560,10007,9879,14804,15926,7292,2467,137952,35408,29748,20505,19692,19532,27821,30778,18227,6046,207752,15705,28400,29414,26439,30135,44165,76243,55960,17630,324096,12859,28129,31157,27114,29208,39379,66296,54698,28868,317701,14764,41250,49579,38950,36650,40230,47728,30250,12368,311759
SOS11,2599,3216,4785,4385,5410,9535,19960,13272,3622,66804,2158,3314,5911,5405,6188,10221,19552,17056,9663,79476,2282,5270,9741,8352,8440,10648,13577,8716,3903,70936,1498,6145,11403,9783,9146,9400,8361,4757,1655,62151,858,6041,12741,10775,10771,10111,5787,2691,997,60767,367,4133,12206,10711,11052,10075,4574,1539,502,55158,119,2270,8396,7359,7599,5991,2251,683,234,34898,41,890,6473,6241,6260,4747,1632,851,367,27498,21,332,3968,4589,4929,3502,977,273,98,18690,12,235,3837,6955,7500,4682,1199,323,115,24860,4,24,429,984,1053,776,272,113,49,3703,43,75,465,1225,1559,1122,649,385,154,5678,3438,3094,6908,6261,5786,6067,6882,7683,6796,52915,43386,40991,96855,92164,95246,105625,102377,66075,31185,673895,30128,4144,6907,6275,6973,14268,10693,4383,1929,85700,18915,1972,2011,2136,2388,4605,5490,2396,866,40783,10531,5897,5788,5067,5598,9501,12415,6912,2161,63872,4536,5824,8101,7305,9401,16283,36228,26839,7723,122240,4696,5733,9055,8268,10291,17106,33454,27304,13801,129702,5718,8933,13612,11672,12359,16963,24447,15344,5709,114762
SOS12,230,221,396,401,577,1135,2213,1135,214,6534,195,301,499,505,702,1105,1905,1277,578,7058,192,372,754,718,904,1162,1237,594,230,6168,118,458,856,834,949,1063,830,359,91,5564,68,422,816,910,1018,1051,563,200,61,5110,22,288,811,901,1061,1074,409,101,30,4691,12,153,542,588,765,609,228,50,13,2952,4,51,465,471,609,493,196,63,14,2363,0,18,253,425,480,398,108,18,0,1700,0,14,275,632,820,515,104,22,0,2394,0,0,24,98,106,83,41,12,4,373,5,11,37,124,186,130,81,23,3,600,403,261,614,644,681,777,876,605,371,5220,4052,3043,7190,8140,9922,11906,10562,5084,1773,61664,2978,367,548,613,772,1815,1255,359,130,8845,1673,152,186,191,270,597,633,217,56,3975,897,442,519,496,580,1209,1402,620,135,6300,390,443,665,643,1005,2041,4257,2504,492,12436,431,503,779,770,1172,1978,3569,2250,855,12291,494,672,1040,1003,1324,1902,2342,1144,367,10291
SOS13,836,934,1302,1599,2103,3724,6072,2973,548,20087,748,929,1585,1758,2322,3561,5003,3041,1098,20036,781,1359,2377,2613,3193,4017,3612,1612,452,20018,602,1613,2681,2872,3556,3768,2750,1095,227,19161,318,1666,2821,3128,4088,3932,2172,721,157,19008,163,1216,2787,3142,4276,4118,1935,508,90,18232,37,619,1911,2299,2984,2653,1157,248,49,11950,16,244,1584,2053,2788,2235,901,245,72,10144,3,93,985,1608,2271,1765,594,153,20,7494,8,54,1042,2703,3852,2576,761,166,41,11207,5,15,116,476,726,542,191,66,8,2150,9,23,188,726,1356,1045,490,177,40,4054,1751,1161,2412,2961,3595,3962,3301,1981,781,21902,17250,11874,24836,31539,41886,46587,35755,15494,4215,229449,12695,1470,2284,2682,3845,7294,5329,1983,555,38141,7160,751,761,884,1188,2381,2521,921,222,16785,3425,1641,1764,1840,2537,4496,4923,2205,496,23329,1550,1653,2163,2456,3604,6682,11923,6642,1386,38067,1817,1604,2437,2648,3795,6540,10310,5774,1772,36697,2349,2487,3384,3712,4944,6934,7339,3396,809,35354
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,12,41,57,66,80,86,78,23,3,448,8,24,48,56,53,72,88,24,12,372,13,26,84,44,51,61,44,11,3,335,11,44,76,39,33,48,23,6,0,285,9,30,95,37,31,38,13,0,0,254,0,25,72,28,35,29,14,0,0,209,0,3,42,22,14,10,5,0,0,100,0,5,36,27,17,6,4,0,0,105,0,0,22,19,7,6,5,0,0,62,0,0,28,21,21,19,0,0,0,96,0,0,4,6,7,6,0,0,0,20,0,0,5,16,15,4,5,0,0,49,92,133,323,277,193,142,60,18,7,1244,279,418,1022,749,666,698,404,104,32,4381,110,62,118,99,108,160,64,9,5,733,43,17,35,30,26,54,21,3,0,230,95,75,117,99,122,114,54,13,0,689,24,82,139,179,184,190,178,52,4,1033,16,43,97,100,125,156,249,65,13,866,22,46,126,87,94,115,106,20,3,624
