SOS_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOS10,383,4484,36,4898,152935,8781,166619,2913,3648,84,6634,175607,12771,195022,74719,5589,947,81251,325571,31357,438180,211378,4139,2177,217692,175183,25293,418163,131248,4781,1333,137363,200908,18434,356701,25532,13958,387,39882,256875,15033,311794,4150,21440,183,25777,196030,11614,233418,652,4964,39,5657,115671,9547,130878,86,258,0,347,39788,6813,46944,451052,63262,5182,519500,1638569,139648,2297716,605,7708,66,8379,140488,7906,156776,7301,6665,264,14224,160295,10529,185044,127440,9409,2490,139346,281293,27294,447933,258773,6528,4083,269386,135254,21749,426387,129064,11317,1893,142271,213918,15875,372072,12468,37664,641,50775,264075,13439,328291,3049,36236,437,39717,206701,12198,258614,627,6094,79,6797,134338,12316,153451,91,357,9,455,61526,13638,75619,539422,121974,9963,671356,1597887,134943,2404189,989,12195,97,13281,293422,16690,323396,10210,10306,345,20862,335901,23303,380065,202158,15001,3437,220598,606867,58654,886113,470150,10660,6256,487074,310431,47046,844555,260312,16096,3229,279633,414829,34308,728772,37998,51622,1040,90663,520949,28473,640078,7195,57678,620,65489,402725,23814,492032,1279,11063,114,12458,250010,21860,284326,175,614,9,802
SOS11,188,1841,9,2043,39912,3874,45826,2206,1289,54,3554,34527,3896,41981,27114,2370,811,30286,53348,8730,92366,43813,1806,1499,47124,32047,7538,86705,24836,2906,760,28501,53557,6726,88784,4895,7325,155,12379,77269,5999,95651,862,8536,60,9461,79244,5657,94358,170,1811,14,1999,49936,4478,56413,22,108,0,131,16193,2471,18800,104109,27994,3368,135473,436039,49366,620876,443,3414,36,3895,36042,3443,43386,4834,2693,261,7782,30214,2995,40991,41556,3857,2395,47814,42409,6636,96855,54729,2905,3043,60680,25568,5918,92164,24833,7290,1129,33261,56659,5328,95246,2224,18152,206,20579,79775,5277,105625,587,14046,76,14701,82106,5567,102377,161,2572,15,2742,57455,5875,66075,38,169,3,212,26254,4724,31185,129408,55094,7170,191668,436480,45747,673895,625,5261,47,5937,75953,7323,89210,7043,3977,315,11333,64739,6890,82964,68666,6224,3203,78099,95757,15362,189220,98541,4717,4544,107802,57613,13452,178869,49671,10194,1890,61754,110219,12048,184025,7115,25474,363,32953,157042,11271,201269,1448,22581,137,24164,161346,11226,196736,336,4380,27,4743,107394,10343,122487,58,276,3,340
SOS12,13,167,0,183,3633,461,4275,157,109,11,277,2806,254,3333,2165,166,61,2391,3811,626,6832,4103,154,121,4370,2617,620,7612,2718,287,81,3091,5568,723,9386,558,801,19,1375,9386,799,11562,111,876,5,992,9249,821,11057,9,174,0,183,4726,468,5379,0,10,0,14,1112,184,1306,9839,2743,298,12881,42902,4966,60750,39,312,0,358,3294,406,4052,334,198,16,549,2243,246,3043,3255,268,183,3702,2892,594,7190,5004,223,300,5531,2025,585,8140,2631,707,114,3453,5856,612,9922,271,1911,17,2199,9015,694,11906,60,1269,8,1335,8532,696,10562,10,186,0,200,4386,495,5084,3,11,0,12,1472,289,1773,11602,5097,634,17333,39716,4617,61664,60,478,4,541,6926,863,8333,496,309,23,831,5050,503,6375,5422,437,244,6097,6705,1220,14020,9100,378,415,9899,4642,1207,15750,5351,1002,194,6544,11426,1339,19306,822,2712,35,3571,18394,1491,23458,172,2144,9,2323,17781,1517,21622,20,357,3,380,9114,968,10458,3,19,0,20
SOS13,72,625,8,706,16400,2069,19179,423,373,15,813,11717,1537,14066,7328,577,187,8089,14270,3282,25644,16273,561,477,17309,9837,3453,30595,12438,1157,312,13909,23580,3783,41279,2646,3488,79,6215,38287,4232,48733,473,3702,21,4194,33859,3470,41527,81,713,8,798,15849,1831,18477,12,45,0,54,3456,493,4005,39744,11230,1108,52086,167259,24158,243500,104,1148,10,1256,14280,1712,17250,894,751,38,1681,9146,1052,11874,10986,957,529,12469,10131,2241,24836,19896,795,982,21672,7130,2744,31539,11723,2862,425,15008,23636,3247,41886,1082,8218,93,9393,33721,3470,46587,255,5528,38,5819,27145,2787,35755,68,827,8,906,13035,1554,15494,11,54,0,66,3559,594,4215,45016,21127,2129,68271,141777,19401,229449,180,1770,18,1962,30687,3783,36426,1319,1120,61,2493,20862,2589,25946,18314,1531,712,20557,24400,5524,50478,36163,1353,1456,38978,16968,6199,62140,24160,4015,746,28920,47215,7029,83164,3736,11703,174,15607,72006,7704,95316,730,9223,60,10014,61007,6265,77284,148,1537,13,1699,28882,3387,33967,21,92,4,116
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,3,0,4,151,94,253,15,10,0,22,252,135,411,117,17,5,138,605,415,1164,147,15,11,178,443,495,1108,94,23,0,121,451,439,1010,8,24,0,29,600,311,949,5,27,0,29,485,137,648,0,7,0,7,129,32,166,0,0,0,0,10,4,19,388,118,20,532,3126,2068,5734,8,22,0,24,164,89,279,44,9,0,58,229,134,418,152,32,7,191,505,334,1022,151,11,11,171,291,286,749,70,33,0,101,359,206,666,4,64,0,73,480,147,698,0,39,0,36,306,61,404,0,3,0,3,78,24,104,0,0,0,0,19,12,32,430,210,19,658,2430,1295,4381,5,24,0,31,317,182,532,57,24,0,83,480,269,829,270,46,11,332,1109,751,2187,300,23,18,345,731,781,1859,170,56,0,221,812,646,1678,10,91,3,100,1085,464,1648,5,62,0,67,789,194,1055,0,8,0,10,206,59,277,0,0,0,0
