SOS_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOS10,184,30,31,42,166330,166619,5155,289,181,87,189315,195022,131828,5299,6613,266,294162,438180,267487,12946,21219,652,115861,418163,231451,16159,35205,1794,72096,356701,204575,13845,41819,4399,47149,311794,162672,9483,30831,9477,20957,233418,92031,3906,12883,14484,7567,130878,27186,748,2568,14462,1985,46944,1122569,62702,151354,45667,915433,2297716,285,33,30,38,156395,156776,11582,764,454,78,172171,185044,177477,9132,10593,500,250236,447933,275855,18055,30876,1975,99636,426387,230989,20282,52576,5955,62272,372072,196666,16069,60303,17522,37721,328291,146707,9481,45971,38305,18156,258614,67010,2928,19895,56946,6683,153451,13208,533,5045,53915,2922,75619,1119762,77282,225751,175219,806176,2404189,466,66,64,81,322717,323396,16732,1050,642,158,361486,380065,309311,14431,17215,764,544401,886113,543330,30999,52100,2625,215495,844555,462440,36441,87777,7747,134366,728772,401240,29917,102127,21919,84878,640078,309372,18962,76801,47788,39111,492032,159037,6836,32778,71427,14251,284326,40391,1284,7610,68377,4903,122562,2242326,139986,377101,220884,1721601,4701906
SOS11,61,18,11,23,45713,45826,1042,73,34,29,40805,41981,26981,1627,1327,74,62358,92366,46129,3787,5066,177,31550,86705,46891,5309,11339,638,24611,88784,54065,5258,16218,1860,18243,95651,60673,4417,15750,4710,8812,94358,38020,1690,6738,6998,2969,56413,10417,292,1164,6191,735,18800,284272,22470,57645,20688,235793,620876,37,19,10,23,43300,43386,1801,178,33,31,38937,40991,34406,2929,2271,202,57044,96855,48735,5755,7752,628,29296,92164,48969,6735,16351,1938,21257,95246,56974,6304,22326,6017,13997,105625,57332,4010,19943,14712,6371,102377,29602,1216,8327,24545,2384,66075,5447,191,1861,22719,961,31185,283300,27340,78879,70826,213547,673895,95,36,20,42,89014,89210,2845,255,72,61,79741,82964,61393,4554,3600,271,119407,189220,94862,9545,12814,801,60851,178869,95854,12037,27685,2576,45865,184025,111038,11564,38551,7874,32245,201269,118005,8429,35699,19428,15176,196736,67616,2902,15068,31546,5348,122487,15864,490,3017,28910,1704,49987,567577,49812,136527,91515,449344,1294773
SOS12,5,0,0,0,4270,4275,64,7,0,0,3261,3333,1953,117,109,4,4652,6832,4133,343,443,21,2678,7612,5184,492,1106,76,2529,9386,6604,659,1921,224,2150,11562,7037,575,1884,562,1003,11057,3475,191,690,707,309,5379,689,25,92,427,70,1306,29130,2419,6245,2031,20920,60750,4,0,0,0,4048,4052,134,14,3,0,2894,3043,2605,185,173,15,4207,7190,4627,375,590,45,2503,8140,5715,591,1404,181,2027,9922,7002,609,2180,613,1493,11906,6340,385,1841,1395,599,10562,2458,100,588,1782,153,5084,345,8,98,1277,37,1773,29235,2259,6884,5319,17968,61664,9,0,3,0,8320,8333,196,17,5,6,6161,6375,4559,301,283,22,8862,14020,8755,713,1036,68,5180,15750,10895,1078,2509,263,4562,19306,13608,1272,4101,841,3642,23458,13381,959,3727,1957,1599,21622,5936,294,1275,2493,461,10458,1033,41,196,1708,106,3080,58372,4673,13128,7352,38888,122413
SOS13,24,0,5,5,19139,19179,284,17,13,7,13755,14066,7667,407,348,10,17202,25644,18172,1125,1538,80,9682,30595,26519,1766,4130,229,8631,41279,31394,2119,6996,776,7449,48733,28154,1836,6323,1712,3494,41527,12949,583,2092,2028,826,18477,2273,92,273,1194,177,4005,127439,7944,21717,6041,80359,243500,15,0,0,0,17235,17250,500,22,10,3,11341,11874,10018,540,499,44,13747,24836,20806,1127,1843,171,7603,31539,28693,1696,4468,639,6397,41886,32059,1723,6396,1805,4608,46587,24508,1004,4716,3813,1716,35755,8743,236,1484,4594,440,15494,978,33,197,2899,106,4215,126319,6384,19610,13962,63177,229449,37,8,5,5,36370,36426,785,36,21,8,25097,25946,17681,947,847,52,30949,50478,38979,2254,3380,250,17277,62140,55206,3461,8599,865,15022,83164,63458,3844,13382,2577,12052,95316,52664,2841,11039,5526,5211,77284,21690,815,3578,6624,1268,33967,3251,123,471,4094,286,8221,253755,14325,41324,20006,143538,472950
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,252,253,7,5,0,0,400,411,130,50,15,0,967,1164,205,143,90,5,671,1108,192,141,178,7,493,1010,272,115,265,21,279,949,247,87,192,36,97,648,82,14,47,15,11,166,6,0,4,9,0,19,1134,554,790,89,3174,5734,0,4,0,0,278,279,10,3,0,0,406,418,139,47,31,3,805,1022,176,81,81,4,410,749,167,74,165,16,238,666,266,71,216,28,119,698,182,37,111,48,28,404,43,4,29,23,11,104,0,0,5,23,3,32,982,309,647,141,2300,4381,0,0,0,0,528,532,15,4,0,0,801,829,268,95,49,3,1774,2187,379,221,177,9,1074,1859,356,214,347,24,738,1678,539,183,478,49,400,1648,428,120,300,77,122,1055,124,13,74,36,24,277,10,0,3,31,6,49,2118,863,1431,230,5471,10112
