SOS_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS10,65275,32396,33443,65842,32959,34517,67483,33508,34946,68450,32926,33959,66889,164154,169782,333936,31879,33606,65487,30077,32394,62474,29197,30970,60173,28818,31359,60179,27673,30172,57845,147641,158505,306145,26619,29292,55913,25666,28734,54398,24941,27510,52449,24055,26865,50920,22637,25677,48315,123923,138073,261994,22627,25036,47657,22267,24677,46941,21228,23438,44662,21610,23499,45110,21778,23889,45664,109503,120536,230040,18267,20357,38626,16893,19059,35956,16169,17955,34127,13843,15993,29841,13286,15237,28523,78460,88609,167067,52419,64847,117262,29952,42874,72826,13575,24063,37640,3125,7608,10738,291,1068,1360,2838701,2915129,5753827
SOS11,17714,8811,9563,18370,9403,10149,19554,9744,10672,20415,9922,10993,20911,46351,50610,96960,10028,11190,21217,9876,11002,20881,10022,11102,21119,9726,10956,20685,9633,10766,20401,49299,55012,104308,9818,10563,20378,9533,10513,20046,9380,10366,19741,9772,10547,20319,9584,10322,19902,48084,52310,100393,9349,10147,19495,9108,9889,19003,9081,9957,19042,9084,9642,18727,9651,10423,20076,46279,50066,96347,7681,8328,16002,7440,8271,15711,6908,7870,14778,6160,7038,13196,5893,6781,12673,34080,38283,72365,22336,27784,50120,12403,18006,30414,5217,9826,15042,1091,2954,4046,89,400,485,768642,815241,1583879
SOS12,1973,988,1106,2094,1120,1143,2270,1176,1191,2365,1256,1205,2462,5490,5672,11154,1201,1318,2522,1231,1190,2421,1231,1305,2532,1204,1178,2388,1209,1243,2448,6074,6233,12306,1205,1204,2404,1189,1194,2383,1160,1136,2291,1167,1165,2325,1143,1051,2189,5861,5743,11605,1123,1019,2144,1081,1002,2082,1005,940,1950,966,891,1858,1024,960,1980,5195,4820,10016,853,750,1604,736,701,1442,696,677,1373,557,535,1090,549,513,1067,3393,3172,6566,1989,1907,3898,889,1074,1962,344,549,891,73,135,205,3,16,22,74329,74475,148805
SOS13,8716,4494,4485,8977,4915,4659,9574,4934,5015,9952,5133,4902,10035,23871,23387,47257,5167,4925,10094,5112,4726,9841,4919,4674,9589,4859,4523,9376,4809,4351,9154,24859,23200,48059,4673,4147,8822,4610,4137,8749,4353,3972,8330,4466,3837,8301,4107,3550,7658,22216,19650,41867,4196,3591,7783,4000,3399,7396,3787,2986,6773,3664,3043,6701,3675,3086,6761,19313,16102,35421,2927,2336,5265,2685,2256,4946,2468,2060,4534,2005,1710,3723,1921,1550,3467,12009,9916,21930,6467,5571,12043,2875,2601,5468,958,1256,2213,165,327,491,7,38,46,296123,278147,574269
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,167,88,65,152,99,65,162,111,70,185,87,96,179,480,359,844,112,78,185,85,61,151,102,78,178,78,50,127,91,74,161,470,339,808,81,48,133,74,71,137,94,36,138,78,41,119,75,36,115,403,236,637,70,46,113,55,30,85,42,39,82,32,25,58,50,26,75,250,163,415,43,17,59,29,11,45,18,13,32,18,17,32,17,7,22,120,66,191,48,39,86,8,17,26,11,7,17,0,4,3,0,0,0,6375,4997,11371
