SOS_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOS10,133003,77538,49835,29246,10382,2025,424483,2337,18872,23751,21059,16980,12822,3917,736,100484,74508,295596,247641,165360,110786,70824,28131,7848,1000693,31461,83947,96739,94003,72846,46247,20613,6385,452235,54627,117344,110015,108968,97107,60043,31027,9769,588904,7522,7159,7535,8037,7577,4979,1797,454,45061,5200,8799,12460,18294,20259,16928,8453,2775,93175,67355,133299,130010,135299,124943,81956,41281,12999,727147,2365,6247,6786,5943,6005,5821,3653,1276,38086,40755,63955,54435,42283,38697,36836,33993,26468,337413,223994,719149,692365,541485,420089,283755,141971,57737,3080542
SOS11,9443,7768,7016,5991,2254,467,41704,411,3328,4430,4597,4828,4705,1391,188,23881,5998,32819,31198,24761,20249,18808,7953,2096,143880,3922,15946,19449,21322,21525,17726,8178,2308,110377,23527,54353,47749,46041,46400,33030,15626,4213,270941,3405,3732,2792,2766,3109,2467,806,187,19264,1554,2495,2932,4322,6067,6414,3415,1009,28213,28490,60579,53476,53128,55575,41915,19844,5406,318418,376,804,870,967,1297,1836,1323,488,7958,14527,16896,15421,14888,15794,18091,17376,10865,123864,54064,138786,134272,127436,126286,109069,58318,21827,770074
SOS12,743,742,783,686,229,22,3655,24,227,376,474,546,553,115,12,2319,401,2171,2630,2602,2495,2046,637,94,13077,300,1170,1743,2257,2431,1914,644,123,10573,1984,4343,4512,5156,5592,3982,1395,253,27218,280,282,259,277,378,254,78,14,1830,138,189,254,449,682,681,247,44,2681,2399,4821,5026,5888,6650,4922,1714,318,31724,31,53,70,95,153,201,102,31,723,1399,1322,1393,1654,2033,2331,1562,676,12376,4572,10183,11981,13702,15094,12652,5000,1270,74458
SOS13,2741,3532,3739,2999,945,120,15679,99,728,1399,2017,2280,1892,362,41,8816,2012,8731,11528,12825,11234,9059,2613,422,58433,1279,4099,6531,9873,10475,7333,2505,417,42518,7934,14884,16867,20701,21555,13031,4691,802,100464,1024,893,963,1273,1493,885,223,38,6793,568,702,1133,2097,2911,2481,912,149,10954,9522,16478,18969,24064,25961,16398,5819,998,118212,142,210,283,411,648,678,375,78,2822,6475,6027,6900,8194,9695,8761,5092,1540,52686,19612,37803,48362,60917,64023,47124,17711,3611,299166
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,73,47,50,36,6,0,327,3,24,22,18,19,18,0,0,109,51,361,166,157,120,90,21,0,969,39,125,105,108,138,83,15,0,614,111,276,223,220,279,167,31,6,1326,30,30,17,12,19,9,0,0,127,11,24,27,22,45,34,16,0,176,153,327,268,253,347,211,51,6,1621,3,10,3,8,11,13,7,0,56,461,784,802,685,483,232,73,22,3543,718,1736,1449,1281,1165,680,173,28,7237
