SOS_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOS10,9858,1332,35553,2808,519,7023,4257,5472,829,20910,3541,890,11452,2506,1737,424,20547,13828,3049,32995,10271,8558,1816,70516,2412,531,6475,3983,5220,709,19331,23852,5126,56292,12709,10362,2288,110624,3203,878,10854,6285,7116,1078,29418,11013,3863,23249,10602,10127,1203,60058,36224,12225,63153,16571,15900,2218,146295,38228,13564,98978,40113,46207,6811,243899,2009,531,5915,2314,2646,330,13748,2601,870,7896,6824,11233,849,30273,5580,820,13457,5852,5766,4717,36192,168509,46882,408653,160989,177169,30045,992238,573,125,1770,858,1774,207,5313,913,191,2034,1128,4198,205,8674,11406,1692,29558,15482,35487,2871,96501,3149,475,5423,2459,5652,391,17554,9433,1507,31524,19135,89499,3886,154978,10022,1381,22349,9440,14103,1661,58958,16049,2312,46606,23858,36578,4622,130027,6718,1000,23977,18602,21630,2814,74732,9657,1586,23520,15677,27828,3301,81567,9370,1813,25681,6946,5804,1109,50718,33986,6719,74960,19262,13716,3488,152124,5399,1075,13761,7991,10666,1355,40248,59202,10652,131385,26040,19819,4952,252050,6517,1417,20407,11231,15694,2091,57356,22328,6891,45088,23867,26819,2707,127703,56673
SOS11,7009,695,12865,67,47,469,574,1627,156,2947,122,77,602,280,447,42,1569,218,136,1012,1226,1939,198,4736,70,46,500,764,2062,172,3612,1197,685,4436,2166,3377,340,12198,198,138,1127,1480,3630,357,6936,1484,984,5108,4089,5449,356,17471,5633,4023,17346,5540,7813,627,40988,5888,4043,22306,14277,25256,2282,74061,211,124,791,479,989,77,2666,241,166,1009,2138,5592,267,9413,289,94,1114,960,2075,1166,5705,17363,11392,64785,43122,85753,8494,230913,388,148,1836,1240,4477,550,8633,360,149,1334,1172,9135,282,12439,857,287,3457,2966,15328,931,23823,332,127,997,1151,3754,140,6503,450,201,2698,3354,34499,1057,42265,238,89,1073,1164,5389,246,8191,1122,351,4658,4577,17854,1433,29989,860,246,3864,4279,12960,1189,23408,310,147,1320,1843,8514,647,12777,254,130,1156,640,1212,95,3498,544,300,2156,2100,2649,299,8051,146,100,997,1260,3562,269,6341,2774,1339,9560,3978,5782,596,24022,382,218,1825,2292,7485,630,12827,3165,1777,9522,8887,14175,823,38359,8510
SOS12,677,86,1241,9,8,53,84,186,22,364,11,10,50,16,34,12,140,31,13,95,96,170,17,423,6,0,40,65,153,10,280,120,67,437,231,329,32,1210,19,20,105,149,309,36,644,126,98,466,386,514,43,1637,545,386,1714,553,821,60,4087,428,334,1762,1261,2167,207,6148,29,13,103,38,90,3,275,25,15,102,183,495,25,842,29,14,142,111,238,107,644,1499,1084,5870,4112,7935,859,21366,34,17,196,184,769,84,1279,16,14,64,109,659,17,870,48,26,253,250,1455,82,2116,16,16,84,108,402,13,638,51,17,286,387,3944,154,4836,30,14,106,135,500,26,808,90,47,351,411,1541,128,2565,38,23,324,351,1218,140,2100,30,21,115,221,958,72,1423,27,20,111,51,92,19,313,77,29,188,165,234,28,716,14,0,88,110,287,18,519,274,119,928,409,557,55,2348,32,26,187,223,723,65,1254,260,174,855,896,1318,86,3593,777
SOS13,1659,222,3309,41,32,248,314,729,93,1461,52,26,255,113,132,16,596,121,53,469,402,534,63,1649,38,28,283,380,704,65,1502,602,323,2388,1018,1522,206,6057,68,58,418,489,1016,130,2171,655,382,2020,1384,1663,148,6253,2107,1528,6806,2218,2960,279,15898,1763,1313,6737,4190,6074,747,20818,107,38,380,221,414,49,1211,99,59,407,682,1857,107,3220,147,70,651,542,977,529,2910,6697,4601,27173,17439,29276,4013,89188,887,567,5758,4774,12489,1578,26054,136,44,487,476,3202,126,4460,265,99,1337,1151,5507,312,8664,96,34,329,407,1392,60,2313,205,113,1528,1878,15614,638,19976,139,63,712,626,2125,154,3812,242,128,1579,1460,4810,516,8743,174,74,976,967,2915,350,5454,111,58,536,769,3576,282,5335,106,48,444,239,392,34,1250,327,108,1011,693,756,97,2985,89,58,548,650,1328,113,2779,1427,551,4821,1704,2409,320,11234,109,87,683,765,2249,204,4098,1285,649,3495,2791,4452,295,12969,2860
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,27,3,72,0,0,6,3,8,0,20,3,3,0,0,4,0,13,0,4,13,9,6,0,30,0,0,0,0,6,0,11,17,0,36,7,11,0,68,3,0,12,6,15,0,44,5,4,22,10,12,0,47,23,5,23,15,18,4,80,28,11,49,29,44,6,165,0,3,19,0,7,0,32,0,6,8,3,7,0,33,3,0,13,4,5,11,41,106,40,300,124,219,42,829,0,0,40,9,22,9,87,0,0,5,3,17,0,24,4,4,27,12,37,13,95,0,0,4,0,3,0,15,4,0,19,12,105,7,149,3,0,9,6,12,0,26,12,0,26,17,45,3,104,8,0,45,20,65,3,134,0,0,8,16,30,5,65,8,3,20,4,5,0,33,9,5,31,12,7,4,69,0,0,3,0,6,0,14,33,9,71,15,19,6,151,3,0,21,9,33,0,69,16,0,42,12,29,4,104,33
