SUA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
1000,4502,4804,5034,4301,1404,190,23466,180,1546,2474,3081,3518,3197,702,80,14782,2832,16335,18183,17607,15753,13719,4621,931,89992,1893,7905,11134,14382,16055,12487,4786,1036,69677,13455,29843,29764,32622,35253,23891,9365,2005,176200,1893,1998,1750,2026,2451,1663,493,89,12368,937,1328,1830,3057,4497,4185,1812,413,18052,16275,33167,33347,37698,42208,29740,11671,2510,206615,204,388,458,605,999,1196,728,206,4792,11434,11752,12496,13866,16143,16384,11678,5483,99247,32938,74226,82593,92045,99719,81026,35581,10439,508573
1001,655,461,380,245,73,3,2533,36,320,447,416,361,276,79,9,1941,402,2425,2379,1689,1159,995,351,68,9467,355,1325,1468,1481,1388,1030,413,84,7535,1764,3925,3236,2961,2672,1720,693,206,17174,219,255,184,159,132,116,29,4,1098,95,144,181,256,316,279,136,44,1449,2077,4317,3599,3384,3114,2114,850,254,19716,27,44,50,48,54,76,58,20,372,796,865,819,726,764,879,818,402,6064,3730,9974,9414,8202,7224,5613,2642,835,47637
1002,471,338,344,263,129,36,1969,13,79,112,117,104,115,31,4,577,197,796,573,509,457,355,170,44,3104,75,216,239,283,298,214,124,41,1500,344,640,462,428,460,297,155,51,2828,123,42,39,29,41,24,12,3,307,35,29,28,59,74,67,49,14,349,501,704,524,512,571,390,213,70,3483,14,19,13,18,21,18,14,3,124,734,339,206,181,210,191,254,142,2267,1542,2527,2143,1956,2008,1551,947,338,13027
1003,346,318,323,283,95,17,1600,9,77,158,205,212,223,51,8,951,149,988,1371,1283,1002,957,379,105,6234,94,437,595,810,805,757,371,108,3990,531,1058,1235,1281,1498,1097,477,157,7332,84,61,55,76,101,84,24,3,476,28,77,106,128,193,264,120,37,937,639,1190,1393,1486,1784,1441,617,199,8746,7,14,18,37,54,66,63,22,279,311,353,367,370,454,561,500,377,3293,1221,3275,4253,4518,4633,4290,2072,834,25095
1004,68,71,103,131,61,9,482,0,27,49,35,80,89,39,0,325,25,176,184,201,283,315,154,45,1378,26,108,213,215,286,319,136,39,1334,181,426,436,561,636,561,234,53,3096,29,24,29,30,51,47,13,0,225,10,22,27,69,90,103,57,9,387,228,474,487,661,775,711,306,69,3710,3,8,12,10,23,35,23,13,121,155,153,137,228,250,310,277,127,1633,437,979,1143,1418,1795,1911,987,302,8982
1005,243,228,221,162,70,13,1185,13,96,129,134,106,105,35,5,624,244,1012,856,716,535,400,158,35,3947,116,404,420,507,478,334,166,62,2486,671,1413,1198,1083,958,591,274,79,6262,93,91,74,78,58,52,8,8,458,44,74,83,105,148,163,63,25,699,811,1572,1351,1270,1161,802,343,106,7417,13,16,16,33,32,39,24,14,183,420,573,484,381,288,270,273,170,2853,1628,3898,3495,3263,2828,2112,1072,412,18698
1006,397,407,346,417,212,66,2156,15,73,122,163,195,205,84,8,865,160,808,1080,1046,858,943,562,135,5585,123,402,497,728,680,738,454,124,3756,480,1115,1019,1071,1128,774,479,116,6199,60,56,66,73,87,63,39,8,452,24,52,69,156,204,235,169,30,941,569,1225,1158,1306,1421,1081,686,160,7596,15,17,25,32,45,88,65,29,314,229,187,248,315,317,412,485,413,2595,1124,3014,3517,3988,3864,3880,2551,935,22874
1007,56,46,43,24,3,0,252,3,43,53,39,64,19,9,0,224,65,297,192,154,156,124,41,8,1042,31,153,159,200,219,96,25,13,893,223,612,505,499,570,407,144,36,2989,30,51,24,29,43,25,4,0,198,17,22,30,40,60,45,23,10,254,272,684,557,569,678,478,168,41,3446,3,10,3,6,18,10,10,0,68,210,213,235,217,217,238,201,152,1689,597,1464,1262,1245,1397,994,457,215,7621
1008,150,114,104,106,25,9,633,0,25,35,42,48,42,6,0,199,61,690,512,384,284,265,92,17,2303,53,252,235,167,158,126,46,7,1041,80,286,222,216,237,156,48,12,1252,8,17,13,18,19,11,3,0,94,11,28,31,30,37,47,12,6,197,94,331,268,262,293,208,60,23,1540,14,24,15,14,15,14,10,3,103,109,269,203,146,123,106,55,32,1046,333,1728,1422,1129,1017,875,290,86,6871
1009,62,77,75,89,42,4,374,6,20,30,44,62,93,34,0,293,28,190,252,290,311,342,165,33,1620,34,86,181,264,340,373,187,37,1494,222,364,468,664,859,773,422,123,3896,25,29,26,33,45,55,19,9,236,16,15,32,47,97,130,80,19,436,265,404,524,745,1000,959,521,158,4569,7,0,12,14,16,46,37,6,134,88,56,83,95,208,295,251,101,1177,425,780,1144,1526,2016,2186,1233,342,9653
