SUA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
1000,3983,28868,21701,364847,4919,424321,120,1742,1004,61481,1078,65420,4042,335,416,2050,70,6916,1360,370,172,908,42,2852,5835,1986,1344,3855,107,13132,46532,27341,20228,319483,5559,419148,3928,177,935,290,59,5387,1913,409,329,2290,29,4968,8510,2835,2158,30074,452,44029,1369,561,212,1730,39,3915,1102,352,156,575,21,2204,3315,288,211,378,23,4221,9890,6187,4273,102745,1206,124297,6444,2773,1086,12860,208,23373,430,26,63,37,7,576,960,347,142,910,25,2380,447,101,39,217,4,808,2060,702,390,2499,47,5700,1515,622,412,602,37,3189,2275,1279,970,923,51,5494,2270,593,314,1580,55,4818,957,214,192,540,12,1921,399,169,77,75,14,733,11798,7148,5328,84603,946,109809,728,131,70,233,14,1172,1741,359,256,229,14,2602,1281,172,118,799,23,2397,303,69,65,63,0,505,735,49,97,44,9,927,1871,628,388,2771,29,5689,24489,5702,4458,11924,527,47105,1284,367,318,8324,80967,91258,121428,53508,39058,715190,93215,1022386
1001,529,2887,2055,33205,331,39012,9,116,52,3214,32,3424,536,29,44,187,4,798,287,62,30,144,7,525,668,283,163,712,13,1833,3471,2578,1875,30532,382,38839,751,35,143,34,6,971,106,34,17,236,6,397,1016,469,298,5194,58,7041,181,55,27,227,0,494,159,41,16,96,4,315,1287,47,26,32,5,1398,686,633,376,10420,76,12190,513,307,104,1732,10,2671,75,6,13,5,0,93,57,22,17,118,0,215,19,7,3,16,0,46,76,48,31,180,3,332,174,51,33,49,4,308,176,116,104,108,0,510,287,68,42,250,3,655,82,13,17,54,7,171,30,17,8,9,0,58,979,643,481,8221,60,10386,151,23,9,63,0,255,141,36,16,21,0,217,118,23,19,114,0,267,102,6,6,10,0,126,247,5,16,11,0,281,142,62,23,272,4,509,4947,582,467,1326,81,7404,212,46,21,807,4684,5765,15094,5338,3747,68069,5551,97793
1002,103,679,535,6997,72,8376,6,39,11,1699,61,1810,302,16,22,71,0,402,10,3,0,11,0,24,103,60,34,84,0,281,896,616,453,6607,85,8652,161,0,25,5,0,194,47,17,8,47,0,128,188,65,39,817,5,1120,22,5,7,31,0,69,24,4,0,16,0,41,253,0,5,3,0,265,211,140,93,2460,23,2923,68,33,17,169,0,280,22,0,0,0,0,22,16,9,6,38,0,58,0,0,0,0,0,0,11,3,4,25,0,44,42,16,13,11,0,81,45,31,22,13,0,112,34,10,7,35,0,84,19,9,6,16,0,52,13,8,4,0,0,21,274,172,134,2143,14,2732,12,3,0,6,0,19,49,6,18,4,0,75,51,3,4,19,0,76,47,7,3,0,0,55,89,0,4,0,3,89,46,21,14,78,0,157,2151,212,179,326,13,2887,49,3,5,123,2132,2317,4506,1240,928,14940,2357,23967
1003,281,1796,1367,14502,202,18140,12,69,46,1571,21,1716,192,36,49,103,5,384,50,18,9,47,0,119,332,104,95,170,0,709,3007,1609,1196,14516,216,20537,161,8,66,15,3,256,160,35,30,128,7,353,438,147,128,1380,15,2113,52,28,7,130,0,220,57,10,12,26,0,102,218,32,23,32,0,299,625,423,319,5245,59,6663,378,168,58,886,15,1519,21,0,6,0,0,28,18,14,6,42,0,79,11,10,0,0,0,16,66,22,14,83,0,186,81,42,32,22,0,178,199,93,52,59,0,403,112,33,35,71,0,250,61,16,7,31,6,112,13,9,0,0,0,24,784,440,344,4193,35,5795,28,11,3,5,0,48,130,19,17,26,0,193,101,5,9,53,0,161,14,5,9,10,0,39,47,5,9,0,0,67,137,42,28,165,3,378,1451,437,351,667,20,2934,73,32,19,269,2275,2671,7036,3249,2446,30695,2764,46190
1004,108,582,408,5261,88,6443,4,34,15,1070,25,1145,95,10,3,46,0,148,118,22,0,18,4,157,152,31,23,82,0,291,1324,574,379,5111,109,7491,88,8,20,10,0,127,57,9,11,45,4,120,229,56,27,425,9,743,79,16,3,43,0,141,31,12,0,4,0,45,67,4,0,5,0,76,257,131,69,1675,32,2161,157,68,19,191,5,440,7,0,0,0,0,8,14,8,0,8,0,30,10,0,0,0,0,9,49,13,11,40,0,111,30,5,19,11,0,65,46,34,20,11,0,110,85,16,12,36,0,145,38,7,6,14,0,66,15,0,3,0,0,21,337,128,106,1342,23,1938,23,3,0,5,0,29,33,0,7,4,0,50,40,9,3,12,0,61,8,6,0,0,0,10,20,0,0,0,0,26,42,25,0,44,3,118,554,105,81,192,12,948,35,9,8,117,1106,1271,3347,1098,733,10992,1350,17524
1005,159,1094,791,13538,109,15696,6,81,49,2407,32,2582,223,13,26,95,5,369,39,11,5,35,0,101,176,76,48,235,3,532,1275,1021,777,12076,123,15282,242,7,55,18,0,325,41,10,13,93,0,164,189,106,55,886,7,1234,34,16,12,71,4,140,41,14,8,19,0,80,307,22,3,6,0,339,321,254,163,4533,29,5302,133,108,34,432,0,709,32,0,3,0,0,38,70,38,6,61,0,182,7,4,0,0,0,11,36,22,22,111,0,187,81,29,13,27,4,156,91,59,23,40,0,221,72,21,8,80,3,192,28,8,10,31,0,73,20,20,0,4,0,43,383,241,202,3087,18,3933,39,4,0,13,0,55,56,18,10,10,0,92,44,3,4,41,0,93,62,6,6,0,0,71,70,0,9,0,0,78,68,36,14,115,0,233,1355,219,170,439,13,2191,58,17,12,260,2302,2652,4704,2035,1439,26633,2589,37396
1006,272,1809,1310,12018,158,15565,8,32,34,928,4,1008,372,23,37,54,3,487,105,26,23,57,0,209,301,107,66,199,10,680,3548,1855,1289,11612,178,18482,245,21,40,4,4,311,154,37,20,125,0,339,457,142,124,895,15,1625,177,28,30,140,7,387,110,23,13,44,6,187,370,12,6,9,0,405,777,414,244,4149,57,5640,482,199,67,588,9,1338,56,3,7,0,0,73,70,26,16,84,0,197,59,16,6,19,0,98,109,41,29,109,0,290,61,20,12,22,0,115,136,58,63,62,0,322,212,39,25,93,0,375,68,15,14,34,3,138,23,5,0,0,0,28,956,500,333,3581,44,5411,58,0,0,13,0,77,114,21,21,12,3,177,108,11,7,31,0,163,25,0,11,0,0,40,48,5,6,3,0,60,133,33,25,134,3,334,2173,379,297,605,28,3482,108,17,6,195,1760,2083,9489,3354,2369,24215,2176,41600
1007,58,364,202,6879,89,7597,3,35,9,1546,30,1615,38,4,4,19,0,61,26,3,0,42,0,71,33,23,11,43,0,107,279,340,174,5768,82,6643,186,3,41,15,3,254,6,7,4,51,0,67,58,32,18,678,9,797,23,10,4,34,0,72,6,0,0,10,0,17,83,7,0,14,0,111,59,54,35,1427,15,1590,109,76,12,328,0,537,5,0,0,0,0,5,0,3,0,38,0,41,0,0,0,0,0,0,58,35,16,148,0,264,19,12,5,14,0,45,15,12,8,5,0,39,15,0,4,33,0,59,0,3,0,12,0,20,6,0,0,0,0,3,82,75,49,1291,9,1504,0,0,0,10,0,7,7,4,5,4,0,20,14,0,0,13,0,24,0,0,0,0,0,3,9,0,4,0,0,18,19,0,6,45,0,72,220,80,35,230,6,565,15,6,5,201,1406,1628,1216,711,381,13674,1605,17588
1008,70,459,378,2053,19,2980,4,10,3,159,6,188,50,10,10,23,0,87,25,8,4,7,0,39,117,32,20,47,0,213,1065,412,319,2438,40,4278,46,0,11,4,0,58,194,19,13,35,0,261,322,56,35,239,0,651,38,14,5,40,0,99,20,5,6,6,0,43,42,12,3,8,3,63,309,138,91,1058,14,1607,413,42,18,130,6,605,10,0,0,0,0,10,18,0,0,15,0,36,4,5,0,3,0,7,13,5,0,8,0,34,40,20,0,7,0,61,41,22,12,3,3,83,51,19,0,26,0,100,44,3,3,11,0,67,4,0,0,0,0,5,295,105,82,743,9,1236,14,0,4,3,0,18,33,6,5,4,0,51,192,14,7,18,3,230,7,0,3,3,0,16,20,0,0,0,0,21,40,12,4,30,0,82,951,167,131,157,16,1429,71,9,10,31,895,1017,3425,912,675,4918,984,10914
1009,80,624,420,6656,100,7886,0,19,15,726,4,766,53,14,6,42,0,117,11,6,0,17,0,31,136,40,17,66,0,261,1214,613,440,6337,82,8700,34,0,15,3,0,51,29,10,0,46,0,88,166,47,26,464,11,712,31,3,0,24,0,64,24,11,0,9,0,45,33,3,0,6,0,43,200,131,69,1954,32,2390,75,40,14,201,0,326,9,0,0,0,0,7,5,3,0,23,0,34,3,0,0,0,0,9,44,15,9,35,0,95,21,11,0,20,0,47,41,21,11,28,0,99,47,11,17,26,0,95,4,0,3,15,0,23,0,0,4,5,0,4,310,170,105,1719,16,2322,5,5,0,0,0,7,31,12,9,5,0,54,22,6,0,17,0,49,5,5,0,0,0,6,6,0,0,0,0,8,59,10,8,60,0,137,339,117,72,239,6,773,27,7,9,134,606,777,2455,1135,758,13326,816,18484
