SUA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
1000,0,0,0,14,11,60,151,64,16,316,0,0,0,11,4,21,25,7,0,68,0,0,0,24,12,6,3,0,0,57,0,5,39,280,3,3,4,0,0,335,0,10,28,130,102,186,524,293,89,1363,17,130,193,1114,1088,1470,1152,402,87,5649,0,0,0,19,14,16,21,9,0,76,8,13,9,76,12,11,8,0,0,132,0,13,17,69,130,125,51,9,4,419,21,162,144,1056,471,486,350,63,7,2768,0,0,0,65,31,48,68,26,14,254,0,4,13,34,5,10,6,0,0,67,5,22,22,114,161,349,445,301,72,1485,3,15,13,37,50,58,45,9,5,244,6,77,112,458,358,265,240,104,16,1637,4,22,13,114,44,23,26,12,0,260,0,4,12,230,19,15,8,0,0,297,11,53,59,439,252,151,41,11,0,1021,0,0,0,18,17,14,6,0,3,67,15,111,95,493,229,311,352,106,19,1732
1001,0,0,0,0,0,3,5,3,0,11,0,0,0,13,5,4,0,0,0,19,0,0,0,5,3,0,0,0,0,9,0,32,71,108,4,3,0,0,0,222,0,0,0,8,14,10,49,58,18,157,3,30,33,121,87,97,84,26,7,488,0,0,0,0,0,0,0,0,0,0,0,4,0,26,0,0,0,0,0,29,0,0,0,6,9,4,0,0,0,27,4,29,40,181,82,54,42,11,0,447,0,0,0,3,4,9,6,5,9,35,0,0,0,0,0,0,0,0,0,4,0,0,0,11,16,38,30,26,15,129,0,0,6,5,13,4,4,0,0,29,0,7,14,47,22,21,12,11,0,133,0,12,4,39,14,5,3,0,0,73,0,0,4,23,0,0,0,0,0,27,0,10,3,42,38,15,3,0,0,110,0,0,0,0,0,0,0,0,0,3,0,5,9,45,12,16,14,3,0,103
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,3,19,110,6,0,0,0,0,139,0,0,0,3,0,4,12,12,0,30,0,6,14,29,19,19,20,6,3,116,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,6,3,4,0,0,0,15,0,3,11,58,12,11,5,0,0,100,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,13,8,7,4,45,0,5,0,0,3,0,0,0,0,8,0,0,5,15,13,5,4,4,0,51,3,6,7,18,13,0,3,0,0,49,0,0,0,9,0,0,0,0,0,12,0,5,4,8,7,0,0,0,0,16,0,0,0,4,0,0,0,0,0,7,0,7,10,12,10,12,12,3,0,70
1003,0,0,0,0,0,0,7,3,3,13,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,12,0,3,0,14,10,10,24,11,6,88,0,20,22,100,76,74,79,29,3,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,7,15,0,0,0,33,0,6,6,53,16,20,15,8,0,133,0,0,0,5,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,3,0,0,5,12,12,15,21,13,9,82,0,0,0,3,5,4,0,0,0,15,0,4,8,33,26,16,27,15,7,126,0,0,0,6,0,4,0,5,0,11,0,0,0,4,0,0,0,0,0,3,0,4,13,40,24,20,0,0,0,100,0,0,0,0,0,0,0,0,0,0,6,3,9,50,16,13,26,3,0,130
1004,0,0,0,0,0,0,3,5,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,6,18,10,0,38,0,0,0,21,30,21,28,14,4,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,0,0,0,26,18,9,8,5,0,71,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,17,13,12,55,0,0,0,0,0,0,0,0,0,8,0,0,0,8,10,7,9,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,6,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,10,5,0,31
1005,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,64,0,0,0,0,0,85,0,0,0,3,4,6,12,18,5,50,0,4,17,51,33,29,28,9,5,170,0,0,0,0,0,0,0,0,0,3,0,9,0,16,5,0,0,0,0,27,0,0,0,0,5,5,0,0,0,11,0,7,16,65,27,15,5,3,0,141,0,0,0,4,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,14,10,16,5,72,0,0,6,0,0,0,0,4,0,12,0,6,12,25,11,4,13,0,0,62,0,9,5,23,5,5,4,0,0,45,0,0,0,0,0,0,5,0,0,10,0,0,6,23,12,6,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,5,9,17,4,5,7,0,0,50
1006,0,0,0,0,0,0,11,9,0,24,0,0,0,0,3,4,0,0,0,9,0,0,0,0,0,3,0,0,0,5,6,7,13,162,0,4,0,0,0,188,0,0,0,4,6,10,27,23,5,76,0,4,8,63,53,61,79,56,8,338,0,0,0,0,5,3,0,0,0,10,0,0,0,6,0,0,5,0,0,10,0,0,0,6,9,5,0,0,0,24,0,11,4,78,14,19,12,0,0,139,0,0,0,4,6,9,12,8,0,45,0,0,0,0,0,0,0,0,0,4,0,0,3,9,5,28,49,32,12,141,0,4,0,3,3,3,0,4,0,15,0,5,10,32,26,24,25,28,5,144,0,0,0,11,9,0,0,0,0,20,0,0,0,14,3,0,3,0,0,27,0,4,3,45,4,7,0,0,0,75,0,0,0,4,4,4,0,0,0,11,0,11,8,28,10,19,16,10,0,118
1007,0,0,0,0,0,0,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,4,0,10,0,0,0,12,7,3,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,10,12,58,17,15,20,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,7,0,0,0,20
1008,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,0,0,26,6,3,5,0,0,49,0,8,4,57,25,20,11,4,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,22,5,3,0,0,0,30,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,3,3,22,0,0,0,0,0,0,0,0,0,6,0,0,3,11,6,3,8,4,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,0,3,0,0,5,13,4,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,4,4,10,44,8,15,11,3,0,97
1009,0,0,0,0,0,0,3,8,0,16,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,21,16,4,50,0,3,5,6,20,26,22,18,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,10,0,0,5,7,9,18,0,0,0,37,0,0,0,5,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,16,0,50,0,0,0,0,0,0,0,0,0,3,0,0,3,8,4,8,6,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,3,6,3,0,35
