SUA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
1000,1856,3477,2444,1749,1783,294,83,11692,392,383,248,170,186,44,9,1427,104,164,128,79,86,16,0,584,3312,6428,5080,3795,4306,821,241,23981,133,287,200,142,117,17,6,901,254,377,189,122,108,13,9,1069,389,665,387,267,222,23,12,1964,3700,7088,5463,4061,4526,847,249,25950,4445,4287,2389,1592,1431,174,73,14398,160,195,146,109,58,10,3,687,8317,11574,7998,5763,6024,1037,330,41038
1001,280,497,309,196,231,46,14,1572,46,44,21,10,19,7,0,144,16,15,16,7,5,5,0,62,459,941,636,439,574,149,44,3238,14,40,15,13,19,5,0,103,41,45,23,16,18,4,0,143,51,78,37,28,35,6,3,249,512,1019,672,466,612,159,44,3481,569,529,312,211,232,47,15,1914,8,14,12,10,7,0,0,50,1091,1563,995,687,848,209,58,5452
1002,53,96,59,55,71,12,4,347,3,3,5,0,0,0,0,14,5,0,5,0,0,0,0,15,88,176,129,102,150,22,10,681,5,11,6,4,0,0,0,35,4,5,4,3,0,0,0,19,11,19,12,10,0,5,0,55,99,194,138,112,155,27,10,736,156,136,80,53,46,14,11,496,4,3,0,4,0,0,0,5,260,331,214,169,206,42,25,1239
1003,83,184,157,127,110,23,4,694,14,19,12,10,9,0,4,70,0,0,5,0,8,0,0,15,148,303,306,232,256,60,21,1327,4,8,3,4,0,0,0,21,4,10,10,5,5,8,0,37,9,15,11,4,3,8,0,60,155,325,316,235,262,63,20,1380,122,135,93,60,66,18,6,509,4,3,0,4,3,0,0,19,282,462,416,299,330,84,24,1905
1004,57,84,71,49,48,0,0,314,5,6,11,13,8,0,0,40,3,5,0,4,0,0,0,9,84,135,140,96,100,13,0,570,0,0,6,4,0,4,0,15,3,3,0,0,0,0,0,6,3,5,3,4,0,4,0,20,89,138,147,98,105,16,4,593,117,70,39,36,24,10,3,304,4,4,0,5,0,0,0,13,211,215,189,130,137,26,5,913
1005,94,178,112,90,102,18,4,598,15,8,13,3,8,0,0,51,6,5,3,0,10,0,0,25,196,375,259,195,259,63,10,1363,9,21,6,4,10,0,0,54,18,16,13,9,9,0,0,56,30,34,17,12,17,4,0,118,225,410,277,215,272,65,11,1475,196,202,94,69,56,6,7,630,14,6,4,5,3,0,0,26,434,613,378,279,336,75,23,2138
1006,51,123,91,72,82,8,10,447,15,8,15,7,12,0,3,60,0,5,4,5,4,0,0,8,99,225,203,163,218,45,39,1000,0,0,0,0,0,0,0,6,0,8,5,0,0,0,0,18,3,8,9,3,0,0,0,23,104,234,212,169,218,48,39,1022,91,85,65,55,56,14,5,370,0,0,0,0,0,0,0,3,200,320,280,222,271,61,46,1399
1007,45,87,60,30,32,0,0,256,11,13,0,3,5,0,0,30,7,4,8,7,0,0,0,28,107,184,129,89,94,10,5,624,3,12,4,0,5,0,0,21,3,4,3,3,0,0,0,26,3,16,4,3,10,0,0,40,113,201,140,96,97,15,5,664,159,129,69,39,33,7,0,427,6,4,0,5,0,0,0,17,277,334,213,136,133,20,3,1105
1008,6,30,19,19,31,0,0,105,4,3,3,0,7,0,0,18,0,0,0,0,0,0,0,5,14,55,41,43,54,5,0,207,0,0,0,0,0,0,0,4,3,5,4,0,0,0,0,18,3,5,3,4,0,0,0,19,20,57,46,47,51,5,0,226,21,35,20,19,15,0,0,111,0,0,0,0,0,0,0,5,43,90,61,64,72,6,4,340
1009,28,62,49,32,45,11,4,229,10,3,3,5,5,0,0,20,5,3,5,0,0,0,0,14,56,99,104,70,97,21,3,451,4,3,0,0,3,0,0,15,0,6,4,0,4,3,0,13,4,7,5,0,5,3,0,30,58,106,105,71,104,24,3,478,49,69,47,26,29,5,4,220,4,0,3,0,0,0,0,14,107,177,159,95,128,25,9,703
