SUA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1000,385,244,968,1397,2489,5865,11231,9298,5149,37030,54,78,222,236,309,435,583,549,264,2728,4723,4559,10687,11187,11971,13401,12969,9308,4569,83378,26784,44817,101390,109284,130657,156233,142060,74423,24981,810643
1001,39,45,152,207,213,398,695,818,558,3125,5,19,74,82,148,110,95,54,27,618,313,349,752,688,600,602,668,603,352,4926,2659,5949,13081,12114,11647,11597,10393,5823,2227,75488
1002,15,29,42,52,47,92,138,151,98,662,3,21,50,40,24,18,22,14,4,193,340,352,314,195,170,176,152,200,119,2023,1103,2102,3251,2626,2521,2756,2254,1539,599,18765
1003,7,12,53,48,67,161,302,352,310,1314,3,0,19,7,9,23,16,8,14,112,123,117,295,310,292,331,400,377,312,2565,998,1880,4258,5234,5894,6492,6691,3959,1833,37231
1004,10,7,16,28,50,95,204,182,91,681,0,0,5,10,5,5,9,8,5,50,64,56,132,125,169,187,240,207,102,1274,395,634,1452,1553,2070,2746,3185,1797,663,14505
1005,15,10,39,44,71,158,258,251,198,1038,0,9,16,11,15,14,24,16,9,110,121,249,542,438,327,232,202,216,137,2470,1078,2634,5162,4447,4463,4265,3627,2159,977,28804
1006,5,4,22,38,49,120,247,215,118,817,3,3,5,11,16,19,16,20,11,101,80,108,153,211,245,231,311,351,317,2009,920,1758,3918,4351,5235,5391,5820,4162,1513,33076
1007,14,13,39,51,69,234,381,236,149,1189,0,0,0,0,7,10,3,15,3,45,96,95,205,210,186,176,190,173,136,1457,539,896,2181,1880,2010,2567,2210,1272,590,14149
1008,0,0,6,5,5,20,29,29,17,117,0,0,3,6,0,0,0,0,0,12,35,72,235,174,125,104,88,46,28,905,162,546,2115,1711,1387,1372,1226,483,171,9176
1009,3,0,8,14,29,72,216,222,139,711,0,0,0,0,9,6,11,9,10,38,41,22,52,62,70,140,197,182,80,850,401,574,1058,1443,2098,2992,3781,2429,812,15582
1010,104,58,259,341,644,1471,2555,2352,1498,9288,16,34,76,98,129,168,199,181,131,1035,865,891,2069,2026,2061,2103,2612,2861,2256,17753,8848,18255,37834,40952,43616,44305,40288,25511,10509,270115
1011,31,40,144,238,184,369,572,536,373,2477,3,16,127,93,69,82,69,21,24,507,227,207,644,554,516,505,561,629,516,4345,1882,3372,8326,8749,9116,9783,9618,5507,2277,58629
1012,14,14,42,49,102,209,366,293,178,1263,0,4,20,19,12,27,31,15,3,122,211,220,597,448,388,327,301,267,183,2941,1143,2394,6616,4980,4441,4370,3506,2274,909,30632
1013,3,13,25,30,58,121,277,263,200,982,0,0,3,5,11,7,9,4,19,69,48,46,115,108,128,173,315,346,236,1513,452,687,1490,1716,2145,3087,4184,2964,1355,18086
1014,10,5,39,54,64,131,267,252,149,970,0,0,8,16,15,19,10,16,10,98,81,132,372,277,271,198,213,186,164,1888,646,1415,3392,2883,2901,3036,2725,1692,733,19417
1015,14,4,30,38,68,110,196,228,158,845,3,3,5,8,13,8,14,8,8,76,75,92,189,157,166,149,197,197,180,1411,524,1067,2154,2003,2173,2400,2341,1610,777,15055
1016,8,8,48,65,112,158,259,277,176,1100,0,5,41,25,46,41,43,42,43,291,53,97,252,180,161,164,158,166,154,1390,526,1199,3297,2690,2455,2304,1687,1125,601,15889
1017,16,13,35,28,56,130,262,205,111,860,3,5,0,0,10,11,6,7,5,53,106,184,471,376,227,206,157,143,112,1981,527,897,1832,1710,1781,2033,1933,1135,460,12308
1018,10,14,37,57,66,122,219,254,185,971,6,6,6,6,12,10,13,6,12,80,136,153,272,243,201,215,201,179,153,1746,868,1702,3538,3397,3605,3846,3261,1863,866,22953
1019,4,5,15,25,40,82,147,115,79,516,0,0,0,3,0,8,4,6,0,28,50,66,217,169,124,128,167,149,67,1131,333,627,1461,1277,1479,1748,1664,1100,388,10074
1020,3,4,32,27,25,69,137,85,39,424,0,0,0,0,5,4,0,6,5,28,28,52,73,73,96,90,92,84,16,612,433,797,1573,1844,2020,1937,1719,863,166,11349
1021,13,14,36,48,68,145,233,227,181,960,5,0,6,7,7,22,24,16,12,89,56,69,134,123,112,144,211,252,183,1281,733,1602,3079,2902,3190,3546,3521,2596,1134,22302
1022,3,4,8,16,21,51,101,89,75,373,0,0,4,0,0,9,7,15,5,38,32,37,99,95,83,80,83,83,56,645,354,642,1784,1560,1466,1379,1167,822,353,9532
1023,10,8,28,50,42,85,120,92,58,491,0,0,0,0,0,8,8,0,0,25,52,65,212,179,140,93,82,63,30,921,363,696,1860,1599,1528,1404,1026,512,179,9159
1024,3,3,22,18,36,123,237,235,133,811,0,3,7,4,8,7,21,10,11,78,68,65,105,93,140,216,313,406,243,1647,645,1095,2069,2450,3381,4495,5088,3439,1104,23771
1025,179,173,543,659,1025,2193,3809,3165,2295,14045,17,41,163,195,251,315,276,221,168,1652,1241,1744,3703,3165,2744,2732,3077,3178,2338,23916,14053,33773,69818,64410,62604,60335,52011,29981,12430,399419
1026,21,14,59,80,127,241,416,300,213,1464,4,6,3,16,14,16,28,27,18,123,182,244,679,553,447,310,288,263,110,3087,1098,2296,5194,4519,4465,4642,4313,2581,1054,30164
1027,27,19,59,78,122,203,359,298,207,1373,0,0,18,19,30,21,45,26,10,172,121,157,338,288,269,260,301,254,184,2167,1066,2353,5728,5278,4901,4498,4038,2422,1043,31328
1028,8,5,33,46,93,166,406,392,319,1482,0,0,13,13,20,23,12,12,12,106,112,135,254,249,247,295,380,433,386,2486,1231,2502,4841,5336,6016,6461,6930,4965,2162,40442
1029,12,11,33,23,41,73,120,99,85,494,4,0,5,7,4,13,3,9,3,49,99,116,159,106,92,109,90,58,22,845,704,1192,2512,2061,2163,1903,1361,713,306,12914
1030,7,7,14,25,39,118,290,223,111,826,0,0,0,10,10,7,12,19,7,61,71,50,127,128,138,165,227,210,103,1218,463,815,1889,2059,2291,2887,3447,2043,656,16553
1031,585,1032,5150,8123,11961,20717,32191,29678,16205,125637,207,1129,5894,6321,8404,12223,12018,9861,6194,62246,11328,18155,48405,39210,28644,25194,23372,21391,17552,233254,112313,320671,765939,728881,614704,526518,392298,220515,94190,3776036
1032,24,19,86,80,122,232,363,347,237,1513,3,3,28,22,20,29,28,17,4,159,221,214,496,420,357,297,305,354,214,2882,1330,2551,6219,5172,4824,4812,4250,2886,1193,33240
1033,17,9,53,76,91,207,343,316,232,1341,0,0,8,4,10,18,13,19,8,71,120,123,241,249,219,300,326,339,271,2194,779,1299,2776,2585,2916,3621,3558,2458,1086,21083
1034,0,4,10,12,21,64,202,163,108,579,0,0,5,3,0,4,11,6,6,39,49,28,82,102,118,172,170,119,76,917,325,558,1426,1724,1871,2593,3040,1739,644,13915
1035,35,46,121,163,154,248,393,415,281,1842,0,12,82,94,65,56,46,23,15,398,167,218,440,364,337,313,356,316,266,2769,1826,4215,8114,6847,6330,6286,5279,3207,1488,43600
1036,73,72,266,397,556,1400,2888,2967,1775,10399,12,35,112,156,180,224,372,457,354,1901,787,954,1874,1629,1521,1474,1708,1958,1544,13451,8628,20939,39298,37741,38240,37896,31030,19023,7962,240756
