SUA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1000,4352,3870,1265,2998,2388,756,460,813,229,17130,5417,4135,2408,6884,4627,1542,768,1505,388,27669,18395,5253,38792,15722,12373,6192,11431,12428,1981,122580,1155,355,625,1069,1600,918,538,1267,96,7616,1889,634,710,1588,2001,930,679,1218,157,9807,443,415,220,248,340,162,116,249,71,2258,1793,898,915,1153,1029,751,956,1522,1115,10134,52277,65371,48016,36611,31700,13384,15787,21617,5032,289805
1001,255,345,209,308,259,76,61,60,16,1587,537,548,344,1051,617,248,160,153,59,3709,1323,604,4162,2027,1533,770,954,1101,187,12657,56,21,76,125,139,114,60,103,4,686,77,60,45,172,178,91,53,94,14,788,30,38,20,27,20,16,19,22,5,197,51,73,66,99,67,53,61,113,87,671,3933,8157,5259,4823,3664,1609,1561,1882,454,31348
1002,73,89,26,68,49,13,4,15,6,348,89,96,55,154,114,30,15,43,11,600,245,108,637,284,251,137,108,195,16,1982,17,12,22,37,32,29,13,33,5,190,23,15,11,34,47,23,9,21,3,183,5,17,5,3,9,0,0,9,0,57,15,12,19,14,22,9,6,12,23,130,1029,2637,937,964,845,339,191,506,91,7544
1003,186,213,72,157,148,47,20,40,15,899,242,234,148,395,216,121,17,80,16,1467,602,236,1681,730,550,355,272,442,57,4925,39,12,24,39,49,55,5,48,0,279,59,49,40,90,102,52,29,41,5,467,21,28,11,17,17,11,3,13,4,119,52,59,34,61,43,33,20,47,50,394,2169,4437,2229,2017,1600,825,410,855,193,14737
1004,52,61,23,64,42,16,6,14,0,272,56,55,38,114,92,34,9,24,13,419,212,81,572,296,195,161,95,200,31,1837,16,5,12,14,24,21,6,21,0,121,19,11,11,28,38,25,5,25,0,167,0,5,3,6,6,6,7,5,0,37,20,26,15,26,20,26,7,20,11,176,543,881,719,687,494,323,138,334,74,4190
1005,85,146,52,120,94,34,10,26,5,579,145,172,114,339,202,72,36,39,10,1124,467,193,1516,812,531,293,345,428,85,4661,25,23,31,45,61,46,22,41,3,290,35,21,31,83,94,38,21,36,9,354,0,15,8,13,16,15,7,12,0,91,17,25,27,42,23,18,19,34,24,234,1395,3160,1921,1885,1386,640,515,716,170,11788
1006,182,246,81,134,129,78,20,50,9,926,213,213,152,286,181,90,23,71,19,1253,519,204,1696,469,406,283,343,400,56,4385,23,15,32,33,65,37,15,38,3,261,64,43,49,53,91,50,20,49,9,436,16,21,11,11,18,14,11,9,5,117,35,38,39,29,51,46,27,33,25,325,2157,3793,2327,1471,1416,810,525,795,186,13470
1007,35,62,20,49,18,0,4,3,3,188,69,75,34,152,79,13,11,14,10,459,182,87,752,384,236,91,234,121,35,2130,11,4,9,31,24,18,10,20,0,119,9,18,12,34,26,19,22,13,4,142,3,10,0,6,4,4,4,4,0,26,15,10,14,23,18,14,15,27,22,151,467,1089,867,798,453,173,296,217,79,4445
1008,55,65,36,40,32,18,0,15,0,267,70,64,55,112,37,41,6,36,6,430,122,50,323,99,48,64,32,81,25,843,13,4,7,12,7,6,0,6,0,66,17,15,5,21,18,14,0,6,3,99,5,11,7,10,5,3,0,4,6,57,20,18,15,19,9,11,0,11,33,132,755,1248,573,566,283,256,73,295,105,4154
1009,49,78,12,38,41,10,3,7,4,250,69,80,51,109,79,31,9,21,7,449,219,95,681,355,229,156,136,201,25,2102,11,3,6,32,24,16,6,17,0,115,19,11,6,34,28,15,12,26,0,152,10,3,10,0,10,0,0,0,0,38,9,11,13,30,16,15,3,21,11,137,545,1121,814,723,511,264,181,318,57,4534
