SUA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1000,2200,439,4754,2814,1828,1393,953,2078,239,16699,21,30,17,49,26,33,20,65,4,263,789,631,446,441,420,179,405,396,142,3848,1620,693,1516,1058,890,758,1123,1691,1437,10793,52277,65371,48016,36611,31700,13384,15787,21617,5032,289805
1001,212,57,681,389,237,185,156,206,16,2140,0,4,4,10,4,17,4,14,0,68,55,71,49,67,45,32,49,52,15,429,68,54,131,88,59,50,82,122,124,780,3933,8157,5259,4823,3664,1609,1561,1882,454,31348
1002,39,7,152,51,27,37,6,43,0,361,0,0,0,0,0,0,0,0,0,9,12,28,3,13,12,4,6,12,0,97,11,20,21,16,23,7,9,15,20,145,1029,2637,937,964,845,339,191,506,91,7544
1003,131,18,339,178,78,86,30,88,10,972,0,0,0,0,0,0,0,0,0,6,32,32,23,24,31,17,9,23,9,194,55,48,66,44,42,33,27,51,68,431,2169,4437,2229,2017,1600,825,410,855,193,14737
1004,39,14,110,64,33,33,20,46,5,358,0,0,0,0,0,3,0,0,0,8,5,8,13,5,6,8,4,5,4,64,15,14,23,24,14,19,12,23,14,162,543,881,719,687,494,323,138,334,74,4190
1005,69,12,243,140,68,48,48,72,13,719,0,0,6,14,3,3,0,0,0,31,18,11,19,14,23,9,11,12,6,113,26,12,45,50,23,27,22,35,39,277,1395,3160,1921,1885,1386,640,515,716,170,11788
1006,99,23,282,133,89,63,41,90,11,826,0,3,0,0,0,0,0,0,0,12,38,45,23,19,28,24,14,20,5,224,37,32,52,25,43,38,37,41,39,332,2157,3793,2327,1471,1416,810,525,795,186,13470
1007,24,10,103,61,28,20,12,19,0,274,0,0,0,0,0,0,3,0,0,7,9,9,7,4,4,6,8,3,0,51,17,9,28,20,10,10,18,28,27,169,467,1089,867,798,453,173,296,217,79,4445
1008,45,8,143,40,17,24,9,22,5,315,0,0,0,0,0,0,0,0,0,0,18,13,5,8,10,3,4,9,0,69,20,15,22,14,0,9,0,18,32,128,755,1248,573,566,283,256,73,295,105,4154
1009,31,11,125,68,37,37,9,34,3,349,0,0,3,0,3,0,0,0,0,5,10,4,0,13,4,5,3,7,0,41,14,11,28,16,13,12,10,31,19,149,545,1121,814,723,511,264,181,318,57,4534
1010,678,222,1646,986,758,584,322,578,57,5841,15,14,10,17,12,11,6,17,4,100,171,268,181,151,184,81,114,118,49,1314,249,242,371,294,305,193,236,261,395,2552,13906,28066,16590,14134,12955,5617,3936,5662,1516,102388
