SUA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
1000,82,7,10,47,8,29,0,17,16,189,12,418,21,4,3,11,5,16,0,7,0,55,0,126,19,5,0,25,3,8,3,29,4,96,6,199,14,9,0,12,4,22,0,25,7,73,0,166,37,23,7,39,0,22,7,72,15,189,5,418,38,20,7,73,6,57,9,138,29,233,6,621,95,79,10,143,24,175,17,295,54,656,16,1559,123,192,17,272,26,426,27,421,96,686,15,2311,238,326,45,638,71,902,59,590,135,1122,36,4180,480,611,67,1725,182,1394,150,665,157,992,42,6469,530,414,71,2022,233,1382,135,510,151,699,36,6184,948,469,97,2381,350,1197,144,377,123,565,28,6673,3327,906,219,5716,831,2246,337,551,200,750,34,15119,3405,691,171,4994,802,962,245,331,116,353,37,12105,3569,413,134,3867,605,851,204,187,77,242,20,10161,2806,247,80,2207,393,376,120,80,29,130,9,6466,7151,481,197,4422,849,1322,210,212
1001,0,0,0,0,0,0,0,0,0,12,0,15,0,0,0,4,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,5,0,7,0,13,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,3,0,0,0,8,0,14,0,23,0,0,0,0,0,6,0,11,0,15,0,39,0,0,0,0,0,18,0,24,6,43,3,96,3,13,0,8,0,46,0,35,5,46,0,161,8,29,0,41,3,95,5,49,8,92,0,332,29,56,8,146,22,170,14,73,8,87,6,625,45,43,8,237,23,155,8,52,9,60,0,640,98,67,3,287,44,164,10,28,8,40,0,746,426,86,24,724,118,266,31,62,18,46,3,1807,446,51,13,644,84,113,13,31,10,32,0,1451,371,34,7,482,68,74,12,25,0,20,0,1104,348,15,5,267,43,36,9,10,4,13,0,757,678,31,4,456,82,108,8,14
1002,0,0,0,0,0,0,0,3,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,14,0,0,0,0,0,4,0,3,0,7,0,17,0,0,0,0,0,0,0,5,3,22,0,32,0,9,3,3,0,10,0,8,4,19,0,49,0,5,0,15,0,24,0,26,4,19,0,96,5,12,0,27,5,24,9,21,0,16,0,120,7,12,0,33,0,28,0,9,4,10,0,114,16,9,0,46,6,34,0,9,7,8,0,133,74,17,3,111,18,50,0,11,0,17,0,308,78,13,0,97,15,23,12,11,3,11,0,263,93,5,4,62,18,12,0,8,0,3,0,204,85,7,0,41,3,9,0,0,0,5,0,159,180,11,4,89,9,39,6,5
1003,0,0,0,0,4,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,3,0,8,0,13,0,0,0,0,0,3,6,11,0,17,0,43,4,11,0,7,0,19,0,16,5,20,0,79,10,20,3,15,10,28,5,22,5,54,0,168,13,43,9,53,9,51,8,48,13,41,0,281,24,37,5,74,4,55,3,32,0,36,0,282,34,31,0,115,11,44,0,22,7,27,0,301,117,73,5,270,49,78,17,48,3,43,3,707,139,43,3,280,41,43,7,16,8,26,0,615,160,37,3,195,27,52,10,18,5,8,0,524,130,9,0,111,12,26,7,6,0,4,0,309,319,35,11,285,33,58,12,20
1004,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,6,0,5,0,14,0,0,0,0,0,0,0,7,0,17,0,24,0,4,0,3,0,6,0,5,5,18,0,44,0,6,0,8,0,13,0,14,3,33,0,87,6,14,0,27,8,31,4,26,4,24,0,136,3,18,0,24,5,16,4,8,0,15,0,93,9,16,0,47,5,7,4,3,3,4,0,98,55,12,3,79,14,32,3,7,0,20,4,224,57,3,4,52,5,11,7,7,0,10,0,152,37,3,0,43,3,4,0,3,4,4,0,108,27,6,4,21,3,0,0,0,0,4,0,67,49,9,0,24,3,15,0,0
1005,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,3,0,0,0,3,0,7,0,12,0,0,0,3,0,5,0,14,0,14,0,40,0,0,0,4,0,19,0,14,4,20,0,63,0,8,0,12,6,32,3,19,0,39,0,126,7,22,0,38,5,55,0,30,3,24,0,190,17,11,4,67,4,66,3,10,5,17,0,204,28,10,4,96,11,54,4,11,4,19,0,233,147,20,7,209,25,89,15,22,6,20,0,560,177,19,0,220,27,38,11,15,3,7,0,523,180,14,0,156,36,40,0,7,0,11,0,441,170,10,4,106,24,12,0,0,0,5,0,334,355,9,7,186,32,43,5,3
1006,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,15,0,0,0,0,0,0,0,3,0,7,0,11,0,0,0,0,0,4,0,8,0,16,0,30,0,3,0,3,0,11,0,14,6,17,0,63,4,8,0,18,0,24,3,20,4,42,0,134,13,31,0,44,6,46,4,25,8,39,0,222,8,18,5,55,14,44,4,19,8,17,0,195,37,16,0,97,14,48,3,15,0,27,0,269,117,53,6,227,27,121,17,36,11,29,0,648,134,44,9,246,31,66,8,14,4,15,0,576,139,22,6,212,38,55,15,8,5,13,0,502,133,6,0,123,25,18,3,0,0,6,0,314,432,47,9,351,46,146,16,23
1007,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,4,0,4,0,5,0,17,0,26,0,5,0,4,0,11,0,8,0,24,0,58,3,3,0,7,3,31,3,9,0,29,5,100,7,4,0,20,7,25,0,6,3,5,3,67,9,0,0,20,0,30,0,0,3,9,0,79,44,7,3,65,9,42,3,9,8,23,0,208,65,0,0,68,13,23,5,5,0,0,0,174,57,12,3,54,9,14,3,0,0,5,0,153,50,0,0,31,21,11,0,0,4,4,0,119,105,0,0,50,12,17,3,0
1008,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,5,0,0,0,3,0,8,4,3,0,0,0,4,0,7,0,4,0,19,0,10,0,0,0,4,0,6,0,3,0,25,0,12,0,3,0,7,0,13,3,6,0,44,6,13,0,10,0,6,0,9,0,6,0,44,4,13,0,14,0,5,3,3,0,5,0,54,15,19,5,41,8,14,0,9,3,5,0,113,22,13,0,42,5,9,0,9,0,4,0,109,11,10,0,27,0,3,3,4,0,5,0,76,16,11,0,30,0,0,0,3,0,0,0,55,49,18,0,67,8,30,3,10
1009,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,12,0,21,4,4,0,0,0,11,0,7,3,12,0,28,4,3,0,5,0,8,0,16,0,26,0,71,3,11,0,20,5,28,0,13,4,23,0,116,8,0,0,40,3,14,9,8,0,13,0,93,23,10,4,49,7,16,0,7,0,13,0,126,48,16,0,96,10,28,3,9,3,21,0,243,49,15,0,96,15,13,5,9,0,13,0,213,57,7,0,54,4,13,7,0,3,3,0,143,52,4,5,34,4,8,0,0,0,3,0,107,80,4,0,53,14,18,0,5
