SUA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
1000,172,82,257,946,551,1497,49,16,61,14,10,22,123,93,217,142294,124167,266460,8775,9015,17793,6249,221,6467,1554,247,1799,985,387,1374,1862,830,2693,9250,8326,17577,172271,143950,316220,22,15,42,0,0,0,0,3,0,90,56,137,13,6,20,10,7,17,133,88,220,5,4,8,0,0,0,114,63,174,72,67,140,17,15,27,208,145,353,1811,762,2572,2159,990,3153,33,11,46,22,26,46,139,30,170,192,68,257,31403,37129,68530,18840,28294,47133,2158,1829,3988,227019,212258,439281
1001,3,5,11,71,80,150,21,5,23,0,0,3,47,48,94,17114,15251,32367,1000,1146,2140,228,10,237,130,24,152,270,76,342,119,44,165,742,596,1344,19752,17279,37029,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,4,5,14,3,13,18,0,3,9,15,23,37,146,96,245,164,125,288,0,0,0,0,3,3,16,0,14,15,4,20,1669,2432,4105,1581,2930,4513,135,104,232,23314,22873,46191
1002,0,3,3,20,10,30,0,0,0,0,0,0,12,16,25,2819,2470,5284,207,270,474,57,0,65,37,10,50,49,18,61,21,18,45,176,184,367,3395,3005,6399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,31,21,53,35,27,59,0,0,0,0,0,0,0,0,3,0,4,6,997,1295,2292,689,895,1588,23,27,54,5147,5250,10396
1003,8,3,8,39,28,64,0,0,0,0,0,0,6,3,8,6430,5811,12239,327,403,736,177,10,180,63,7,71,164,60,225,64,21,88,280,298,575,7553,6641,14193,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,7,0,3,3,3,6,0,0,3,5,9,16,80,43,123,90,55,145,0,0,0,0,0,0,3,3,7,0,3,5,1467,1986,3453,1134,1681,2818,62,52,111,10306,10423,20730
1004,0,3,4,22,23,41,0,0,0,0,0,0,0,10,11,2132,2053,4187,161,183,348,81,0,84,21,3,18,19,10,32,16,6,27,81,74,147,2534,2362,4896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,4,9,7,30,10,37,28,15,46,0,0,0,0,0,0,4,0,0,4,3,5,257,369,623,297,443,733,29,19,46,3146,3206,6347
1005,4,0,9,21,24,44,5,0,5,0,0,0,31,31,60,6031,5499,11531,466,533,995,136,0,136,40,6,43,42,12,50,36,10,47,306,263,568,7100,6382,13485,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,6,5,10,55,29,89,65,39,102,0,0,0,0,0,4,0,0,0,4,8,10,741,1098,1841,787,1125,1911,40,30,69,8740,8677,17428
1006,39,31,70,33,27,59,0,0,5,0,0,0,5,10,21,5665,4808,10473,363,430,796,241,6,243,35,7,43,23,8,32,46,18,65,254,254,507,6708,5611,12317,0,4,3,0,0,0,0,0,0,3,7,12,4,4,9,0,4,4,11,15,21,0,0,0,0,0,0,0,4,9,3,4,9,0,0,3,4,20,21,49,30,85,69,59,132,3,3,4,0,0,0,5,0,5,7,3,5,1973,2179,4155,809,1272,2078,59,40,108,9631,9164,18791
1007,0,0,0,5,4,8,3,0,0,0,0,0,5,7,12,2558,2477,5038,221,254,473,37,0,37,40,6,45,28,0,28,25,7,25,137,131,267,3060,2893,5956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,18,15,35,24,15,38,0,0,0,0,0,0,0,0,0,0,0,0,104,193,298,394,445,837,25,23,42,3605,3570,7172
1008,0,0,0,0,7,10,0,0,0,0,0,0,0,7,6,1259,1162,2414,58,74,135,18,0,18,33,4,41,116,98,217,23,19,42,145,138,284,1666,1498,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,7,17,22,43,19,25,46,0,0,0,0,0,0,0,0,0,0,0,0,619,787,1408,342,454,796,31,16,49,2677,2792,5465
1009,6,0,5,9,25,35,0,0,0,0,0,0,0,0,0,2196,2137,4332,110,140,244,75,5,80,24,6,29,11,3,11,19,9,27,84,78,160,2529,2395,4924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,6,21,18,39,24,20,50,0,0,0,0,0,0,0,0,0,0,0,0,325,463,791,278,445,722,17,12,33,3177,3339,6514
