SUA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,1180,1559,3141,2994,3253,2802,933,129,9,15997,1440,1502,3081,3350,3812,3618,1539,608,144,19093,27317,31119,73192,81175,95835,91230,32283,6340,788,439281
1001,93,206,441,369,282,240,79,9,4,1717,101,167,393,341,327,270,71,28,8,1702,3265,4476,10274,9523,9026,7269,2111,232,19,46191
1002,27,29,93,60,60,61,12,4,0,348,27,31,62,62,52,34,17,11,0,295,765,1122,2290,1955,1871,1746,556,92,11,10396
1003,39,77,154,158,166,132,49,8,0,790,56,67,135,165,156,109,51,12,6,749,1422,1445,3299,4204,4641,4149,1358,200,20,20730
1004,23,28,38,50,70,52,25,0,0,283,20,20,43,43,49,58,18,6,0,259,418,419,1015,1155,1412,1408,466,45,3,6347
1005,48,80,172,125,125,98,24,0,0,675,31,72,123,109,118,89,30,10,0,578,1264,1905,3865,3408,3446,2693,756,78,8,17428
1006,58,76,148,149,158,131,30,7,6,766,64,46,107,121,162,133,73,22,4,733,1173,1373,3172,3552,4182,3564,1463,288,23,18791
1007,20,34,51,47,43,62,19,0,0,285,15,26,40,44,44,53,15,5,0,242,480,607,1573,1291,1334,1446,395,36,5,7172
1008,3,8,54,48,36,22,7,6,0,180,10,25,137,98,60,22,16,5,0,368,213,352,1574,1248,972,757,314,31,0,5465
1009,17,21,37,60,60,67,11,0,0,279,21,14,26,31,56,47,10,9,3,227,511,418,791,1153,1616,1591,381,50,11,6514
1010,279,558,1213,1237,1205,949,247,25,0,5716,306,540,1219,1277,1293,943,317,105,24,6006,9675,13034,28390,31653,32823,26001,6607,796,71,149052
1011,80,119,287,274,269,186,57,3,0,1278,71,114,256,292,232,182,75,20,3,1243,2232,2406,6133,6714,6948,5716,1661,146,20,31976
1012,47,93,201,125,117,103,44,8,4,746,53,68,213,135,119,77,39,20,0,726,1256,1699,5182,3948,3384,2912,882,134,13,19401
1013,9,23,51,58,78,47,19,0,0,287,23,20,41,56,59,46,29,17,6,295,498,477,1078,1290,1502,1534,518,78,10,6986
