SUA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
1000,0,7,0,26,7,3,3,0,0,45,25292,58900,46721,83639,52033,61609,56261,27172,7468,419091,0,5,9,58,11,5,0,0,0,92,0,0,0,19,3,7,6,13,3,62,0,3,15,116,29,10,5,3,0,182,5,7,0,25,9,3,6,0,0,53,10,34,16,154,113,117,114,49,7,610,0,3,5,72,37,35,39,17,0,212,0,51,54,388,143,110,70,32,7,844,0,0,3,10,19,77,90,75,20,298,0,11,3,49,11,27,57,27,9,192,27,207,286,1177,1577,3216,3746,2620,593,13449,0,22,42,265,86,60,48,14,0,549,4,8,30,169,58,84,75,36,4,478,6,23,31,158,146,320,614,441,108,1845,0,0,3,10,16,45,91,58,19,245,4,13,11,73,43,39,32,8,0,223,25,104,107,1114,144,121,113,62,23,1819,3,20,16,105,18,18,43,20,7,263,0,0,7,67,35,23,8,7,0,143
1001,0,0,0,4,0,0,0,0,0,11,2903,5754,5288,9645,4540,4507,3858,1837,586,38906,0,3,0,25,12,0,0,0,0,49,0,0,0,0,0,4,3,4,0,13,0,0,0,8,0,0,0,0,0,10,0,4,0,5,0,0,0,0,0,11,0,4,4,10,12,14,7,0,0,52,0,0,0,3,0,0,0,0,0,7,0,4,7,30,12,10,8,0,0,81,0,0,0,0,8,16,11,26,5,67,0,0,4,12,0,0,4,0,0,16,4,21,37,126,119,215,211,146,37,913,0,0,0,15,9,10,5,3,0,40,0,0,3,8,4,3,0,0,0,24,3,0,3,10,12,39,112,63,18,259,0,0,0,3,0,0,8,14,7,37,0,0,3,8,8,8,3,0,0,24,8,33,79,604,57,21,19,4,0,829,0,0,0,9,0,0,0,0,0,13,0,0,0,12,3,6,0,0,0,23
1002,0,0,0,0,0,0,0,0,0,0,589,1103,1408,1915,892,1042,839,502,158,8453,0,13,4,39,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,6,0,0,30,0,0,0,4,0,0,0,0,0,8,0,0,0,31,10,5,0,0,0,54,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,8,13,26,29,51,55,52,16,246,0,0,0,5,3,4,0,0,0,13,0,0,0,4,0,3,0,0,0,10,0,3,0,3,5,10,11,3,5,38,0,0,4,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,8,3,3,18,91,4,6,4,0,0,128,0,0,0,3,0,0,0,0,0,10,0,0,0,14,3,0,0,0,0,22
1003,0,0,0,0,0,0,0,0,0,0,1083,2542,1998,3498,2240,2505,2518,1361,493,18235,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,23,11,13,11,6,0,70,0,0,0,4,6,3,0,5,0,22,0,0,0,3,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,23,32,138,106,139,171,156,58,815,0,0,0,3,3,5,3,4,0,15,0,4,0,22,3,3,3,6,0,31,0,0,0,8,8,20,20,13,9,81,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,9,0,4,5,56,11,4,3,7,4,98,0,6,0,3,0,0,4,0,0,14,0,0,0,3,3,4,5,0,0,14
1004,0,0,0,0,0,0,0,0,0,0,364,785,680,1172,811,936,1115,520,156,6541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,9,7,3,0,0,0,22,0,0,0,0,0,3,13,15,8,40,0,0,0,0,0,0,0,0,0,0,0,7,3,18,36,90,145,93,34,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,14,0,0,3,0,4,10,14,15,0,51,0,0,0,0,0,3,4,8,0,23,0,0,0,4,0,0,0,0,0,3,0,3,3,26,3,6,5,4,0,41,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1005,0,3,0,8,0,0,0,0,0,11,1068,2324,2407,4017,1785,1718,1396,748,240,15698,0,0,0,15,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,10,3,0,0,0,29,0,0,0,0,0,0,4,0,0,8,0,0,6,16,14,3,11,0,0,43,0,0,0,0,0,0,4,3,6,13,0,0,0,4,0,0,0,0,0,13,0,7,12,39,31,71,88,68,29,343,0,0,0,9,8,3,0,0,0,26,0,0,0,8,0,0,0,0,0,7,0,0,0,3,5,4,12,14,4,35,0,0,0,0,0,3,6,0,4,11,0,0,0,0,0,0,0,0,0,3,3,12,15,125,26,6,8,0,0,196,0,0,0,9,0,0,0,0,0,14,0,3,0,6,3,0,0,0,0,23
1006,0,0,0,0,0,0,0,0,0,3,1005,2287,1810,3041,1864,1844,1756,1195,364,15161,0,0,0,8,3,0,0,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,4,9,11,6,6,6,0,49,0,0,0,0,3,8,0,0,0,20,0,3,19,19,3,9,4,0,0,62,0,0,0,0,0,10,0,4,0,14,0,0,0,0,0,4,3,7,0,13,0,22,30,99,142,218,288,231,87,1121,0,0,3,9,8,0,0,4,0,23,0,0,4,8,5,5,6,4,0,32,0,0,0,5,3,11,34,40,7,99,0,0,0,0,0,3,9,8,0,26,0,8,11,5,5,0,0,0,0,39,0,15,11,135,24,4,12,11,3,212,0,3,0,5,3,3,0,0,0,17,0,0,0,7,4,0,0,0,0,15
1007,0,0,0,0,0,0,0,0,0,0,438,887,869,1669,855,1105,955,449,157,7393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,8,15,22,13,0,79,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,7,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,33,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5
1008,0,0,0,0,0,0,0,0,0,0,211,422,320,916,425,467,420,152,33,3370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4,3,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,3,5,0,0,34,0,0,0,24,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,11,14,96,52,53,61,20,5,313,0,0,0,0,0,0,0,0,0,3,0,0,10,36,4,11,0,5,0,65,0,0,4,15,11,13,8,6,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,6,9,5,0,5,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
1009,0,0,0,0,0,0,0,0,0,0,301,850,758,1032,872,1138,1502,912,254,7614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,7,4,15,41,66,121,106,33,394,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,5,10,15,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,5,5,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
