SUA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
1000,3145,85,30,112,3251,990,8,4250,30,4,0,24,65,0,0,0,65,9,92,169,19640,3001,698,479,23820,266,102,367,24187,2015,154,26361,5727,671,142,44,6581,59,17,78,6652,292,7,6960,5048,909,151,71,6179,51,18,68,6256,351,16,6617,277,66,59,8,404,7,3,6,411,37,0,450,76,8,10,108,199,4,3,11,204,13,10,228,11127,1650,359,226,13370,117,41,161,13522,692,42,14256,49,11,3,0,64,20,0,25,85,15,0,100,87,14,0,0,107,10,11,22,126,11,0,135,137,24,7,0,169,32,12,43,209,22,0,232,11258,1678,363,231,13532,150,55,204,13740,714,42,14491,1406,311,84,68,1871,46,15,56,1932,718,10,2665,19,0,0,12,34,0,5,5,33,3,78,118,12684,1992,446,314,15436,193,76,265,15705,1437,129,17264,7006,805,167,54,8036,64,14,78,8111,448,6,8570,5516,1051,160,71,6795,60,17,73,6869,401,16,7288
1001,259,6,5,12,274,73,0,345,0,0,0,0,0,0,0,0,0,0,4,7,1883,230,46,23,2185,28,15,42,2224,163,13,2398,554,51,14,0,619,7,5,7,626,31,0,659,478,43,12,6,533,7,0,7,542,32,0,577,23,0,0,0,29,0,0,0,29,3,0,30,3,0,0,3,12,0,0,0,13,0,0,17,1060,102,22,6,1190,16,5,20,1208,69,3,1278,8,3,0,0,10,0,0,0,12,0,0,10,14,0,0,0,9,0,0,0,12,6,0,13,15,0,0,0,25,4,0,4,23,4,0,27,1074,102,22,6,1209,16,5,19,1231,71,3,1304,120,21,9,3,150,3,0,7,160,71,0,225,0,0,0,0,0,0,0,0,0,0,5,3,1196,125,28,13,1364,20,4,25,1388,141,9,1534,691,68,11,5,773,12,6,17,787,31,0,826,605,69,12,7,691,5,0,8,698,27,0,728
1002,48,3,3,4,62,41,0,105,0,0,0,0,0,0,0,0,0,0,0,0,353,67,3,4,430,3,4,10,440,76,3,522,137,15,0,0,157,0,0,0,157,4,0,156,79,13,0,0,100,0,0,0,101,8,0,113,5,0,0,0,3,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,226,28,0,6,261,4,0,4,263,17,0,278,0,0,0,0,4,0,0,0,4,3,0,6,4,0,0,0,3,0,0,0,4,0,0,4,8,0,0,0,12,0,0,0,9,3,0,13,234,32,3,6,268,4,0,3,274,14,0,289,22,7,0,0,35,6,5,7,44,20,0,64,0,0,0,0,0,0,0,0,0,0,0,0,258,39,3,6,306,5,3,10,312,34,3,355,176,18,0,0,194,3,0,0,196,16,0,214,120,20,0,0,139,0,0,0,140,5,0,144
1003,115,0,0,0,116,38,0,154,0,0,0,0,8,0,0,0,8,0,3,10,790,198,26,13,1032,7,0,8,1041,92,5,1134,230,38,0,3,270,0,0,0,270,16,0,293,221,58,5,0,290,5,0,5,292,13,0,303,18,4,5,0,22,0,0,0,22,0,0,24,6,0,0,9,8,0,0,0,8,0,0,8,468,95,12,15,596,5,0,0,595,32,0,627,0,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,3,0,0,0,9,0,0,10,0,0,0,0,7,0,0,0,5,0,0,7,469,100,12,14,595,5,0,8,604,35,0,639,36,13,4,0,51,0,0,0,51,19,0,72,0,0,0,0,0,0,0,0,0,0,6,3,508,112,17,15,651,5,0,8,658,57,3,715,273,49,8,3,338,0,4,0,346,22,0,368,256,57,8,5,332,0,0,0,332,15,0,347
1004,45,0,0,0,45,16,0,60,0,0,0,0,0,0,0,0,0,0,0,0,230,59,10,7,304,0,0,3,307,37,3,347,53,13,0,0,75,3,0,8,80,7,0,91,52,18,6,0,77,0,0,0,77,9,0,83,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,3,0,0,0,3,0,0,3,110,35,11,4,156,3,0,8,161,12,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,37,11,4,160,3,0,8,165,12,0,181,12,5,3,3,22,0,0,0,22,14,0,35,0,0,0,0,0,0,0,0,0,0,0,3,127,41,7,4,186,3,0,8,186,29,0,219,86,9,6,0,95,0,0,0,97,7,0,108,45,19,7,0,71,0,0,0,71,7,0,75
1005,106,0,0,4,110,33,0,144,0,0,0,0,0,0,0,0,0,0,0,0,752,96,23,5,885,12,6,19,902,59,9,962,270,31,3,0,303,0,0,0,308,7,0,313,164,25,4,0,196,0,0,0,198,10,0,207,11,0,0,0,20,0,0,0,20,0,0,18,6,0,0,0,8,0,0,0,8,0,0,8,457,57,11,0,522,3,0,3,532,14,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,4,453,57,11,0,523,7,0,7,533,14,0,550,46,11,0,0,56,0,0,0,56,17,0,70,0,0,0,0,0,0,0,0,0,0,6,6,497,68,9,0,586,6,0,6,592,29,6,626,347,37,3,0,386,6,0,6,394,12,0,399,206,30,8,0,242,0,4,4,243,9,0,251
1006,154,0,0,4,163,32,4,194,0,0,0,0,5,0,0,0,5,0,0,5,872,166,37,21,1093,5,0,6,1106,57,7,1162,214,32,8,5,255,3,0,3,263,9,0,272,228,44,9,0,278,0,0,0,278,13,0,290,12,4,0,0,18,0,0,0,18,3,0,20,3,0,0,0,3,0,0,0,3,0,0,3,456,79,21,0,557,3,0,3,558,27,0,588,0,0,0,0,4,0,0,0,3,0,0,0,4,4,0,0,7,3,0,3,10,3,0,14,7,3,0,0,13,3,0,3,14,3,0,19,460,84,21,6,569,7,0,7,574,31,0,604,74,10,5,3,91,4,0,4,95,23,3,120,0,0,0,0,0,0,0,0,0,0,0,0,537,90,22,10,656,9,0,9,667,50,3,724,265,40,7,3,317,3,0,6,325,10,0,328,237,48,3,0,290,0,0,4,291,18,0,314
1007,45,0,4,4,48,11,0,61,0,0,0,0,0,0,0,0,0,0,0,0,232,25,14,9,282,0,3,4,283,28,0,317,74,4,7,0,84,0,0,3,80,6,0,89,44,3,0,0,48,0,0,0,48,6,0,53,8,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,120,12,5,0,138,0,0,3,142,8,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,120,12,5,0,138,3,0,3,148,10,0,153,19,0,0,0,26,0,0,0,22,10,0,34,0,0,0,0,0,0,0,0,0,0,0,0,144,14,6,7,169,5,0,7,172,20,3,193,85,15,7,0,111,0,0,5,108,8,0,116,62,3,3,0,66,0,0,0,61,4,0,66
1008,18,0,0,3,18,3,0,24,0,0,0,0,0,0,0,0,0,0,0,3,120,48,5,0,176,3,4,4,180,20,0,197,25,0,3,0,34,0,0,0,34,6,0,33,31,18,0,0,49,0,0,0,54,12,0,61,0,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,62,19,6,0,84,0,0,0,84,7,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,5,0,0,0,5,0,0,5,62,24,6,0,90,0,0,0,94,7,0,103,4,0,0,0,11,0,0,0,10,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,71,26,8,0,102,0,0,3,103,16,0,118,41,8,0,0,43,0,0,0,43,0,0,43,25,12,0,0,44,0,0,0,44,3,0,50
1009,24,0,0,0,31,12,0,46,0,0,0,0,0,0,0,0,0,0,0,0,288,55,6,5,349,7,0,11,362,27,3,394,74,12,3,0,88,0,0,0,89,11,0,97,78,17,3,0,95,0,0,0,102,4,0,101,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,156,28,5,0,193,5,0,5,193,13,0,211,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,4,5,0,0,0,5,0,0,0,5,0,0,4,158,28,5,0,189,5,0,5,198,14,0,217,12,6,0,0,14,0,0,0,18,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0,171,32,8,0,210,10,0,10,216,24,0,244,97,25,4,0,124,0,0,0,124,10,0,137,81,15,6,0,101,5,0,5,101,3,0,110
