SUA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1000,593,387,5163,4603,976,7362,887,6695,653,27317,1659,2470,7318,5824,2454,3432,2037,5355,571,31119,8465,13654,14049,9350,7118,4591,5493,9153,1321,73192,14332,16150,12095,9068,9436,4311,6293,7963,1537,81175,18772,17036,11888,10868,12260,5543,7913,9816,1739,95835,18699,14573,10187,9813,11681,5499,8477,10686,1611,91230,10549,5147,2737,2059,3512,1693,2678,3140,769,32283,3462,566,274,113,436,223,319,531,424,6340,507,34,17,3,25,19,10,44,113,788,77030,70021,63729,51701,47895,32682,34105,53369,8752,439281
1001,58,44,558,519,151,1142,79,649,64,3265,189,396,1084,1030,363,565,264,516,72,4476,872,2388,1954,1590,955,688,748,911,167,10274,1357,2329,1356,1207,1096,552,637,830,167,9523,1356,1841,1027,1127,1393,647,678,803,146,9026,972,1269,807,862,1223,511,672,843,113,7269,307,396,203,213,333,161,217,256,27,2111,51,37,17,12,31,12,17,35,17,232,3,0,0,0,0,4,0,0,8,19,5164,8689,7005,6568,5543,4281,3318,4843,775,46191
1002,20,25,80,157,37,234,46,159,12,765,55,136,154,263,107,176,37,176,13,1122,240,591,344,366,233,146,91,253,26,2290,271,690,231,197,215,96,55,167,33,1955,317,603,166,207,255,108,50,137,31,1871,265,530,183,149,249,82,97,163,14,1746,106,182,45,49,62,35,20,46,10,556,30,20,6,4,11,4,0,10,15,92,0,0,0,0,3,0,0,0,0,11,1301,2781,1207,1381,1179,885,397,1111,147,10396
1003,26,19,181,260,32,502,44,334,28,1422,71,135,282,302,113,234,73,212,24,1445,303,828,628,477,304,263,112,336,45,3299,660,1169,627,507,454,284,125,301,66,4204,774,1222,540,604,595,303,188,339,71,4641,644,965,457,529,566,294,219,427,40,4149,293,308,137,100,188,100,84,119,18,1358,93,26,7,12,21,14,13,9,9,200,11,4,0,0,0,0,0,0,4,20,2883,4677,2854,2791,2284,1996,857,2083,316,20730
1004,7,0,62,67,14,160,3,85,9,418,19,22,94,82,34,75,18,68,5,419,101,163,220,148,111,95,52,106,24,1015,164,187,177,183,154,93,52,135,16,1155,205,197,222,204,196,132,76,151,32,1412,184,250,155,214,202,145,70,156,31,1408,61,83,42,52,71,52,37,50,13,466,12,14,3,0,4,4,0,4,0,45,0,0,0,0,0,0,0,0,0,3,759,926,980,945,779,762,316,752,131,6347
1005,10,28,151,258,56,410,41,297,12,1264,78,196,336,554,148,249,91,217,29,1905,332,882,669,650,389,300,217,365,63,3865,469,784,495,428,452,220,221,261,69,3408,499,719,419,478,488,174,263,335,65,3446,344,583,283,315,417,160,241,329,22,2693,103,152,71,81,107,63,82,88,14,756,20,16,9,4,11,5,11,10,10,78,0,0,0,0,0,0,0,0,7,8,1857,3365,2438,2769,2062,1583,1168,1893,287,17428
1006,21,20,213,221,40,334,37,259,22,1173,68,117,348,283,90,179,60,207,17,1373,315,651,724,420,296,257,188,290,38,3172,611,893,559,343,385,191,214,295,61,3552,757,1038,541,399,523,295,229,331,55,4182,614,850,452,298,487,270,249,302,51,3564,292,396,127,101,213,129,78,94,25,1463,69,85,27,11,36,28,6,14,19,288,6,8,0,6,8,0,0,0,5,23,2751,4056,2990,2082,2073,1686,1065,1787,294,18791
1007,3,5,68,65,8,189,15,109,13,480,23,77,134,130,53,65,43,74,10,607,85,349,264,294,165,103,167,114,28,1573,148,234,209,204,135,77,159,95,32,1291,175,223,197,232,154,77,134,118,30,1334,180,221,185,203,197,93,166,175,34,1446,63,64,50,47,39,26,49,47,7,395,3,8,0,0,10,4,0,3,5,36,5,0,0,0,0,0,0,0,0,5,677,1181,1115,1173,750,637,737,735,155,7172
1008,4,0,16,41,11,83,3,49,3,213,22,28,47,110,32,45,16,43,12,352,206,322,315,290,80,100,37,195,43,1574,273,370,154,133,98,87,13,83,31,1248,234,331,116,82,78,44,20,42,23,972,149,211,81,76,65,70,35,59,11,757,67,100,21,17,36,27,8,26,9,314,8,14,0,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,967,1376,748,753,401,455,125,499,136,5465
1009,11,9,99,138,10,120,22,103,3,511,11,31,120,115,37,44,16,47,4,418,70,161,177,118,76,48,38,91,6,791,144,273,211,163,150,79,46,83,12,1153,226,337,201,240,218,114,114,147,19,1616,183,296,206,216,214,155,121,172,22,1591,68,78,42,34,47,24,26,56,6,381,11,11,0,10,5,0,0,7,3,50,0,0,4,0,0,0,0,0,3,11,718,1192,1053,1026,757,578,382,708,95,6514
