SUA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1000,21522,12785,12759,13723,14936,16013,13243,7478,3228,115689,180797,102254,101435,109347,130732,156274,142106,74446,25000,1022386
1001,1737,1080,1048,977,941,868,671,431,184,7934,18893,11981,13092,12123,11653,11600,10394,5823,2228,97793
1002,514,802,373,247,220,241,171,165,120,2846,4272,4134,3251,2626,2521,2760,2253,1542,599,23967
1003,669,381,400,425,452,494,455,301,177,3753,7516,4293,4253,5234,5897,6499,6697,3961,1833,46190
1004,317,173,158,155,236,238,234,161,76,1740,2568,1479,1452,1552,2069,2748,3186,1797,664,17524
1005,597,554,647,553,460,330,231,155,79,3599,7123,5153,5163,4447,4470,4268,3631,2162,977,37396
1006,533,347,228,325,381,348,363,329,260,3113,7111,4084,3919,4355,5232,5395,5825,4162,1515,41600
1007,420,279,272,263,239,225,166,137,124,2120,2999,1874,2182,1883,2010,2570,2214,1272,590,17588
1008,173,130,231,207,165,144,109,43,27,1238,1489,961,2118,1711,1387,1375,1225,483,171,10914
1009,165,130,81,107,111,183,213,138,68,1198,2395,1479,1058,1443,2098,2996,3785,2429,811,18484
1010,5283,3252,3006,3151,3326,3147,2695,2017,1321,27193,61744,38285,37850,40975,43634,44328,40301,25537,10520,343180
1011,1242,729,774,835,767,725,616,480,313,6484,13140,7631,8340,8761,9115,9795,9620,5513,2277,74195
1012,1129,610,736,570,525,410,292,225,111,4617,8747,4726,6620,4981,4442,4373,3507,2274,909,40578
1013,247,134,141,153,185,224,280,250,119,1729,2526,1600,1493,1717,2149,3089,4185,2963,1355,21087
1014,501,303,439,349,353,240,202,112,56,2557,4491,2708,3394,2882,2907,3036,2721,1688,733,24565
1015,422,250,244,204,217,171,151,98,58,1820,3631,2158,2156,2003,2176,2406,2342,1614,777,19255
1016,426,226,314,259,217,212,155,109,80,2008,3974,2389,3312,2701,2467,2305,1694,1125,603,20569
1017,450,371,503,417,266,212,137,108,35,2502,2856,1905,1841,1709,1783,2033,1933,1139,460,15654
1018,565,430,359,329,314,296,214,130,114,2753,4952,3472,3541,3398,3609,3848,3261,1862,862,28816
1019,235,166,252,204,163,160,135,99,29,1448,1992,1266,1468,1276,1486,1748,1664,1100,388,12385
1020,246,139,111,127,169,113,105,63,9,1092,3147,1742,1573,1844,2020,1939,1724,863,166,15020
1021,417,259,216,211,195,219,210,173,80,1982,4743,3110,3079,2902,3191,3547,3521,2595,1138,27828
1022,261,118,155,136,131,113,99,71,40,1126,2680,1352,1786,1560,1469,1379,1167,822,353,12563
1023,300,176,248,210,195,133,80,48,18,1396,2697,1463,1860,1603,1528,1404,1026,517,179,12272
1024,284,222,166,180,237,311,341,317,191,2255,3817,2562,2069,2450,3381,4501,5085,3440,1104,28418
1025,7572,5454,5461,4961,4722,4220,3187,2181,1443,39200,93067,63590,69849,64445,62634,60368,52045,30001,12437,508437
1026,917,600,774,670,547,383,261,163,65,4381,7342,4553,5201,4520,4469,4643,4314,2581,1054,38678
1027,833,448,468,440,420,342,305,191,140,3579,9078,4924,5732,5281,4902,4500,4040,2424,1045,41920
1028,655,460,377,378,404,451,398,303,204,3623,8060,5404,4842,5337,6021,6462,6934,4966,2162,50193
1029,318,323,238,168,174,162,85,45,15,1536,3564,2436,2513,2061,2163,1905,1364,713,306,17018
1030,313,198,184,209,199,213,223,153,64,1758,3047,1776,1891,2061,2291,2885,3453,2043,656,20105
1031,64256,44642,59120,52085,43510,35533,24862,16924,12418,353358,889695,592607,766928,729672,615554,527399,393027,220855,94315,4830047
1032,1105,659,620,553,510,393,325,304,176,4652,9045,5452,6226,5175,4827,4816,4250,2893,1193,43874
1033,611,330,294,305,269,327,294,224,133,2783,4722,2788,2775,2593,2920,3624,3555,2458,1086,26519
1034,241,147,122,143,170,210,178,106,54,1375,2608,1378,1426,1719,1869,2596,3039,1741,644,17026
1035,1014,674,646,543,520,465,366,268,165,4655,11409,8015,8118,6850,6335,6286,5282,3211,1488,57003
1036,4223,3158,2777,2613,2712,2470,1880,1349,898,22078,54767,39592,39317,37753,38260,37926,31070,19040,7966,305691
