SUA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
1000,2623,418,596,55,3684,1309,126,242,32,1706,764,199,554,41,1557,704,166,1064,37,1971,4017,418,2059,107,6603,2767,621,3420,133,6950,17415,1559,3854,224,23055,10576,2311,5035,530,18447,11468,4180,4887,443,20982,12844,6469,3780,364,23458,6502,6184,2529,170,15381,7679,6673,1988,191,16528,13808,15119,3011,271,32203,8739,12105,1163,160,22171,6032,10161,703,75,16970,3306,6466,280,32,10086,8136,15187,805,67,24200,5666,10444,3185,190,19484,2765,1005,958,144,4867,127126,99792,40108,3274,270301
1001,119,15,57,0,193,61,11,13,8,90,43,13,57,6,116,27,6,115,5,153,217,23,234,11,488,170,39,448,25,676,1141,96,492,29,1756,803,161,590,59,1615,859,332,646,35,1873,1054,625,503,41,2226,638,640,342,30,1644,717,746,276,24,1763,1541,1807,418,54,3819,1004,1451,146,13,2613,615,1104,82,15,1813,289,757,26,6,1081,522,1399,70,8,2005,392,757,285,17,1450,162,69,83,8,327,10381,10055,4899,382,25718
1002,27,12,16,0,56,13,0,3,0,24,9,0,21,0,30,13,0,19,0,36,42,14,46,3,112,26,17,95,3,139,254,32,103,8,396,154,49,135,14,354,193,96,127,10,418,255,120,88,9,471,160,114,65,15,349,184,133,67,7,394,333,308,90,7,737,220,263,27,6,511,151,204,13,4,376,87,159,5,0,253,197,350,25,3,569,92,147,70,6,316,34,13,11,0,57,2445,2038,1028,88,5594
1003,75,12,19,0,107,57,3,13,0,64,24,4,19,0,49,26,6,18,4,57,146,9,77,7,240,93,13,139,0,246,693,43,180,11,926,517,79,272,22,892,566,168,291,24,1049,626,281,225,18,1152,342,282,173,5,804,378,301,139,14,830,754,707,197,18,1670,426,615,69,9,1113,285,524,40,10,861,165,309,15,0,496,409,790,56,9,1268,210,367,165,7,741,99,44,29,0,174,5884,4555,2135,160,12726
1004,43,7,15,0,67,25,0,3,0,32,14,3,14,0,33,8,0,24,0,36,87,5,44,0,138,63,14,79,0,148,419,24,80,11,527,256,44,109,3,415,276,87,113,12,484,327,136,87,5,560,158,93,51,0,298,151,98,41,3,291,271,224,60,3,562,146,152,25,3,320,105,108,10,0,220,34,67,5,0,104,105,118,10,0,235,105,121,64,3,291,53,9,21,0,86,2648,1297,850,54,4852
1005,50,3,19,0,72,24,0,8,0,33,19,8,21,0,41,22,0,38,0,62,78,10,60,3,156,42,12,131,0,194,370,40,159,14,577,244,63,239,15,556,331,126,238,17,714,395,190,186,24,793,227,204,143,13,582,235,233,113,11,595,521,560,203,24,1306,371,523,79,11,985,210,441,43,6,708,129,334,18,0,484,254,650,33,5,937,165,327,136,5,635,58,21,48,3,126,3755,3751,1910,152,9564
1006,89,16,22,6,133,59,4,6,0,67,27,4,15,0,47,25,0,25,0,54,130,15,54,3,201,86,11,67,0,167,498,30,119,7,664,416,63,152,16,651,456,134,180,10,781,574,222,166,20,983,254,195,145,12,603,381,269,112,4,765,659,648,165,14,1488,455,576,83,11,1118,334,502,64,7,911,157,314,22,0,500,570,1107,53,5,1734,188,365,128,4,684,81,22,21,3,128,5431,4494,1608,127,11666
1007,33,6,23,3,61,8,0,6,0,18,6,3,14,0,26,3,0,36,0,45,56,6,60,0,126,42,9,91,6,145,287,17,101,8,411,166,26,132,13,344,175,58,120,11,363,166,100,99,4,373,84,67,57,7,222,105,79,62,5,254,189,208,89,3,488,156,174,27,12,368,116,153,21,0,297,63,119,12,0,197,88,209,7,3,313,117,157,73,4,353,55,13,29,0,98,1935,1417,1063,89,4505
1008,19,6,8,0,29,4,0,3,0,6,4,6,4,0,15,4,0,11,0,13,24,4,18,0,53,14,9,37,0,60,70,8,29,0,107,45,19,40,4,111,67,25,38,7,135,124,44,27,4,197,58,44,33,3,145,71,54,21,0,153,159,113,33,5,306,83,109,12,0,210,69,76,6,0,145,39,55,0,0,103,155,198,15,4,372,64,76,38,3,176,9,9,3,0,22,1095,849,385,31,2359
1009,50,12,9,0,71,31,5,4,0,41,25,3,10,0,37,25,4,8,0,38,112,6,26,0,149,102,3,65,0,179,612,21,75,3,721,386,28,86,7,514,377,71,89,7,540,418,116,98,9,628,169,93,44,4,312,162,126,36,11,335,250,243,57,0,549,134,213,23,0,368,104,143,13,0,261,36,107,3,0,148,87,180,15,5,280,103,132,51,0,283,58,4,11,0,73,3245,1515,728,42,5531
