SUA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1000,154067,4008,1408,2624,768,162875,113271,1769,655,464,261,116422,28810,5985,3541,347,109,38796,3962,720,379,21,20,5101,1876,839,321,12,25,3078,20147,1243,884,331,193,22803,4574,381,270,553,168,5948,480,132,71,18,11,715,59848,9305,5479,1281,523,76441,10156,953,270,288,222,11890,6428,490,256,280,230,7687,343770,16526,8066,4944,2009,375313
1001,10451,804,67,33,14,11356,11983,470,30,14,13,12511,5574,2884,327,20,9,8815,1103,381,68,0,0,1554,132,102,20,0,0,258,1314,334,26,7,3,1685,351,41,4,19,6,423,44,27,7,0,0,82,8522,3774,455,46,19,12814,515,111,35,3,7,673,482,163,15,38,20,724,31941,5318,611,135,69,38073
1002,2654,130,14,12,0,2818,2293,69,12,0,6,2377,1324,648,271,7,10,2264,201,50,55,0,3,310,94,46,61,0,0,197,354,61,26,5,5,448,52,12,0,10,0,78,7,8,0,0,0,15,2033,829,416,21,15,3312,119,35,3,0,3,163,80,21,10,0,10,120,7185,1082,455,36,27,8785
1003,5950,1170,193,213,18,7538,4099,673,142,16,7,4935,1406,1032,349,14,5,2813,202,279,48,0,0,531,51,68,15,0,0,141,700,303,89,21,8,1123,88,16,6,84,24,221,19,10,0,0,0,33,2475,1716,512,121,39,4863,369,141,55,14,0,573,194,76,11,35,9,334,13086,3776,921,393,64,18244
1004,2750,258,182,56,7,3254,1514,83,58,0,0,1661,680,211,291,7,0,1191,91,46,55,0,0,192,44,21,21,0,0,85,307,41,67,0,0,422,32,3,11,25,0,77,13,4,0,0,0,19,1158,335,449,36,4,1989,64,52,26,3,3,144,82,20,10,4,4,124,5568,743,726,99,24,7162
1005,3999,296,92,16,6,4406,4193,180,36,0,0,4419,2025,779,418,12,8,3245,320,119,52,0,4,496,50,54,7,0,0,109,526,110,39,0,4,677,43,18,5,0,0,76,20,9,0,0,0,30,2988,1089,523,17,10,4633,114,28,34,0,0,177,131,34,15,0,0,181,11429,1626,704,34,25,13812
1006,6214,458,80,76,16,6842,5067,117,46,11,8,5245,1632,323,194,10,0,2167,160,39,27,0,0,228,165,68,39,0,0,266,478,51,23,6,3,556,57,14,7,15,3,100,10,10,0,0,0,23,2509,507,290,32,12,3335,193,152,20,0,0,366,154,29,13,0,3,201,14135,1266,442,123,36,15997
1007,3032,28,3,4,3,3071,2179,8,0,0,4,2195,655,57,67,0,0,779,82,26,13,0,0,116,34,12,20,0,0,72,521,25,17,0,6,567,151,10,20,0,4,186,4,3,3,0,0,22,1446,139,149,3,10,1742,113,0,18,0,5,140,134,5,15,3,0,159,6910,177,186,8,25,7308
1008,984,242,64,69,11,1372,687,217,53,3,0,960,308,295,83,5,12,698,21,13,16,0,0,53,29,29,22,0,0,83,262,145,56,17,5,488,52,13,8,54,6,125,6,3,3,0,0,9,673,495,187,74,19,1454,49,23,5,7,0,87,39,19,7,5,3,82,2435,997,318,160,42,3952
1009,3691,255,78,87,5,4118,1707,58,18,4,0,1785,636,147,111,16,3,916,0,10,27,0,0,32,8,5,19,0,0,38,217,32,16,8,3,271,40,8,0,20,6,75,6,8,0,0,0,15,905,203,180,48,17,1347,99,53,8,6,6,163,189,119,10,79,3,399,6591,689,287,213,31,7808
