SUA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1000,1731,8616,42163,146170,108718,23711,6549,6109,343770,105,1603,7097,3234,475,90,45,413,13052,9,319,1349,1427,230,51,18,67,3473,116,1920,8449,4655,701,136,61,479,16526,132,1396,3766,1017,156,35,31,238,6763,0,98,354,139,13,3,0,15,622,3,6,55,29,0,0,0,0,93,0,0,8,6,0,4,0,0,22,17,149,164,88,91,27,16,16,567,150,1647,4339,1282,265,68,42,268,8066,467,1493,1486,700,329,93,68,307,4944,89,354,459,433,261,91,79,236,2009,2558,14032,56897,153250,110267,24105,6805,7400,375313
1001,31,206,2989,15265,11417,1360,220,458,31941,16,608,3277,691,40,4,9,159,4804,0,127,219,133,16,6,0,6,519,13,736,3497,831,52,7,9,174,5318,6,132,307,40,0,0,0,11,499,4,8,64,0,0,0,0,0,69,0,0,22,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,11,7,147,392,44,3,0,0,14,611,9,21,25,24,4,0,0,38,135,0,3,9,18,20,0,0,18,69,68,1107,6914,16179,11502,1369,232,710,38073
1002,8,98,719,3296,2277,555,140,80,7185,4,139,568,170,14,5,0,25,919,0,31,81,43,10,0,0,3,163,4,167,642,214,21,3,0,31,1082,8,126,206,42,5,0,3,6,398,0,7,35,7,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,8,141,244,53,5,5,3,7,455,3,5,16,3,4,0,0,3,36,0,6,6,0,3,0,0,10,27,26,423,1627,3572,2318,569,143,120,8785
1003,38,205,1389,5496,4634,943,199,180,13086,3,106,1021,953,99,10,3,51,2245,3,113,567,717,90,9,7,22,1530,8,226,1592,1671,189,19,4,67,3776,4,77,379,147,12,3,0,12,629,0,4,102,46,0,0,0,3,156,0,10,25,37,0,0,0,0,67,0,0,12,3,0,0,0,0,19,3,19,7,4,3,0,0,0,47,5,108,519,246,14,6,3,12,921,18,103,177,51,6,0,0,40,393,6,30,10,11,8,0,0,8,64,72,675,3695,7469,4845,971,211,313,18244
1004,7,63,511,2523,1908,393,89,78,5568,0,15,173,170,7,3,0,12,392,0,26,133,155,25,3,0,13,355,0,46,305,328,37,4,0,27,743,0,71,370,193,13,9,0,11,668,0,0,21,3,0,0,0,0,26,0,0,19,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,14,0,71,411,205,13,9,0,11,726,7,34,38,9,3,0,0,5,99,0,4,10,3,3,0,0,4,24,21,209,1276,3068,1959,406,95,125,7162
1005,12,70,773,4543,4781,915,204,126,11429,0,135,661,370,52,3,3,24,1261,6,93,97,126,34,0,0,13,367,3,228,750,497,89,5,3,44,1626,20,142,417,72,10,0,4,20,677,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0,0,5,19,20,149,421,70,9,0,4,17,704,0,7,8,4,0,4,0,3,34,0,4,4,7,4,0,6,5,25,35,462,1962,5129,4888,928,214,196,13812
1006,24,181,1031,5291,5814,1303,327,158,14135,3,103,509,254,28,0,6,25,923,0,6,112,200,21,0,0,0,336,3,109,616,455,46,3,0,27,1266,5,92,208,48,10,5,0,12,374,0,3,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,7,12,6,3,0,47,5,106,227,59,24,8,4,17,442,8,36,50,13,6,5,0,0,123,0,6,6,5,8,0,0,3,36,40,438,1931,5830,5897,1322,336,205,15997
1007,16,135,1277,3918,1192,203,41,128,6910,0,50,67,17,8,0,0,8,158,0,3,6,10,0,0,0,0,17,0,58,77,25,8,0,0,8,177,0,89,72,4,0,0,0,9,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,72,4,0,0,0,9,186,4,0,0,0,0,0,0,3,8,0,4,3,5,0,0,3,0,25,16,297,1438,3956,1206,206,45,150,7308
1008,31,130,245,981,794,177,51,38,2435,0,28,147,148,12,0,0,10,342,5,45,173,376,45,7,0,17,658,5,68,320,522,61,7,0,22,997,3,82,83,66,3,0,0,10,249,0,3,6,18,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,0,0,5,0,0,34,9,100,96,88,6,5,0,11,318,31,67,41,13,3,0,0,6,160,3,10,10,5,3,5,3,8,42,73,371,711,1602,865,185,53,83,3952
1009,13,103,1026,2796,2051,359,72,166,6591,0,22,285,148,11,0,0,113,585,0,7,58,28,10,0,0,0,105,0,30,341,179,22,3,0,121,689,0,55,163,39,5,0,0,10,261,0,5,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,11,0,54,167,45,5,0,0,10,287,6,55,62,8,6,0,0,77,213,0,3,5,9,4,0,0,3,31,24,247,1600,3040,2089,361,71,376,7808
