SUA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
1000,18,261,5,265,..,893,183,1071,11,1083,..,158,14,174,3,178,..,514,185,699,5,702,..,7500,856,8353,190,8548,..,33748,4172,37916,586,38503,..,2407,181,2593,85218,87813,896076,36154,4352,40506,85809,1022386
1001,4,66,0,65,..,111,17,123,0,123,..,8,3,6,0,6,..,178,101,281,3,282,..,1219,326,1541,35,1580,..,6412,1252,7660,102,7769,..,308,59,371,4867,5240,84788,6718,1312,8033,4972,97793
1002,0,23,0,25,..,23,0,31,0,29,..,7,0,12,0,12,..,74,18,91,0,91,..,626,258,884,9,892,..,2384,389,2771,29,2802,..,105,31,139,2199,2341,18828,2491,421,2913,2231,23967
1003,0,6,0,6,..,116,19,130,0,130,..,4,0,4,5,7,..,34,13,43,0,43,..,377,43,425,14,437,..,1972,179,2150,38,2189,..,113,8,118,2429,2548,41457,2085,183,2268,2461,46190
1004,0,0,0,0,..,12,3,23,0,23,..,4,0,4,0,4,..,18,4,24,0,27,..,156,21,173,0,179,..,806,105,913,15,928,..,47,6,50,1184,1235,15359,851,109,966,1198,17524
1005,6,63,0,65,..,37,25,68,0,68,..,0,0,5,0,5,..,65,15,73,0,73,..,313,37,349,5,358,..,1988,235,2219,35,2255,..,67,4,73,2397,2472,32668,2059,238,2293,2431,37396
1006,3,16,0,16,..,89,18,107,0,107,..,21,3,27,0,27,..,35,9,39,0,39,..,345,42,389,10,395,..,2882,274,3153,37,3195,..,106,14,122,1893,2009,36393,2987,290,3276,1931,41600
1007,4,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,12,0,12,0,12,..,118,15,133,0,130,..,533,60,593,5,596,..,51,0,52,1460,1513,15480,585,65,647,1464,17588
1008,0,0,0,0,..,32,3,34,0,34,..,3,0,3,0,5,..,11,3,14,0,14,..,200,7,206,4,208,..,1409,82,1490,11,1502,..,41,4,40,899,935,8469,1449,83,1533,907,10914
1009,0,0,0,0,..,21,0,20,0,20,..,11,0,11,0,11,..,3,3,5,0,5,..,109,9,120,0,120,..,370,38,404,0,406,..,36,4,39,715,753,17330,408,40,447,715,18484
1010,10,195,6,196,..,622,139,764,5,765,..,147,14,164,0,164,..,381,95,477,3,484,..,3649,427,4073,131,4205,..,21382,2833,24215,320,24535,..,1078,117,1194,16602,17795,300847,22462,2952,25405,16922,343180
1011,0,21,0,21,..,89,16,108,0,108,..,9,0,9,0,9,..,65,18,84,3,87,..,1566,693,2254,55,2311,..,5494,1429,6926,107,7034,..,266,43,305,4058,4359,62800,5754,1472,7228,4160,74195
1012,8,74,4,78,..,33,11,44,0,44,..,0,0,0,0,0,..,43,14,55,0,56,..,526,45,573,18,594,..,3449,354,3809,52,3859,..,150,15,168,3247,3413,33309,3603,371,3970,3304,40578
1013,0,0,0,0,..,25,6,33,0,33,..,0,0,0,0,0,..,22,0,26,0,28,..,104,8,111,5,116,..,672,77,750,14,765,..,100,20,119,1168,1289,19033,774,99,874,1180,21087
1014,3,15,0,15,..,34,12,43,0,40,..,12,0,13,0,13,..,23,4,23,0,27,..,220,41,255,4,264,..,1396,234,1623,29,1648,..,86,17,103,1777,1879,21034,1483,242,1728,1809,24565
1015,0,3,0,3,..,11,3,14,0,13,..,0,0,0,0,0,..,12,4,18,0,23,..,145,13,159,0,159,..,523,61,588,5,591,..,60,10,72,1165,1243,17425,582,72,658,1173,19255
1016,0,39,0,37,..,19,9,24,0,24,..,52,48,94,0,98,..,12,0,9,0,9,..,662,116,782,18,798,..,4376,1182,5559,63,5621,..,92,23,111,1307,1418,13526,4468,1199,5673,1374,20569
1017,0,0,0,0,..,11,3,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,142,0,144,13,153,..,417,34,445,12,461,..,53,6,57,1925,1978,13208,468,34,504,1936,15654
1018,0,6,0,6,..,35,12,43,0,43,..,5,0,5,0,5,..,48,16,68,3,64,..,305,42,346,6,355,..,1473,162,1632,23,1653,..,76,6,82,1800,1882,25277,1552,165,1715,1823,28816
1019,0,11,0,7,..,19,8,33,0,33,..,5,0,5,0,5,..,19,4,24,0,24,..,107,5,104,3,113,..,524,81,604,5,605,..,36,7,44,1026,1073,10707,561,83,647,1037,12385
1020,0,3,0,3,..,14,3,18,0,18,..,0,0,0,0,0,..,12,0,16,0,16,..,105,24,131,6,132,..,428,65,496,6,506,..,32,6,35,576,613,13908,465,66,529,584,15020
1021,0,12,0,12,..,36,20,53,0,53,..,3,0,3,0,3,..,10,0,11,0,11,..,286,38,326,5,335,..,1133,128,1264,12,1270,..,64,14,77,1085,1163,25395,1192,145,1340,1092,27828
1022,0,4,0,4,..,17,0,23,0,23,..,0,0,0,0,0,..,14,4,16,0,16,..,79,23,98,3,106,..,465,60,528,8,541,..,48,0,47,674,721,11305,509,64,580,681,12563
1023,5,15,0,18,..,28,4,33,0,33,..,0,0,0,0,0,..,6,0,6,0,6,..,98,11,105,6,109,..,538,48,586,3,596,..,33,0,35,979,1010,10665,572,51,622,986,12272
1024,0,3,0,3,..,56,21,77,0,77,..,17,3,24,0,24,..,23,13,35,0,35,..,187,26,208,0,207,..,1306,140,1445,9,1458,..,87,7,93,1402,1492,25466,1393,147,1543,1411,28418
1025,15,448,3,458,..,704,190,896,0,898,..,118,19,139,0,137,..,813,294,1107,19,1120,..,5086,818,5907,182,6079,..,29793,4372,34163,452,34612,..,1460,149,1608,21829,23431,450387,31255,4516,35774,22280,508437
1026,0,31,0,31,..,71,20,93,0,93,..,11,0,11,0,11,..,39,10,46,0,46,..,340,62,399,12,414,..,2058,284,2344,31,2370,..,128,12,140,3218,3359,32948,2187,295,2479,3249,38678
1027,3,53,0,53,..,44,31,72,0,72,..,21,4,26,0,26,..,40,16,55,0,56,..,463,64,525,20,549,..,2690,360,3050,49,3094,..,111,22,135,2177,2308,36513,2804,376,3180,2224,41920
1028,12,49,3,51,..,72,11,84,0,84,..,21,6,31,0,31,..,69,17,82,0,82,..,440,57,497,19,508,..,2379,253,2635,31,2664,..,135,7,145,2157,2304,45232,2518,263,2778,2185,50193
1029,0,3,0,3,..,36,11,42,0,43,..,0,0,0,0,0,..,31,11,45,0,45,..,104,17,114,0,114,..,605,95,701,5,705,..,47,0,53,894,943,15368,655,97,750,897,17018
1030,0,4,0,8,..,9,4,11,0,11,..,3,3,9,0,9,..,9,5,11,0,11,..,210,18,226,9,230,..,953,120,1073,22,1100,..,65,3,67,1104,1173,17831,1018,128,1144,1130,20105
1031,2483,36165,383,36549,..,16913,5609,22515,159,22674,..,17366,4179,21543,144,21689,..,75246,36595,111845,764,112602,..,166898,33808,200708,3968,204669,..,1585816,326835,1912648,17082,1929732,..,24609,6150,30756,226866,257620,2642690,1610419,332981,1943407,243943,4830047
1032,0,22,0,22,..,36,11,53,0,56,..,4,0,4,0,4,..,201,145,346,0,344,..,518,79,601,21,627,..,2628,576,3206,58,3266,..,150,13,164,3098,3264,37339,2781,595,3369,3161,43874
