SUA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,14772,15575,37115,42017,49974,45462,13486,2105,224,220738,10734,3935,9787,9218,11467,27511,50215,31184,12371,166430,2262,1908,4483,4803,5087,5532,5043,3794,2127,35039,27767,21421,51383,56041,66528,78512,68746,37089,14721,422206,8048,18299,45270,50961,62264,51314,14367,2467,236,253222,16433,10354,21315,24908,27931,33083,15186,3064,369,152645,1887,1603,4854,3725,3911,5206,1958,353,61,23561,949,863,1763,1583,1728,1622,773,460,116,9855,27317,31119,73192,81175,95835,91230,32283,6340,788,439281,1047,1481,2154,1794,2124,2117,309,7,0,11029,1759,901,1191,1023,1169,1601,486,46,11,8190,2802,2379,3350,2815,3290,3721,798,54,12,19218,30120,33504,76544,83987,99126,94945,33083,6399,796,458497,22538,7242,15675,15518,20801,49448,98291,60797,20718,311026,4732,4123,9216,9841,10798,11878,10734,7260,3481,72070,57384,44872,101435,109347,130732,156274,142106,74446,25000,841594
1001,1848,2299,5196,4943,4784,3771,943,73,9,23862,930,478,1103,1061,1019,2083,4233,2928,1265,15095,144,174,355,310,241,243,276,249,132,2118,2921,2941,6650,6309,6047,6097,5449,3258,1401,41079,896,2561,6603,6219,6088,4288,811,44,3,27514,2093,1669,2937,2851,2538,2513,1126,158,6,15895,192,158,536,326,297,385,148,13,3,2062,73,88,204,127,101,87,24,16,0,720,3265,4476,10274,9523,9026,7269,2111,232,19,46191,126,208,266,229,199,169,19,0,0,1218,303,142,157,117,95,130,46,3,0,992,424,347,424,347,292,302,69,3,6,2207,3685,4823,10702,9868,9315,7566,2177,236,21,48391,2008,802,1639,1601,1785,3525,7701,5175,1997,26238,313,345,751,657,552,509,524,412,210,4270,6009,5973,13092,12123,11653,11600,10394,5823,2228,78903
1002,473,623,1196,1016,1032,907,250,32,3,5540,446,276,336,238,246,449,864,732,302,3881,197,182,151,100,81,78,79,95,71,1034,1118,1092,1687,1350,1356,1432,1188,859,378,10459,164,472,1384,1290,1314,1055,211,17,3,5908,521,565,750,569,480,575,302,58,6,3822,58,64,114,60,64,97,39,9,0,507,18,23,41,28,17,22,8,5,0,161,765,1122,2290,1955,1871,1746,556,92,11,10396,29,55,94,54,45,38,3,0,0,311,95,76,50,35,25,18,12,0,0,317,124,132,143,85,72,55,11,0,0,631,880,1255,2434,2037,1947,1799,571,92,11,11030,805,502,512,409,422,795,1549,1287,483,6772,335,350,310,183,152,158,133,160,109,1903,2028,2111,3251,2626,2521,2760,2253,1542,599,19697
1003,774,734,1760,2148,2489,2195,599,66,6,10763,331,124,361,438,499,1074,2745,1923,963,8461,42,47,152,132,143,148,172,148,181,1161,1147,902,2266,2724,3124,3419,3516,2135,1146,20383,260,717,1781,2392,2810,2136,436,45,0,10575,1050,632,1225,1533,1579,1733,815,133,14,8706,91,64,222,214,186,225,79,9,5,1095,28,35,62,69,66,56,18,10,3,352,1422,1445,3299,4204,4641,4149,1358,200,20,20730,27,52,70,50,71,57,8,0,0,339,107,34,53,40,71,72,20,3,0,395,138,82,128,94,134,129,28,3,0,738,1559,1529,3427,4298,4776,4274,1386,199,20,21471,739,241,550,651,842,1925,4995,3511,1560,15017,112,106,284,286,279,301,319,250,255,2196,2416,1877,4253,5234,5897,6499,6697,3961,1833,38674
1004,231,213,511,625,757,780,208,16,0,3332,138,69,172,127,224,634,1322,852,370,3914,27,20,61,60,64,80,82,80,36,519,396,307,752,812,1041,1492,1615,942,404,7762,87,205,595,657,833,658,137,14,0,3187,281,192,341,406,464,626,291,31,0,2630,35,19,51,60,78,97,33,4,0,389,12,10,31,33,39,23,3,4,0,144,418,419,1015,1155,1412,1408,466,45,3,6347,19,23,40,29,51,29,7,0,0,191,26,16,21,18,16,36,11,0,0,137,48,39,59,44,75,64,12,0,0,329,462,460,1077,1198,1485,1472,479,45,3,6679,315,124,255,243,436,1113,2540,1612,612,7243,64,62,121,119,156,162,165,137,52,1032,837,641,1452,1552,2069,2748,3186,1797,664,14958
1005,716,1020,1962,1763,1819,1389,340,23,4,9036,436,160,432,312,370,733,1452,1055,564,5508,48,66,117,100,114,95,86,83,72,778,1199,1248,2510,2175,2301,2210,1879,1156,641,15324,291,1000,2536,2365,2468,1662,303,15,0,10630,879,774,1058,887,847,845,396,54,9,5751,80,89,204,111,100,159,58,7,4,808,22,43,66,38,24,27,4,5,0,236,1264,1905,3865,3408,3446,2693,756,78,8,17428,50,85,100,69,70,51,6,0,0,427,104,64,59,44,33,37,13,4,0,356,151,148,156,111,108,88,12,4,0,782,1422,2048,4024,3521,3550,2780,768,88,8,18202,989,439,899,711,709,1295,2693,1926,865,10526,112,146,239,227,211,191,166,147,102,1546,2520,2631,5163,4447,4470,4268,3631,2162,977,30275
1006,614,691,1581,1782,2190,1797,682,103,9,9449,495,122,333,369,461,957,2409,2012,705,7859,44,52,79,91,111,107,130,150,170,942,1151,865,1993,2237,2769,2857,3228,2271,881,18242,300,708,1953,2207,2677,1993,539,70,3,10456,728,557,941,1135,1290,1320,806,190,11,6981,120,74,223,147,169,216,89,15,3,1064,30,27,52,54,50,45,20,9,0,294,1173,1373,3172,3552,4182,3564,1463,288,23,18791,27,28,64,49,63,61,10,0,0,309,75,29,40,45,45,33,15,7,0,290,108,59,106,92,107,97,24,7,0,601,1284,1430,3280,3646,4295,3660,1484,297,26,19395,960,224,494,508,716,1531,4084,3596,1225,13335,79,109,146,201,230,203,250,272,268,1762,2322,1763,3919,4355,5232,5395,5825,4162,1515,34488
1007,273,295,820,670,704,762,169,17,0,3720,146,91,212,202,221,489,874,626,304,3161,39,35,95,84,74,74,63,97,84,639,452,424,1128,962,993,1320,1112,735,388,7516,138,373,1017,857,948,883,191,8,0,4422,303,191,419,338,312,438,161,17,3,2178,24,24,113,60,57,91,37,0,0,407,14,22,30,33,21,37,11,4,0,165,480,607,1573,1291,1334,1446,395,36,5,7172,28,27,51,49,55,48,4,0,0,265,28,18,20,20,19,32,15,0,0,156,59,49,70,74,74,79,14,0,0,419,535,659,1644,1364,1411,1523,408,36,5,7586,336,159,358,343,437,901,1668,1102,470,5778,101,85,181,176,163,136,134,137,115,1222,971,896,2182,1883,2010,2570,2214,1272,590,14592
1008,118,246,881,653,497,396,127,11,0,2940,64,42,136,141,146,250,442,214,95,1528,17,42,114,79,57,55,36,22,24,446,199,329,1134,870,695,705,604,241,121,4904,16,93,598,578,483,328,79,6,0,2193,157,231,812,571,430,380,205,25,0,2811,31,23,102,61,42,44,22,3,0,328,5,7,62,35,21,9,3,0,0,139,213,352,1574,1248,972,757,314,31,0,5465,0,18,62,35,31,22,0,0,0,164,18,22,30,25,22,11,5,0,0,142,19,39,92,57,57,36,5,0,0,300,231,397,1672,1303,1026,797,317,31,0,5767,148,80,227,244,235,476,830,412,144,2802,34,70,221,165,120,99,75,35,30,854,413,544,2118,1711,1387,1375,1225,483,171,9431
1009,279,191,421,645,870,877,179,22,5,3487,125,53,100,122,197,701,1655,1139,423,4517,18,11,21,27,20,53,74,66,36,322,418,254,539,793,1088,1630,1910,1229,462,8322,146,229,452,677,996,761,118,4,0,3387,328,160,272,405,529,708,223,32,6,2663,31,16,51,55,62,102,35,0,0,349,3,10,15,10,30,25,4,4,3,117,511,418,791,1153,1616,1591,381,50,11,6514,9,26,32,25,35,41,6,0,0,178,49,6,16,12,28,43,11,0,0,175,60,30,55,40,63,85,20,0,4,344,569,449,844,1195,1676,1674,400,50,10,6858,302,97,165,187,367,1209,3230,2263,738,8558,39,20,50,62,55,112,152,112,68,671,905,574,1058,1443,2098,2996,3785,2429,811,16093
