SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1000,10097,9380,19469,28196,26118,54317,8587,8245,16836,3942,3892,7834,40788,38299,79081,19152,18387,37543,6696,7167,13859,4672,4912,9582,30548,30483,61036,1023,1157,2176,663,1468,2127,4382,2896,7277,3385,6888,10271,89,72,149,9535,12474,22002,2101,3938,6038,869,2120,2994,568,1233,1800,2150,5931,8081,35,58,98,5720,13288,19010,15271,25779,41047,717,723,1443,996,2123,3121,46,46,89,1755,2898,4653,48118,42648,90772,146582,149485,296063
1001,1142,1126,2268,2471,2442,4917,1119,1064,2183,626,612,1243,4224,4120,8338,1709,1771,3483,828,776,1606,534,602,1139,3081,3156,6232,298,277,577,230,339,566,538,338,882,475,829,1305,9,10,18,1553,1790,3345,256,647,898,168,345,512,81,154,233,342,678,1027,0,0,5,852,1828,2677,2407,3617,6030,173,115,291,204,317,527,3,3,10,380,447,829,2669,2594,5262,13907,15055,28966
1002,258,221,481,625,603,1227,123,122,244,122,171,291,871,892,1767,453,459,914,161,176,342,180,268,450,794,910,1706,52,38,87,45,76,117,92,64,153,139,208,347,0,0,4,320,385,713,351,590,943,215,253,469,76,92,168,173,271,444,0,0,0,819,1207,2027,1140,1599,2744,39,35,70,20,53,77,0,0,0,60,90,148,1053,1235,2289,4187,4945,9129
1003,456,401,854,1043,930,1972,498,438,935,260,274,539,1806,1643,3446,730,624,1353,479,477,960,225,212,439,1431,1319,2755,65,60,124,50,85,136,185,107,296,198,314,508,0,4,9,489,576,1067,107,207,308,82,165,251,54,92,147,152,328,473,0,5,6,388,794,1183,882,1366,2251,36,23,56,70,134,202,3,0,8,108,154,260,1254,1328,2584,5938,6215,12153
1004,124,119,246,387,369,758,135,152,286,45,37,81,566,561,1125,280,286,565,104,118,227,54,64,119,441,466,909,12,9,25,11,25,43,64,55,117,67,115,180,0,3,7,159,205,368,21,39,58,12,46,65,9,6,24,20,89,110,3,0,3,69,178,251,232,391,619,10,7,18,19,43,58,0,0,0,31,47,77,643,606,1250,2033,2190,4222
1005,443,408,849,1022,882,1908,539,536,1075,87,97,183,1645,1519,3166,834,689,1525,270,452,727,272,226,495,1377,1369,2751,42,62,108,27,86,113,193,150,344,171,312,486,0,3,4,442,613,1055,252,419,673,74,117,195,60,78,144,166,291,458,0,6,6,557,916,1468,1002,1535,2532,27,21,46,50,85,138,3,3,10,78,112,192,1646,915,2565,6197,5857,12054
1006,416,421,838,997,873,1866,291,282,571,374,395,767,1660,1551,3211,585,478,1060,349,376,729,356,564,922,1293,1419,2712,36,68,103,38,65,101,207,106,318,158,319,476,5,5,9,446,567,1010,166,265,424,58,122,175,41,54,99,123,233,356,0,3,3,392,668,1059,834,1236,2072,38,46,83,46,101,145,4,0,5,87,150,240,972,1077,2050,5262,5855,11115
1007,168,156,324,557,538,1092,74,75,154,5,7,11,637,626,1264,432,454,884,0,0,0,4,8,14,444,461,900,25,15,38,16,34,53,66,56,125,72,144,223,0,0,5,191,252,435,11,29,44,18,48,67,10,18,21,53,123,180,0,0,0,93,220,314,280,474,755,11,15,23,20,39,55,0,0,5,30,54,82,779,811,1591,2337,2581,4914
1008,73,68,144,213,208,420,69,68,137,51,54,106,330,326,662,137,131,273,53,51,104,47,61,102,237,241,474,9,10,21,37,56,99,32,27,56,89,127,216,0,0,0,166,221,393,26,46,70,28,66,101,12,12,25,34,102,139,0,0,0,104,227,331,278,453,727,11,16,31,42,72,110,0,0,0,51,87,135,477,491,965,1447,1667,3112
1009,134,118,254,436,471,911,113,91,205,34,33,69,587,601,1184,279,286,572,174,143,320,37,41,77,493,474,970,20,14,33,19,30,50,84,51,132,63,106,168,3,0,3,185,204,387,43,73,112,15,50,66,9,18,21,36,82,115,0,0,0,104,214,314,286,418,703,12,8,16,19,37,59,0,0,0,29,49,79,421,392,810,1948,2042,3993
1010,4224,3810,8033,10250,9418,19669,2298,2240,4541,1709,1559,3271,14288,13248,27532,7272,7010,14280,1964,1911,3868,1729,1786,3512,10979,10713,21692,423,567,987,338,650,985,1767,990,2759,1412,2571,3984,26,21,46,3962,4795,8765,1828,2667,4496,657,1182,1838,405,622,1028,1024,2250,3276,11,22,30,3925,6749,10673,7896,11555,19458,255,314,567,491,808,1307,13,10,17,758,1133,1886,8815,9811,18624,46968,50270,97235
1011,779,757,1537,1987,1887,3875,648,695,1344,415,384,798,3053,2976,6029,1434,1452,2881,458,448,902,427,438,863,2312,2340,4655,105,128,228,116,189,301,321,220,541,410,632,1043,3,4,12,947,1171,2122,184,375,561,121,230,353,49,107,159,230,498,730,0,0,0,586,1212,1800,1547,2391,3937,60,72,130,91,187,279,9,4,13,157,263,424,2199,2342,4543,10054,11071,21122
1012,531,546,1077,1084,1049,2134,467,531,1002,238,213,452,1794,1801,3597,676,657,1335,344,350,693,192,215,403,1212,1224,2435,39,75,113,53,78,126,198,153,352,186,341,525,0,0,4,473,645,1114,61,132,196,74,120,188,25,57,84,124,321,446,0,0,3,285,634,920,754,1285,2037,54,49,102,81,92,180,0,4,4,138,143,285,1701,1701,3400,6137,6697,12830
1013,159,141,300,453,466,922,101,102,197,16,17,40,572,584,1157,418,396,809,40,36,79,20,31,52,480,456,943,17,28,48,16,29,46,70,52,124,42,138,181,4,0,6,152,255,405,23,46,66,12,29,35,7,15,25,26,60,87,0,0,0,69,153,219,219,406,628,4,6,17,12,31,49,0,0,0,22,40,63,685,886,1575,2134,2522,4662
1014,274,246,515,750,728,1484,219,228,446,19,25,44,991,977,1969,539,502,1045,144,136,281,23,12,36,699,658,1359,44,34,73,25,28,54,118,98,215,120,198,323,0,3,6,309,361,673,75,92,165,59,78,139,6,36,46,79,172,252,0,0,0,223,380,598,530,745,1276,26,29,61,36,60,101,0,0,0,69,95,157,1161,684,1848,3728,3406,7129
1015,195,200,400,657,580,1235,102,101,202,79,54,129,830,739,1568,472,422,899,108,93,206,55,41,93,639,560,1194,23,26,48,19,56,75,63,52,115,76,135,213,0,0,0,183,270,449,22,49,71,15,51,63,17,30,46,46,135,179,0,0,0,102,261,361,285,531,817,17,10,26,28,40,67,0,0,0,40,55,96,662,675,1336,2652,2761,5414
1016,236,219,450,653,590,1243,175,212,383,25,28,50,863,825,1686,360,340,703,249,277,529,16,17,38,633,632,1266,18,19,43,20,37,57,107,59,162,83,157,240,3,0,5,232,275,505,58,68,130,22,53,76,25,27,53,54,94,148,0,0,0,156,241,405,387,521,908,33,31,57,26,55,83,3,0,4,59,85,147,753,729,1486,2932,3018,5947
1017,149,154,303,416,436,847,98,108,202,85,89,175,602,623,1227,281,297,572,112,124,231,72,62,133,462,480,946,12,41,51,9,23,34,61,51,108,50,115,166,0,0,5,140,227,361,15,31,49,10,33,48,3,13,21,20,76,92,0,0,0,53,149,205,189,379,568,7,11,18,7,30,41,5,0,5,16,39,60,1395,734,2130,2819,2414,5236
1018,308,260,567,684,650,1335,224,242,471,194,168,356,1101,1061,2161,516,498,1009,288,264,554,108,82,191,910,843,1757,51,71,118,52,91,139,120,85,202,141,233,371,4,0,5,369,478,843,114,181,292,100,134,242,43,70,111,155,283,435,0,0,0,415,674,1084,780,1152,1931,24,30,58,50,72,119,0,0,0,79,98,179,937,978,1916,4113,4393,8503
1019,104,96,204,344,327,670,91,84,175,18,25,37,450,433,883,231,209,440,83,73,152,32,28,62,350,313,655,14,18,38,10,23,33,54,39,84,53,99,147,0,0,0,131,178,306,27,37,62,14,24,39,7,14,20,29,65,91,0,0,0,78,133,217,208,319,525,8,6,14,11,18,27,0,0,4,16,26,42,731,382,1114,1854,1570,3427
1020,202,174,369,610,525,1138,47,64,115,104,98,198,761,693,1453,354,344,696,115,104,220,89,84,170,557,529,1082,23,30,57,12,30,41,83,45,131,49,132,185,0,0,0,171,242,411,66,100,163,15,43,60,7,27,30,48,118,160,0,0,0,137,285,420,306,524,831,14,14,28,16,32,47,0,0,0,25,47,76,366,305,673,2221,2269,4485
