SUA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1000,396279,396268,792551,19489,20944,40434,31195,32403,63601,2319,2432,4746,2970,3165,6130,314,310,622,410,405,816,168,180,346,228,218,445,1557,1599,3153,8,4,8,39167,40711,79876,1716,1615,3331,1121,988,2107,61489,64258,125750,49727,44401,94129,507498,504929,1012429
1001,36658,39345,76008,1616,1699,3320,2427,2650,5077,2388,2578,4961,368,311,673,55,40,95,48,66,112,34,31,63,50,39,87,62,50,113,0,0,0,5428,5754,11182,193,195,389,125,105,233,7361,7764,15126,2754,2697,5450,46774,49802,96584
1002,7967,8780,16744,1197,1264,2461,681,853,1536,36,47,82,122,132,246,13,10,27,20,11,27,8,5,12,10,11,21,11,14,24,0,0,0,896,1086,1980,63,65,126,20,33,50,2174,2443,4615,1088,1262,2353,11223,12480,23706
1003,17592,18785,36378,886,1007,1892,1654,1914,3573,137,138,275,208,247,462,11,20,29,14,13,18,20,15,38,12,8,18,10,14,17,3,0,3,2072,2364,4433,119,113,238,77,58,135,3159,3538,6694,1260,1405,2668,22014,23723,45741
1004,6522,6986,13510,312,346,661,657,734,1394,26,36,62,27,39,68,11,5,14,8,9,12,0,6,7,0,0,0,127,115,239,3,0,3,856,944,1804,28,28,60,24,14,41,1230,1335,2563,655,653,1315,8410,8977,17386
1005,13708,14263,27975,835,880,1719,1952,2228,4182,32,36,61,55,48,102,13,8,16,4,0,13,6,8,18,12,14,23,14,8,18,0,0,0,2078,2345,4427,61,58,120,53,39,94,3036,3333,6361,1648,978,2631,18396,18569,36964
1006,15600,17081,32684,765,877,1644,1980,2170,4152,32,34,73,44,52,90,8,5,9,15,10,31,4,4,11,0,0,0,30,41,71,0,0,0,2117,2327,4448,87,109,193,39,36,79,3012,3347,6357,1018,1139,2157,19632,21565,41195
1007,6690,7005,13696,537,633,1168,192,199,396,40,44,84,29,27,57,80,67,140,7,11,19,10,12,17,14,8,16,9,11,15,0,0,0,373,374,751,19,33,51,25,26,52,954,1060,2020,839,851,1693,8480,8922,17399
1008,3659,3809,7469,398,449,848,380,489,867,90,108,199,78,103,180,17,9,21,9,14,22,0,9,9,5,3,4,3,4,10,0,0,0,573,738,1314,70,80,150,47,43,94,1087,1311,2401,469,484,947,5217,5602,10821
1009,7372,7818,15190,401,421,819,559,641,1207,24,21,43,41,49,87,0,5,5,8,3,15,0,3,3,5,6,8,7,10,16,0,0,0,643,738,1374,31,35,67,26,15,44,1103,1204,2306,448,426,874,8925,9448,18370
