LGA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA10050,0,0,0,0,0,0,0,7,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,25,56,74,0,3,0,0,0,169,0,0,0,6,7,11,27,32,13,101,3,13,12,72,44,61,59,19,4,288,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,26,0,0,0,0,7,4,0,0,0,17,3,14,20,104,53,33,26,9,0,261,0,0,0,5,0,4,4,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,18,18,10,12,75,0,0,6,8,4,3,0,0,0,22,0,4,11,24,12,8,8,4,0,85,0,4,0,23,9,5,4,0,0,39,0,0,0,13,0,0,0,0,0,10,0,4,6,35,25,6,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,7,4,31,3,10,6,3,0,69
LGA10180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,3,19,110,6,0,0,0,0,139,0,0,0,3,5,3,12,12,0,31,0,6,21,27,24,25,24,7,3,141,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,6,3,3,0,0,0,18,0,3,10,61,14,18,5,0,0,109,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,15,8,12,4,54,0,5,0,0,3,0,0,0,0,7,0,0,13,22,12,5,4,4,0,54,3,6,7,20,13,0,3,0,0,54,0,0,0,22,3,0,0,0,0,26,0,5,4,8,10,0,0,0,0,22,0,0,0,4,0,0,0,0,0,7,0,7,10,26,12,12,11,6,0,86
LGA10250,0,0,0,0,0,0,7,3,3,13,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,12,0,3,0,14,10,10,24,11,6,88,0,20,22,100,76,74,79,29,3,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,7,15,0,0,0,33,0,6,6,53,16,20,15,8,0,133,0,0,0,5,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,3,0,0,5,12,12,19,21,13,9,87,0,0,0,3,5,4,0,0,0,15,0,4,8,33,26,16,26,15,7,132,0,0,0,6,0,4,0,5,0,11,0,0,0,4,0,0,0,0,0,3,0,4,13,40,24,20,0,0,0,100,0,0,0,0,0,0,0,0,0,0,6,3,9,50,16,13,26,3,0,130
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,0,0,3,3,0,3,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,64,0,0,0,0,0,85,0,0,0,9,4,12,12,24,5,60,0,4,17,55,42,38,34,9,5,199,0,0,0,0,0,0,0,0,0,3,0,9,0,16,5,0,0,0,0,27,0,0,0,0,4,9,0,0,0,15,0,7,16,67,27,23,5,3,0,147,0,0,0,4,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,14,18,15,5,85,0,0,6,0,4,0,0,4,0,9,0,6,12,26,12,7,13,0,0,70,0,9,5,23,5,5,3,0,0,46,0,0,0,0,0,0,5,0,0,10,0,0,8,27,12,6,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,10,9,17,7,5,14,0,0,54
LGA10500,0,0,0,7,3,23,78,76,39,225,0,0,6,32,12,16,9,13,0,89,0,0,9,26,9,7,8,5,0,68,3,17,577,1327,47,19,10,0,0,2006,0,0,0,20,13,5,12,7,5,66,6,33,109,405,278,216,109,38,14,1207,0,11,13,207,155,341,432,251,100,1513,0,8,10,90,13,15,6,0,0,142,0,3,4,22,10,4,4,0,0,52,8,71,102,999,340,332,221,55,21,2158,4,0,9,117,44,28,29,13,7,248,0,0,4,3,13,10,4,8,0,37,0,0,6,66,31,37,44,20,9,213,3,8,25,104,30,27,20,5,0,229,0,8,24,129,67,62,38,21,8,356,0,0,14,55,17,18,15,9,0,127,0,6,18,206,34,29,18,0,0,312,4,16,61,752,151,82,40,7,0,1112,0,3,3,82,99,82,68,42,6,381,17,25,23,133,31,26,12,3,5,282
LGA10550,0,0,0,0,0,5,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,24,0,0,4,8,3,8,58,21,10,111,0,3,10,31,42,63,57,14,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,11,0,0,5,28,19,29,16,5,3,110,0,0,0,3,0,3,5,3,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,15,24,22,7,76,0,0,0,4,4,0,5,0,0,10,0,6,0,10,9,21,9,13,0,67,0,0,0,0,5,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,30,16,12,4,0,0,67,0,0,0,0,0,0,0,0,0,0,0,4,3,22,10,21,30,9,3,101
LGA10600,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,9,6,32,0,0,5,15,10,29,20,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,5,0,11,0,12,3,0,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,5,0,32,0,0,0,0,3,5,0,0,0,6,0,0,0,7,9,5,3,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,12,6,5,8,3,0,39
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,6,14,10,0,26,0,0,6,10,8,7,13,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,9,14,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,6,0,16,0,0,3,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
LGA10750,0,0,4,20,30,172,411,276,99,1015,0,3,14,68,45,81,75,42,26,351,4,3,23,187,126,70,65,23,7,501,3,47,202,1375,82,69,34,4,0,1817,0,3,0,20,14,16,54,62,28,207,44,427,717,1673,621,407,216,52,15,4171,0,0,0,22,15,23,38,17,7,120,31,361,277,1576,330,201,97,27,3,2903,0,3,8,15,32,14,4,0,0,83,26,449,1080,4920,2615,2633,1693,463,174,14054,0,0,4,76,67,88,122,57,92,502,0,60,101,306,255,230,142,42,6,1146,0,4,11,30,53,88,103,65,27,382,8,99,42,80,38,52,32,15,3,368,11,82,115,371,217,151,101,40,13,1092,11,125,182,1238,499,461,274,107,44,2930,3,11,8,143,24,24,29,0,0,239,3,31,51,321,128,58,30,5,0,630,0,12,18,209,171,170,112,50,6,748,15,88,72,164,45,36,20,9,0,453
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,12,0,0,3,10,3,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,4,10,8,4,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,5,0,0,0,6,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7
LGA10900,0,0,0,0,0,6,17,12,4,48,0,0,0,0,0,10,4,6,0,19,0,0,0,0,0,0,0,0,0,11,0,0,4,14,0,0,0,0,0,21,0,0,0,15,26,16,53,36,13,157,0,0,17,115,121,171,102,58,17,608,0,0,0,0,0,0,0,0,0,5,0,0,0,4,7,4,4,0,0,11,0,0,0,3,14,15,10,0,0,40,0,13,11,101,46,39,33,10,0,250,0,0,0,25,16,26,33,9,5,118,0,0,0,0,5,0,3,0,0,6,0,11,7,22,31,58,76,40,15,256,0,5,4,3,8,6,8,0,0,41,0,4,12,49,49,30,25,11,5,188,0,0,0,14,3,9,6,0,0,40,0,0,0,7,0,0,0,0,0,14,0,3,4,64,18,23,3,0,0,120,0,0,0,4,4,3,0,0,0,12,0,18,13,73,39,58,52,23,9,289
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
