LGA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA10050,82,0,0,0,91,8,0,95,2217,228,43,4,2497,35,10,49,2547,97,3,2647,3143,372,48,25,3593,28,3,27,3619,101,5,3726,361,38,23,6,420,11,0,11,428,17,0,447,34,0,0,18,53,0,0,0,53,0,7,65,5754,639,110,53,6561,70,9,84,6646,224,16,6879,19,6,0,3,27,5,0,5,35,13,0,42,61,12,3,0,78,0,0,0,80,11,0,91,87,14,3,3,105,8,0,8,118,24,0,135,5846,659,113,56,6668,74,9,91,6757,240,16,7014,990,205,27,40,1257,29,11,41,1300,227,7,1533,0,0,0,14,18,0,0,0,18,0,14,28,6836,865,141,99,7945,110,20,128,8078,463,37,8579
LGA10180,38,3,0,3,39,17,0,59,1211,142,7,10,1367,8,5,14,1384,81,3,1461,1059,217,25,16,1315,5,6,13,1331,70,11,1409,104,34,26,0,169,7,0,7,177,4,0,177,19,0,0,15,30,0,0,0,30,7,3,38,2397,392,54,40,2886,23,7,29,2916,164,12,3091,23,3,3,0,31,0,0,0,30,7,0,34,32,10,0,0,44,0,4,4,50,4,0,50,54,14,3,0,74,0,6,6,83,8,0,85,2451,411,60,43,2959,23,14,35,2995,167,13,3178,429,155,9,11,611,27,16,49,654,304,3,966,0,0,0,9,12,0,0,0,12,0,15,27,2883,568,68,58,3575,50,31,84,3660,472,30,4166
LGA10250,58,0,0,0,60,9,0,70,1465,265,36,13,1785,30,10,34,1816,110,3,1933,2162,525,61,27,2775,4,5,13,2790,120,0,2912,274,48,53,0,375,0,0,0,372,29,0,404,27,3,0,31,69,0,0,0,69,5,6,76,3925,846,149,76,4993,34,15,46,5045,263,11,5323,8,9,0,0,17,0,0,0,17,0,0,17,43,8,0,3,50,6,3,8,56,4,0,64,46,21,0,3,71,8,3,7,79,4,0,84,3973,864,149,76,5067,38,17,55,5120,265,11,5406,637,221,44,21,926,13,3,17,944,162,5,1104,10,3,0,8,22,0,0,0,22,0,16,34,4622,1090,198,106,6012,49,27,74,6085,428,34,6546
LGA10300,0,0,0,0,0,0,0,0,80,0,0,0,88,3,0,3,93,0,0,93,123,0,5,0,128,0,0,0,133,0,0,132,4,0,0,0,7,0,0,0,7,0,0,7,8,0,0,5,13,0,0,0,13,0,0,13,219,5,4,10,235,4,0,4,243,0,0,245,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,4,224,5,4,7,242,5,0,5,247,0,0,249,48,4,0,0,51,0,0,0,51,10,0,63,3,0,0,0,3,0,0,0,3,0,7,11,276,3,4,13,296,5,0,5,307,10,10,324
LGA10470,69,0,0,0,69,5,0,75,2184,224,44,10,2455,19,5,20,2477,93,0,2566,2173,250,50,14,2488,7,7,11,2500,76,5,2581,305,28,31,0,370,0,4,4,370,11,0,380,23,3,0,12,36,0,0,0,40,0,9,53,4681,505,121,38,5347,30,13,41,5387,177,11,5574,22,3,0,0,30,13,0,13,37,0,0,36,43,9,5,3,56,8,0,12,67,4,0,72,67,13,5,3,84,22,0,24,105,4,0,113,4752,517,128,38,5432,46,14,60,5493,179,11,5689,707,168,17,16,911,28,3,30,940,191,0,1135,0,4,0,6,7,0,0,0,7,0,21,26,5453,690,141,56,6349,76,18,93,6448,373,32,6852
LGA10500,737,19,8,28,761,203,9,972,6099,1057,365,58,7586,167,35,202,7788,584,6,8381,4934,1577,401,64,6979,124,27,153,7133,524,12,7666,1362,420,371,21,2174,31,0,30,2212,134,0,2345,75,7,10,82,172,0,3,3,172,25,21,221,12467,3057,1159,225,16912,320,64,394,17303,1272,40,18611,159,23,10,0,191,49,6,55,247,41,0,287,188,63,20,3,280,44,30,73,355,45,0,397,343,93,27,8,473,93,41,127,604,86,0,688,12810,3150,1180,237,17379,419,107,523,17902,1351,43,19302,3293,1190,488,160,5133,191,79,268,5405,2026,36,7467,36,17,3,47,101,3,0,3,106,15,96,221,16143,4352,1672,444,22619,609,181,789,23416,3400,174,26988
LGA10550,19,0,0,0,19,0,0,23,1052,188,21,8,1264,3,7,9,1275,73,6,1350,1487,301,47,24,1854,13,9,17,1872,110,3,1985,157,33,25,3,224,0,0,0,223,12,0,237,10,0,3,51,62,0,0,0,62,7,0,66,2700,523,100,81,3409,20,13,32,3440,202,5,3638,10,3,0,0,12,0,0,0,10,0,0,15,14,0,0,0,17,8,0,8,23,8,0,29,17,4,0,0,22,8,3,12,32,4,0,41,2721,524,104,84,3431,22,18,40,3470,207,5,3683,370,119,33,20,540,14,0,17,553,183,0,737,3,0,0,12,13,0,0,0,13,7,18,36,3095,645,135,115,3986,35,18,52,4040,392,25,4460
LGA10600,13,0,0,0,13,0,0,19,262,92,10,6,375,3,8,10,386,20,4,414,543,173,11,0,727,0,8,11,741,54,0,797,47,3,9,0,56,0,0,0,56,5,0,65,6,4,0,0,19,0,0,0,19,0,0,14,860,278,24,16,1179,8,17,21,1199,85,9,1294,0,3,0,0,3,3,0,3,6,0,0,9,15,0,0,0,14,0,0,0,18,0,0,19,15,5,0,0,22,3,0,4,23,0,0,24,872,285,24,16,1201,13,16,25,1224,91,9,1315,242,66,13,13,324,7,0,7,330,60,0,388,0,0,0,7,7,0,0,0,7,0,0,8,1115,345,38,32,1524,17,16,31,1560,142,6,1710
LGA10650,4,0,0,0,4,0,0,4,341,17,0,0,358,0,0,0,357,7,0,364,458,36,14,20,520,0,0,0,520,16,3,537,25,10,0,0,30,0,0,0,30,0,0,30,0,0,5,4,4,0,0,0,4,0,4,14,820,62,15,21,922,0,0,3,920,19,4,952,0,0,0,0,0,4,0,4,4,4,0,3,10,0,0,0,10,0,0,0,10,10,0,10,10,0,0,0,10,4,0,4,14,10,0,17,830,62,15,21,927,5,0,3,933,28,4,969,99,12,5,22,141,0,0,0,141,15,0,160,0,0,0,3,3,0,0,0,3,0,4,3,930,73,21,46,1076,5,0,3,1080,43,16,1132
LGA10750,2260,66,20,82,2342,540,21,2902,23301,2870,1800,170,28144,470,91,559,28704,1964,46,30716,13848,3274,1570,190,18879,303,70,368,19244,1492,38,20776,3725,676,1468,51,5921,89,11,103,6026,287,8,6325,241,72,47,381,745,20,4,25,767,89,89,941,41117,6891,4882,792,53683,875,176,1055,54738,3831,182,58755,909,161,62,22,1154,212,29,236,1399,93,0,1497,955,185,65,16,1215,100,45,146,1360,132,9,1498,1865,351,130,41,2374,311,78,386,2760,225,13,2993,42978,7237,5007,833,56059,1189,249,1442,57499,4060,190,61750,12519,3180,1894,509,18096,776,164,940,19036,6328,103,25470,149,33,19,250,445,7,0,9,453,51,326,830,55640,10446,6922,1591,74600,1969,415,2388,76984,10437,625,88051
