LGA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA10050,4,12,0,0,0,14,17,17,48,808,685,93,1585,56,67,129,1713,960,34,2705
LGA10180,0,0,0,0,0,0,8,5,14,325,274,41,646,22,22,43,689,482,11,1178
LGA10250,3,3,0,0,0,8,14,12,29,610,601,74,1288,26,34,54,1342,770,26,2142
LGA10300,0,0,0,0,0,0,0,0,3,21,16,6,37,0,0,0,37,31,0,73
LGA10470,7,18,0,0,0,20,14,14,46,711,502,76,1292,34,43,79,1374,679,20,2077
LGA10500,8,14,0,0,0,21,31,37,86,1948,1141,377,3461,124,96,219,3678,3067,81,6829
LGA10550,0,0,0,0,0,4,10,10,27,352,389,42,789,14,20,41,832,557,29,1419
LGA10600,0,3,0,0,0,3,5,5,17,157,206,29,388,11,5,20,407,260,8,671
LGA10650,0,0,0,0,0,0,3,7,12,80,71,14,161,0,4,10,168,112,9,292
LGA10750,25,54,0,0,0,50,112,148,317,4598,2522,1172,8298,323,248,573,8868,8109,268,17238
LGA10800,0,0,0,0,0,0,0,3,4,60,52,0,119,0,0,7,127,76,3,200
LGA10850,0,0,0,0,0,0,0,0,3,103,68,15,184,7,6,16,195,108,6,312
LGA10900,0,4,0,0,0,4,11,16,30,980,832,209,2025,33,51,80,2106,1157,25,3285
LGA10950,0,0,0,0,0,0,0,0,3,31,18,3,52,0,3,3,55,35,0,90
LGA11150,0,0,0,0,0,0,3,8,6,25,8,0,36,5,0,5,41,57,8,106
LGA11200,0,0,0,0,0,0,0,4,0,22,15,0,38,3,0,3,40,47,5,90
