LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA10050,17855,45014,3447,5385,431,661,3878,6051,219,306,69,116,32,45,0,0,3,12,325,476,26,35,31,35,0,3,19,45,74,111,49,99,22182,51759,1941,..,24118,51759
LGA10180,8967,22134,943,1594,161,280,1108,1875,416,662,52,94,0,0,0,3,9,16,468,768,4,4,37,47,0,3,12,30,55,81,33,75,10636,24936,1422,..,12055,24936
LGA10250,13126,33746,2245,4178,1530,2972,3776,7146,629,1094,156,270,67,120,19,33,47,79,921,1598,68,89,295,424,8,11,24,44,397,565,64,103,18281,43156,1421,..,19700,43156
LGA10300,660,1722,25,34,0,0,25,34,12,19,0,0,0,0,0,0,0,0,12,19,4,0,0,0,3,9,3,3,10,17,26,43,733,1829,192,..,922,1829
LGA10470,13526,35255,1257,2135,366,633,1633,2768,677,1018,9,8,0,0,0,0,19,29,699,1057,12,28,6,11,3,9,16,51,41,96,39,81,15942,39257,1580,..,17518,39257
LGA10500,22373,68714,4552,10702,3418,9433,7970,20133,3059,6308,6516,13770,13367,29507,10682,24595,255,595,33875,74774,68,86,0,0,4,11,388,851,462,948,157,338,64833,164912,6513,..,71347,164912
LGA10550,12340,29016,766,1122,504,863,1267,1988,638,991,37,59,3,9,0,3,19,32,700,1094,67,122,152,243,4,10,18,41,241,421,73,158,14630,32675,2914,..,17546,32675
LGA10600,4721,11315,150,249,46,101,198,349,149,210,0,0,0,0,5,5,11,16,157,233,30,57,53,78,0,4,8,12,87,149,22,45,5185,12091,633,..,5821,12091
LGA10650,3041,6985,239,348,0,0,239,348,30,40,0,0,0,0,0,0,0,0,34,47,16,52,0,0,0,0,12,33,24,84,30,47,3373,7497,524,..,3894,7497
LGA10750,98390,314550,4189,10680,10286,31351,14480,42029,1118,1829,486,920,5624,12923,224,573,705,1789,8158,18031,0,0,5,6,10,23,78,240,98,270,213,575,121337,375458,6351,..,127688,375458
LGA10800,1968,4624,90,133,0,0,90,133,42,66,0,0,0,0,0,0,0,5,44,64,9,19,0,4,3,5,9,22,21,51,34,73,2151,4944,637,..,2783,4944
LGA10850,2628,6661,72,106,8,16,82,119,22,34,0,0,0,0,0,0,0,0,22,34,4,4,0,0,0,0,7,26,13,30,8,29,2763,6881,270,..,3040,6881
LGA10900,28125,70706,783,1256,554,972,1339,2229,584,817,195,287,31,46,0,0,131,284,943,1431,0,0,5,6,0,4,38,66,47,77,71,106,30528,74547,3566,..,34093,74547
LGA10950,840,2110,51,69,5,5,47,71,6,3,0,0,0,0,0,0,0,0,6,3,4,11,0,0,0,0,3,6,11,21,22,50,923,2254,259,..,1184,2254
LGA11150,717,1848,9,10,0,3,10,9,15,17,0,0,0,0,0,0,0,0,15,17,0,11,0,3,0,0,0,0,7,10,23,47,774,1935,322,..,1095,1935
LGA11200,417,1008,36,62,0,0,36,62,3,6,0,0,0,3,0,0,0,5,3,7,0,0,0,7,0,4,3,5,5,9,15,28,473,1115,120,..,598,1115
LGA11250,6910,15174,158,231,17,26,177,265,184,230,0,0,0,0,0,0,0,0,186,235,5,16,3,4,0,0,4,6,8,27,25,48,7308,15741,1528,..,8836,15741
LGA11300,4871,15106,713,1779,1438,4277,2152,6057,734,1576,1884,4707,1975,4495,2305,5371,53,135,6944,16282,0,0,0,0,0,0,96,175,96,175,77,147,14137,37773,1341,..,15485,37773
LGA11350,10293,26803,527,1098,847,1840,1375,2936,556,921,81,136,0,0,0,9,134,277,773,1337,111,158,151,238,18,22,74,127,353,553,76,146,12875,31769,2348,..,15220,31769
LGA11400,4599,11880,60,112,10,27,69,143,52,66,0,5,0,0,0,0,0,6,55,73,12,19,3,0,0,3,166,428,185,452,8,19,4913,12564,563,..,5480,12564
LGA11450,34397,109494,893,1715,1300,3154,2192,4872,215,328,0,0,35,48,0,0,113,290,365,664,18,40,122,168,0,0,10,23,153,236,62,136,37171,115395,1398,..,38576,115395
