LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA10800,10,36,209,890,638,129,27,30,1968,0,16,44,24,5,0,0,4,90,0,0,0,0,0,0,0,0,0,0,16,44,24,5,0,0,4,90,0,18,13,0,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,6,0,0,0,44,3,4,3,6,3,0,0,6,21,0,0,3,3,9,5,0,12,34,18,75,271,919,653,132,32,51,2151
LGA10850,8,70,282,1105,863,203,59,39,2628,0,22,31,18,3,0,0,0,72,0,0,3,0,0,0,0,0,8,0,26,35,15,8,0,0,0,82,0,12,17,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,22,0,0,7,3,0,0,0,0,13,0,0,0,7,4,0,0,0,8,14,102,332,1136,873,206,63,43,2763
LGA10900,56,446,3246,12127,9087,2458,496,216,28125,13,139,262,311,38,0,0,7,783,4,32,211,267,24,5,5,8,554,17,175,480,583,60,9,3,18,1339,18,224,257,60,7,4,0,9,584,4,52,113,22,0,0,4,0,195,0,19,14,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,30,48,26,18,9,0,0,131,18,322,433,110,26,8,3,19,943,0,11,25,11,5,0,0,0,47,8,12,7,5,4,0,5,23,71,102,960,4191,12829,9179,2475,512,278,30528
LGA10950,0,14,122,355,259,48,12,26,840,0,17,24,5,0,0,0,0,51,0,0,0,0,0,0,0,0,5,0,17,24,3,0,0,0,0,47,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,4,0,0,0,0,0,11,0,0,5,3,4,0,3,3,22,0,30,162,367,262,50,20,33,923
LGA11150,0,29,95,296,193,52,14,41,717,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,10,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,15,0,8,0,0,0,0,0,0,7,0,0,4,0,6,0,0,13,23,0,49,109,302,203,54,14,49,774
LGA11200,0,13,61,175,124,12,7,28,417,0,5,23,3,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,5,23,3,0,0,0,4,36,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,3,3,15,0,22,91,184,124,15,7,36,473
LGA11250,16,135,1277,3918,1192,203,41,128,6910,0,50,67,17,8,0,0,8,158,0,3,6,10,0,0,0,0,17,0,58,77,25,8,0,0,8,177,0,89,72,4,0,0,0,9,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,72,4,0,0,0,9,186,4,0,0,0,0,0,0,3,8,0,4,3,5,0,0,3,0,25,16,297,1438,3956,1206,206,45,150,7308
LGA11300,17,76,422,2012,1471,593,226,53,4871,0,40,320,257,75,10,0,10,713,12,70,214,517,368,160,82,15,1438,12,110,536,772,442,169,85,25,2152,53,153,401,96,11,8,4,16,734,32,209,1293,288,5,0,0,45,1884,56,408,1203,261,9,3,0,34,1975,35,523,1445,248,20,0,0,32,2305,0,7,23,3,13,0,3,0,53,178,1295,4370,891,53,12,8,132,6944,23,33,13,14,7,0,0,0,96,11,25,15,12,0,0,0,16,77,241,1547,5352,3704,1979,777,317,223,14137
LGA11350,108,606,1300,4389,2877,639,193,178,10293,0,35,214,234,25,7,0,10,527,5,62,231,477,52,11,0,12,847,5,98,443,711,84,13,0,23,1375,19,181,210,124,14,0,0,13,556,0,17,45,18,4,0,0,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,56,32,15,17,4,0,0,134,29,256,279,151,34,6,0,18,773,53,146,108,28,4,6,0,17,353,5,23,19,12,0,5,3,8,76,202,1132,2145,5292,3002,659,199,243,12875
LGA11400,16,99,545,1746,1552,447,122,75,4599,0,3,38,12,5,0,0,0,60,0,0,3,0,0,0,0,0,10,0,3,39,12,9,3,0,5,69,0,10,33,3,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,4,0,0,0,3,55,4,15,19,51,59,23,4,0,185,0,3,0,9,0,0,0,0,8,26,140,639,1818,1622,471,127,80,4913
LGA11450,31,411,824,6894,21260,3930,727,312,34397,6,120,314,284,133,10,3,15,893,4,163,239,405,404,62,3,22,1300,13,283,554,691,534,72,4,38,2192,0,40,135,19,12,0,0,9,215,0,0,0,0,0,0,0,0,0,0,7,17,11,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,34,20,7,29,13,6,0,113,0,81,174,36,38,15,6,6,365,8,45,87,11,0,0,0,7,153,0,11,14,15,7,3,0,6,62,52,826,1649,7653,21853,4030,748,377,37171
LGA11500,63,318,1893,20671,16413,3983,952,608,44903,18,95,1664,1874,161,9,7,81,3917,22,315,1577,2165,539,58,13,104,4787,40,409,3245,4045,699,71,16,185,8701,34,155,644,155,7,3,0,24,1023,0,17,304,165,0,0,0,13,500,4,135,1107,299,0,0,0,18,1570,0,28,118,31,0,0,0,0,182,0,64,210,63,35,12,7,12,405,42,396,2380,713,44,23,10,66,3674,0,6,7,3,0,0,0,0,16,0,10,24,10,6,4,0,16,71,144,1135,7544,25442,17165,4078,983,878,57368
LGA11520,21,88,1232,5342,4149,1511,313,114,12769,0,67,467,407,106,17,5,9,1079,4,75,563,1262,273,21,10,24,2228,4,148,1031,1664,379,39,17,34,3307,56,432,1940,776,63,9,0,36,3311,4,184,2285,821,39,6,0,25,3357,8,1341,3649,1757,69,3,0,67,6902,13,981,2549,725,12,3,0,64,4353,0,10,28,18,18,0,3,0,93,84,2954,10458,4089,204,24,9,191,18011,0,75,185,89,9,0,0,3,373,0,7,15,16,0,0,0,3,48,114,3267,12924,11202,4745,1573,331,352,34512
LGA11570,115,633,7091,28354,19007,6445,1702,1038,64393,70,360,1219,1925,514,102,8,90,4286,27,769,2340,5664,4499,523,56,228,14112,93,1128,3559,7593,5013,629,68,316,18398,255,1929,8415,1024,161,35,17,288,12128,94,741,8066,1209,49,6,11,226,10399,49,1233,5198,843,35,7,0,127,7494,3,479,1628,261,3,0,0,50,2427,12,97,403,214,117,65,23,31,956,417,4473,23712,3545,365,110,52,725,33403,9,70,296,138,33,11,0,17,586,12,46,87,50,26,9,3,21,251,648,6354,34753,39684,24445,7204,1819,2123,117031
LGA11600,0,26,97,420,275,61,14,17,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,23,0,7,5,7,0,0,0,0,20,0,0,9,4,3,0,3,0,16,4,31,133,426,279,61,15,24,965
LGA11650,253,1780,12232,40424,36190,9043,2046,1258,103225,64,635,4561,3874,189,31,17,266,9627,19,467,1665,3435,368,32,12,116,6113,77,1098,6228,7305,553,69,30,381,15743,88,970,3067,1948,199,31,14,164,6473,21,107,953,388,22,0,0,23,1519,36,265,1695,423,21,4,4,34,2473,0,68,364,157,6,0,0,3,600,12,65,193,80,37,19,4,9,423,153,1480,6276,3000,279,46,24,230,11486,63,278,414,145,27,11,0,48,983,23,70,64,54,22,5,8,27,280,558,4711,25220,50924,37077,9167,2106,1950,131713
LGA11700,0,33,84,193,97,25,14,26,480,0,9,9,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,9,4,3,0,0,0,21,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,7,5,10,16,18,11,6,5,7,73,10,52,114,221,113,27,16,29,591
LGA11720,50,300,2484,9183,6805,1086,258,254,20413,0,138,722,536,32,0,0,26,1460,0,79,119,61,12,0,0,4,270,0,218,835,597,43,0,0,34,1731,3,97,105,23,3,0,0,7,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,9,6,0,0,0,50,3,103,134,31,15,0,0,8,300,9,27,14,9,0,0,0,0,59,0,7,20,11,15,0,0,3,50,60,659,3484,9822,6871,1092,261,298,22556
LGA11730,104,427,2391,8582,5026,941,215,336,18018,5,131,412,241,18,7,0,32,851,0,38,216,207,29,7,0,9,497,11,166,632,445,43,7,0,39,1345,11,130,416,162,15,5,4,26,762,0,6,52,20,4,0,0,3,88,0,5,10,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,21,9,9,3,0,0,4,42,11,160,494,193,24,5,4,28,916,47,188,133,93,50,13,0,26,560,3,30,19,15,6,5,0,12,89,178,974,3675,9333,5149,970,218,446,20932
LGA11750,3,14,107,603,440,56,15,31,1270,0,12,23,4,0,0,0,0,39,0,0,3,0,0,0,0,0,3,0,12,28,4,0,0,0,0,44,3,18,32,14,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,32,14,0,0,0,0,68,0,7,5,3,0,0,0,0,20,0,0,0,8,0,0,0,5,9,7,55,163,628,439,63,15,35,1409
LGA11800,74,436,2075,9697,7866,1682,415,311,22545,3,130,1120,655,58,10,3,58,2037,3,76,451,775,121,18,8,19,1472,4,200,1572,1436,179,26,10,75,3508,20,311,1333,473,32,6,0,60,2228,7,63,260,60,3,0,0,12,387,0,52,133,69,10,0,0,3,265,5,0,66,36,0,0,0,0,115,3,32,26,8,3,7,0,0,77,33,456,1815,647,44,6,3,77,3078,42,174,164,80,19,0,3,34,521,9,21,34,31,11,3,0,12,127,163,1287,5657,11887,8118,1715,434,511,29774
LGA12000,10,43,195,670,502,121,21,33,1600,0,4,7,0,6,0,0,3,23,0,0,0,0,0,0,0,0,0,0,4,10,0,6,0,0,3,23,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,0,0,0,0,0,13,0,3,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,6,13,60,209,677,513,129,21,36,1649
LGA12150,0,26,186,522,352,64,25,35,1216,0,4,14,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,14,6,0,0,0,0,23,0,19,25,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,0,0,0,43,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,10,0,52,225,537,354,67,25,43,1303
LGA12160,14,60,496,1970,1253,222,48,83,4150,0,28,140,22,0,0,0,0,194,0,5,9,4,4,0,0,0,25,0,33,147,25,0,0,0,5,214,4,5,52,9,0,0,4,0,73,0,4,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,64,9,6,0,4,0,83,5,4,7,8,3,0,3,0,31,0,0,4,0,3,0,4,0,17,25,108,711,2012,1262,225,60,84,4490
LGA12350,19,102,607,2199,1325,262,72,94,4678,0,29,172,30,7,0,0,4,245,0,4,23,9,0,0,0,0,29,0,31,195,38,7,0,0,4,278,7,24,34,6,0,0,0,6,80,0,3,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,43,9,0,0,0,6,90,3,13,6,3,0,0,0,0,24,0,5,0,5,3,0,0,0,11,29,171,847,2257,1338,269,75,109,5081
LGA12380,88,553,3890,15880,11123,3857,1092,774,37257,37,348,1245,1034,173,21,5,82,2945,15,453,1291,3862,1721,293,43,171,7847,49,799,2539,4891,1895,317,46,250,10796,106,761,3273,435,73,9,7,124,4789,25,348,5381,1037,32,0,4,160,7001,73,858,5867,1232,66,4,0,171,8276,22,314,1472,493,34,0,0,72,2395,7,77,260,205,90,45,17,33,731,228,2353,16254,3408,290,58,33,560,23184,0,24,73,58,20,8,4,13,189,5,48,103,30,26,5,0,33,242,375,3779,22857,24262,13342,4244,1179,1624,71666
