LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA10050,364,325,159,80,108,52,8,1097,142,138,87,56,71,13,4,507,144,140,60,48,54,20,6,462,1997,1944,1059,694,848,223,81,6838,9,6,0,4,4,0,0,30,2650,2562,1360,874,1081,303,98,8935,27,44,30,20,27,14,5,157,30,42,31,18,34,12,0,167,9,23,19,18,18,0,0,86,554,694,422,325,377,76,21,2458,23,23,19,10,0,0,0,78,639,822,521,387,456,104,25,2951,3290,3382,1883,1266,1539,407,127,11888
LGA10180,217,235,145,57,98,43,25,827,56,67,34,30,37,7,0,226,75,85,43,28,34,8,3,276,756,817,475,364,435,74,28,2947,3,11,3,0,0,0,0,27,1113,1217,700,477,602,137,59,4305,8,41,33,20,20,12,7,133,17,37,25,21,20,7,6,130,9,14,6,9,18,0,3,60,247,284,188,133,174,21,7,1054,8,13,7,7,0,0,0,37,298,376,256,191,226,38,25,1413,1407,1590,957,663,835,179,79,5716
LGA10250,132,127,75,54,74,18,0,477,196,176,106,67,84,19,7,660,213,251,126,76,75,20,0,760,1244,1309,861,546,660,173,56,4854,5,17,11,7,3,0,0,45,1785,1873,1180,748,894,234,75,6789,12,24,14,17,24,10,0,94,32,49,45,40,53,13,0,231,16,40,38,29,21,4,0,153,217,346,305,215,241,59,23,1398,5,10,11,0,6,0,0,38,282,465,416,299,330,84,24,1907,2066,2337,1593,1047,1227,323,101,8696
LGA10300,3,0,0,0,0,0,0,12,4,0,0,0,0,0,0,4,6,3,8,10,0,0,0,29,81,91,49,33,39,3,0,300,0,0,0,0,0,0,0,0,96,91,53,41,43,3,0,340,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,23,12,11,13,0,0,78,0,0,3,0,0,0,0,3,14,25,18,11,16,3,0,90,118,121,74,52,58,6,0,426
LGA10470,179,155,72,53,48,26,12,547,82,107,66,45,65,21,9,393,79,107,80,43,57,14,14,388,1544,1556,986,645,818,184,52,5790,8,6,5,0,0,0,0,21,1887,1930,1214,798,987,245,77,7137,10,6,12,8,13,5,4,56,19,26,22,22,24,3,0,119,20,27,9,14,25,4,0,101,384,555,354,254,295,64,15,1927,23,19,10,5,0,4,0,59,453,645,409,301,353,80,23,2262,2335,2574,1618,1095,1342,324,104,9396
LGA10500,4159,3028,1520,926,1295,911,582,12423,930,847,535,306,392,220,89,3322,1041,825,437,248,296,135,72,3052,2425,2152,1260,790,1055,608,249,8539,27,38,16,9,0,5,0,105,8587,6883,3776,2275,3043,1881,997,27444,209,348,260,190,340,233,176,1757,144,186,133,113,146,84,43,850,88,143,124,76,100,62,21,619,348,444,307,212,304,147,67,1832,31,43,23,12,13,6,6,130,824,1169,853,601,895,526,313,5190,9408,8060,4628,2882,3943,2402,1311,32632
LGA10550,38,53,23,17,23,0,0,169,62,84,56,49,46,14,9,319,69,118,66,45,40,14,0,354,985,1083,698,457,497,86,18,3825,3,3,3,3,3,0,0,17,1159,1348,848,569,614,115,23,4683,0,5,0,3,10,0,0,28,17,27,26,12,19,6,0,105,7,24,13,10,11,4,0,68,169,293,227,164,182,20,9,1059,12,13,12,3,0,0,0,41,203,358,279,193,225,34,9,1299,1367,1707,1129,760,839,148,29,5982
LGA10600,15,28,27,13,15,6,0,105,31,48,40,21,34,5,0,182,36,49,31,7,21,5,0,150,330,371,262,180,157,38,14,1359,0,0,7,0,0,0,0,7,420,500,365,225,226,48,19,1794,0,9,3,0,4,0,0,22,7,23,17,12,25,7,0,100,0,15,5,7,9,0,0,45,66,137,104,71,87,5,4,463,3,5,7,0,0,0,0,18,82,184,140,96,129,16,4,651,503,681,498,319,357,64,18,2445
LGA10650,14,18,15,6,6,0,0,70,10,13,7,6,8,0,0,42,12,16,9,7,8,0,0,50,246,272,189,128,143,21,7,1003,3,0,0,0,0,0,0,3,287,322,219,146,162,26,7,1163,0,0,0,0,0,0,0,0,5,5,3,0,4,0,0,17,0,0,0,0,0,0,0,0,51,60,51,42,52,5,0,267,3,0,0,0,0,0,0,8,60,67,52,48,56,8,0,291,347,386,272,193,218,33,8,1451
LGA10750,15052,16295,8772,5057,6273,4144,2386,57990,1874,1595,853,547,649,258,125,5904,1594,1375,721,427,500,224,78,4919,6017,5629,3150,2075,2452,979,377,20685,117,108,59,44,21,3,10,359,24652,25007,13557,8147,9899,5613,2978,89860,771,1166,960,697,943,600,393,5530,476,579,337,271,278,99,53,2090,215,325,201,154,176,78,41,1182,1988,2358,1493,1073,1103,304,158,8477,143,147,89,68,47,11,4,509,3589,4580,3082,2261,2546,1094,644,17798,28238,29583,16647,10411,12443,6709,3622,107660
LGA10800,11,4,9,6,8,0,0,32,10,11,0,0,0,0,0,22,12,0,6,0,3,0,0,26,248,233,166,80,83,12,7,827,0,6,0,0,0,0,0,4,281,253,185,93,91,15,7,909,0,0,0,0,0,0,0,0,3,5,3,4,0,0,0,12,0,0,3,0,0,0,0,3,31,48,40,23,32,3,0,182,0,0,0,0,0,0,0,0,31,56,44,28,33,0,0,202,315,307,227,122,123,19,7,1113
LGA10850,3,7,0,0,0,0,0,13,14,15,16,10,8,5,0,72,16,14,14,8,14,0,0,61,339,345,229,122,157,30,4,1231,0,0,0,0,0,0,0,6,367,385,263,141,184,38,4,1386,0,0,0,3,0,0,0,7,6,5,12,0,3,0,0,26,0,0,0,0,0,0,0,0,54,94,51,46,45,9,0,300,0,0,0,0,0,0,0,0,56,92,67,49,49,9,0,336,430,480,325,190,234,56,11,1721
LGA10900,177,232,180,145,168,75,42,1006,315,456,330,212,287,111,54,1755,326,393,241,160,205,88,39,1445,2501,2626,1558,1023,1375,487,232,9808,11,9,8,6,0,0,0,34,3324,3715,2315,1545,2031,763,356,14048,14,28,26,14,26,16,10,149,35,107,72,67,64,35,18,401,22,59,56,37,57,22,15,283,283,534,386,274,382,103,54,2014,9,20,5,8,6,0,0,48,372,750,548,406,542,180,96,2890,3697,4461,2866,1944,2577,942,453,16940
LGA10950,9,4,9,3,4,0,0,23,4,6,0,0,0,0,0,8,7,7,4,0,6,0,0,18,100,102,62,40,51,3,5,363,0,0,0,0,0,0,0,0,119,115,76,45,56,8,5,417,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,33,38,18,10,11,4,0,101,0,0,0,0,0,0,0,0,36,40,18,10,11,4,0,110,152,153,90,50,65,10,5,529
LGA11150,8,0,0,0,0,0,0,12,3,4,4,0,0,0,0,14,3,0,0,0,0,0,0,5,100,91,53,24,30,3,0,309,8,6,4,0,0,0,0,20,122,105,66,26,30,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,37,20,18,7,0,0,109,0,4,3,0,0,0,0,7,23,37,27,18,11,0,0,117,147,148,86,42,45,4,0,466
LGA11200,6,0,4,0,6,0,0,11,0,0,5,0,0,0,0,4,4,0,0,0,0,0,0,4,29,34,14,12,15,0,0,114,0,0,0,0,0,0,0,6,44,41,19,12,18,0,0,133,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,34,34,22,10,12,0,0,114,0,0,0,0,0,0,0,4,35,39,27,10,12,0,0,121,73,78,49,23,27,0,0,255
LGA11250,37,44,19,15,10,0,0,124,19,10,5,6,5,0,0,51,24,26,11,10,10,0,0,80,509,459,297,179,223,24,8,1703,0,4,3,0,0,0,0,8,592,546,337,208,247,28,11,1966,3,5,5,8,5,0,0,20,5,6,4,4,9,0,0,32,5,7,0,6,0,0,0,16,258,311,196,114,121,16,3,1013,8,11,3,0,4,0,0,27,277,334,213,136,133,20,3,1105,866,878,547,341,376,46,10,3070
LGA11300,671,699,386,261,319,275,192,2809,121,116,70,59,87,49,32,538,135,101,65,56,73,40,19,487,408,355,228,168,227,133,60,1577,6,5,0,0,0,0,0,12,1344,1270,761,546,702,498,308,5423,51,121,97,70,131,121,80,670,7,31,16,15,19,21,3,106,18,17,11,8,15,12,10,93,36,57,44,34,40,19,8,233,9,13,0,4,4,3,0,29,115,234,168,129,210,173,100,1127,1460,1500,931,672,911,667,411,6548
LGA11350,178,207,107,62,85,22,4,671,167,199,135,91,103,26,10,734,197,209,115,70,74,13,0,681,776,770,448,313,322,50,12,2692,9,7,0,3,0,0,0,22,1332,1394,806,542,579,111,35,4800,10,36,27,30,42,3,0,136,35,66,56,52,65,4,0,276,21,49,40,35,43,4,0,198,110,193,142,114,142,22,4,728,18,8,6,9,0,0,0,45,194,352,275,235,285,39,14,1386,1521,1745,1078,780,863,150,49,6187
LGA11400,10,14,10,11,9,3,0,55,23,30,23,14,16,3,0,109,30,27,21,24,22,3,4,123,542,688,428,301,347,68,26,2405,3,8,0,3,3,0,0,14,601,771,485,346,399,82,27,2702,0,0,0,0,0,0,0,0,4,9,7,8,0,0,0,26,0,0,0,0,6,4,0,14,81,104,67,55,61,6,3,379,0,4,3,4,5,0,0,22,86,118,81,69,67,14,0,438,688,889,564,414,464,94,30,3143
LGA11450,2317,2318,1195,677,841,505,255,8107,842,730,369,267,314,133,59,2714,724,642,338,217,225,88,34,2267,5795,4460,2335,1484,1692,679,234,16670,36,34,20,7,4,3,5,114,9715,8187,4253,2653,3083,1400,591,29875,113,201,124,78,116,65,43,742,172,217,116,84,82,38,15,721,65,83,69,45,48,18,14,348,701,907,626,439,495,157,86,3416,29,34,11,16,9,4,0,103,1084,1446,938,659,752,290,162,5335,10791,9630,5195,3315,3832,1691,743,35205
