LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA10050,0,32,5,336,5,0,0,3,3,0,0,0,0,11,202,228,3,3,0,0,0,0,0,3,0,40,42,101,1175,279,31,965,96,488,52,454,76,2129,274,6024
LGA10180,5,3,0,241,3,0,3,4,0,0,0,0,0,7,88,117,0,0,0,0,5,4,0,4,0,11,14,38,645,190,24,508,43,243,33,241,36,976,120,3066
LGA10250,3,45,0,409,3,7,0,6,0,5,0,8,0,14,162,206,6,0,4,0,4,0,0,6,0,40,34,99,772,394,48,782,80,355,88,478,74,2591,227,5890
LGA10300,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,3,57,11,5,46,4,23,0,16,0,67,15,237
LGA10470,0,20,4,308,4,3,0,3,7,5,3,0,3,17,168,211,7,0,0,0,0,0,0,0,0,39,20,71,942,212,34,613,73,413,50,365,64,1560,218,4538
LGA10500,7,62,11,2173,18,6,11,8,16,10,6,5,9,31,464,586,11,0,9,0,5,4,0,7,10,70,119,235,4366,981,269,2037,774,1740,380,1212,378,5138,682,17955
LGA10550,4,37,0,240,5,3,0,5,0,0,0,7,0,13,185,221,4,5,0,0,0,0,0,5,4,42,28,85,597,340,40,614,71,327,72,499,74,2477,241,5351
LGA10600,0,10,0,61,0,0,0,0,0,0,3,3,0,4,53,73,3,4,0,0,0,0,0,0,0,19,12,40,179,134,13,224,19,132,18,166,33,718,72,1718
LGA10650,0,6,0,54,0,0,3,0,0,0,0,3,0,6,45,55,3,0,3,0,0,0,0,0,0,19,16,42,161,44,13,163,12,76,11,111,20,549,71,1232
LGA10750,14,46,9,2074,25,5,16,9,13,19,5,18,19,69,592,791,22,3,16,8,0,6,0,7,11,123,214,426,5564,857,420,2606,1321,3154,584,1570,773,8806,985,26633
LGA10800,0,3,0,36,5,0,0,0,0,0,0,0,0,0,30,44,0,0,5,0,0,3,0,0,0,3,8,24,132,26,7,112,10,54,9,45,5,229,43,672
LGA10850,0,6,0,60,5,0,0,0,0,5,0,0,4,4,45,55,0,0,0,0,0,0,0,0,0,4,7,18,195,47,3,128,15,91,9,59,11,258,56,864
LGA10900,13,58,3,991,6,0,5,3,3,15,0,6,0,21,220,279,5,0,3,0,0,0,4,0,0,39,22,78,1340,523,103,1070,273,870,200,841,218,3685,269,9393
LGA10950,0,3,0,23,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,3,6,84,8,5,42,3,19,0,12,4,63,21,262
LGA11150,0,0,0,13,0,0,0,0,0,5,0,4,0,0,15,17,0,0,3,0,0,0,0,0,0,0,4,12,57,18,8,29,0,18,0,4,5,34,17,193
LGA11200,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,41,0,5,6,0,6,0,3,4,24,12,114
LGA11250,3,8,0,88,0,0,0,0,0,6,0,0,0,8,100,117,3,3,3,0,0,4,0,0,0,32,13,55,347,60,18,216,39,194,18,125,33,755,127,1935
LGA11300,0,24,0,430,3,0,4,5,0,5,0,0,0,4,90,115,0,0,0,0,0,0,0,0,0,9,25,41,685,237,77,401,135,421,84,304,114,1274,141,3865
LGA11350,3,47,0,419,0,0,0,0,0,6,0,3,4,5,161,189,0,0,0,0,0,4,0,0,0,19,16,44,441,416,25,558,50,254,58,413,64,1143,188,3609
LGA11400,0,11,0,138,6,0,0,0,4,0,0,6,0,7,58,75,5,0,0,4,0,0,0,0,4,14,9,43,347,109,11,281,27,140,12,115,31,524,71,1666
LGA11450,12,37,8,959,10,0,8,3,7,4,0,4,5,23,188,248,3,0,7,7,3,0,0,0,0,39,46,111,2463,332,135,1237,467,895,209,484,206,2682,259,9378
LGA11500,8,24,7,729,9,0,3,7,9,12,4,7,7,23,315,390,6,0,6,3,4,5,3,0,3,70,91,201,2278,433,240,1309,698,1547,293,825,418,4820,475,13328
LGA11520,5,121,0,2299,13,3,0,0,3,10,0,7,5,22,264,335,3,0,4,0,0,0,0,6,6,28,46,101,2771,488,147,1155,336,1003,175,692,214,3139,345,10462
LGA11570,21,76,12,1721,16,3,10,7,6,23,6,20,27,98,642,861,3,0,21,3,0,7,3,3,23,163,239,472,3347,835,580,1874,1005,2492,580,1678,1010,11365,1067,25833
LGA11600,0,5,0,18,0,0,0,0,0,0,0,0,0,3,8,10,4,0,3,0,0,0,0,0,0,3,4,9,96,20,6,44,8,27,4,11,3,48,9,280
LGA11650,21,254,3,2802,28,8,7,8,8,31,11,21,16,143,986,1268,13,8,11,16,6,8,3,14,10,271,211,578,5194,1675,391,3997,1149,3134,650,2655,778,16473,1426,37532
LGA11700,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,4,0,0,0,3,0,15,40,4,3,20,0,20,0,4,0,52,7,158
LGA11720,3,32,0,384,0,0,0,4,6,8,0,4,0,34,209,259,3,0,6,0,3,6,0,0,0,51,37,107,1134,276,55,842,152,576,94,408,112,2435,278,6372
LGA11730,6,44,0,262,0,0,5,4,4,4,0,5,0,25,242,299,6,0,0,4,0,0,0,0,0,60,40,112,832,323,54,776,72,499,55,582,86,3538,353,7172
LGA11750,0,0,0,33,0,0,0,0,0,0,0,0,0,0,28,33,0,0,0,0,0,0,0,0,0,8,3,13,95,12,6,62,6,41,7,25,11,86,32,385
LGA11800,8,56,0,465,5,5,0,8,4,7,0,3,3,27,280,352,3,0,9,3,0,0,0,5,0,81,57,172,1328,549,56,1215,110,635,81,773,119,4026,392,9277
LGA12000,0,0,0,25,0,0,0,0,0,7,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,3,5,12,131,23,0,68,7,52,12,44,3,187,27,565
LGA12150,0,0,0,30,0,0,0,0,0,3,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,9,3,16,99,15,3,43,8,33,0,22,0,94,20,349
LGA12160,0,4,3,94,5,0,0,0,0,4,0,0,0,4,44,60,4,0,0,6,0,0,0,0,3,13,9,38,229,64,16,198,21,112,10,111,25,649,75,1520
LGA12350,0,5,0,63,0,0,0,0,0,4,0,3,0,10,59,79,6,3,0,0,0,0,0,0,0,17,20,51,259,73,22,199,15,135,14,116,17,651,95,1608
LGA12380,3,28,5,866,3,0,15,3,9,10,5,8,16,44,414,527,8,0,13,7,3,7,0,4,8,113,193,354,2362,694,320,1311,544,1786,337,1103,541,6325,723,16062
LGA12390,0,25,0,355,8,0,0,8,5,8,0,0,8,15,236,277,9,4,0,7,3,3,0,0,0,41,42,109,1373,253,39,828,107,449,56,329,47,1638,310,5425
LGA12700,0,4,0,97,0,0,0,0,0,0,0,3,0,0,43,51,0,0,0,0,0,0,0,0,0,4,4,17,194,84,15,160,29,108,18,105,26,470,59,1267
LGA12730,0,9,0,54,0,0,0,0,0,3,0,0,0,5,54,64,7,0,0,3,0,0,0,0,0,13,10,27,216,50,13,156,18,93,7,81,13,344,71,1055
LGA12750,6,50,0,256,4,4,0,3,4,9,0,0,3,36,189,250,3,4,6,0,0,3,0,4,0,46,50,119,556,316,48,603,52,373,72,580,86,3416,289,6400
LGA12850,8,46,0,400,6,0,4,6,3,13,3,5,7,59,270,383,5,0,9,5,0,0,4,9,4,95,165,288,1110,279,222,647,413,1217,207,800,492,7127,573,13091
LGA12870,0,4,0,55,0,0,0,3,0,4,0,0,0,4,74,85,3,0,0,5,0,4,0,0,0,29,21,65,262,73,15,241,24,138,13,131,27,811,110,1839
LGA12900,0,4,0,66,0,0,0,0,0,4,0,4,0,7,46,63,0,0,0,0,0,0,0,0,0,10,5,20,242,54,16,154,8,80,5,71,21,382,61,1096
LGA12930,9,93,4,1407,7,3,9,9,8,3,0,6,8,39,346,438,5,0,4,0,5,5,4,5,0,65,96,198,2332,699,267,1367,559,1238,285,1024,413,5558,511,14273
LGA12950,0,0,0,17,0,0,0,0,0,0,0,0,0,0,18,26,3,0,0,4,0,0,0,0,0,0,8,23,107,29,9,86,7,36,3,38,11,163,28,512
LGA13010,0,5,0,41,0,0,0,0,0,0,0,3,0,5,44,55,0,0,0,0,0,0,0,0,0,14,14,31,196,56,13,149,15,85,13,86,15,482,66,1179
LGA13310,3,12,0,248,0,0,4,0,0,3,0,3,0,14,108,129,0,0,3,0,4,0,0,0,3,27,17,66,717,174,37,517,68,318,25,236,48,1267,152,3552
LGA13340,4,3,0,74,3,0,0,0,0,5,0,0,0,8,55,66,6,0,0,0,0,0,0,0,0,15,12,42,269,66,14,191,26,97,11,94,22,442,82,1309
LGA13450,0,18,0,156,0,0,3,8,0,6,0,3,3,9,76,100,9,0,0,5,0,0,0,5,0,24,32,76,694,147,20,442,44,224,24,160,25,739,139,2665
LGA13550,0,0,0,107,0,0,0,0,0,0,0,0,0,6,49,60,0,0,0,0,0,0,0,3,0,8,19,33,334,61,8,207,26,142,7,72,15,365,76,1306
LGA13660,0,0,0,30,0,0,0,0,0,3,0,0,0,8,27,33,0,0,0,5,0,0,0,0,0,8,7,17,124,31,6,99,5,53,3,40,8,245,34,653
LGA13800,4,41,0,566,3,0,3,8,5,6,0,5,4,10,153,197,9,3,4,0,7,5,0,4,0,45,33,114,1282,339,89,892,281,696,124,451,170,2186,222,6724
LGA13850,4,3,0,29,0,0,0,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,0,0,0,5,6,15,84,14,6,55,12,29,8,20,3,103,30,355
LGA13910,0,10,0,118,0,0,0,0,0,0,0,0,0,5,98,116,3,6,3,0,0,0,0,0,0,32,28,75,404,135,18,275,41,190,24,170,25,865,139,2294
LGA14000,10,124,3,2039,18,4,3,5,0,6,0,5,7,35,315,397,13,3,4,4,3,3,0,3,0,56,59,144,2485,608,126,1497,350,1382,194,1031,259,5659,424,14013
LGA14100,0,80,0,432,0,0,0,0,0,3,0,0,0,0,41,45,0,0,0,0,0,0,0,0,0,8,3,11,221,79,9,146,30,133,17,124,13,497,48,1318
LGA14170,24,121,0,5786,17,0,8,8,7,18,3,12,3,33,567,670,11,0,6,5,4,3,0,0,7,51,66,154,7216,912,212,2860,751,2004,357,1117,307,3912,694,20331
LGA14220,0,7,5,72,3,0,0,4,0,6,0,3,3,6,67,90,5,0,0,0,0,0,0,0,0,26,15,51,402,100,22,280,36,152,24,158,22,789,102,2075
LGA14300,0,0,0,25,0,0,0,4,0,0,0,4,0,0,21,30,0,0,0,0,0,0,0,0,0,10,6,13,132,19,12,111,14,59,9,35,9,222,37,655
LGA14350,0,20,0,113,0,0,0,0,0,3,0,3,7,9,102,136,4,0,3,0,0,3,0,0,0,43,28,79,376,224,36,365,50,230,27,344,76,1810,163,3705
LGA14400,5,41,0,324,0,0,0,0,0,0,0,4,0,8,84,102,0,0,4,0,0,4,0,5,0,25,14,47,336,147,21,334,66,218,30,272,65,1649,117,3255
LGA14500,21,430,5,2782,3,0,3,4,0,8,4,6,4,28,261,324,4,0,7,6,0,0,0,5,4,61,41,132,1817,565,74,1078,199,1044,116,1017,163,5090,324,11493
LGA14550,0,0,0,48,0,0,0,0,0,0,0,0,0,5,60,65,0,0,0,0,0,5,0,0,0,15,10,29,170,78,12,168,16,89,14,116,22,488,81,1256
LGA14600,0,0,0,32,0,0,0,3,0,0,0,0,0,3,24,32,3,0,0,0,0,0,0,0,0,0,14,21,159,33,10,103,10,67,6,32,7,181,38,637
LGA14650,20,144,0,1625,10,4,0,10,3,13,7,19,4,61,662,795,6,8,3,10,4,5,0,0,0,198,122,354,3797,1000,131,2931,417,1828,245,1777,346,10996,886,24349
LGA14700,5,94,0,1352,5,0,0,0,0,4,0,4,3,4,114,141,0,0,0,0,0,5,0,5,0,3,16,33,1463,222,36,536,126,421,62,300,62,983,146,4352
LGA14750,0,4,0,62,5,0,0,0,0,3,0,3,0,0,40,52,0,0,0,0,0,3,0,0,0,12,8,27,271,50,6,198,9,111,10,74,10,366,54,1167
LGA14850,3,14,0,246,3,0,0,4,6,0,0,0,3,13,139,171,7,0,3,5,0,0,0,4,0,24,18,66,818,328,34,705,62,398,65,384,72,1606,193,4668
LGA14870,0,12,0,161,0,0,0,0,0,6,0,0,0,11,81,106,0,0,0,0,0,0,0,0,0,15,25,50,314,88,25,292,48,215,30,184,40,1021,130,2382
LGA14900,9,49,0,932,9,6,10,0,12,16,4,7,5,43,371,489,6,0,6,3,5,4,0,5,8,87,142,268,2407,443,293,1137,693,1628,308,839,485,5505,599,14346
LGA14920,0,4,0,40,0,0,0,0,0,0,0,0,0,0,34,38,0,0,4,0,0,0,0,0,0,3,7,13,172,42,10,113,19,79,7,54,15,329,45,885
LGA14950,0,6,0,19,0,0,0,0,0,0,0,0,0,0,15,16,3,0,0,0,0,0,0,0,0,3,10,12,76,19,6,65,4,43,3,28,4,130,24,398
LGA15050,3,36,0,606,9,0,3,3,3,5,0,6,3,31,303,368,16,0,4,0,0,0,0,3,0,49,48,120,1983,361,67,1266,186,859,81,583,130,3330,386,9222
LGA15240,7,82,0,510,8,8,4,9,5,15,3,12,0,62,446,580,5,5,5,3,5,3,3,3,0,191,124,365,1300,648,106,1231,150,842,132,1190,202,7917,704,14434
LGA15270,0,21,0,263,4,5,0,5,0,6,0,5,0,12,108,144,7,4,3,0,0,0,0,7,0,26,25,70,564,156,34,471,56,277,26,217,37,1001,154,3000
LGA15300,0,9,0,85,3,0,0,3,0,4,0,0,3,4,51,68,8,0,0,0,0,0,0,0,0,12,14,37,359,29,13,203,19,87,10,61,19,261,77,1141
LGA15350,5,219,0,1321,0,0,0,0,0,0,5,6,0,8,68,92,0,0,5,0,4,0,0,0,3,17,6,27,834,181,24,339,73,333,48,369,54,1047,83,3382
LGA15520,0,10,0,88,0,0,0,0,0,0,0,0,0,9,53,67,5,0,0,0,0,0,4,0,0,23,29,61,288,88,17,234,28,111,23,140,22,780,94,1828
LGA15560,0,0,0,19,0,0,0,0,0,5,0,0,0,0,23,30,0,0,0,0,0,0,0,0,0,9,0,16,114,19,0,74,10,45,3,23,3,103,25,422
LGA15650,4,4,0,163,0,0,0,0,4,3,0,0,0,4,76,90,0,0,6,0,0,0,0,0,0,10,14,35,369,50,19,234,34,177,19,97,18,531,92,1643
