LGA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
LGA10050,0,5,5,21,5,0,4,0,0,43,0,0,5,3,0,6,7,0,0,22,0,0,3,3,3,0,5,0,0,17,6,41,49,205,107,82,62,68,28,636,96,176,179,401,165,193,168,156,64,1597,1732,3429,3444,7283,3484,3584,3176,1994,881,29007,0,0,0,0,0,0,0,0,0,3,3304,6278,5904,10887,5447,5546,4811,2625,1048,45847,0,5,0,41,15,0,0,0,0,65,0,0,0,0,0,3,7,3,0,11,0,0,0,8,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,6,3,6,3,18,13,13,11,0,0,65,0,0,0,8,4,0,3,0,0,17,3,8,8,55,30,19,13,0,0,139,0,0,0,0,3,9,14,18,4,47,0,0,4,4,0,0,5,0,0,15,3,19,51,137,139,266,226,184,57,1085,0,0,3,18,8,11,3,0,0,50,0,0,5,10,4,3,0,0,0,21
LGA10180,0,10,5,25,4,0,0,0,0,45,0,0,4,0,4,7,0,4,0,14,0,0,4,3,5,0,0,0,0,18,8,34,25,118,30,28,26,18,7,287,54,179,412,320,126,114,118,128,104,1556,748,1857,2451,3550,1698,1822,1488,1060,451,15115,0,0,0,0,0,0,0,0,0,3,1378,2901,3396,4669,2464,2841,2274,1449,496,21868,0,15,4,68,6,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,10,20,11,11,10,5,0,68,0,0,0,8,3,0,0,0,0,15,0,7,8,81,27,14,5,0,0,149,0,0,0,0,3,0,3,0,0,10,0,0,5,0,0,0,0,0,0,3,0,20,32,74,60,120,118,107,28,560,0,0,3,6,6,8,0,0,0,25,0,0,6,16,3,4,0,0,0,30
LGA10250,0,0,0,6,9,5,0,0,0,26,0,7,0,3,3,6,12,8,5,43,0,0,0,6,10,4,5,0,0,24,0,10,4,123,38,47,41,29,13,305,44,123,93,292,151,180,208,159,156,1407,1061,2537,2047,5006,3129,3422,3527,2140,1145,24019,0,0,0,0,0,0,0,0,0,0,2077,4867,3851,7266,4739,5250,5300,3009,1337,37700,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,3,76,6,0,4,0,0,94,0,0,0,3,0,0,0,0,0,10,0,8,3,57,31,22,23,7,0,148,0,0,0,18,7,8,9,4,0,40,0,0,9,17,10,14,5,3,0,52,0,0,0,0,0,0,6,3,0,11,0,0,0,4,0,0,3,0,0,12,3,45,54,290,216,303,350,307,126,1699,0,0,0,16,5,8,6,4,0,35,0,3,0,43,12,3,6,5,0,76
LGA10300,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,15,11,33,23,22,25,12,3,154,77,134,98,251,148,162,136,63,31,1098,0,0,0,0,0,0,0,0,0,0,127,260,181,332,214,268,218,91,41,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,17,0,0,3,3,9,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,4,18,9,7,0,0,0,44,0,0,0,0,4,0,3,0,0,7,0,0,0,5,4,6,4,0,0,15,9,7,9,50,40,25,29,15,8,195,45,123,130,245,164,145,126,83,54,1109,1201,2771,2757,5241,2755,2720,2266,1311,680,21705,0,3,3,12,0,0,0,0,0,20,2353,5253,5183,8902,4439,4424,3576,1957,816,36910,0,5,0,39,3,5,4,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,0,0,0,7,0,0,0,6,3,3,0,0,0,14,5,3,3,9,22,9,4,0,0,59,0,0,0,6,0,0,3,3,0,13,0,6,9,38,23,11,18,6,0,98,0,0,0,4,0,9,4,6,6,33,0,3,0,11,0,0,8,0,0,21,0,11,35,94,104,178,208,152,64,849,0,0,8,18,13,13,6,0,0,51,0,0,0,18,0,3,9,0,0,26
LGA10500,0,27,169,451,196,148,84,30,10,1116,0,5,0,22,10,4,0,4,7,46,0,0,7,22,11,5,0,0,0,49,42,255,324,2769,774,748,716,505,174,6309,217,362,545,1700,457,383,331,281,136,4408,4847,8046,10224,31164,10586,8943,7049,4745,2247,87860,0,0,0,39,13,8,3,3,0,63,9116,13926,12990,22633,9607,6227,3830,2259,1162,81762,19,84,227,1552,357,192,71,6,0,2498,0,0,8,113,47,77,56,28,11,333,8,38,167,1985,108,64,24,13,8,2411,0,4,35,48,21,19,19,0,0,144,6,5,13,133,40,16,5,10,3,229,8,16,21,222,133,136,173,112,22,838,21,119,1467,5483,1130,1861,1089,431,229,11831,0,0,0,55,48,88,110,165,50,514,3,27,33,246,156,275,399,272,153,1565,13,73,121,1178,526,446,333,222,90,3000,0,5,32,272,155,190,123,52,12,840,5,13,13,203,51,22,20,8,5,342
LGA10550,0,0,0,3,0,4,0,0,0,13,0,0,0,0,0,3,5,0,0,16,0,0,0,3,0,4,0,0,0,12,0,11,0,45,28,39,51,35,11,223,43,99,111,225,174,254,204,118,107,1330,734,1892,1446,3326,2286,3383,3055,1574,618,18307,0,0,0,0,0,0,0,0,0,0,1405,3606,2729,5240,3522,4949,4553,2191,696,28894,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,8,27,13,17,13,0,0,79,0,0,0,0,3,3,5,0,0,21,0,0,0,14,14,4,4,3,0,44,0,0,0,0,0,10,4,5,0,19,0,0,0,0,0,0,11,0,0,12,3,18,14,87,131,338,519,291,87,1490,0,0,0,3,7,3,3,0,0,24,0,0,0,14,4,14,9,4,3,47
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,4,0,0,0,4,3,8,4,18,20,25,13,16,9,114,18,65,48,96,78,77,87,45,20,539,267,815,540,1212,969,1217,1025,547,240,6827,0,0,0,0,0,0,0,0,0,0,505,1490,972,1885,1350,1739,1556,740,288,10517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,0,12,0,0,33,0,0,0,0,3,0,0,0,0,5,0,0,0,4,0,4,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,6,11,12,47,94,143,152,106,36,618,0,0,0,0,5,0,6,0,0,9,0,0,0,8,0,8,4,3,0,27
LGA10650,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,4,3,7,6,0,37,7,48,29,70,54,55,81,52,21,427,191,494,354,807,485,674,767,463,179,4402,0,0,0,0,0,0,0,0,0,0,343,842,646,1223,801,1041,1258,692,266,7114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,5,0,0,0,5,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,7,10,41,59,54,8,182,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10750,0,18,32,292,157,142,99,16,3,755,0,0,0,13,5,14,7,3,0,47,6,14,33,104,39,23,3,3,0,232,47,521,772,2664,1354,1141,872,506,279,8156,698,1554,1252,3366,1092,830,691,446,318,10249,14536,29368,24307,64054,23661,19299,14280,6641,2753,198905,10,122,277,1359,441,351,187,56,13,2818,27513,47377,33129,44925,18613,13457,9135,4370,1397,199909,14,208,173,1802,488,347,136,22,0,3196,0,7,6,136,88,149,86,41,11,531,4,9,11,141,24,28,3,0,0,225,0,3,14,71,48,32,16,12,0,193,10,24,40,112,42,28,25,12,0,288,0,5,16,116,153,110,150,63,32,654,23,126,262,2637,968,1188,765,281,96,6350,0,0,6,92,99,193,231,199,62,886,9,118,222,537,237,318,349,198,53,2037,14,220,228,814,743,1062,928,624,213,4850,4,138,418,2676,1707,1430,784,359,58,7576,0,10,3,47,21,36,17,22,14,169
