LGA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA10800,1620,1546,3166,309,355,664,265,265,531,17,26,36,36,39,74,13,5,17,16,23,40,3,6,14,0,3,4,9,7,22,0,0,0,362,372,734,19,36,57,7,7,18,701,769,1469,290,273,560,2607,2590,5196
LGA10850,2061,2070,4133,465,503,967,568,627,1196,14,14,27,28,31,61,3,4,6,5,7,11,5,5,6,3,0,3,10,10,22,0,0,0,639,697,1333,27,31,57,20,17,36,1145,1247,2392,273,253,525,3483,3562,7052
LGA10900,23092,24729,47827,2822,3053,5883,7378,7796,15176,133,146,279,140,149,285,37,30,63,55,51,106,23,34,54,14,15,31,63,59,123,0,0,0,7848,8276,16122,572,650,1220,212,187,395,11448,12165,23613,1342,1453,2798,35883,38353,74239
LGA10950,701,676,1379,134,156,291,156,144,300,8,0,6,13,20,35,0,0,0,3,7,10,0,0,0,0,3,7,0,0,0,0,0,0,190,171,363,16,20,34,3,5,8,343,349,699,121,112,232,1165,1144,2304
LGA11150,578,584,1157,90,94,186,123,128,254,9,6,12,18,21,38,4,4,9,5,0,7,0,0,0,5,0,4,0,0,0,0,0,0,161,167,327,14,19,36,3,11,12,277,279,558,213,226,442,1069,1091,2160
LGA11200,366,361,727,51,67,117,67,69,132,0,0,4,7,3,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,78,156,13,12,24,8,4,11,153,156,311,107,122,225,628,640,1263
LGA11250,5029,5163,10186,1192,1443,2641,426,473,892,80,81,164,91,82,168,181,197,380,37,37,74,16,22,37,14,17,30,9,10,11,0,0,0,846,900,1752,124,128,253,55,55,115,2218,2534,4761,828,841,1670,8077,8541,16620
LGA11300,8521,9350,17868,867,924,1793,4191,4230,8422,106,118,228,94,94,183,32,56,85,40,42,83,8,3,17,4,6,17,26,42,68,0,0,0,4510,4587,9097,3719,3684,7404,155,117,277,9256,9316,18573,1121,1123,2244,18891,19797,38687
LGA11350,7879,8158,16032,1498,1630,3128,2801,3284,6089,577,699,1271,473,579,1054,52,71,121,84,75,165,8,26,34,27,39,65,39,33,68,0,0,0,4058,4800,8858,1006,1273,2282,211,211,421,6773,7911,14689,1789,1875,3658,16436,17945,34378
LGA11400,4054,4023,8074,588,636,1225,1094,1092,2189,19,33,52,43,41,80,0,23,20,14,12,29,0,8,9,4,10,12,12,24,31,0,0,0,1194,1232,2425,46,63,112,46,34,78,1878,1966,3836,545,556,1103,6475,6539,13012
LGA11450,24255,24974,49231,1914,2019,3932,22167,23614,45785,164,166,333,325,328,650,50,56,107,72,88,161,15,21,42,35,18,58,58,55,115,0,0,0,22881,24359,47242,1313,1456,2773,522,436,959,26629,28274,54902,1928,2069,3999,52813,55319,108132
LGA11500,44618,46082,90699,3967,4376,8339,21745,22709,44455,216,228,444,364,324,694,100,84,181,133,103,234,24,24,47,39,31,71,56,66,127,4,0,3,22678,23581,46257,3101,3514,6612,643,542,1184,30386,32003,62388,4976,5348,10331,79982,83433,163414
LGA11520,21057,23391,44451,2813,3060,5871,10138,10687,20823,252,276,527,282,261,543,71,75,144,143,135,275,21,17,34,21,10,28,85,75,158,0,0,0,11000,11533,22536,3450,3712,7159,276,264,542,17534,18574,36104,1796,1978,3768,40387,43940,84328
LGA11570,100040,102939,202978,8598,8272,16867,36716,36527,73246,471,432,898,445,398,844,173,134,306,240,178,421,37,44,78,67,45,119,136,133,273,6,6,10,38291,37902,76193,12342,11031,23378,1158,932,2091,60382,58140,118526,12839,12001,24843,173261,173076,346344
LGA11600,755,651,1403,152,156,309,144,125,270,24,23,48,25,21,47,3,0,6,4,3,3,4,6,3,0,0,0,4,4,5,0,0,0,208,179,383,116,78,195,3,7,11,476,424,903,203,157,351,1427,1233,2659
LGA11650,89860,95013,184867,10702,11524,22225,41601,45316,86915,550,600,1141,865,1037,1904,128,129,259,257,291,552,83,98,187,85,100,186,179,193,373,0,0,4,43746,47781,91521,2955,3262,6218,1306,1215,2522,58720,63770,122490,9399,10420,19816,157972,169200,327182
LGA11700,455,428,888,51,43,95,87,91,180,16,17,32,9,9,14,8,11,21,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,124,139,262,6,8,10,4,8,11,182,192,373,181,192,372,824,808,1633
LGA11720,15336,15522,30854,2965,3407,6376,7340,7837,15180,79,82,160,221,276,504,22,39,70,47,51,99,9,5,12,24,17,41,24,34,57,0,0,0,7769,8343,16120,256,284,539,315,304,625,11315,12342,23655,3182,1658,4840,29829,29524,59352
LGA11730,14223,14191,28416,3048,3460,6504,3652,4007,7656,234,277,515,828,900,1731,45,43,83,82,87,168,33,22,49,59,64,124,26,36,66,4,5,8,4960,5436,10395,248,281,532,206,195,403,8455,9368,17833,3091,2208,5298,25774,25765,51540
LGA11750,968,928,1895,271,294,566,204,186,399,20,26,48,34,44,82,14,11,22,14,7,23,9,4,11,0,0,0,0,6,0,0,0,0,299,283,586,44,47,85,11,5,18,626,635,1255,330,299,630,1915,1863,3780
LGA11800,19003,20173,39170,3465,3773,7243,7623,8485,16109,426,498,929,844,922,1763,62,66,126,119,124,245,44,49,92,56,62,112,90,104,192,0,4,6,9266,10319,19584,1274,1447,2719,380,338,717,14388,15872,30265,2585,2683,5271,35973,38729,74704
LGA12000,1228,1252,2481,256,272,527,314,353,669,22,29,55,21,25,46,6,0,5,0,4,7,0,4,3,4,0,7,9,10,19,0,0,0,377,430,804,9,7,25,7,3,11,660,712,1371,148,148,295,2032,2114,4144
LGA12150,993,943,1936,194,223,422,183,229,413,8,7,12,11,18,37,0,6,5,0,0,4,0,0,0,3,0,0,0,3,3,0,0,0,209,258,468,15,17,35,12,6,20,431,509,943,264,277,546,1688,1730,3421
LGA12160,3208,3242,6457,677,724,1398,652,706,1355,25,27,49,57,49,96,10,11,24,6,13,15,4,7,9,3,3,7,62,72,132,0,0,0,819,880,1701,105,84,190,27,25,48,1623,1713,3337,524,483,1012,5363,5440,10802
LGA12350,3531,3472,7001,742,833,1575,859,964,1821,41,35,79,51,64,112,5,3,12,11,13,19,0,0,4,3,3,10,44,34,82,0,0,0,1014,1118,2140,76,67,144,23,19,50,1860,2042,3899,585,556,1139,5967,6069,12038
LGA12380,56900,57208,114110,6344,5747,12085,22710,20905,43618,442,347,786,301,274,581,177,136,319,242,144,384,43,39,81,24,17,44,92,72,166,0,0,0,24033,21937,45969,15470,12779,28243,968,728,1697,46814,41186,88003,9211,7665,16881,112920,106060,218988
LGA12390,12539,13022,25557,2254,2568,4819,5582,6229,11808,176,141,310,268,272,536,30,29,64,85,80,170,14,21,35,29,28,57,45,46,89,0,0,0,6229,6843,13075,694,709,1405,238,221,458,9422,10338,19761,3236,2486,5718,25190,25844,51032
LGA12700,2820,2760,5575,342,410,758,1008,1027,2031,11,14,15,35,25,62,0,5,6,4,9,12,4,5,3,5,4,10,9,6,14,0,0,0,1063,1085,2153,23,29,54,24,20,44,1467,1542,3010,218,226,437,4499,4534,9032
LGA12730,2309,2348,4659,559,571,1129,312,359,676,163,193,356,36,37,67,19,19,35,16,14,26,0,0,0,3,8,13,3,7,4,0,0,0,542,633,1181,48,69,115,32,24,56,1185,1299,2480,436,432,873,3928,4080,8009
LGA12750,10150,10555,20706,1821,1879,3703,3710,4020,7734,222,269,490,187,213,392,23,29,54,49,54,104,19,21,36,21,22,38,718,732,1452,0,0,0,4949,5362,10309,233,262,503,132,102,227,7137,7599,14739,1757,1744,3494,19044,19904,38939
LGA12850,61763,63924,125692,4659,4876,9534,15554,15889,31448,286,263,550,170,149,322,77,69,151,52,50,98,9,14,28,9,12,25,26,33,61,0,0,0,16191,16486,32681,7819,8244,16068,555,475,1033,29227,30084,59309,6359,6266,12623,97348,100276,197627
LGA12870,3492,3523,7015,652,682,1332,471,480,946,732,791,1532,67,65,132,21,18,41,25,19,41,8,12,19,5,8,17,3,16,18,0,0,0,1329,1411,2744,53,50,102,40,33,71,2082,2166,4249,547,492,1037,6122,6180,12301
LGA12900,2543,2574,5116,753,775,1526,467,493,966,14,18,27,41,37,76,4,6,13,16,17,29,0,7,8,0,5,11,8,11,13,0,0,0,549,593,1139,34,43,80,46,33,83,1379,1444,2825,420,416,835,4345,4433,8774
LGA12930,40436,43011,83447,3499,3620,7116,15641,15909,31548,206,193,398,222,185,400,76,81,154,109,111,213,31,27,57,47,23,68,64,60,121,0,0,0,16388,16583,32974,6923,6383,13304,480,421,902,27290,27008,54298,3283,3608,6897,71007,73631,144640
LGA12950,1257,1243,2498,196,236,430,188,221,411,5,9,17,24,30,51,4,5,9,5,8,10,0,0,0,0,3,8,3,0,0,0,0,0,229,275,509,9,19,29,12,11,23,444,539,986,282,268,549,1984,2048,4032
LGA13010,2337,2399,4739,580,686,1270,443,451,900,10,3,17,162,191,350,8,3,6,5,6,20,7,4,11,4,0,4,3,3,14,0,0,0,640,670,1311,36,65,98,22,29,51,1285,1446,2730,587,485,1072,4205,4334,8538
LGA13310,8086,8045,16134,2248,2482,4731,2413,2540,4958,68,77,149,116,120,234,19,11,30,37,29,69,4,3,12,12,7,17,183,222,408,0,0,0,2856,3014,5873,328,295,624,101,119,222,5535,5913,11451,1569,1071,2642,15187,15028,30223
LGA13340,3164,2981,6139,543,593,1136,731,744,1472,185,200,387,46,49,90,27,28,57,15,18,31,11,5,13,13,10,25,12,10,22,0,0,0,1041,1057,2097,48,46,93,29,14,43,1655,1706,3365,518,477,998,5335,5169,10500
LGA13450,7068,7127,14199,1736,1793,3527,1335,1342,2673,174,151,323,96,107,209,28,26,56,18,31,49,8,10,19,10,10,21,21,38,64,0,0,0,1693,1718,3406,967,874,1839,76,38,113,4464,4427,8891,1174,1080,2252,12710,12635,25336
LGA13550,3197,3165,6360,850,930,1785,938,1009,1948,24,27,46,133,137,273,12,10,23,20,26,52,0,5,9,8,9,17,5,7,5,0,0,0,1137,1231,2368,88,79,165,75,81,157,2154,2320,4473,588,555,1148,5937,6039,11984
LGA13660,1424,1449,2878,248,242,489,305,298,609,3,0,9,79,78,158,0,3,5,0,5,4,0,6,0,0,0,0,0,0,3,0,0,0,393,390,787,10,7,15,10,14,29,660,665,1315,262,231,489,2345,2342,4683
LGA13800,18902,19058,37963,2379,2422,4803,7370,7665,15034,78,73,154,160,145,307,17,22,42,29,30,60,12,13,20,23,21,42,25,28,51,0,0,0,7721,7985,15713,427,463,896,246,274,523,10781,11145,21926,1637,1533,3171,31321,31737,63056
LGA13850,800,790,1589,197,203,395,104,118,216,24,25,51,10,11,22,5,0,3,0,0,6,0,0,0,8,0,8,0,0,0,0,0,0,147,155,305,21,27,48,8,10,14,378,391,766,193,164,360,1365,1348,2717
LGA13910,5218,5372,10594,1158,1252,2412,1253,1401,2653,45,55,99,76,75,158,13,10,23,15,24,38,17,15,26,7,8,10,108,122,225,0,0,0,1531,1705,3236,106,108,222,52,34,85,2845,3100,5945,801,785,1587,8868,9255,18122
LGA14000,43060,44962,88022,3472,3642,7113,16144,16531,32672,267,247,513,224,252,477,97,111,204,109,120,228,18,25,37,20,21,40,78,70,147,0,0,0,16952,17361,34318,4486,5005,9490,344,319,660,25250,26336,51583,2113,2483,4596,70420,73780,144202
LGA14100,3845,4083,7932,363,378,738,1419,1357,2776,25,31,55,17,22,42,5,5,10,11,4,16,5,0,4,5,0,6,9,9,18,0,0,0,1492,1431,2918,238,248,487,23,20,44,2118,2077,4195,356,503,853,6314,6658,12977
LGA14170,41179,44334,85516,4608,4636,9247,25325,26671,51994,826,894,1724,643,723,1371,190,185,376,294,326,619,58,81,142,70,75,142,291,323,618,3,3,9,27709,29291,56995,5902,6178,12082,760,790,1547,38974,40895,79865,4353,3941,8289,84507,89169,173670
LGA14220,4569,4696,9265,1160,1232,2387,1040,1186,2226,31,23,52,238,271,516,4,9,13,16,12,28,8,5,9,14,8,23,0,0,0,0,0,0,1344,1520,2869,188,172,356,53,60,108,2741,2979,5723,943,903,1843,8252,8573,16826
LGA14300,1541,1536,3076,310,344,650,389,364,751,34,27,58,34,37,69,4,0,5,0,6,9,0,0,0,9,9,11,12,17,30,0,0,0,482,457,937,132,55,187,22,7,28,939,869,1808,1021,184,1208,3500,2592,6086
LGA14350,7991,8116,16108,1619,1810,3429,2341,2520,4858,75,79,146,233,266,496,18,17,40,33,23,62,15,16,24,18,18,41,22,21,41,0,0,0,2745,2962,5713,122,147,277,115,112,225,4613,5037,9650,2008,1380,3381,14606,14532,29144
LGA14400,6372,6621,12989,830,924,1754,2393,2657,5049,68,72,141,69,81,152,8,5,12,36,35,74,10,9,22,9,16,23,49,50,93,0,0,0,2640,2923,5561,192,215,408,26,33,59,3689,4096,7781,553,591,1142,10613,11306,21915
LGA14500,34125,36748,70869,2928,3148,6074,13261,14161,27420,290,312,600,213,269,483,103,103,208,124,132,254,23,36,58,9,19,30,116,91,210,0,0,0,14141,15122,29265,4179,4691,8868,204,167,376,21449,23133,44589,1358,1661,3015,56931,61539,118472
LGA14550,2627,2540,5168,409,480,887,524,582,1106,32,37,66,219,249,465,7,6,16,9,22,28,4,8,7,10,9,23,14,6,19,0,0,0,822,910,1732,51,52,103,27,16,45,1309,1459,2766,509,510,1026,4447,4512,8959
LGA14600,1702,1637,3339,416,459,871,246,258,505,13,10,30,17,11,27,9,0,7,9,5,10,0,0,0,0,0,3,5,3,8,0,0,0,294,297,592,54,48,102,13,12,31,779,816,1594,372,389,765,2853,2844,5694
LGA14650,58731,60889,119615,6480,7043,13524,24548,26689,51233,415,452,863,682,764,1450,111,117,234,204,203,404,60,79,144,107,95,206,152,179,329,0,0,0,26279,28586,54867,1341,1602,2943,774,743,1521,34878,37974,72852,4571,4834,9406,98179,103700,201873
LGA14700,8711,9262,17971,1128,1139,2269,5497,5589,11089,136,155,295,146,121,268,37,43,80,66,65,126,18,9,28,16,9,20,41,53,90,0,0,0,5954,6043,11995,1572,1638,3204,125,121,251,8777,8938,17712,605,736,1346,18096,18941,37031
LGA14750,2900,2866,5766,860,980,1842,649,734,1387,58,61,122,62,79,139,9,5,9,10,8,23,4,0,7,4,6,5,20,19,34,0,0,0,819,907,1725,179,184,358,34,41,75,1890,2111,3998,505,488,984,5293,5462,10756
LGA14850,11484,11819,23306,1744,1922,3672,4182,4437,8616,214,233,441,599,647,1242,36,40,79,55,78,129,33,26,60,42,51,92,27,34,54,0,0,5,5187,5538,10726,346,370,716,184,179,358,7459,8009,15467,1726,1720,3446,20671,21553,42228
LGA14870,5909,5927,11832,1020,1072,2095,1686,1748,3436,24,14,42,70,64,130,12,13,19,12,15,27,6,8,18,6,4,11,4,6,12,0,0,0,1827,1867,3693,82,118,203,40,36,79,2968,3098,6068,1158,829,1988,10034,9852,19886
LGA14900,62250,63312,125559,4141,4326,8462,26130,26714,52846,440,390,830,750,657,1402,151,137,290,196,165,360,33,30,64,115,82,194,106,87,187,8,4,12,27925,28270,56194,5435,5949,11388,685,681,1370,38192,39219,77413,7060,6743,13804,107499,109279,216782
LGA14920,2060,2017,4079,425,441,863,525,522,1053,18,17,34,37,51,87,3,5,3,0,3,10,5,0,0,7,18,25,5,0,10,0,0,0,603,620,1221,22,30,57,16,12,24,1068,1101,2173,455,464,922,3588,3585,7168
LGA14950,975,1016,1991,156,175,339,216,201,419,14,20,39,13,8,22,3,0,6,7,4,5,0,0,0,0,0,0,6,0,4,0,0,0,259,242,497,10,9,17,8,11,15,433,432,865,134,125,261,1546,1569,3113
LGA15050,21366,22212,43576,2780,2971,5748,12778,14141,26916,190,195,385,446,490,935,102,106,208,91,91,182,33,28,60,89,96,183,75,77,155,0,0,0,13806,15219,29033,536,642,1178,358,387,744,17477,19222,36695,1898,1834,3733,40737,43271,84006
LGA15240,24715,25629,50344,4782,5253,10025,9997,10672,20670,212,250,468,464,539,1002,37,32,66,89,101,187,42,35,77,56,56,116,65,76,139,4,7,6,10962,11764,22731,449,538,984,312,289,600,16498,17845,34343,3927,4062,7985,45144,47526,92673
LGA15270,6387,6096,12493,1548,1620,3169,2641,2723,5358,38,47,82,167,194,366,15,14,39,38,37,75,13,8,23,19,20,42,8,14,16,0,0,0,2938,3062,6004,133,149,280,83,81,160,4700,4911,9609,1080,1009,2083,12164,12017,24181
LGA15300,3006,2949,5953,664,717,1381,584,647,1229,19,24,47,174,180,356,3,6,5,7,9,19,0,0,4,4,4,6,3,3,9,0,0,0,796,877,1679,76,85,157,27,22,51,1560,1702,3264,1358,1360,2716,5920,6013,11935
LGA15350,6626,7860,14484,858,1001,1867,2979,3560,6543,96,123,212,91,92,184,14,17,38,45,57,105,8,9,17,6,0,3,31,42,73,0,0,0,3274,3902,7175,1127,1294,2422,57,77,135,5322,6270,11597,477,556,1036,12427,14685,27110
LGA15520,3279,3285,6564,532,598,1124,226,278,504,1190,1203,2394,48,65,113,13,20,35,24,17,41,6,5,11,17,9,22,4,6,10,0,0,0,1520,1604,3129,103,97,198,37,31,72,2193,2324,4518,576,524,1101,6047,6139,12184
LGA15560,1002,896,1897,211,186,399,136,162,302,45,54,95,15,15,33,0,0,0,3,3,9,3,5,7,3,3,6,3,0,6,0,0,0,213,243,455,28,18,51,3,4,8,460,452,914,183,173,361,1649,1518,3169
LGA15650,3958,3822,7782,1160,1165,2326,1405,1511,2920,14,16,33,148,143,293,22,20,36,34,20,58,11,8,11,9,11,20,3,3,13,0,0,0,1645,1732,3381,134,140,274,106,76,180,3042,3116,6160,843,539,1378,7845,7480,15330
LGA15700,5315,5496,10809,770,838,1609,1866,2081,3948,115,124,241,206,216,420,19,16,29,44,35,74,12,13,26,26,19,46,18,21,43,0,0,0,2295,2525,4828,93,120,212,81,63,141,3245,3539,6784,895,929,1825,9457,9964,19421
LGA15750,3491,3430,6926,717,749,1469,735,777,1512,29,26,53,113,123,237,12,13,29,8,14,18,0,0,0,12,6,16,3,0,3,0,0,0,910,955,1865,72,64,141,39,29,63,1738,1801,3536,781,700,1482,6004,5938,11943
LGA15800,1552,1580,3130,352,382,736,286,324,606,36,42,80,25,20,49,3,8,11,3,0,3,4,7,7,0,4,5,4,7,14,0,0,0,368,405,778,42,52,97,16,10,34,785,856,1640,309,290,597,2644,2727,5375
LGA15850,1747,1670,3416,348,384,731,352,382,733,8,6,18,31,27,61,9,3,12,9,3,18,0,0,0,4,8,10,0,0,0,0,0,0,415,436,856,18,16,41,11,13,21,796,855,1653,447,438,887,2990,2970,5954
LGA15900,40108,41374,81482,4399,4509,8904,23172,24872,48049,547,614,1158,761,825,1590,175,174,349,211,202,417,82,95,180,158,164,324,312,302,617,9,8,17,25434,27251,52689,3329,3340,6667,809,714,1521,33973,35815,69781,4395,4422,8814,78472,81602,160082
LGA15950,12174,14270,26448,1972,2239,4209,10175,11140,21317,364,427,791,357,386,742,89,103,187,171,158,331,23,25,49,25,22,46,170,180,355,4,4,4,11374,12443,23815,3563,4088,7651,247,248,492,17151,19020,36170,1363,1534,2901,30694,34825,65515
LGA15990,70824,74510,145337,7964,7932,15892,28926,30271,59196,462,516,975,493,507,1001,104,101,212,212,214,426,28,43,72,41,35,76,133,132,266,0,0,0,30408,31821,62228,7268,7805,15063,785,806,1588,46415,48355,94773,4443,4827,9273,121687,127701,249389
LGA16100,1476,1394,2866,271,269,536,463,494,959,17,10,26,32,21,47,6,3,7,7,9,15,0,0,0,0,0,3,0,0,3,5,0,5,526,542,1069,52,38,92,15,6,17,862,858,1715,439,288,729,2777,2534,5318
LGA16150,9815,10474,20284,2375,2542,4925,4873,5337,10210,121,121,237,226,238,466,46,56,105,51,61,108,14,25,38,33,29,59,53,66,121,0,0,5,5420,5921,11349,470,526,994,174,152,328,8443,9147,17590,1278,1311,2584,19533,20924,40459
LGA16200,3820,3891,7711,1061,1157,2216,879,929,1810,33,25,64,73,90,165,14,13,27,18,20,39,5,0,5,11,9,15,10,5,11,0,0,0,1047,1091,2136,71,81,153,33,26,67,2221,2359,4573,625,543,1169,6664,6788,13454
LGA16260,53897,56080,109980,6269,6262,12526,32433,31589,64025,799,734,1532,822,748,1570,286,289,583,405,324,736,66,63,128,77,55,135,218,227,444,5,4,5,35123,34045,69165,17267,17190,34460,939,747,1687,59595,58238,117835,7048,5824,12866,120541,120141,240682
