LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,644,606,1247,1352,1297,2652,556,558,1115,432,389,820,2342,2252,4591,968,1012,1979,390,350,734,337,411,749,1697,1773,3466,112,123,232,113,175,287,287,193,486,277,487,759,5,5,8,791,977,1773,179,441,623,104,200,300,54,95,153,198,395,595,0,0,4,543,1135,1669,1335,2115,3448,77,72,155,119,191,306,0,4,6,206,266,465,1615,1566,3175,7821,8574,16395
LGA10180,310,256,573,771,736,1505,190,168,352,150,202,351,1112,1102,2208,555,541,1092,196,219,411,222,318,540,974,1068,2042,59,39,97,45,83,124,113,84,191,153,243,395,0,0,4,365,446,813,366,608,970,225,259,486,80,98,180,187,298,483,0,0,0,853,1270,2118,1221,1718,2937,43,35,79,22,62,85,0,0,0,67,98,163,1358,1539,2900,5043,5778,10828
LGA10250,458,405,861,1054,928,1978,498,438,938,261,273,540,1812,1642,3459,732,624,1354,483,481,963,225,212,439,1435,1319,2756,65,60,124,50,90,138,182,107,298,198,311,507,0,4,9,492,574,1069,107,207,308,82,165,251,54,92,147,152,328,473,0,5,6,388,794,1183,885,1376,2254,36,23,56,70,134,202,3,0,8,108,154,260,1261,1335,2593,5954,6226,12182
LGA10300,17,21,41,63,44,106,33,26,62,3,0,3,99,74,173,49,44,93,9,26,36,9,7,15,69,77,144,0,0,0,0,0,0,6,4,13,4,5,13,0,0,0,14,15,29,5,10,10,0,7,0,0,0,0,4,10,14,0,0,0,6,22,31,19,38,57,0,0,0,0,0,5,0,0,0,0,7,7,156,156,310,365,374,732
LGA10470,496,465,965,1177,1032,2210,615,584,1201,109,122,232,1903,1746,3646,954,778,1735,325,539,860,309,254,570,1591,1577,3170,46,73,118,35,85,122,221,161,389,191,339,531,0,8,9,495,666,1165,267,454,722,80,135,213,62,87,151,180,342,522,0,6,6,595,1024,1618,1098,1690,2785,26,24,54,57,92,151,3,3,10,83,122,208,2045,1097,3140,7216,6694,13908
LGA10500,1659,1515,3176,3565,3308,6868,1448,1483,2926,528,510,1040,5540,5311,10854,2344,2145,4486,1425,1474,2907,597,556,1154,4376,4188,8567,476,397,875,728,928,1653,609,338,944,1207,1623,2825,12,10,21,3023,3298,6321,2859,3029,5886,1353,1325,2677,359,365,724,759,1139,1900,17,13,35,5340,5878,11218,8382,9189,17575,698,660,1362,927,1122,2047,9,9,16,1638,1789,3423,5304,4986,10296,26900,26984,53886
LGA10550,283,273,558,911,850,1761,188,169,361,161,168,337,1268,1193,2460,617,579,1195,271,269,539,102,99,202,984,953,1940,36,27,66,23,34,61,137,87,224,129,249,376,4,4,3,330,404,731,28,98,126,31,82,114,10,32,39,76,215,290,0,0,0,149,424,575,478,830,1303,27,30,57,33,73,99,5,0,4,60,104,167,1248,1230,2475,4325,4580,8902
LGA10600,105,101,206,340,342,680,100,84,183,111,81,186,549,503,1049,300,320,613,24,32,51,84,62,148,401,412,811,21,21,41,9,29,37,40,30,68,70,100,167,0,4,5,136,177,321,16,43,54,10,55,66,3,11,13,31,115,145,0,3,7,61,224,285,199,409,610,3,9,14,14,27,39,0,5,0,20,39,59,511,525,1038,1787,1986,3766
LGA10650,76,62,136,185,205,385,66,79,146,26,33,56,273,308,583,136,156,295,68,54,125,38,44,81,251,253,504,9,10,11,3,12,15,26,16,44,23,58,82,0,0,0,65,95,160,3,24,27,3,14,20,0,3,9,12,38,52,0,0,0,23,83,111,85,180,267,9,8,10,7,16,24,0,0,0,20,23,40,400,429,828,1104,1253,2356
LGA10750,4797,4387,9182,14147,13235,27381,4036,4115,8152,2060,2091,4153,20287,19470,39752,8560,8250,16814,3948,3753,7698,1890,1783,3676,14423,13811,28240,832,773,1607,843,1371,2215,1266,783,2052,1629,2761,4390,25,17,39,4601,5703,10299,4619,5580,10196,1418,2007,3420,668,786,1452,1356,2038,3394,19,28,48,8082,10429,18512,12713,16179,28890,1104,881,1984,1034,1325,2354,29,25,51,2164,2229,4396,12242,10843,23084,66627,66914,133544
