LGA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
LGA10050,1921,54,4,1983,9,0,0,0,9,4,0,4,12,3,0,19,16,0,0,0,22,0,0,0,22,3,0,26,24,3,0,0,28,4,0,4,34,6,0,42,1690,191,31,20,1928,29,5,32,1962,69,4,2028,281,55,12,13,354,8,5,10,370,51,3,420,0,0,0,5,3,0,0,0,3,0,0,9,1966,249,45,31,2286,37,6,41,2329,117,12,2456,432,41,9,0,485,7,4,13,495,18,0,511,463,55,9,0,530,4,0,6,528,21,0,551,9,3,3,3,25,0,0,0,20,5,0,24,9,0,0,6,12,0,0,0,12,0,0,11,915,98,16,3,1039,9,5,15,1055,44,0,1100,3,0,0,0,3,0,0,0,0,7,0,3,11,4,0,0,16,0,0,0,16,0,0,18,13,4,0,0,19,0,0,0,17,3,0,22,929,103,16,3,1055,12,5,14,1072,48,0,1120,110,28,0,4
LGA10180,843,44,3,892,7,0,0,0,9,0,0,0,9,0,0,9,9,3,0,0,12,0,0,0,12,0,0,12,19,3,0,0,24,0,0,0,24,0,0,24,704,117,16,15,860,3,0,6,869,44,3,918,119,46,5,0,165,8,7,18,180,76,0,251,0,0,0,0,7,0,0,0,7,0,4,11,823,167,18,17,1025,12,6,23,1051,119,10,1179,240,22,0,3,265,0,0,4,267,21,0,287,166,25,0,9,202,0,0,0,202,12,0,215,4,5,0,0,10,0,0,0,8,3,0,12,5,0,0,3,12,0,0,0,12,0,0,13,418,56,0,11,490,3,6,5,492,30,3,529,5,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,9,0,0,0,9,0,0,14,7,4,0,0,11,0,0,0,14,0,0,18,422,60,7,11,498,3,5,7,504,37,3,543,55,18,0,0
LGA10250,1401,55,0,1465,3,3,0,0,6,0,0,0,6,0,0,6,14,5,0,0,13,0,3,0,16,0,0,22,13,5,0,0,21,0,3,0,21,0,0,24,1117,231,38,20,1403,14,11,28,1424,62,0,1489,174,57,10,6,251,3,3,8,249,45,0,302,3,0,0,3,7,0,0,0,7,0,3,6,1295,283,50,28,1652,16,8,30,1684,107,3,1795,309,57,14,4,381,4,0,3,384,23,0,407,375,98,13,4,483,0,0,0,483,29,0,514,18,0,4,0,21,0,0,0,21,0,0,25,3,0,0,4,10,0,0,0,10,0,0,11,704,159,22,15,904,4,0,3,907,54,0,964,0,3,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,6,4,0,7,6,3,0,0,11,0,0,0,11,4,0,8,711,167,22,15,910,4,0,3,918,57,0,972,79,32,4,0
LGA10300,71,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,3,73,0,0,0,73,0,0,73,7,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,3,3,76,0,0,5,79,0,0,0,82,0,3,83,16,0,0,0,15,0,0,0,18,0,0,18,23,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,8,0,0,0,8,0,0,8,36,0,0,6,45,0,0,0,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,6,45,0,0,0,42,0,0,42,10,0,0,0
LGA10470,1436,55,5,1495,6,5,0,0,4,4,0,4,7,0,0,7,21,3,0,0,22,0,0,0,25,0,0,28,26,10,0,0,29,4,0,4,39,0,0,42,1287,138,23,13,1462,8,3,15,1470,54,5,1535,210,49,6,8,272,7,0,7,280,51,0,327,0,0,0,0,0,0,0,0,0,0,7,8,1492,189,25,19,1731,21,3,24,1750,109,13,1872,427,42,19,3,491,0,0,0,498,18,0,514,336,50,3,4,389,0,0,5,392,16,0,404,27,0,3,0,36,0,0,0,36,0,0,35,4,0,0,0,0,0,0,0,7,0,6,8,794,88,30,6,923,7,0,8,927,30,7,964,3,0,0,0,3,5,0,5,8,0,0,8,3,5,0,0,7,0,0,0,13,0,0,12,10,5,0,0,7,6,0,5,16,0,0,12,806,89,30,6,927,10,5,16,941,30,7,979,108,22,0,0
LGA10500,4427,273,11,4714,40,10,4,0,51,9,4,16,63,9,0,74,52,20,5,0,77,11,11,19,88,10,0,103,94,25,8,0,126,22,13,32,154,16,0,178,3320,807,254,70,4456,109,24,131,4584,287,12,4890,781,295,98,46,1219,60,19,80,1303,507,11,1817,14,0,0,6,25,3,0,3,26,8,27,61,4119,1099,355,123,5699,170,42,218,5911,802,53,6774,999,169,43,0,1215,34,3,39,1251,95,0,1347,665,214,53,8,943,20,6,23,969,78,4,1051,105,44,30,3,184,5,0,5,189,20,0,207,9,0,0,8,22,0,0,0,22,3,0,21,1776,433,131,20,2358,60,9,69,2428,190,4,2626,31,3,6,0,36,5,0,6,44,5,0,47,20,8,0,0,34,9,0,10,44,10,0,52,52,13,0,0,70,16,0,14,88,12,0,98,1830,447,132,24,2428,74,12,83,2513,202,4,2722,436,133,58,19
LGA10550,989,44,3,1039,6,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,4,0,4,7,4,0,11,5,3,0,0,5,4,0,4,13,4,0,13,785,148,30,26,990,9,4,17,998,50,3,1056,106,23,5,3,147,4,0,4,152,60,0,207,0,0,0,5,5,0,0,0,5,4,6,16,894,174,37,30,1136,10,4,15,1152,106,11,1272,231,42,11,3,289,0,0,0,289,12,0,304,263,45,8,0,315,5,6,3,323,16,0,336,12,0,9,0,22,0,0,0,22,0,0,22,4,0,0,10,16,0,0,0,16,0,0,18,516,86,23,18,643,5,6,3,645,36,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,4,0,0,0,6,0,0,0,4,0,0,6,514,86,25,18,645,5,6,8,654,33,0,686,42,15,4,0
LGA10600,328,26,3,352,0,0,0,0,0,3,0,3,6,0,0,6,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,5,3,0,0,7,0,0,7,254,67,6,0,330,5,5,12,334,26,3,362,64,16,6,0,89,0,0,0,87,23,0,108,0,0,0,0,0,0,0,0,0,0,0,0,318,83,9,0,416,7,5,11,422,44,3,473,63,29,4,0,100,0,0,0,103,4,0,103,98,42,0,0,140,0,0,5,148,11,0,161,3,0,0,0,3,0,0,0,3,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,170,70,9,7,253,0,6,3,256,22,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,4,0,0,4,172,70,9,7,251,0,3,3,258,22,0,276,42,8,0,0
LGA10650,267,7,4,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,244,15,4,5,264,0,0,0,269,3,4,277,19,3,3,6,28,0,0,0,28,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,260,17,4,13,301,0,0,0,300,14,4,314,77,3,0,0,82,0,0,0,82,0,0,82,76,5,3,3,89,0,0,0,89,0,0,94,5,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,153,13,3,3,178,0,0,0,177,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,5,0,9,154,13,3,3,177,0,0,0,178,3,0,186,17,4,0,0
LGA10750,15439,976,52,16465,269,48,19,10,343,53,3,58,404,30,0,431,308,55,22,3,386,34,9,51,436,26,0,466,578,98,37,16,730,91,16,110,841,59,4,898,12362,1969,1284,258,15870,352,50,403,16272,1040,58,17368,3456,874,498,144,4979,203,45,246,5226,1643,28,6896,49,8,3,83,147,5,0,9,148,17,110,276,15868,2850,1787,488,20996,554,97,648,21645,2694,195,24538,3987,484,303,27,4796,81,17,97,4897,318,14,5223,2159,474,226,33,2886,48,8,63,2944,236,8,3186,369,68,163,3,607,8,4,11,620,37,6,656,33,7,5,56,103,4,0,4,100,11,11,122,6544,1029,693,120,8395,137,32,169,8563,599,37,9194,144,27,6,4,174,40,9,45,224,12,0,236,122,33,10,3,168,19,12,28,192,13,0,205,264,57,13,3,340,55,16,73,414,28,0,443,6809,1086,711,125,8735,200,46,247,8981,623,37,9634,1680,424,232,61
