LGA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA10050,3066,5299,3853,3634,3228,2462,1779,2589,435,26344
LGA10180,1977,3094,1462,1574,1406,1034,521,1499,202,12765
LGA10250,2889,4681,2859,2799,2284,1999,858,2083,316,20775
LGA10300,238,88,107,100,99,54,103,165,21,973
LGA10470,2471,3898,2903,3068,2426,1755,1376,2211,349,20457
LGA10500,11221,22811,9588,8345,12274,7301,4775,7045,1771,85131
LGA10550,2051,2604,2258,2045,1554,1361,866,1994,247,14975
LGA10600,774,1263,722,720,543,401,283,585,87,5365
LGA10650,655,429,468,409,371,251,295,516,67,3454
LGA10750,19194,41583,18583,17512,26627,13373,19335,15007,3733,174929
LGA10800,612,298,372,236,242,158,296,276,50,2545
LGA10850,612,505,517,394,385,224,333,462,70,3503
LGA10900,5050,11051,4582,4321,4485,2425,1453,2435,491,36295
LGA10950,258,159,148,129,91,52,165,166,27,1199
LGA11150,235,159,92,161,107,38,66,99,31,992
LGA11200,105,73,32,76,39,12,35,65,13,446
LGA11250,677,1181,1115,1173,750,637,737,735,155,7172
LGA11300,2318,5659,1768,1891,2459,1630,725,1829,492,18768
LGA11350,2863,4396,2298,2116,1346,1393,470,1470,381,16724
LGA11400,1397,1089,924,637,731,389,480,757,123,6525
LGA11450,8075,11946,8454,6416,9122,5198,4852,4364,1055,59482
LGA11500,6936,13760,8805,8625,10851,6238,8272,7574,1727,72788
LGA11520,9124,16227,3736,3237,6615,3466,1082,2002,838,46315
LGA11570,15477,31057,15371,13787,20494,11945,10162,11943,3358,133597
LGA11600,456,94,139,110,115,35,186,298,23,1468
LGA11650,18585,30741,22054,19613,19738,13860,9014,14666,2564,150834
LGA11700,150,78,19,75,48,7,31,93,10,510
LGA11720,2547,3204,4914,3765,2919,2411,3388,3472,497,27120
LGA11730,2410,3090,2713,3061,2216,1833,1387,2670,394,19770
LGA11750,283,201,353,137,178,109,331,217,28,1844
LGA11800,4144,6729,4519,4882,4148,3316,1610,4135,576,34050
LGA12000,457,265,257,272,210,130,164,192,32,1982
LGA12150,347,191,126,186,138,59,92,206,43,1386
LGA12160,780,599,587,544,438,365,363,724,96,4497
LGA12350,966,676,682,650,550,469,351,728,92,5158
LGA12380,8517,20405,9812,8977,12038,6841,7375,9377,2689,86028
LGA12390,3133,4648,3556,3822,3158,2320,1580,2692,473,25386
LGA12700,702,652,804,462,523,307,408,476,74,4403
LGA12730,728,553,477,495,426,299,251,453,98,3773
LGA12750,1894,2499,2453,2118,1800,1548,782,1687,329,15097
LGA12850,5444,10784,7723,6287,9177,5521,8613,8456,1840,63831
LGA12870,878,615,827,620,559,453,493,921,115,5466
LGA12900,824,628,551,459,404,360,322,526,84,4150
LGA12930,9260,19712,7312,7055,10508,6289,3386,5500,1433,70462
LGA12950,483,246,200,220,141,133,122,204,39,1792
LGA13010,665,423,401,419,363,305,202,476,75,3336
LGA13310,1747,2106,2129,2136,1665,1284,1231,1751,305,14350
LGA13340,1096,713,718,507,562,340,367,602,99,5001
LGA13450,2121,1819,1832,1262,1540,1206,958,2602,344,13690
LGA13550,926,820,812,626,559,437,885,705,104,5873
LGA13660,602,241,167,185,188,110,147,277,33,1952
LGA13800,4647,5217,6151,3478,4828,2562,2829,3043,613,33364
LGA13850,256,133,190,122,134,110,97,228,26,1286
LGA13910,1582,1016,1162,933,837,713,501,1166,156,8050
LGA14000,12708,27084,6698,6350,10286,5149,1836,3634,1062,74803
LGA14100,1600,2312,327,401,797,444,86,160,101,6220
LGA14170,19078,41893,7747,7453,11963,6275,2311,4038,1444,102207
LGA14220,1144,989,877,985,657,688,397,1183,137,7070
LGA14300,471,296,309,352,248,151,226,434,31,2514
LGA14350,1280,1641,1404,1829,1100,986,692,1526,209,10665
LGA14400,1638,2902,1491,1235,1116,639,398,641,148,10213
LGA14500,13052,24359,2888,3678,7215,4063,739,1573,1014,58583
LGA14550,666,507,437,441,345,226,257,539,96,3518
LGA14600,722,296,279,293,245,132,250,267,47,2526
LGA14650,10586,20897,15383,12834,12800,8383,6267,8820,1439,97411
LGA14700,4611,9507,1287,1344,2588,1334,259,544,359,21836
LGA14750,751,648,722,549,558,361,451,922,109,5073
LGA14850,2425,4154,2580,2788,2385,1865,1028,2515,301,20045
LGA14870,935,1112,1377,1161,1068,629,936,945,149,8304
LGA14900,10002,18519,10872,9488,14143,7387,9426,8124,1997,89955
LGA14920,613,377,347,332,296,189,407,435,58,3044
LGA14950,376,170,198,160,126,91,124,146,32,1410
LGA15050,4519,7369,7031,5789,5399,3955,4057,4466,697,43280
LGA15240,4185,5650,4930,5116,3596,3445,2121,4287,694,34019
LGA15270,1591,1607,1998,1261,1110,893,1473,1298,197,11426
LGA15300,995,758,578,567,627,368,546,642,117,5199
LGA15350,3508,5881,587,842,1556,1007,147,296,331,14153
LGA15520,1255,812,769,611,612,418,350,709,116,5646
LGA15560,490,158,177,137,188,71,174,222,33,1644
LGA15650,670,745,1431,755,691,572,1324,1014,150,7359
LGA15700,926,1156,990,1159,741,620,428,922,148,7085
LGA15750,977,779,762,587,587,443,855,695,93,5782
LGA15800,451,295,307,278,230,153,195,376,52,2334
LGA15850,565,341,338,317,253,168,296,324,51,2647
LGA15900,9782,24987,10417,11544,10025,7072,4260,6765,1205,86062
