LGA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,10,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,23,14,13,3,81,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10900,0,0,0,20,14,16,13,8,0,76,0,5,12,51,36,22,23,8,0,159,0,0,0,0,3,11,7,8,0,40,0,5,0,0,0,6,12,6,0,28,3,32,56,208,278,512,554,324,132,2099,0,0,0,7,12,7,14,3,0,48,0,6,0,21,9,18,21,7,7,83,0,4,4,48,36,42,74,74,10,290,0,0,0,0,4,4,8,10,0,28,0,0,0,16,14,12,10,4,0,54,4,3,8,56,21,17,16,13,3,154,0,0,7,24,13,12,9,6,0,64,0,0,0,5,0,3,3,0,0,18,0,0,0,4,3,3,0,0,0,13,0,3,0,20,24,31,32,16,4,137,0,0,0,5,12,15,19,13,8,69,0,5,0,33,28,14,13,0,0,88,0,0,3,17,12,12,3,0,0,53,0,0,4,9,6,14,4,6,0,38,0,4,0,20,23,29,17,8,3,101
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,16,16,14,0,61,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,9,3,4,21,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,6,0,24,0,3,0,0,0,40,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,3,8,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8
LGA11300,0,0,0,9,5,4,3,3,0,24,10,75,527,1681,661,587,330,144,99,4115,0,0,0,0,4,7,29,31,14,82,0,0,4,0,3,12,14,11,9,48,0,5,10,28,19,24,24,14,11,145,0,5,4,16,12,19,5,13,0,67,0,0,6,10,0,0,0,0,0,25,0,0,0,11,4,0,11,6,0,37,0,0,0,4,6,17,56,83,28,187,0,17,62,143,58,84,84,12,3,455,11,46,51,314,66,42,29,17,3,578,0,0,27,104,33,14,14,14,0,209,0,0,0,7,4,0,0,0,0,21,0,0,0,10,0,0,0,0,0,12,0,0,0,16,9,7,9,6,0,44,0,0,4,23,17,54,138,143,105,478,0,0,12,39,15,9,9,0,3,86,0,14,51,238,109,69,39,29,6,558,0,4,15,44,48,79,65,38,14,308,0,0,45,185,30,19,24,14,5,326
LGA11350,0,0,0,32,3,8,3,0,0,47,0,7,0,10,3,5,4,3,0,30,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,4,0,10,0,31,46,238,185,174,168,79,30,956,0,0,0,0,3,0,3,0,0,7,0,0,10,85,20,12,8,3,4,137,0,3,15,87,41,62,51,7,6,268,0,0,0,0,3,0,0,0,0,7,0,0,0,4,5,3,0,0,0,16,0,0,0,16,5,13,3,0,4,38,0,5,0,16,5,3,0,0,0,34,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,18,9,9,0,5,0,47,0,0,11,57,7,9,5,0,3,93,4,0,6,66,31,12,6,3,0,135,0,0,0,7,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,4,0,0,0,10,8,3,7,3,0,29
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,33,28,18,8,115,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,5,10,7,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,8,0,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9
LGA11450,0,0,7,52,55,54,39,20,0,221,0,24,26,214,88,77,50,11,0,501,0,0,0,40,15,40,42,20,4,171,7,16,11,77,17,20,25,11,0,179,4,47,49,228,219,305,254,172,72,1351,0,6,26,327,131,93,40,12,4,641,0,0,0,6,0,4,6,0,0,24,0,5,5,36,17,19,43,32,7,170,0,3,5,15,9,17,13,15,4,78,0,7,6,27,16,12,0,0,0,71,6,76,86,929,115,76,55,6,0,1362,0,8,8,71,36,16,7,4,0,148,0,3,6,57,13,14,8,0,0,94,0,9,45,353,101,84,49,15,5,655,0,20,10,61,25,29,20,11,6,192,0,3,0,26,28,74,107,74,24,338,0,0,5,16,4,5,0,0,3,36,0,0,3,29,12,5,0,0,0,59,0,0,5,58,47,47,26,7,0,189,0,3,9,39,13,21,11,0,0,110
LGA11500,0,0,6,67,69,99,89,73,14,411,0,20,33,434,198,250,126,48,16,1129,0,0,3,44,14,46,60,42,6,214,4,26,24,141,56,75,55,27,9,423,5,27,35,148,190,455,453,309,95,1717,0,24,55,603,363,307,161,78,19,1609,0,0,0,9,9,8,4,9,0,36,0,0,3,31,18,25,69,55,22,229,0,0,5,10,19,36,36,46,6,158,0,9,18,46,22,47,29,3,4,170,27,244,262,1825,471,270,146,62,16,3330,0,11,32,220,94,70,50,10,0,492,0,3,19,55,19,19,17,3,3,130,0,19,70,332,116,65,38,10,8,672,0,11,5,18,18,21,20,28,7,118,3,0,5,21,15,49,61,50,23,226,0,6,8,31,16,8,3,0,0,76,0,0,4,60,22,11,8,6,0,107,3,7,19,190,138,160,92,36,4,664,0,8,16,63,39,57,51,18,4,263
LGA11520,0,0,0,22,15,22,20,7,4,88,13,61,267,2132,460,617,345,134,53,4090,0,0,0,11,8,17,31,20,10,94,0,3,4,50,19,33,64,22,14,210,4,44,47,239,226,195,131,79,34,995,0,0,5,41,27,26,12,15,4,121,0,0,4,35,11,5,11,4,0,73,0,3,0,37,21,20,27,22,7,142,0,4,0,3,12,28,84,150,46,328,3,24,53,241,89,126,132,20,6,705,16,42,47,623,96,65,60,36,14,1002,0,8,30,159,40,29,23,6,0,297,0,9,8,146,25,21,16,0,0,218,0,0,5,17,13,7,5,0,0,41,0,8,8,116,42,38,29,15,3,250,0,7,19,107,73,221,465,514,356,1775,0,3,9,72,33,25,3,0,0,158,7,18,105,695,232,164,88,44,11,1357,0,5,8,53,50,53,61,31,8,263,0,7,22,158,71,55,79,26,9,431
