LGA_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
LGA10050,9,0,0,0,8,0,0,0,8,0,0,9,4,0,0,4,5,0,0,0,5,0,0,8,746,81,12,8,848,11,0,10,861,28,4,889,4,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,8,0,0,0,8,0,0,8,7,0,0,0,10,0,0,0,10,0,0,10,755,83,12,8,856,11,0,10,866,28,4,899,72,17,4,0,91,0,0,5,99,33,0,125,0,0,0,0,0,0,0,0,0,0,0,0,826,99,22,12,955,11,4,14,963,56,4,1026,105,9,0,0,119,0,0,0,123,5,0,122,96,13,0,0,108,0,0,0,108,8,0,111,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,208,19,3,0,230,0,0,0,228,9,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10180,10,3,5,0,19,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,386,45,3,0,437,4,0,4,444,33,0,476,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,11,0,0,13,8,0,0,0,13,0,0,0,12,0,0,11,395,48,3,0,445,4,0,4,453,33,0,488,44,16,0,0,54,0,0,4,57,35,0,96,0,0,0,0,0,0,0,0,0,0,0,3,438,62,4,0,506,4,4,12,512,75,6,591,45,8,0,0,51,0,0,0,57,3,0,56,17,8,0,0,31,0,0,0,31,0,0,29,0,0,3,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,67,15,5,0,90,0,0,0,89,7,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10250,15,8,0,0,22,0,0,0,22,5,0,26,4,0,0,6,11,0,0,0,11,0,0,11,551,117,17,16,700,0,4,0,704,41,3,744,3,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,7,3,0,3,7,0,0,11,7,4,0,0,9,3,0,3,11,0,0,15,563,118,17,13,707,0,4,9,716,45,3,759,58,25,4,0,87,0,0,6,90,14,3,107,0,0,0,0,0,0,0,0,0,0,0,0,616,147,22,21,802,4,4,7,809,54,5,865,69,8,6,0,84,3,0,3,84,13,0,93,72,16,5,7,87,0,0,0,90,3,0,96,7,0,0,0,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,146,26,3,4,174,3,0,4,186,17,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,3,35,0,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,3,37,0,0,0,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,3,38,0,0,0,39,0,0,40,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,8,0,5,0,14,0,0,0,14,3,0,20,4,0,0,0,4,0,0,0,4,0,0,5,692,77,18,6,790,6,4,3,790,34,0,825,3,0,0,0,8,3,0,3,8,0,0,8,0,0,0,0,0,0,0,3,3,0,0,4,5,0,0,0,10,3,0,6,14,0,0,16,695,76,18,6,794,6,3,12,805,32,0,840,57,13,0,0,68,0,0,0,71,25,0,95,0,4,0,0,4,0,0,0,4,0,0,5,750,91,18,3,870,7,3,9,878,56,3,935,103,9,0,0,118,0,0,0,119,4,0,120,66,10,0,0,73,0,0,0,73,6,0,82,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,174,22,0,0,201,0,0,0,201,13,0,210,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA10500,94,32,31,0,160,3,0,3,163,15,0,177,12,0,0,0,19,0,0,0,18,5,5,32,1405,361,126,23,1918,38,10,47,1966,191,3,2164,9,0,0,0,14,5,0,5,20,7,0,27,16,3,3,0,22,5,0,5,26,3,0,26,27,7,8,0,35,7,0,14,44,10,0,55,1431,368,134,23,1956,47,10,60,2009,203,3,2217,332,115,47,11,510,10,8,15,523,219,0,747,0,0,0,3,7,0,0,0,7,0,5,16,1764,484,186,36,2466,54,21,77,2545,424,13,2977,487,89,35,5,615,12,4,16,628,68,0,692,296,128,36,3,461,3,5,13,468,53,0,523,50,24,26,0,96,0,0,0,98,6,0,106,0,5,0,6,8,0,0,0,11,3,0,19,832,238,91,15,1178,18,12,32,1202,137,0,1338,7,0,0,0,15,6,0,6,16,7,0,21,5,3,0,0,11,11,0,9
LGA10550,3,4,0,0,12,0,0,0,12,4,0,12,0,0,0,9,9,0,0,0,9,0,0,9,386,67,4,17,469,0,0,4,471,33,0,509,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,381,67,4,17,473,0,0,0,480,32,0,512,30,11,3,0,49,0,0,0,45,30,0,77,0,0,0,0,0,0,0,0,0,0,3,3,413,79,8,19,519,0,0,7,525,61,3,592,35,5,0,0,38,0,0,0,40,6,0,48,33,9,0,0,41,0,0,0,41,8,0,52,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,4,4,0,0,0,4,0,0,4,69,14,4,5,88,0,0,0,93,18,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10600,0,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,111,39,3,0,157,3,0,3,164,14,0,177,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,111,46,3,0,164,3,0,3,167,14,0,182,22,3,0,0,27,0,0,0,27,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,138,49,3,5,192,3,0,3,197,18,3,214,17,4,0,0,19,0,0,0,19,0,0,19,12,3,3,0,16,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,3,0,36,0,0,0,36,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,6,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,117,8,5,4,137,0,0,0,134,4,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,8,5,4,137,4,0,4,138,4,0,140,10,0,0,0,17,0,0,0,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,137,8,0,6,147,4,0,4,151,5,0,158,14,0,0,0,14,0,0,0,14,0,0,14,3,4,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,309,56,138,5,510,12,4,18,520,30,3,551,10,4,3,34,56,0,0,0,58,9,5,75,4737,826,584,78,6223,109,25,138,6358,528,16,6902,68,11,6,3,92,23,4,24,109,13,0,122,59,14,9,0,82,7,11,18,98,21,0,122,132,24,11,6,170,22,12,40,212,31,0,242,4864,854,594,83,6391,134,41,177,6572,559,16,7146,1163,263,174,39,1637,61,10,76,1710,750,15,2477,11,0,3,10,25,0,0,0,25,0,14,44,6032,1114,768,132,8049,197,53,251,8302,1311,48,9665,1749,247,140,13,2143,48,12,59,2201,185,0,2388,782,214,86,7,1084,16,4,22,1111,128,4,1238,150,34,67,0,251,3,0,5,255,21,0,274,14,8,0,30,48,0,0,0,50,10,0,65,2683,501,296,46,3526,75,15,91,3619,336,4,3960,47,7,4,0,55,11,0,19,72,6,0,82,31,10,3,0,43,3,3,11
LGA10800,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,57,8,3,0,66,0,0,0,66,6,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,8,3,0,67,0,0,0,67,6,0,69,5,0,0,0,7,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,66,7,3,8,76,0,0,0,79,6,0,78,6,0,0,0,6,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10850,6,0,0,0,6,0,0,0,6,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,125,12,3,0,143,0,0,0,148,10,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,12,3,0,143,0,0,0,148,10,0,154,13,4,0,0,17,0,0,0,17,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,138,18,7,3,166,0,0,0,164,8,0,175,10,0,0,0,14,0,0,0,14,0,0,16,11,0,0,0,19,0,0,0,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,27,0,0,0,33,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
