LGA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA11250,7,56,25,12,70,54,12,42,0,285,16,30,16,13,30,42,3,32,72,242,407,976,698,509,1557,1364,375,1127,165,7172
LGA11300,117,82,60,19,73,62,15,31,3,469,117,136,159,47,171,180,21,42,246,1117,2047,2778,2639,1115,3750,3722,757,1506,452,18768
LGA11350,33,150,82,58,66,94,11,48,8,547,48,209,156,81,149,157,22,78,178,1077,947,3954,2702,1792,2318,2583,587,1455,378,16724
LGA11400,6,29,21,22,32,51,18,54,3,238,8,33,18,21,34,42,9,41,49,248,262,885,802,461,1017,1217,427,1342,121,6525
LGA11450,479,294,173,105,410,398,125,197,31,2215,231,287,192,118,556,549,110,224,448,2706,6635,7503,5737,3659,13020,12552,3050,6308,1017,59482
LGA11500,510,276,186,102,503,394,117,163,24,2278,425,420,310,211,935,789,122,206,754,4166,9850,8820,7086,4628,18517,14004,3205,5104,1579,72788
LGA11520,284,208,117,81,243,228,47,129,9,1346,164,229,197,84,368,432,74,218,332,2097,4102,5772,4577,2607,8950,10875,2730,6017,675,46315
LGA11570,1565,736,502,243,822,729,175,242,83,5104,1197,863,719,363,1478,1195,182,362,1755,8105,22640,17623,14277,7782,28765,24625,5103,9268,3518,133597
LGA11600,0,9,0,3,3,3,0,6,0,29,3,7,0,5,12,10,10,19,13,72,49,154,116,76,185,274,124,447,44,1468
LGA11650,1314,905,534,291,1095,916,247,414,79,5803,508,758,563,326,1074,1078,210,517,1050,6083,16228,23823,17758,11348,29751,28195,7210,14128,2398,150834
LGA11700,0,0,5,0,5,0,0,4,0,13,0,0,4,0,4,5,0,3,6,29,13,54,36,30,51,110,26,174,12,510
LGA11720,83,181,142,89,290,254,81,114,13,1243,75,117,76,63,251,221,52,113,219,1187,2024,3873,3168,2132,5534,5140,1561,3196,486,27120
LGA11730,26,118,102,69,163,158,32,86,10,763,58,115,72,35,131,113,23,84,210,840,989,3218,2643,1874,4012,3294,923,2375,447,19770
LGA11750,3,6,3,3,5,14,3,17,0,61,9,7,4,0,9,10,3,11,15,63,108,170,166,89,229,300,142,592,50,1844
LGA11800,45,199,169,132,336,274,71,130,16,1364,62,212,124,89,257,210,29,112,267,1368,1586,5754,4710,3296,7136,5772,1727,3434,642,34050
LGA12000,0,13,7,9,14,22,0,6,0,68,3,4,8,7,14,10,3,9,15,75,68,247,215,146,383,384,115,377,36,1982
LGA12150,5,6,4,4,6,5,3,3,0,39,0,12,7,3,6,9,4,8,20,74,54,146,120,124,211,265,91,330,43,1386
LGA12160,3,21,20,12,24,38,7,16,6,147,7,17,20,18,21,31,9,29,49,197,216,582,567,363,822,857,276,695,128,4497
LGA12350,4,22,23,11,53,41,15,33,0,205,14,19,20,19,30,45,16,35,48,242,222,707,639,420,976,953,303,834,118,5158
LGA12380,561,336,242,104,481,388,81,125,31,2339,726,637,650,298,1192,908,141,225,1575,6347,11261,10878,10180,5059,20437,17268,3046,5010,2885,86028
LGA12390,27,128,104,73,237,208,65,127,10,972,47,108,69,32,193,160,46,114,240,1004,1063,3070,2541,1843,6023,5185,1541,3613,511,25386
LGA12700,4,29,27,18,35,46,11,21,0,201,14,20,11,16,30,32,13,26,26,190,261,641,525,390,708,841,257,682,103,4403
LGA12730,4,14,17,4,21,33,12,19,0,135,13,16,14,6,29,23,8,11,35,157,153,537,415,287,716,653,252,689,82,3773
LGA12750,25,96,81,56,132,129,23,50,8,605,40,107,68,50,90,95,16,40,143,651,893,2780,2122,1463,2937,2540,619,1407,350,15097
LGA12850,877,325,277,80,426,351,85,116,48,2591,621,525,427,247,1223,695,112,187,913,4950,10863,8279,6491,3720,15591,10882,2263,3944,1797,63831
LGA12870,9,28,23,13,29,50,13,28,0,193,26,29,23,16,39,45,6,19,41,243,314,795,614,430,960,1148,283,816,95,5466
LGA12900,3,12,17,9,32,50,13,31,4,174,9,24,11,7,36,30,7,26,38,177,141,499,443,330,747,814,271,793,113,4150
LGA12930,500,328,216,115,397,341,102,170,25,2198,355,360,342,151,670,634,92,191,664,3456,9370,9166,8300,4527,15018,13897,2951,5911,1328,70462
LGA12950,0,6,8,4,9,17,0,9,0,56,7,12,0,6,16,14,0,15,21,92,81,235,179,146,280,319,78,421,48,1792
LGA13010,6,19,17,16,28,33,4,29,0,157,9,17,16,6,29,23,0,21,43,164,143,525,431,261,588,552,148,602,89,3336
LGA13310,21,62,66,45,133,145,32,81,6,585,27,58,35,32,97,99,23,67,121,559,733,1856,1589,1077,3204,2814,827,1957,293,14350
LGA13340,11,26,15,18,32,39,14,34,3,186,17,16,9,11,32,45,3,30,44,213,256,698,555,411,784,923,301,964,102,5001
LGA13450,14,61,61,36,115,105,36,66,5,497,19,69,58,43,212,129,26,55,153,764,424,1670,1352,1047,3545,2751,878,1723,308,13690
LGA13550,10,37,25,14,57,53,15,53,0,271,5,15,19,3,35,27,17,28,58,204,256,701,569,413,968,953,449,1444,116,5873
LGA13660,0,12,0,3,8,11,0,6,5,49,4,12,6,3,7,8,0,12,15,71,54,250,225,136,260,344,97,539,50,1952
LGA13800,309,225,156,77,247,341,88,205,21,1664,188,203,130,68,266,289,71,144,255,1611,3619,4874,3524,2091,6161,6647,1731,4128,590,33364
LGA13850,0,7,0,0,4,8,0,7,4,45,6,12,6,3,7,10,4,10,22,83,41,173,129,102,206,236,67,285,45,1286
LGA13910,16,43,44,18,70,54,19,29,7,302,15,47,16,18,65,69,15,40,97,387,370,1102,911,666,1427,1556,495,1316,215,8050
LGA14000,436,415,212,137,372,375,104,214,15,2282,167,331,234,161,575,694,121,293,389,2966,5970,10509,7608,4691,14716,18164,4089,8278,778,74803
LGA14100,40,25,14,10,34,24,7,15,3,168,6,45,33,12,41,59,18,37,24,279,547,887,704,359,812,1270,379,1208,67,6220
LGA14170,521,459,358,187,589,515,145,258,23,3063,241,388,346,197,659,930,208,441,502,3906,8460,11453,9568,6022,19767,24253,6881,14716,1091,102207
LGA14220,10,38,37,23,77,47,26,30,0,289,20,37,23,20,55,48,8,25,71,306,287,942,772,634,1501,1254,431,1065,188,7070
LGA14300,0,6,3,3,15,8,5,12,7,71,3,7,0,4,13,16,7,7,15,82,114,298,246,181,500,500,162,442,69,2514
LGA14350,9,62,55,32,84,52,20,47,9,359,23,65,46,15,80,65,13,36,116,458,591,1791,1489,1039,2128,1786,463,1105,289,10665
LGA14400,29,56,39,24,45,49,14,25,3,296,21,36,31,27,36,57,11,26,57,300,811,1798,1260,758,1766,1950,586,1150,130,10213
LGA14500,235,266,170,104,203,234,65,127,13,1409,124,312,220,115,337,544,118,350,312,2426,4451,9080,5926,3373,8853,13577,3546,9199,588,58583
LGA14550,3,17,19,16,19,26,3,10,0,106,14,30,19,11,26,14,5,24,37,184,164,547,501,372,582,535,153,579,88,3518
LGA14600,0,16,7,9,6,26,8,17,0,89,9,13,15,16,17,19,3,16,20,137,102,302,263,197,305,487,166,652,61,2526
LGA14650,308,692,485,289,864,791,226,336,39,4042,193,385,302,211,638,706,161,324,547,3468,6109,14622,12121,8226,20212,19545,5481,9840,1248,97411
LGA14700,112,101,67,34,99,106,34,51,8,624,47,76,69,42,153,220,39,113,84,836,1506,2472,1953,1176,3975,5528,1503,3554,180,21836
LGA14750,0,31,31,12,23,50,14,36,0,207,12,16,18,14,34,45,16,30,46,224,173,604,531,341,1001,1188,363,767,106,5073
LGA14850,33,120,100,73,187,180,36,81,9,813,44,116,80,74,140,144,21,65,128,806,934,3122,2907,2082,4215,3464,966,1982,362,20045
LGA14870,23,74,32,21,55,57,26,33,4,318,25,26,31,22,54,48,8,41,63,320,586,1219,1005,608,1679,1658,476,908,170,8304
LGA14900,779,350,253,138,560,507,113,168,43,2911,637,507,380,226,1131,826,136,269,984,5091,13270,10956,8595,5312,21643,17880,3634,6547,2125,89955
LGA14920,0,20,10,4,34,20,5,8,3,113,7,13,15,6,23,26,4,18,19,144,131,388,330,232,532,554,182,624,78,3044
LGA14950,0,0,0,3,3,20,3,9,0,37,3,10,0,0,7,7,0,3,13,51,62,188,136,92,238,253,90,319,33,1410
LGA15050,116,288,218,138,364,392,113,204,24,1845,88,179,138,75,296,343,95,183,265,1649,2557,6086,4890,3293,9176,8537,2780,5389,571,43280
LGA15240,59,209,158,113,251,243,72,141,15,1267,108,208,146,98,228,189,45,111,362,1499,1856,5771,4772,3356,6420,5696,1608,3651,891,34019
LGA15270,16,63,43,37,80,94,27,89,10,453,18,71,23,17,48,60,15,54,95,397,585,1599,1364,836,1802,2113,757,2116,254,11426
LGA15300,10,26,23,13,50,47,6,47,4,222,17,27,18,7,34,32,11,46,54,240,198,520,468,359,887,989,337,1293,138,5199
LGA15350,48,76,39,18,31,54,15,32,11,328,39,72,64,34,80,121,21,94,76,602,950,1845,1354,817,1900,3157,937,3007,178,14153
LGA15520,6,27,22,15,25,27,15,23,5,165,12,29,15,17,34,46,14,20,45,239,328,843,645,466,878,1042,302,1022,118,5646
LGA15560,0,4,0,3,10,15,5,12,0,48,0,9,4,0,8,10,0,4,16,53,71,182,172,90,306,298,101,388,35,1644
LGA15650,9,37,30,15,58,64,32,50,0,302,14,30,19,14,32,44,15,29,73,272,363,915,783,459,1355,1408,578,1340,149,7359
LGA15700,12,44,29,16,64,47,20,24,3,252,27,57,38,21,48,35,9,27,89,352,358,1365,1052,696,1363,1039,285,736,191,7085
LGA15750,6,24,18,17,56,53,24,40,5,235,12,25,13,20,44,46,11,58,45,275,222,655,545,394,1076,995,368,1381,145,5782
LGA15800,3,18,11,9,24,10,3,18,5,92,3,6,7,4,7,11,5,8,8,73,98,303,285,159,423,475,124,423,40,2334
LGA15850,0,5,6,3,18,22,12,24,4,101,6,17,3,3,20,26,6,28,25,132,109,255,281,198,445,474,169,650,71,2647
LGA15900,168,506,399,253,559,524,136,281,12,2833,130,364,237,162,549,555,129,226,481,2836,5050,13682,10622,7208,17673,17098,4872,8811,1046,86062
LGA15950,171,179,97,45,149,154,55,84,4,940,62,151,126,72,265,443,102,271,176,1663,2467,4051,3167,1922,7428,11157,3235,7365,398,41183
LGA15990,985,800,507,273,644,773,207,421,34,4633,359,769,640,364,998,1487,339,790,712,6445,11640,20172,15050,8877,20937,30593,8225,19232,1502,136223
LGA16100,5,12,8,4,0,13,4,15,0,63,8,14,6,10,30,35,4,28,28,164,124,288,256,152,441,455,164,497,70,2452
LGA16150,34,106,107,52,164,164,64,137,10,837,18,73,48,28,129,121,23,70,138,647,876,2734,2180,1422,4431,3957,1446,3106,292,20446
LGA16200,6,36,28,12,54,58,27,36,0,253,11,30,13,19,35,45,4,24,50,228,261,767,644,472,1198,1123,456,1169,101,6197
LGA16260,695,518,322,169,673,614,134,231,41,3400,518,602,538,285,1316,1318,168,341,1165,6259,13303,14862,11980,6487,29187,30224,5278,9476,2246,123037
LGA16350,793,465,319,155,728,698,185,355,32,3734,399,479,379,234,1124,991,195,378,882,5051,11220,12412,9960,6369,23896,21222,5234,9901,1885,102094
LGA16380,55,249,184,133,322,291,83,141,13,1471,60,181,85,70,203,183,33,97,242,1156,1723,6115,4472,3475,7342,6415,1788,3711,553,35597
LGA16400,103,206,177,115,264,283,69,109,20,1344,82,151,85,81,220,186,42,138,259,1250,2232,5131,3806,2453,6164,5701,1728,3198,580,30986
LGA16490,54,158,123,69,267,273,89,168,6,1207,45,125,86,58,227,286,62,134,198,1224,1630,3714,3139,2264,7946,8532,2564,4510,485,34789
LGA16550,373,347,230,122,322,359,86,171,20,2029,168,340,254,135,403,699,149,371,466,2994,5753,8796,6889,3951,12220,16459,4263,9743,1010,69077
LGA16610,20,43,34,33,99,55,10,38,4,339,21,45,38,34,92,74,16,54,67,434,469,1236,1151,1047,1978,1525,405,1089,226,9119
LGA16700,358,340,222,96,351,315,74,150,22,1928,201,289,262,120,613,702,117,185,528,3018,5902,8313,6414,3540,14850,15871,3349,6316,1004,65564
LGA16900,300,178,112,67,259,232,59,116,18,1354,125,150,105,58,238,202,45,100,222,1247,3728,5017,3889,2546,7236,6550,1884,3125,547,34522
LGA16950,100,282,225,114,342,305,68,156,25,1618,107,233,115,101,267,261,65,115,346,1613,2517,7488,5601,3579,8266,7654,2065,4309,811,42293
LGA17000,28,61,68,28,98,118,40,80,12,530,25,55,29,21,65,84,22,63,111,467,720,1585,1291,707,1933,2335,905,2368,259,12105
LGA17040,12,40,35,27,60,78,20,62,0,329,6,56,34,28,61,81,22,66,91,438,455,1562,1391,876,2024,2022,677,1865,198,11068
LGA17080,9,26,17,14,34,40,11,37,0,194,23,35,11,10,44,54,20,44,68,309,311,882,733,520,1220,1202,370,1170,143,6549
LGA17100,115,84,51,32,116,80,23,39,5,549,89,149,157,72,246,233,30,43,299,1320,2047,3169,2813,1404,4980,5162,931,1769,530,22795
LGA17150,973,664,425,254,667,798,187,372,38,4390,324,576,379,240,712,1000,216,481,514,4436,11778,16711,12503,7528,20844,25746,6940,14108,1292,117444
LGA17200,749,516,299,156,566,501,137,247,37,3200,324,614,560,257,974,1395,285,688,890,5981,10773,14184,11448,5863,24684,31189,8212,18785,1742,126888
LGA17310,41,143,130,82,305,242,68,147,7,1173,54,111,68,66,195,177,42,126,230,1059,1220,3673,3015,2232,6257,5912,1708,4141,485,28644
LGA17350,3,16,8,6,16,34,10,10,0,106,11,12,6,7,10,13,0,10,21,91,107,426,305,189,442,521,170,458,67,2685
LGA17400,6,14,8,3,7,17,4,12,0,73,7,21,14,6,13,20,5,12,40,134,98,411,295,226,331,388,110,485,77,2431
LGA17420,640,529,288,157,482,510,125,286,19,3034,277,482,314,176,794,997,197,421,560,4218,8681,12857,9163,5274,19400,23614,5137,11130,1220,96477
LGA17550,131,281,216,143,295,252,73,155,28,1572,128,327,198,108,286,275,50,160,355,1891,2466,7272,5786,3994,7347,6778,1841,4367,828,40678
LGA17620,3,43,20,14,56,52,14,38,4,239,10,32,16,9,30,40,13,25,65,239,276,835,693,434,1229,1337,494,1327,161,6784
LGA17640,3,16,17,11,30,35,0,19,4,141,10,19,10,10,29,26,6,16,21,153,201,568,446,286,693,752,205,765,79,3997
LGA17650,5,15,9,8,23,15,5,8,0,85,9,11,13,4,10,19,0,10,9,91,136,378,340,226,570,465,144,387,45,2688
LGA17750,44,165,174,117,322,330,83,172,16,1427,38,122,109,78,253,243,57,136,253,1283,1309,4462,3548,2486,7643,6703,2144,4415,569,33283
LGA17850,0,7,0,5,6,6,3,3,0,31,4,5,6,6,0,5,3,11,9,49,45,161,167,106,168,238,104,359,34,1379
LGA17900,0,0,3,0,9,14,5,7,0,36,3,0,0,3,0,4,5,11,21,52,82,199,170,118,271,258,83,439,46,1668
LGA17950,0,0,3,0,5,6,0,10,0,23,4,5,5,0,9,9,0,5,15,45,32,99,91,78,142,210,57,368,33,1106
LGA18020,0,15,4,5,18,19,8,11,0,92,13,22,7,17,16,20,7,17,29,143,142,489,390,263,478,583,205,752,92,3401
LGA18050,208,219,144,67,138,158,32,82,14,1065,98,221,178,102,267,510,128,327,281,2104,2767,4455,3632,2064,5509,9647,2657,6903,593,38229
LGA18100,0,8,3,3,3,10,0,4,0,42,0,6,3,0,8,10,4,3,8,48,64,207,181,123,161,283,99,332,29,1487
LGA18200,6,23,16,11,13,18,3,20,0,115,6,18,5,10,35,28,9,14,27,146,162,414,314,227,603,606,175,609,67,3174
LGA18250,192,192,107,53,165,142,37,82,7,974,103,173,126,72,264,377,83,196,200,1595,2811,4865,3714,2037,6379,9159,2259,5672,417,37312
LGA18350,65,181,111,82,142,190,59,107,9,943,61,152,90,53,134,174,45,137,143,993,1389,4073,3028,1860,3973,4562,1411,3252,416,23960
LGA18400,203,180,86,56,201,216,70,139,16,1168,100,146,95,45,228,242,56,125,182,1221,2810,3802,2725,1661,4947,5224,1416,3463,483,26528
LGA18450,877,527,344,156,630,668,139,304,38,3676,300,418,325,176,590,681,135,300,596,3512,10308,15081,11380,6724,19823,18631,5309,9458,1304,98020
LGA18500,130,114,71,39,79,93,25,73,9,625,73,183,140,70,127,320,95,281,204,1492,1822,3602,2688,1475,3480,6505,1989,6242,433,28230
LGA18710,7,41,34,32,66,67,25,39,0,314,8,38,21,14,46,58,13,31,48,266,441,1197,929,631,1717,1970,627,1368,120,9001
LGA19399,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,4,0,0,0,17,41,74,50,43,69,84,18,174,11,556
LGA19499,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
