LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA10800,973,21,4,12,9,1014,562,5,0,6,5,574,84,23,17,0,0,123,25,0,3,0,0,32,3,10,0,0,0,17,128,8,5,0,5,143,50,4,11,7,4,72,4,0,3,0,0,0,297,50,32,7,4,388,106,7,0,3,10,122,32,3,0,4,12,50,1968,90,44,21,34,2151
LGA10850,1089,15,0,6,0,1108,938,9,0,4,8,959,284,49,15,0,0,343,39,9,5,0,0,49,20,5,4,0,0,24,143,4,0,3,0,154,19,0,0,0,0,25,6,0,0,0,0,6,506,65,25,6,5,600,62,0,0,0,0,59,30,0,0,0,0,33,2628,82,22,13,8,2763
LGA10900,11905,404,159,6,10,12483,11566,178,91,4,6,11848,2863,341,333,21,9,3563,75,83,47,0,0,207,132,143,106,4,0,387,987,77,78,5,5,1150,61,12,17,3,4,92,22,4,7,0,0,33,4141,653,583,35,23,5435,285,84,82,0,9,460,236,17,30,0,19,303,28125,1339,943,47,71,30528
LGA10950,356,9,0,4,6,370,217,0,0,0,3,229,33,4,0,0,0,39,24,13,0,0,0,38,12,8,0,0,0,16,76,15,0,0,3,90,44,12,0,0,0,64,9,0,0,0,0,6,196,43,6,0,3,252,35,0,0,0,0,40,33,0,0,0,3,36,840,47,6,11,22,923
LGA11150,235,0,0,8,3,246,165,0,0,0,0,168,34,0,5,0,0,39,45,0,6,0,0,48,33,0,0,0,4,36,50,0,0,0,0,50,68,5,5,3,0,85,0,0,0,0,0,0,238,9,13,3,5,264,37,0,0,0,4,46,40,0,0,0,10,49,717,10,15,7,23,774
LGA11200,106,3,0,0,5,119,45,0,0,0,0,47,13,0,0,0,0,14,85,17,3,0,0,105,50,3,0,0,0,52,19,3,0,0,0,21,29,3,0,3,0,34,0,0,0,0,0,3,196,27,3,7,4,236,34,0,0,0,0,36,29,4,0,0,3,38,417,36,3,5,15,473
LGA11250,3032,28,3,4,3,3071,2179,8,0,0,4,2195,655,57,67,0,0,779,82,26,13,0,0,116,34,12,20,0,0,72,521,25,17,0,6,567,151,10,20,0,4,186,4,3,3,0,0,22,1446,139,149,3,10,1742,113,0,18,0,5,140,134,5,15,3,0,159,6910,177,186,8,25,7308
LGA11300,2331,762,646,9,5,3751,1484,645,1068,0,0,3199,630,423,3954,70,49,5129,6,110,197,0,0,312,21,12,68,0,0,103,209,106,527,10,9,855,43,24,141,0,3,208,4,7,32,0,0,39,911,676,4916,84,63,6649,70,40,183,0,4,301,72,28,129,0,16,243,4871,2152,6944,96,77,14137
LGA11350,4184,345,146,152,14,4832,3182,304,105,19,7,3621,1087,403,221,29,15,1753,42,17,27,0,0,90,64,35,57,0,0,151,1223,196,172,66,19,1669,117,10,5,67,6,212,20,9,6,0,0,34,2552,668,487,157,44,3907,213,30,19,16,5,283,168,28,14,15,4,232,10293,1375,773,353,76,12875
LGA11400,2081,11,10,87,0,2187,1612,10,0,63,3,1693,260,22,17,4,0,303,18,6,0,0,0,23,8,7,15,4,0,28,291,7,3,11,3,318,76,4,0,0,0,77,5,0,0,0,0,5,666,39,34,19,3,767,172,3,4,13,0,189,72,5,3,3,0,83,4599,69,55,185,8,4913
LGA11450,6915,317,60,113,16,7422,18884,603,84,3,13,19586,6537,749,134,11,15,7445,266,71,41,0,0,374,45,85,0,0,0,133,891,96,21,7,9,1024,165,14,3,15,0,200,33,7,0,0,0,47,7941,1035,191,28,20,9214,335,204,19,0,10,566,321,32,10,11,8,383,34397,2192,365,153,62,37171
LGA11500,11351,1299,440,0,7,13095,19891,2312,697,0,19,22920,8245,2247,1639,8,18,12159,2580,1750,207,0,3,4543,160,199,110,0,4,474,1472,281,151,0,8,1912,195,49,32,0,0,273,51,22,10,0,0,87,12705,4558,2155,10,33,19456,383,359,301,0,5,1054,569,177,86,0,15,843,44903,8701,3674,16,71,57368
LGA11520,6209,967,3512,37,5,10731,4415,1100,4330,69,7,9920,1413,770,8116,209,20,10530,71,171,384,0,0,626,20,26,159,0,0,211,337,120,862,40,9,1367,35,57,176,5,4,287,6,0,27,0,0,43,1881,1155,9734,256,37,13062,136,56,242,11,0,437,137,34,192,7,3,367,12769,3307,18011,373,48,34512
LGA11570,25765,3892,3619,76,17,33376,21462,6588,6871,102,35,35046,8739,3803,15369,272,92,28279,2307,1949,3244,0,12,7514,277,548,847,3,10,1678,2967,810,1691,72,33,5571,689,158,407,20,14,1291,93,48,119,10,6,274,15066,7317,21677,373,167,44598,1002,288,534,16,12,1847,1105,312,704,15,19,2154,64393,18398,33403,586,251,117031
LGA11600,365,0,0,4,4,369,190,0,0,4,0,194,33,0,0,0,0,40,8,0,4,0,0,14,9,0,5,0,0,7,110,0,6,3,0,122,64,0,5,6,7,85,4,0,0,0,0,4,231,0,23,8,8,270,95,0,0,6,3,103,29,0,0,5,0,34,911,0,23,20,16,965
LGA11650,37541,5025,2517,340,48,45475,40498,2468,1683,66,37,44753,16035,3790,4626,312,89,24857,1236,1307,781,5,14,3330,361,373,368,5,3,1107,4281,647,654,59,32,5669,659,137,61,122,11,991,118,41,40,9,0,206,22687,6295,6529,510,144,36168,1233,1499,534,25,12,3301,1258,454,229,40,34,2012,103225,15743,11486,983,280,131713
LGA11700,193,0,0,0,26,227,45,0,0,0,4,46,6,0,0,0,0,7,66,7,6,0,3,76,52,4,0,0,0,53,20,0,0,0,7,28,39,7,0,0,5,53,0,0,0,0,0,0,174,20,3,0,17,217,41,0,0,0,20,62,26,0,0,0,10,32,480,21,6,7,73,591
LGA11720,6759,277,16,31,24,7112,8450,186,27,3,13,8678,3345,846,162,8,7,4370,318,153,37,0,0,520,61,64,7,0,0,135,852,77,22,3,0,956,104,13,6,0,4,129,23,14,3,0,0,38,4711,1169,243,18,11,6150,239,57,9,4,0,307,257,35,10,0,3,311,20413,1731,300,59,50,22556
LGA11730,8618,340,164,313,28,9464,5455,152,49,67,5,5729,1804,449,432,25,12,2725,203,58,41,0,0,297,83,109,24,0,0,219,1114,135,129,25,12,1408,133,20,19,88,3,267,30,19,5,5,0,54,3362,789,648,140,29,4968,264,24,31,15,11,340,331,49,29,21,12,433,18018,1345,916,560,89,20932
LGA11750,491,0,0,9,0,503,376,0,0,5,3,382,114,23,22,0,0,156,49,3,9,0,0,65,18,4,7,0,0,27,73,0,9,4,0,93,79,12,16,0,0,106,3,0,0,0,0,5,334,46,62,5,0,448,38,0,0,0,0,45,33,0,0,0,0,34,1270,44,68,20,9,1409
LGA11800,9254,884,615,305,45,11107,7890,568,323,29,12,8819,2726,1111,1358,15,20,5236,366,217,196,3,0,780,201,133,126,0,0,460,1265,270,274,29,14,1850,181,43,25,90,15,350,35,17,14,0,3,70,4781,1792,1986,139,53,8752,311,177,69,13,5,580,314,82,79,30,11,515,22545,3508,3078,521,127,29774
LGA12000,725,8,6,5,6,745,537,3,0,0,0,544,89,5,4,0,0,103,4,0,3,0,0,8,8,3,0,0,0,9,113,4,0,0,0,120,22,0,0,3,0,22,6,0,0,0,0,6,237,10,10,3,0,266,63,0,0,3,0,66,34,0,0,0,0,39,1600,23,13,10,6,1649
LGA12150,496,0,4,0,4,503,290,4,0,0,0,292,65,0,14,0,0,77,78,5,8,0,0,91,31,5,4,0,0,35,114,0,3,0,0,117,36,13,5,0,3,49,3,0,0,0,0,6,329,21,38,0,0,386,60,0,7,0,0,69,47,0,0,0,0,52,1216,23,43,3,10,1303
LGA12160,2053,33,16,10,4,2116,1112,14,9,0,5,1136,314,103,30,4,0,445,151,7,22,0,0,176,0,0,0,0,0,0,233,27,3,8,3,276,57,8,3,3,0,68,5,6,0,0,0,7,764,142,59,12,6,978,137,26,0,3,0,163,87,9,0,0,0,96,4150,214,83,31,17,4490
LGA12350,2154,53,0,11,4,2225,1326,23,3,5,4,1355,464,138,44,3,0,642,145,10,18,0,0,169,28,9,5,0,0,41,299,25,3,0,3,334,51,11,3,4,0,64,14,4,0,0,0,17,992,194,79,9,4,1274,118,11,0,0,0,125,92,6,7,0,0,105,4678,278,90,24,11,5081
LGA12380,13282,1629,1840,17,9,16770,12349,3658,5036,30,26,21095,6431,2838,11468,74,116,20925,972,1279,1682,0,8,3940,130,306,710,0,0,1147,1999,495,1154,26,37,3707,636,124,326,14,20,1117,92,35,97,4,0,228,10258,5074,15425,122,180,31067,590,193,353,6,4,1145,782,233,541,7,28,1589,37257,10796,23184,189,242,71666
LGA12390,5452,264,77,36,15,5850,6372,124,28,6,13,6544,2499,645,630,22,14,3810,393,100,161,0,0,649,118,50,46,3,0,225,984,64,58,12,9,1120,123,20,49,5,6,213,30,8,14,0,0,56,4154,890,965,44,26,6074,219,175,52,6,4,451,254,45,37,8,15,358,16444,1502,1159,100,70,19279
LGA12700,1457,4,0,23,6,1497,1378,6,0,3,3,1393,243,29,0,0,5,283,17,0,0,0,0,22,9,0,0,0,0,7,180,3,0,0,0,185,30,6,0,3,0,38,3,0,0,0,0,3,481,38,10,4,8,536,75,8,0,4,0,89,70,0,0,0,0,72,3469,55,8,32,16,3578
LGA12730,1292,49,4,8,4,1352,965,13,6,0,3,979,321,157,11,3,0,484,51,15,0,0,0,71,25,14,0,0,0,34,152,17,0,0,0,173,50,9,0,0,4,60,3,0,0,0,0,0,597,206,16,4,3,827,91,3,0,0,0,97,55,12,0,3,3,74,2998,281,16,10,18,3331
LGA12750,7239,478,250,210,21,8193,3736,134,73,6,8,3954,1222,327,413,13,0,1976,172,109,56,0,0,341,94,48,22,0,0,168,824,98,94,16,0,1031,80,16,9,58,7,175,24,12,6,0,0,40,2420,604,608,86,17,3730,237,123,32,8,7,400,243,42,18,14,6,325,13873,1379,974,322,51,16603
LGA12850,16795,1168,1160,27,12,19160,13281,1813,1320,14,22,16454,7500,1845,3976,54,94,13457,1457,1613,828,0,6,3912,257,349,394,0,0,1005,2323,371,636,18,15,3371,814,127,229,43,24,1235,113,39,57,0,0,205,12463,4341,6118,112,141,23182,656,128,144,6,8,945,786,150,222,3,7,1181,43987,7598,8970,173,191,60918
LGA12870,2220,153,5,28,6,2416,1458,39,5,9,0,1507,413,218,10,7,0,645,33,5,0,0,0,33,5,11,0,0,0,14,230,44,3,0,8,290,44,7,0,8,0,64,6,8,0,0,0,20,737,287,16,16,3,1062,101,39,0,0,0,144,87,18,0,0,0,106,4610,532,27,51,15,5231
LGA12900,1283,29,10,13,3,1349,1033,15,5,3,0,1059,321,67,103,5,0,502,113,10,14,0,0,134,8,0,5,0,0,19,199,19,12,0,0,229,49,0,5,9,0,59,6,0,4,0,0,12,699,95,137,22,0,957,110,4,7,0,0,122,67,6,8,3,0,90,3192,156,162,44,6,3563
LGA12930,12456,1879,2849,29,3,17215,9733,1929,4531,36,9,16241,2913,1157,9035,174,49,13325,253,427,529,0,0,1207,60,89,174,0,0,329,804,185,1088,48,9,2139,136,90,122,11,7,365,23,5,41,0,0,72,4200,1957,10989,230,65,17438,342,143,320,12,4,820,328,92,253,0,9,687,27051,5995,18946,308,93,52401
LGA12950,633,15,0,8,0,654,396,4,0,0,0,401,117,0,41,0,0,156,51,0,0,0,0,53,10,3,0,0,0,17,112,0,5,3,0,117,26,6,7,0,0,32,12,0,0,0,0,12,325,8,51,6,0,382,85,8,0,0,0,101,47,6,0,8,0,55,1482,42,51,22,5,1598
LGA13010,1617,26,5,10,6,1666,866,4,0,8,0,876,384,113,26,8,0,531,40,0,0,0,0,43,33,0,24,0,0,55,191,9,13,0,4,216,27,0,5,4,0,37,7,0,0,0,0,9,679,123,68,14,3,889,99,0,0,3,0,106,86,5,0,4,0,95,3347,158,76,34,11,3628
LGA13310,3992,206,24,32,4,4256,3752,118,16,4,4,3896,1499,410,203,27,3,2138,393,83,36,0,0,514,37,61,18,0,0,119,484,57,38,6,0,586,68,14,7,14,0,102,14,4,4,0,0,20,2489,631,303,43,9,3476,134,73,5,3,0,216,167,21,8,4,10,199,10534,1036,355,94,25,12045
LGA13340,1670,12,0,7,10,1693,1390,3,0,0,0,1398,235,23,0,0,0,264,15,11,0,0,0,21,8,18,0,0,4,27,243,5,0,0,0,248,44,3,0,5,0,47,3,3,0,0,0,5,540,62,0,3,6,603,143,0,0,0,4,145,93,0,0,0,0,96,3828,77,4,10,16,3936
LGA13450,2926,76,77,21,7,3107,2611,44,40,0,9,2699,974,184,560,24,4,1744,221,22,42,0,0,288,31,20,40,0,0,90,517,38,82,11,4,646,131,12,39,17,3,201,17,3,9,0,0,34,1889,275,773,56,11,2997,209,17,18,6,8,254,154,11,22,7,8,207,7785,428,928,85,45,9266
LGA13550,1518,48,0,9,0,1583,1494,18,0,3,0,1531,586,166,61,0,0,813,81,27,5,0,0,113,30,24,7,0,0,66,253,20,0,3,0,279,54,4,8,0,6,67,6,0,0,0,0,9,1012,239,74,5,8,1343,127,36,0,5,0,162,79,10,3,0,0,93,4224,356,83,22,7,4697
LGA13660,944,3,0,17,9,971,403,0,0,0,0,402,112,10,0,0,0,123,3,0,0,0,0,8,8,3,0,0,0,10,132,3,0,0,0,134,55,0,0,0,0,59,4,0,0,0,0,7,308,22,8,0,0,344,128,0,0,0,4,128,41,0,3,0,0,55,1821,27,9,23,15,1898
LGA13800,6779,411,154,47,18,7406,8824,498,85,7,15,9424,2502,825,294,14,12,3645,351,175,9,0,0,536,150,97,14,0,3,264,684,93,40,8,5,840,169,28,3,34,5,233,15,3,0,0,0,24,3869,1226,359,57,28,5536,315,38,46,9,10,414,224,26,13,4,6,271,20015,2198,660,121,68,23060
LGA13850,475,10,0,3,0,488,243,3,0,0,0,246,79,27,5,0,0,117,30,3,0,0,0,30,0,5,0,0,0,5,89,14,0,0,0,108,28,4,0,0,0,34,0,6,0,0,0,7,229,56,12,0,0,299,55,0,0,0,0,62,32,4,0,0,4,38,1037,80,12,3,5,1134
LGA13910,2993,101,13,30,3,3142,1993,42,9,0,6,2048,724,170,85,10,3,987,81,15,3,0,0,98,41,30,4,0,0,72,380,33,12,8,0,432,98,11,7,6,4,127,5,4,0,0,0,12,1339,262,106,20,8,1733,230,29,4,4,9,274,181,18,3,0,3,203,6742,448,137,56,31,7403
LGA14000,14666,1174,1620,48,13,17518,15929,1377,3094,14,12,20421,3384,842,4692,23,12,8956,76,145,278,0,3,499,71,141,301,0,4,514,940,147,569,12,5,1674,103,13,85,28,3,233,16,13,40,0,0,68,4590,1299,5968,59,29,11947,437,389,478,0,5,1312,250,56,117,0,9,434,35868,4292,11283,119,65,51629
LGA14100,1392,311,172,4,0,1884,1135,198,141,0,0,1476,219,165,345,3,0,735,4,0,140,0,0,147,4,0,110,0,0,111,70,35,41,0,0,150,9,0,3,0,0,9,0,0,3,0,0,8,304,204,642,3,5,1163,37,9,57,0,3,109,27,4,5,0,3,42,2891,731,1024,7,10,4670
LGA14170,9098,5589,3705,114,16,18517,7575,7483,6286,90,19,21456,3098,5155,16586,630,71,25538,112,250,1374,0,5,1733,110,81,618,3,5,816,842,1073,1824,165,20,3923,69,82,183,37,7,370,13,12,64,0,0,92,4238,6653,20641,845,109,32485,250,205,475,10,8,949,198,147,309,18,4,683,21357,20072,31418,1084,152,74091
LGA14220,2509,51,10,11,4,2583,1840,11,0,9,4,1866,746,256,21,5,0,1038,110,25,0,0,0,134,59,53,8,0,4,124,353,13,11,0,4,377,70,9,0,10,4,103,13,11,3,0,0,24,1360,365,41,25,18,1811,167,10,5,3,5,184,135,35,3,11,0,181,6007,476,63,50,33,6626
LGA14300,801,7,9,3,0,824,638,7,0,9,0,654,279,15,39,0,0,334,34,4,11,0,0,47,0,5,5,0,0,9,108,0,0,0,0,110,14,0,0,0,0,17,0,3,0,0,0,0,439,20,58,3,3,525,48,0,0,0,0,48,49,3,6,6,0,56,1977,35,68,14,5,2103
LGA14350,4898,63,135,44,12,5146,2936,39,52,10,7,3036,1075,124,315,8,0,1528,145,10,26,0,0,186,146,25,52,0,3,236,542,22,48,4,5,625,81,0,6,36,0,130,24,0,0,0,0,26,2018,183,457,52,14,2725,156,0,4,19,0,183,214,11,13,16,6,264,10220,294,664,142,38,11352
LGA14400,3343,446,259,25,5,4089,2266,282,69,0,0,2617,510,306,212,4,4,1042,26,26,9,0,0,62,17,21,8,0,0,45,234,46,45,4,0,342,21,4,9,6,0,37,4,3,0,0,0,11,813,412,279,18,7,1532,79,75,133,0,0,277,61,18,21,4,4,107,6555,1230,756,52,20,8612
LGA14500,12957,804,3055,13,3,16829,12336,394,2812,43,3,15594,2276,264,4290,51,16,6895,13,0,8,0,0,23,16,15,60,0,0,88,546,50,478,10,0,1087,57,15,69,0,5,146,11,4,24,0,0,37,2919,348,4935,58,25,8275,321,72,445,0,9,842,188,7,115,3,0,318,28718,1624,11365,121,37,41864
LGA14550,1777,3,23,27,18,1852,938,0,0,7,0,948,264,8,39,4,0,310,31,0,9,0,0,39,16,0,0,0,0,16,298,0,18,10,0,324,29,0,0,0,0,31,0,0,0,0,0,4,638,8,61,14,0,721,136,0,6,7,0,146,71,0,6,5,4,80,3553,14,95,59,20,3736
LGA14600,905,3,0,5,5,920,508,0,0,5,5,514,95,12,3,0,0,119,85,9,5,0,0,100,67,0,11,0,0,81,174,3,15,0,5,197,69,10,13,0,0,86,17,0,0,0,0,19,504,32,51,4,8,601,107,4,0,0,3,115,43,0,0,0,0,44,2067,42,58,9,19,2191
LGA14650,26457,2442,799,225,17,29944,27772,1125,376,22,13,29304,8115,1953,1084,47,17,11227,1746,802,507,0,0,3057,192,160,248,0,6,604,2655,372,193,23,17,3255,294,82,45,51,23,488,59,16,20,0,0,97,13061,3387,2108,125,58,18733,762,689,215,10,11,1697,700,169,100,17,21,1001,68750,7813,3589,406,116,80677
LGA14700,2668,227,1402,0,0,4294,2315,242,2475,0,0,5042,577,182,3944,9,8,4710,8,48,56,0,0,111,11,39,99,0,0,147,162,32,460,0,0,654,12,0,77,0,3,94,0,0,19,0,0,17,768,302,4645,13,14,5736,56,26,148,0,3,237,31,7,75,0,3,116,5832,801,8750,19,19,15420
LGA14750,1342,7,57,15,4,1431,1228,8,24,11,5,1278,380,57,167,10,0,606,88,4,6,0,0,99,4,5,0,0,0,8,229,16,44,0,4,295,54,4,14,5,0,81,5,0,3,0,0,14,763,89,234,21,3,1103,59,5,3,0,3,74,58,4,8,6,0,73,3451,113,324,50,22,3961
LGA14850,5879,322,125,109,16,6454,5138,201,91,8,6,5441,1375,598,371,6,10,2361,229,146,53,0,0,429,61,136,40,3,0,239,1099,142,90,23,7,1360,80,14,16,94,0,203,20,18,4,3,0,47,2856,1054,583,131,17,4652,235,88,5,8,3,346,211,34,15,7,0,273,14325,1703,816,268,49,17154
LGA14870,3301,137,11,28,15,3484,2389,44,6,12,8,2459,856,214,63,10,5,1144,294,81,18,0,0,392,11,16,11,0,0,45,313,25,12,3,5,358,41,3,5,8,5,53,4,3,0,0,0,8,1530,346,106,20,11,2008,100,87,6,0,0,191,140,32,8,0,0,177,7455,643,133,64,28,8319
LGA14900,14085,877,943,4,18,15937,22478,2370,1877,0,70,26804,7988,2128,5724,23,51,15920,1749,869,1255,0,12,3889,192,188,388,0,6,776,1743,248,445,3,21,2463,944,97,133,0,4,1179,81,14,51,0,3,150,12699,3540,8000,23,106,24377,552,181,217,6,7,965,844,118,267,0,4,1235,50658,7098,11301,38,212,69314
