LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
LGA10050,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,12,3,8,3,11,9,0,0,0,0,0,0,5,51,4,30,18,5,0,0,4,8,0,0,10,4,0,0,6,85,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,16,0,0,0,0,3,4,15,11,3,10,3,0,0,0,0,40,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,23,0,0,5,6,6,3,8,6,0,3,0,6,0,0,0,53,0,0,0,0,0,0,82,153,24,43,23,15,0,0,10,346,15,114,32,8,7,8,6,5,0,0,0,0,0,0,0,190,0,12,45,101,126,89,106,49,4,0,9,12,9,4,10,582,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,23,7,5,11,0,0,0,0,68
LGA10180,0,3,5,4,0,0,0,44,0,0,0,0,0,0,12,26,9,6,167,325,22,0,6,577,0,0,0,0,5,3,3,3,0,0,0,0,0,0,0,27,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,5,15,4,0,5,0,3,0,0,0,37,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,3,0,4,4,3,9,5,0,0,0,0,0,0,45,0,0,0,0,0,0,17,28,22,33,57,81,14,0,9,262,0,22,16,0,0,5,3,0,0,0,0,0,0,0,0,52,4,3,31,51,44,31,46,37,7,0,7,4,7,0,9,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,6,4,4,0,0,35
LGA10250,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,10,6,13,22,7,3,0,3,0,0,0,3,80,13,31,13,0,6,0,5,14,0,5,4,4,0,0,3,104,0,0,0,0,10,12,24,23,6,3,4,6,0,0,7,85,0,0,0,0,4,7,8,3,0,3,0,5,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,10,13,4,12,0,0,4,0,0,0,0,3,64,0,0,0,5,0,0,9,0,8,7,4,0,0,0,5,35,10,61,11,8,15,5,14,16,0,3,6,3,0,0,4,147,0,13,72,144,143,104,118,77,20,13,0,10,16,3,39,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,7,17,9,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,5,4,0,0,3,31,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,17,0,4,14,12,12,8,13,13,0,4,0,5,0,0,4,81,0,14,18,0,0,0,3,0,0,0,0,0,0,0,0,39,0,3,6,0,0,7,4,0,0,3,3,0,0,0,0,32,0,0,0,0,0,0,10,5,0,4,0,0,0,0,0,32,0,0,19,7,6,6,3,0,0,0,0,0,0,0,11,50,0,0,9,7,11,0,14,4,0,0,0,3,0,0,0,48,0,0,0,0,0,0,37,32,15,40,24,11,8,0,3,176,11,40,17,6,12,7,0,0,0,0,0,0,0,0,3,101,0,0,34,71,101,58,90,30,8,0,4,3,3,0,32,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,21,0,3,9,13,3,0,0,60
LGA10500,17,13,22,14,18,3,5,417,0,0,6,16,30,192,131,95,24,17,10,11,5,0,6,543,3,3,30,48,105,72,358,469,89,142,137,203,49,4,22,1747,27,364,480,108,50,55,95,173,42,29,29,22,0,5,149,1626,0,0,0,13,69,115,116,81,20,22,29,35,3,0,14,530,0,0,0,23,75,123,174,120,34,13,33,32,10,0,15,645,6,39,279,879,822,455,374,189,32,40,53,34,40,19,111,3364,4,3,29,98,294,146,324,210,78,59,80,62,32,15,32,1455,0,0,0,0,0,65,811,702,344,611,994,830,207,20,102,4683,3,31,12,14,14,11,29,14,4,0,0,6,0,0,6,151,5,15,84,299,443,554,578,275,51,55,54,48,22,27,102,2616,0,54,985,818,330,285,199,64,18,16,19,12,9,0,110,2915,0,0,4,9,32,42,62,106,29,38,43,48,28,5,12,460
LGA10550,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,7,11,8,15,8,0,0,0,0,0,0,0,73,3,16,8,4,5,4,4,5,0,0,0,0,0,0,4,51,0,0,0,0,0,3,11,0,0,0,4,0,0,0,3,24,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,3,5,9,4,5,0,0,0,0,0,4,35,0,0,0,0,0,0,4,4,9,7,7,7,0,0,0,48,12,92,20,16,18,11,10,6,0,0,0,0,0,0,5,190,0,10,42,147,92,49,44,15,5,0,0,0,0,0,23,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,0,0,4,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,0,0,3,17,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,8,20,12,3,11,7,9,0,0,0,0,0,0,0,0,65,0,6,22,44,55,22,15,3,0,0,0,0,0,0,8,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,9,0,23,7,3,0,3,0,0,0,3,0,0,0,0,0,46,0,0,4,14,24,14,13,4,0,0,0,0,5,0,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,72,64,68,89,20,7,39,2142,0,0,9,24,47,505,582,460,94,146,71,155,32,6,32,2170,4,15,92,85,90,56,118,111,9,11,12,4,8,0,11,612,36,312,494,137,38,39,42,53,8,8,3,3,0,0,45,1224,0,3,0,4,15,35,58,38,11,4,12,0,7,0,5,190,0,0,0,62,359,493,795,274,50,28,9,21,13,0,32,2142,0,33,231,449,401,327,261,124,25,33,17,34,4,5,78,2038,0,0,53,126,401,219,409,211,64,58,67,36,21,10,23,1706,0,0,0,0,7,169,1745,822,158,173,230,213,102,10,31,3669,11,216,64,34,25,12,25,12,4,0,5,13,3,0,14,429,0,15,96,431,1063,1932,2151,1264,275,240,266,224,80,47,334,8423,0,0,60,65,29,15,21,0,0,8,0,0,0,0,16,226,0,0,5,45,343,749,1549,1671,425,401,417,313,156,33,78,6175
