LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA10050,137,31,404,227,134,95,81,110,11,1226,5,4,3,8,4,9,4,6,0,31,29,43,30,33,16,18,28,34,6,242,44,29,80,54,30,28,38,72,68,445,2344,4979,2968,2598,2115,953,847,1018,256,18080
LGA10180,49,7,159,59,33,47,7,50,6,415,0,0,0,0,5,0,0,0,0,9,18,34,5,19,16,7,6,12,0,118,30,17,33,19,31,11,13,38,27,224,1481,2939,1099,1111,996,403,247,681,120,9071
LGA10250,131,18,339,178,78,86,30,88,10,972,0,0,0,0,0,0,0,0,0,6,32,32,23,24,31,17,9,23,9,194,55,46,66,44,42,33,27,51,67,439,2181,4445,2231,2020,1604,825,412,856,196,14769
LGA10300,10,0,16,6,7,5,0,5,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,8,4,23,116,80,69,60,48,10,43,60,4,485
LGA10470,89,20,276,154,80,51,51,81,9,806,0,3,6,14,3,3,3,0,0,37,24,25,17,14,23,9,11,12,9,141,32,21,51,51,32,29,27,41,51,340,1845,3649,2293,2094,1647,700,626,871,206,13931
LGA10500,366,114,934,461,379,260,166,298,41,3025,7,4,9,5,5,14,4,22,4,74,130,216,91,98,137,68,56,71,34,907,129,191,200,135,160,125,98,185,349,1565,9290,21342,7491,6131,8805,4318,2564,3723,1257,64931
LGA10550,97,18,254,126,64,72,31,96,7,773,0,0,0,4,3,0,0,0,0,11,37,29,14,14,20,5,10,11,7,149,36,18,45,34,22,22,28,57,35,304,1457,2466,1723,1436,1033,574,401,850,148,10083
LGA10600,31,4,60,34,20,23,8,28,10,225,0,0,0,0,0,0,0,0,0,0,11,19,11,4,10,3,3,0,0,58,17,13,24,19,11,6,12,13,13,134,567,1205,570,531,385,187,131,262,49,3884
LGA10650,19,3,48,26,12,12,5,15,0,148,0,0,0,0,0,0,0,3,0,3,4,0,0,3,0,0,3,10,0,22,15,4,13,8,7,5,10,21,11,94,420,396,335,296,225,83,129,198,28,2118
LGA10750,544,191,1170,710,700,500,689,529,82,5120,15,8,13,16,22,7,20,29,4,134,225,291,213,284,364,167,438,204,81,2248,230,265,306,275,385,178,440,334,710,3111,15583,39003,14484,13509,18747,6518,9318,6559,2468,126197
