LGA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
LGA10050,1260,305,1386,402,80,3916,4356,5056,1507,62,2092,1928,376,830,5221,339,3284,30172,1753,48933,46,48,21,3,32,29,10,16,41,11,21,252,2849,3249,5669,5705,1928,480,2723,2638,584,1224,6524,654,4693,30832,4678,56093,15,7,4,0,3,0,0,0,13,0,16,127,0,183,364,119,159,27,180,259,51,111,263,58,186,507,28,1453,378,128,163,27,182,266,56,110,277,58,197,636,32,1632,5151,4732,1719,408,2481,2307,506,1087,5884,570,3995,21917,1399,41257,124,41,36,44,37,54,14,19,58,14,22,168,2239,2638,5652,4899,1912,478,2705,2622,572,1219,6223,644,4216,22724,3673,45524
LGA10180,409,119,597,153,31,1528,2115,2461,786,42,974,940,190,401,2374,151,1756,15515,855,24693,30,28,17,0,16,12,0,9,13,0,15,118,2703,2905,2605,2726,952,167,1205,1228,244,567,2795,276,2367,15790,3588,29124,0,0,0,0,0,0,0,0,0,0,4,25,0,38,120,43,61,12,51,95,10,30,83,24,77,227,19,571,120,46,61,12,51,94,13,30,85,24,75,252,20,607,2442,2280,875,151,1128,1107,232,521,2593,240,2085,11497,684,20868,37,21,13,5,14,13,4,12,15,8,14,97,2227,2411,2598,2344,942,167,1194,1219,245,559,2691,274,2172,11844,2925,23882
LGA10250,918,296,1156,258,51,3117,4043,3337,1462,57,1519,1944,361,839,3660,363,2677,25199,1532,40570,59,37,27,43,32,46,13,18,67,12,92,201,2182,2603,5039,3760,1848,521,1971,2617,564,1175,4639,676,3919,25659,3767,46296,4,0,0,0,0,0,0,0,4,0,0,28,3,38,336,81,162,36,154,262,59,99,215,62,174,469,34,1354,341,82,163,36,154,262,59,99,216,61,174,500,41,1389,4612,3165,1638,406,1765,2260,484,1030,4116,592,3341,19078,1233,35101,87,36,42,77,33,75,20,33,81,15,93,160,1818,2263,5028,3279,1844,521,1957,2601,566,1159,4407,676,3608,19737,3093,38753
LGA10300,21,12,32,16,4,124,140,153,35,0,95,86,15,14,92,10,77,1175,72,1761,5,0,0,0,0,3,0,0,6,0,0,13,302,326,179,172,46,20,110,113,27,34,115,18,112,1208,376,2208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,0,3,5,4,4,4,0,3,7,0,34,9,7,8,0,3,5,4,4,4,0,3,7,0,34,167,139,36,20,107,103,21,31,102,18,93,877,59,1474,3,0,0,0,3,4,0,0,4,3,0,15,239,266,179,143,46,20,110,113,25,34,109,18,95,896,299,1776
LGA10470,944,213,1220,259,53,2807,3587,4342,1132,53,1713,1270,265,589,3780,245,2651,22729,1416,37565,52,31,21,0,27,29,9,13,31,9,17,165,2880,3192,4511,4841,1419,395,2164,1754,400,885,4749,464,3889,23154,4346,43567,3,6,3,0,0,0,0,0,8,0,10,49,0,62,214,85,103,21,123,145,28,70,152,31,139,366,23,967,215,93,110,19,123,147,32,75,156,29,145,412,23,1028,4243,3865,1292,364,1984,1575,358,784,4314,426,3281,16542,1131,31611,47,36,8,8,39,20,7,14,32,11,14,102,2509,2752,4507,3986,1414,395,2149,1745,394,878,4502,464,3442,17060,3661,35394
LGA10500,1975,625,3103,1022,147,8844,7232,8501,2762,186,5784,3540,772,979,7216,568,8347,117590,4123,155568,132,84,56,142,92,103,28,27,193,22,180,855,9339,10774,10164,9396,3664,1379,7713,5310,1335,1573,9385,1221,11624,119461,13611,175184,21,28,0,0,0,6,0,4,48,0,40,697,26,846,218,65,94,43,136,168,31,50,108,47,147,504,37,1167,241,95,99,47,136,171,37,52,159,48,184,1206,61,2008,9732,8048,3469,1105,7420,4962,1237,1471,8750,1127,10435,95207,3525,137300,181,63,72,227,133,143,40,38,226,40,231,700,8036,9386,10150,8201,3638,1379,7692,5278,1315,1562,9133,1214,10848,97102,11617,148694
LGA10550,717,171,898,162,33,2273,4031,2833,1254,52,1471,1725,400,794,2959,249,2224,18228,1047,31170,49,33,6,5,24,24,5,13,28,7,26,159,2193,2490,4913,3185,1525,294,1848,2204,568,1098,3712,428,3148,18551,3277,35942,6,3,0,0,0,0,0,0,7,0,6,17,3,34,299,70,118,18,124,196,43,69,173,33,167,417,36,1169,308,67,116,18,124,196,43,69,179,33,168,442,41,1205,4521,2643,1389,257,1678,1968,511,1000,3343,391,2751,13797,830,27118,74,23,16,14,34,39,12,14,39,14,33,170,1860,2191,4906,2743,1524,294,1835,2200,562,1087,3553,425,2953,14407,2727,30514
LGA10600,218,59,327,68,16,830,1203,859,420,27,435,539,115,295,1113,102,883,7006,429,11401,36,13,10,23,6,13,0,9,39,3,40,70,889,1025,1487,971,520,162,555,690,167,387,1373,158,1251,7141,1337,13253,0,0,0,0,0,0,0,0,0,0,0,6,0,6,73,17,41,11,43,48,11,29,53,13,48,123,11,340,73,17,41,11,43,48,11,29,53,13,48,135,11,354,1355,826,473,116,496,618,142,355,1209,140,1038,5261,371,9838,46,12,6,31,17,19,5,8,39,10,53,44,715,844,1479,848,519,156,558,685,164,391,1306,159,1132,5437,1098,11037
LGA10650,219,64,246,36,11,644,1051,785,295,26,407,414,82,156,648,76,429,4024,320,7190,15,9,9,0,5,7,0,3,6,0,3,44,749,829,1326,901,381,108,525,557,122,229,866,137,681,4111,1076,8665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,19,27,8,42,48,11,21,52,16,31,89,7,268,85,19,27,8,42,48,11,21,52,16,31,89,7,268,1203,736,340,88,470,492,98,194,765,119,572,3038,248,6312,33,13,15,12,17,22,9,12,19,3,32,32,631,743,1326,771,381,108,528,558,122,226,837,137,635,3153,887,7328
LGA10750,5478,1393,7975,2486,355,21032,17694,25682,5049,240,19322,8381,1946,2924,18033,1286,19562,254977,9965,351271,246,231,54,30,242,119,30,48,204,34,186,2010,21588,24477,24006,28854,6851,1916,24306,12091,3251,4847,23708,2714,27719,259473,31908,396776,47,30,8,6,10,10,4,6,42,7,38,426,19,570,695,237,279,52,529,471,101,219,406,100,380,1052,86,2876,744,266,288,62,540,481,109,227,449,104,420,1482,105,3450,22938,22779,6416,1686,23386,11316,2984,4488,21689,2527,23889,183435,7901,284458,261,183,75,160,248,156,69,69,255,59,329,1296,16506,18750,23941,23227,6779,1906,24172,11959,3160,4782,22399,2691,24629,186214,24513,306652
