LGA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA10050,1224,153,1385,8829,3331,417,12580,30129,2820,45524
LGA10180,570,138,713,3940,1345,159,5453,15919,2513,23882
LGA10250,1559,268,1834,6824,2597,283,9700,26662,2392,38753
LGA10300,38,12,47,286,97,10,394,1104,279,1776
LGA10470,954,84,1052,6732,2541,313,9588,22939,2863,35394
LGA10500,3064,707,3802,27178,4129,281,31579,106969,10137,148694
LGA10550,874,207,1089,4603,1988,255,6858,21346,2312,30514
LGA10600,346,47,395,1865,715,134,2717,7441,873,11037
LGA10650,263,71,334,1082,454,53,1590,4970,767,7328
LGA10750,3748,533,4304,77555,11174,1056,89782,196540,20326,306652
LGA10800,151,22,176,828,326,34,1189,2813,459,4458
LGA10850,146,17,165,1240,366,60,1661,3890,424,5977
LGA10900,1565,188,1763,13471,3372,293,17135,44970,2391,64491
LGA10950,50,11,71,383,106,3,492,1295,205,1988
LGA11150,28,3,34,293,78,9,375,1087,356,1820
LGA11200,13,3,17,132,55,7,195,690,189,1080
LGA11250,460,125,590,2208,968,119,3293,9929,1367,14592
LGA11300,918,241,1177,5318,875,60,6255,26731,2434,35414
LGA11350,518,64,584,5448,1730,246,7430,19668,3202,30299
LGA11400,278,51,331,2130,803,119,3048,7031,883,10970
LGA11450,1040,176,1220,26926,4027,507,31462,54120,3649,89228
LGA11500,1488,459,1953,31710,5936,608,38250,90217,9191,137653
LGA11520,1828,366,2219,15564,2501,142,18196,53200,3679,75074
LGA11570,6807,1510,8374,59160,8417,674,68251,205523,23757,297532
LGA11600,54,3,56,431,141,10,581,1423,294,2304
LGA11650,8346,2148,10545,57024,14682,1456,73157,193822,17262,284248
LGA11700,18,3,22,126,54,4,186,914,322,1420
LGA11720,1017,141,1167,10670,3801,432,14905,31685,4209,50801
LGA11730,1540,199,1757,6746,3036,363,10148,30864,4447,45462
LGA11750,64,12,75,582,172,11,768,1946,521,3227
LGA11800,1878,421,2320,11666,4239,594,16491,43796,4504,64798
LGA12000,110,18,135,654,278,35,969,2311,241,3522
LGA12150,74,11,85,466,187,16,671,1824,425,2916
LGA12160,338,45,382,1501,678,69,2249,6381,801,9429
LGA12350,373,33,411,1627,681,67,2377,7271,916,10563
LGA12380,2899,521,3442,37465,5018,410,42885,129070,16598,188553
LGA12390,1002,164,1186,8445,3172,374,11994,26606,4811,43414
LGA12700,169,15,184,1532,608,65,2201,5163,407,7769
LGA12730,256,32,286,1069,466,74,1604,4659,712,6972
LGA12750,1321,157,1498,4427,2120,230,6782,25383,2810,34972
LGA12850,3451,962,4440,26647,4966,330,31945,126894,12388,171228
LGA12870,404,59,468,1640,734,68,2441,7570,863,10875
LGA12900,251,31,284,1335,485,81,1902,4880,686,7469
LGA12930,3434,771,4229,25132,4332,269,29727,91503,6779,128007
LGA12950,109,18,129,575,278,34,883,2150,437,3472
LGA13010,233,66,303,1014,385,34,1430,5210,928,7563
LGA13310,736,85,825,4725,1791,211,6727,17297,2237,26268
LGA13340,209,20,229,1644,652,84,2381,5677,844,8911
LGA13450,537,156,689,4059,1467,144,5671,14145,2013,21827
LGA13550,297,38,332,2061,709,115,2880,6197,959,10037
LGA13660,163,16,173,589,242,24,855,2795,397,4047
LGA13800,1065,146,1215,11604,2705,279,14584,37014,2758,54359
LGA13850,78,16,90,327,165,7,500,1591,323,2417
LGA13910,485,58,541,2713,976,111,3798,10468,1352,15611
LGA14000,3560,739,4327,30680,4965,328,35977,82568,4403,122954
LGA14100,481,252,734,2330,585,28,2946,7503,789,11237
LGA14170,3103,442,3569,30166,3886,336,34391,113878,7846,156117
LGA14220,400,68,471,2382,1009,141,3533,9441,1451,14430
LGA14300,110,13,125,821,311,31,1160,3056,1148,5363
LGA14350,737,122,863,3594,1603,191,5390,17309,2917,25614
LGA14400,636,143,777,3477,1528,177,5182,13079,1011,19277
LGA14500,3724,394,4138,26206,4256,207,30659,66396,2862,99922
LGA14550,167,64,228,1053,443,63,1562,5490,821,7875
LGA14600,167,30,199,874,363,31,1268,2958,575,4797
LGA14650,5416,843,6305,35467,13899,1328,50696,116261,8124,175079
LGA14700,571,147,725,7897,1122,84,9100,21858,1291,32254
LGA14750,243,37,284,1615,665,66,2349,5845,848,9041
LGA14850,943,134,1081,6420,2539,342,9304,24537,2907,36751
LGA14870,499,30,534,2709,1125,132,3966,11913,1547,17426
LGA14900,2277,634,2943,39757,5864,504,46123,122987,12756,181869
LGA14920,151,36,189,990,353,47,1387,4063,768,6222
LGA14950,107,12,125,477,196,16,687,1716,225,2636
LGA15050,1277,206,1494,16746,5233,697,22682,45110,3166,70959
LGA15240,3218,654,3884,11024,4787,511,16326,59690,6497,82510
LGA15270,516,79,598,4017,1266,172,5456,13439,1696,20595
LGA15300,149,48,199,1496,570,80,2147,5785,2193,10132
LGA15350,858,55,916,5025,1009,48,6084,16766,870,23719
LGA15520,304,92,401,1727,613,83,2422,7297,962,10681
LGA15560,58,15,76,452,174,25,653,1844,296,2785
LGA15650,215,39,256,2706,765,91,3567,8158,1172,12894
LGA15700,631,78,713,2425,1061,147,3633,12128,1424,17188
LGA15750,259,40,303,1810,655,79,2538,6439,1186,10166
LGA15800,180,22,203,788,322,42,1154,2952,450,4551
LGA15850,120,58,173,834,352,60,1244,3057,707,5013
LGA15900,3543,827,4421,26291,9103,863,36253,97301,7965,141514
LGA15950,1027,195,1226,10392,1885,113,12391,44994,2839,60221
LGA15990,6239,951,7243,51282,9492,723,61493,144662,8673,214822
LGA16100,99,11,107,705,307,21,1031,2962,633,4626
LGA16150,881,148,1049,7332,2491,342,10168,21816,2148,34134
