LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA10050,13,15,5,5,0,0,40,10,59,13,9,4,0,85,100,251,31,71,11,8,468,759,140,74,121,10,11,1118,480,45,15,126,14,4,681,967,81,19,192,42,6,1310,1463,37,8,229,23,6,1769,1149,11,11,147,8,0,1328,274,0,3,35,6,0,313,60,3,0,5,7,0,74,16,0,0,0,0,0,18,4,0,0,0,0,0,3,0,0,0,0,0,0,7,5,0,0,0,0,0,4,103,46,13,50,32,20,272,5401,699,188,985,159,55,7489
LGA10180,0,3,5,9,10,0,25,6,12,0,7,3,0,35,35,32,19,28,18,0,130,139,88,60,65,12,8,372,205,35,37,73,12,0,362,459,68,38,100,15,0,680,688,53,23,119,14,0,902,688,13,8,111,10,0,836,155,0,0,14,0,0,173,31,0,0,7,0,0,36,8,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,24,14,9,39,33,4,125,2444,324,205,569,133,17,3696
LGA10250,5,9,3,0,5,0,24,0,12,3,3,3,0,22,9,248,26,28,21,6,333,14,72,37,33,28,3,186,11,36,12,43,27,3,130,60,43,20,84,37,3,246,292,35,15,196,46,0,581,735,25,9,266,21,5,1065,685,12,11,183,10,4,900,527,0,5,129,3,0,661,305,0,0,55,0,0,360,78,0,3,33,6,0,114,37,0,0,9,0,0,42,23,0,0,13,0,0,37,47,36,6,51,19,7,165,2814,531,140,1126,221,33,4871
LGA10300,0,6,3,0,3,0,17,0,0,0,0,4,0,3,0,4,0,3,5,0,10,14,9,3,9,5,0,36,7,3,0,13,11,0,34,6,5,4,21,5,0,31,9,3,0,8,0,0,22,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,15,38,28,13,63,35,3,176
LGA10470,4,19,12,5,0,0,35,0,30,10,3,0,0,52,32,152,23,40,7,0,260,138,78,14,58,11,0,298,139,69,14,86,8,0,311,374,33,14,112,8,5,546,957,55,25,218,21,0,1281,1158,20,9,141,10,4,1340,409,0,0,43,9,0,464,37,0,0,10,0,0,52,3,0,0,4,0,0,9,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,25,9,43,23,24,174,3313,500,116,778,91,32,4827
LGA10500,26,57,17,9,3,0,102,0,96,19,8,5,0,128,33,840,61,47,20,4,1006,63,254,94,95,27,4,530,72,125,38,97,12,3,344,194,124,34,148,69,0,574,966,74,45,263,49,4,1400,4394,57,30,513,102,18,5114,5857,48,26,590,114,3,6639,4674,20,17,452,72,14,5243,2682,17,12,254,51,3,3014,1143,6,3,114,41,0,1308,482,5,0,55,12,0,559,438,3,0,60,12,0,520,376,93,24,224,52,62,837,21412,1812,415,2917,640,117,27318
LGA10550,0,4,0,15,8,0,33,0,8,5,6,0,0,20,16,103,21,50,23,0,214,36,49,17,81,10,3,196,84,18,9,91,12,0,227,194,33,12,130,15,0,398,423,32,10,182,15,4,660,558,14,6,199,16,6,803,219,0,0,54,4,0,278,40,0,0,12,0,0,53,6,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,16,15,7,61,16,10,120,1601,275,95,897,132,29,3017
LGA10600,0,0,0,7,4,0,8,0,3,0,0,0,0,6,6,9,0,11,12,0,36,0,30,11,24,3,0,74,11,4,3,37,5,0,58,49,9,3,44,6,3,114,139,12,8,86,7,0,254,225,9,0,110,10,0,354,106,0,0,30,0,0,136,25,0,0,5,0,0,36,3,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,25,8,0,50,572,78,31,398,56,6,1136
LGA10650,0,0,0,4,5,0,12,0,0,11,4,3,0,22,35,4,5,27,23,4,91,44,7,4,61,8,0,124,54,0,5,34,8,0,99,74,0,3,28,6,0,111,84,0,0,23,6,0,118,29,0,0,19,0,0,45,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,13,11,3,26,330,11,31,205,71,7,658
LGA10750,27,179,8,29,5,4,257,12,373,22,11,10,5,423,40,2032,91,86,20,15,2283,97,1259,160,161,42,10,1724,150,573,64,164,18,12,980,499,640,95,240,97,7,1573,2857,716,94,609,106,15,4393,10368,752,125,1564,264,45,13115,7210,132,26,828,144,22,8365,4620,16,8,337,38,6,5028,1484,5,0,119,9,5,1617,236,3,6,27,5,3,276,57,0,0,9,0,0,63,74,0,0,16,8,0,94,497,398,50,271,73,88,1387,28223,7073,758,4456,838,241,41592
LGA10800,0,3,6,8,3,0,21,0,4,0,3,0,0,11,3,7,9,26,14,0,56,34,7,4,22,6,0,69,9,0,0,19,5,4,41,24,3,0,22,11,0,67,35,5,0,18,8,0,68,13,0,0,4,0,0,25,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,12,0,28,123,32,17,143,72,0,388
LGA10850,3,3,0,0,3,0,15,0,5,0,0,0,0,9,4,13,16,9,3,0,52,29,11,3,18,5,0,65,32,3,0,30,0,0,63,73,12,0,25,0,0,109,116,0,0,31,0,0,143,80,0,0,14,0,0,96,11,0,0,4,0,0,21,6,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,12,7,0,28,343,49,24,154,25,6,600
LGA10900,0,5,0,0,0,0,12,0,11,10,6,0,0,26,9,13,18,35,0,0,79,22,84,126,59,12,3,312,33,20,32,60,9,0,149,128,16,65,120,12,5,345,396,29,52,208,6,4,697,1321,15,42,352,19,4,1754,1094,7,13,159,9,6,1284,330,0,0,41,7,0,376,130,0,0,12,0,0,135,42,0,0,0,0,0,44,13,0,0,3,0,0,16,7,0,0,3,0,0,11,38,14,22,77,25,16,187,3563,207,387,1150,92,33,5435
LGA10950,0,5,0,3,7,0,15,0,3,0,0,4,0,9,0,6,4,18,16,0,42,5,4,7,16,8,0,43,4,3,4,12,4,0,34,6,7,0,17,9,0,37,11,0,0,16,0,0,30,4,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,12,0,13,39,38,16,90,64,6,252
LGA11150,3,7,0,4,33,0,44,0,0,5,0,5,4,15,0,10,10,10,4,0,31,4,10,15,7,9,0,44,5,3,5,4,7,0,22,20,11,0,18,6,0,54,4,0,4,12,0,0,18,5,3,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,24,39,48,36,50,85,0,264
LGA11200,0,5,0,0,13,0,23,0,3,5,0,0,0,13,0,24,3,3,3,3,47,4,48,23,8,5,0,85,0,3,4,4,0,0,13,3,5,0,0,0,0,16,0,0,0,3,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,5,0,26,14,105,52,21,34,3,236
