SED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED10001,29007,30060,59064,1627,1718,3349,2205,2453,4654,922,991,1912,179,192,367,60,53,113,58,52,108,16,19,32,34,28,59,31,33,71,0,0,3,3492,3823,7316,174,225,403,104,80,182,5399,5845,11244,3669,3729,7392,38075,39636,77704
SED10002,38652,36691,75339,1779,1401,3183,4774,3866,8644,185,87,273,172,107,281,153,34,194,134,40,177,9,17,30,18,7,25,28,21,42,0,0,0,5484,4184,9669,2324,1909,4229,176,100,274,9761,7596,17356,5590,3910,9495,54002,48198,102195
SED10003,26068,27719,53790,1608,1822,3432,2289,2669,4956,184,241,422,488,551,1043,31,30,61,46,48,97,17,23,37,25,28,57,24,22,40,0,0,0,3095,3617,6714,297,363,666,105,139,240,5114,5945,11054,3788,3988,7779,34974,37650,72618
SED10004,26355,28835,55189,1346,1481,2820,4601,4892,9492,195,214,413,191,235,432,49,41,96,97,97,187,11,8,21,17,19,29,69,95,166,0,0,0,5227,5605,10837,1637,2134,3773,103,116,215,8311,9334,17643,4351,4493,8841,39019,42654,81676
SED10005,32809,33879,66691,842,830,1668,3440,3375,6815,57,39,97,52,39,92,24,17,41,31,32,67,4,6,12,5,5,8,10,3,15,0,0,0,3636,3522,7153,738,754,1497,74,72,148,5289,5185,10470,3748,3352,7098,41849,42413,84262
SED10006,29467,29264,58731,2008,2246,4257,1311,1394,2705,87,91,171,178,186,361,92,76,167,43,51,88,10,11,16,20,21,40,16,20,30,3,0,4,1749,1837,3588,84,113,196,125,91,224,3976,4283,8255,4792,4600,9387,38229,38148,76377
SED10007,28831,29267,58099,1999,2158,4152,2487,2634,5117,50,49,96,113,114,230,15,14,27,31,17,45,8,9,14,11,6,22,21,20,41,0,0,0,2732,2868,5596,129,161,291,90,64,153,4943,5243,10193,5119,3788,8911,38896,38305,77194
SED10008,32289,33491,65778,552,582,1141,3079,3151,6231,77,62,135,73,77,149,27,25,56,32,36,69,5,12,14,4,7,8,22,18,35,0,0,0,3323,3378,6700,682,732,1415,32,26,55,4590,4727,9315,1657,1608,3262,38536,39824,78358
SED10009,26526,27594,54114,1505,1636,3146,1905,2028,3931,261,259,520,125,145,268,25,21,42,46,44,89,22,24,40,25,22,50,248,279,529,0,0,0,2650,2819,5468,100,116,217,98,94,187,4358,4663,9023,3160,3214,6372,34043,35466,69514
SED10010,34392,34574,68964,798,766,1568,3927,3612,7538,79,48,128,90,82,175,32,22,52,32,35,69,4,3,9,10,5,13,9,7,21,0,0,0,4177,3821,7996,906,1056,1964,64,55,121,5950,5698,11651,2964,2856,5812,43305,43123,86429
