SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED10001,38534,40106,78641,2456,2364,4819,5043,4941,9980,2461,2412,4869,2313,2330,4641,4397,4500,8894,4372,4661,9036,4977,5159,10143,5173,5447,10625,4280,4344,8629,2235,2654,4889,830,1291,2118,35884,37582,73466,2653,2523,5177,1023,1047,2061,25,24,51,24,16,36,1067,1080,2152,31740,32984,64722,3621,3775,7395,33695,35157,68853,1921,2114,4032,34029,35607,69628,544,519,1063,4591,4505,9097,1659,1713,3379,513,779,1297,760,1507,2268,10705,13404,24106,3466,3529,7001,8713,8099,16814,2858,2587,5447,1919,1678,3592,165,180,343,34315,35812,70128,3958,3801,7763
SED10002,54766,48925,103686,3862,3746,7611,5895,5679,11574,3002,2797,5795,5195,4055,9244,13419,10629,24041,8022,6567,14581,6035,5837,11872,4886,4849,9737,2717,2566,5278,1326,1449,2777,407,766,1176,53231,47695,100929,1529,1231,2760,459,255,708,12,20,29,9,5,11,475,278,755,19308,17971,37275,31819,27639,59453,11250,10114,21362,38688,35449,74135,34045,33725,67771,625,614,1236,5228,5054,10280,2333,2264,4596,2361,1919,4279,3176,3189,6367,26652,24231,50886,1980,1528,3504,5028,4467,9495,1706,1511,3215,2726,2552,5282,1909,1770,3676,49976,45539,95515,4949,3513,8468
SED10003,35293,37981,73276,1842,1774,3617,4438,4154,8592,2083,1904,3988,1373,1397,2766,3333,3634,6967,4209,4838,9041,4966,5662,10633,5724,6176,11907,4446,4418,8859,1997,2476,4473,889,1554,2442,33149,35901,69055,2145,2083,4223,857,930,1790,50,38,95,26,38,60,942,1004,1943,26791,28707,55495,4840,5394,10236,30240,32473,62708,1719,1991,3709,30251,32609,62855,475,469,940,3941,3692,7636,1460,1405,2869,295,402,694,813,1674,2483,12924,14880,27807,2140,2130,4275,7332,7992,15323,1926,2112,4043,1149,1187,2339,78,64,149,31236,33810,65046,4661,4934,9602
SED10004,39576,43196,82772,2544,2514,5062,3773,3518,7289,1435,1714,3148,3352,4069,7422,7868,8594,16456,7172,7466,14637,5397,5670,11064,3874,4559,8433,2760,3145,5901,1063,1324,2384,340,630,968,37675,41256,78930,1900,1945,3846,411,492,902,24,23,45,10,16,26,438,529,967,22660,24615,47269,13214,14850,28065,27889,29427,57319,8154,10235,18389,29292,31924,61223,578,569,1146,3437,3258,6692,1177,1441,2614,1938,2596,4534,2202,3070,5270,24079,27271,51354,1217,1173,2390,2892,3120,6015,777,901,1674,680,852,1528,162,229,391,34688,38176,72865,4346,4456,8806
SED10005,42490,43031,85522,3441,3351,6792,6235,5808,12049,2900,2806,5712,3164,3133,6293,6466,6633,13102,5465,5596,11064,5174,5263,10441,4527,4522,9049,2902,2895,5800,1532,1907,3440,681,1113,1788,41284,41848,83128,1210,1192,2399,228,266,499,8,27,37,6,14,24,248,307,559,20109,19945,40051,19311,20007,39317,11952,11598,23551,27408,28654,56069,33698,34385,68082,664,612,1274,5474,5148,10620,2268,2246,4517,1284,1295,2583,1389,2136,3519,17326,17700,35028,1822,1643,3467,5689,5543,11237,1765,1961,3729,2217,2792,5014,915,1411,2322,39343,40059,79398,3376,3051,6427
SED10006,38729,38618,77345,2584,2517,5098,5038,5021,10060,2162,1978,4135,2045,2009,4056,4291,4628,8921,4111,4218,8332,5204,5150,10354,5753,5179,10931,4492,4086,8578,2338,2609,4944,715,1225,1939,35735,35936,71671,2992,2678,5673,6035,6439,12481,50,65,117,77,88,160,6166,6590,12751,32158,32004,64162,1795,1980,3778,33417,33430,66852,963,987,1949,33704,33708,67413,595,608,1201,4313,4282,8602,1221,1221,2447,228,351,578,458,1172,1636,7884,9914,17797,2262,2283,4544,9771,9121,18894,3437,3113,6550,2946,2103,5050,183,92,277,33475,33487,66961,6596,5578,12175
SED10007,39351,38731,78079,2389,2237,4627,5176,4828,10012,2656,2489,5143,2638,2360,4995,4685,4160,8849,4444,4512,8962,5171,5202,10367,5151,5170,10323,4391,4274,8666,2014,2364,4381,625,1129,1758,37003,36705,73708,2347,2022,4369,2037,1849,3885,48,41,95,47,35,77,2132,1925,4060,32345,31805,64151,3465,3277,6747,33457,34171,67629,1379,1427,2805,33554,34263,67814,560,545,1104,4676,4360,9037,1804,1804,3603,638,887,1532,801,1524,2327,10282,12769,23058,2193,2050,4246,9993,9149,19142,2671,2649,5324,1862,1548,3410,93,88,183,33665,34398,68064,5284,3943,9226
SED10008,38942,40211,79148,2567,2463,5036,5688,5383,11068,2748,2520,5263,2572,2341,4911,4177,4460,8641,5621,6124,11748,5336,5710,11043,4638,5093,9728,3644,3831,7472,1551,1638,3187,396,649,1046,37854,39212,77063,1092,999,2087,143,157,296,4,0,6,9,3,7,155,159,309,23014,23029,46039,14882,16098,30978,23506,23495,47001,14488,15697,30183,33378,33957,67332,700,663,1370,5460,5155,10615,2432,2280,4714,1406,1277,2686,1072,1594,2666,21368,22042,43412,1657,1466,3117,4594,5282,9870,1187,1354,2542,623,802,1424,157,207,369,37617,38854,76471,1083,1259,2337
SED10009,34307,35749,70054,1499,1440,2934,3920,3657,7579,1804,1760,3562,1267,1182,2452,2481,2579,5062,3048,3434,6484,4425,4821,9247,6174,6688,12864,5861,5727,11590,2902,3001,5904,924,1459,2382,31482,33157,64640,2825,2587,5412,1449,1557,3000,23,20,44,30,25,57,1508,1600,3110,26981,28012,54992,4252,4548,8796,30607,31840,62449,1096,1286,2384,30595,31977,62574,383,352,743,3479,3260,6735,1165,1185,2346,199,240,443,420,1030,1451,10206,11778,21983,2376,2555,4935,8687,8726,17416,2638,2585,5218,1770,1554,3324,72,58,138,30294,31667,61963,3682,3736,7423
SED10010,43928,43779,87705,3421,3313,6740,5848,5435,11290,2852,2650,5507,3254,2897,6159,7558,7685,15246,6537,6170,12711,5210,5155,10371,4535,4785,9324,2836,3044,5884,1374,1846,3220,483,780,1264,42613,42675,85291,1314,1105,2415,967,1015,1981,33,33,70,25,26,49,1030,1068,2097,22157,21757,43911,19525,19713,39240,21900,21382,43282,19970,20286,40259,34451,34278,68727,683,645,1326,5382,4999,10379,2173,2070,4245,1247,1154,2400,1436,2128,3562,19306,19573,38881,2003,1788,3792,6961,6586,13549,1986,2090,4076,1690,2023,3716,404,582,984,41842,41681,83518,1771,1889,3661
