SED_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SED10001,93,0,0,0,101,16,0,111,2503,255,50,24,2826,23,8,32,2858,157,5,3023,4609,483,74,50,5209,58,12,75,5288,159,8,5452,402,47,74,0,532,0,0,0,536,4,0,540,52,3,0,46,102,0,0,0,102,4,3,113,7564,793,199,126,8678,85,25,107,8783,322,10,9118,44,16,0,3,62,9,0,9,78,4,0,84,155,19,0,3,181,5,7,11,196,7,0,204,197,41,0,5,244,20,7,24,269,15,0,284,7762,828,197,129,8922,100,31,134,9056,336,10,9404,1851,312,42,43,2244,86,19,105,2347,423,13,2786,11,3,0,9,26,0,0,0,26,0,38,58,9627,1138,241,177,11187,191,49,239,11427,764,63,12254
SED10002,533,29,6,35,571,189,7,761,2735,448,19,32,3229,87,29,120,3350,342,6,3695,2260,723,22,30,3039,73,18,91,3127,253,3,3386,240,36,45,7,325,5,0,9,333,27,0,362,77,24,0,112,218,3,3,6,229,30,6,265,5310,1234,91,182,6810,173,54,224,7039,642,15,7698,139,36,3,9,190,49,9,57,245,33,0,278,200,114,7,9,335,35,35,68,399,39,3,442,347,151,8,16,516,82,36,122,643,70,3,718,5654,1383,100,198,7332,259,92,351,7683,711,24,8421,4723,2255,106,351,7441,412,154,567,8007,2740,100,10849,38,19,0,48,105,0,3,3,112,17,110,243,10418,3662,204,597,14874,673,251,928,15805,3479,231,19513
SED10003,76,5,0,5,78,12,0,89,1895,401,25,28,2345,43,10,51,2396,103,0,2500,3102,903,69,38,4110,57,17,69,4182,204,8,4391,201,41,51,3,299,5,0,5,310,15,0,322,43,13,0,65,119,6,0,6,128,13,3,140,5247,1355,141,129,6872,110,33,141,7017,331,7,7353,31,18,0,0,48,9,0,9,59,12,0,70,80,41,3,7,127,13,3,18,151,4,0,152,116,55,3,7,180,26,3,31,206,18,0,221,5361,1409,149,137,7051,134,34,173,7221,349,7,7583,1281,406,66,43,1796,84,10,94,1888,307,10,2205,17,7,0,0,24,0,0,0,24,0,23,45,6660,1816,211,179,8865,222,47,265,9134,651,43,9829
SED10004,186,6,4,8,191,29,0,221,3315,322,36,9,3685,86,9,98,3781,202,0,3985,3401,338,22,11,3777,37,16,51,3827,95,3,3922,521,29,66,6,626,15,0,15,636,13,0,653,24,3,0,35,65,0,0,0,65,0,0,67,7261,694,126,69,8149,136,28,165,8315,311,7,8634,68,19,0,4,97,11,0,11,107,3,0,106,154,9,6,3,176,10,0,10,187,8,0,191,226,30,4,8,272,16,0,16,285,8,0,299,7484,725,136,72,8419,154,28,186,8599,319,7,8929,1658,167,32,19,1873,57,11,65,1940,117,6,2067,3,0,0,5,8,0,0,0,8,0,13,26,9152,889,164,95,10302,212,39,252,10548,442,31,11021
SED10005,485,21,7,26,509,127,3,643,2493,361,38,29,2922,101,29,129,3052,297,9,3357,2232,595,33,29,2887,99,30,128,3017,202,9,3227,191,48,29,3,278,8,0,11,289,25,0,314,42,21,3,75,144,0,0,3,150,18,8,172,4961,1022,102,139,6228,202,68,270,6499,540,26,7075,135,53,0,4,193,42,9,58,249,34,0,284,218,114,3,4,336,37,23,63,404,45,0,445,353,169,3,7,532,80,39,117,650,74,0,728,5312,1192,103,152,6758,284,105,390,7153,617,29,7803,4282,1921,149,400,6753,412,127,535,7288,2357,75,9719,39,12,0,14,65,0,0,0,68,17,119,209,9628,3127,262,566,13583,697,228,924,14509,2991,222,17727
SED10006,20,0,0,0,19,0,6,28,2313,203,35,19,2566,38,6,46,2607,149,5,2764,2992,307,50,51,3400,61,8,72,3477,155,0,3630,291,33,63,6,394,5,0,9,400,12,0,415,69,5,3,96,171,9,4,7,179,12,3,196,5666,543,153,175,6532,114,22,137,6666,334,6,7003,62,15,0,3,75,34,8,40,116,21,0,132,83,5,3,0,96,13,7,22,116,17,3,134,140,22,3,6,166,45,13,60,231,36,3,269,5803,559,152,175,6700,160,38,193,6891,368,12,7272,1565,206,52,80,1910,169,26,198,2106,617,19,2734,23,0,3,0,29,0,0,0,29,0,59,87,7403,762,210,264,8635,330,66,393,9026,987,87,10096
SED10007,89,0,0,3,90,11,3,105,2839,249,45,17,3150,43,4,49,3201,175,3,3382,4011,403,55,35,4504,45,7,56,4556,143,3,4703,401,26,69,16,510,9,0,9,520,12,0,528,63,10,3,37,115,3,0,3,117,11,0,127,7308,685,173,113,8275,101,14,110,8391,339,11,8738,68,3,0,0,71,17,0,17,90,9,3,104,122,23,12,0,154,3,3,7,162,18,0,177,193,28,12,0,229,19,3,25,248,25,3,277,7501,709,180,112,8509,123,11,137,8637,366,9,9021,1743,263,59,69,2141,166,16,184,2321,502,13,2835,13,0,0,6,22,0,0,0,22,3,33,58,9265,974,240,185,10664,288,31,319,10987,866,55,11909
SED10008,699,36,9,44,746,66,8,811,5433,418,48,29,5936,148,25,166,6099,268,0,6373,5790,569,46,30,6441,113,15,129,6564,154,0,6723,424,49,56,3,537,11,0,11,552,16,0,569,78,5,0,55,147,3,0,3,144,7,3,154,11733,1051,153,122,13054,269,39,311,13365,447,10,13819,153,6,3,0,165,25,0,25,188,12,0,202,282,41,5,4,330,17,3,18,350,13,0,361,437,51,9,4,498,37,4,47,537,19,0,562,12171,1098,158,126,13550,309,45,352,13904,470,12,14382,3428,368,44,73,3917,116,22,138,4055,281,6,4340,22,3,0,13,39,0,0,0,39,0,12,57,15613,1473,211,212,17507,430,62,492,18001,753,32,18784
SED10009,21,0,0,0,21,4,0,24,1568,350,28,10,1955,19,7,29,1990,129,0,2122,2428,620,63,19,3128,54,19,69,3197,199,10,3406,171,28,37,0,241,0,0,0,241,12,3,257,31,0,3,40,72,0,0,0,72,8,4,80,4193,1000,132,65,5394,74,25,102,5499,350,12,5864,40,10,0,0,50,18,3,24,73,9,0,82,80,26,3,4,112,17,4,14,129,3,0,131,119,27,3,9,157,32,5,37,201,11,0,213,4314,1027,138,72,5555,108,35,140,5694,368,12,6079,1103,294,40,39,1478,92,20,108,1584,392,11,1985,17,13,0,0,30,0,0,0,30,0,40,65,5434,1333,178,119,7058,200,53,252,7308,758,63,8129
SED10010,415,18,3,18,435,101,4,539,4345,481,45,35,4904,92,30,123,5028,292,3,5328,3434,579,64,59,4135,66,17,87,4220,155,4,4378,361,64,45,11,483,4,0,3,494,20,0,510,90,16,4,92,208,11,0,11,220,26,7,256,8240,1144,162,196,9729,173,50,226,9955,491,19,10471,205,65,9,8,289,43,4,50,335,45,0,380,284,56,3,8,351,38,10,49,396,17,0,413,492,117,11,20,635,80,16,92,728,65,0,793,8726,1260,168,209,10367,254,65,317,10690,558,19,11265,3848,708,72,156,4781,186,40,229,5012,942,20,5969,37,13,0,41,85,0,0,0,85,3,48,143,12608,1975,239,410,15238,438,106,549,15782,1494,93,17373
SED10011,234,4,3,10,243,33,0,281,2684,398,44,11,3135,41,13,53,3189,222,0,3412,4192,601,65,33,4885,44,25,67,4954,153,11,5116,416,32,46,10,499,7,0,7,508,13,3,521,21,5,0,20,46,0,0,0,52,6,0,56,7305,1035,158,66,8568,85,37,128,8698,396,17,9108,43,9,3,0,55,4,0,4,54,9,0,67,173,17,4,9,197,3,3,4,207,13,0,222,215,21,7,10,252,10,3,13,262,21,0,289,7524,1061,167,74,8825,92,41,133,8958,420,17,9393,2113,277,46,43,2481,33,11,44,2527,234,3,2759,7,0,0,13,13,0,0,0,13,6,15,37,9645,1338,213,129,11321,126,52,177,11503,662,32,12191
SED10012,547,17,19,43,584,208,7,797,2403,260,5,29,2699,101,39,140,2834,305,8,3149,1903,593,27,24,2544,92,35,124,2671,272,11,2958,147,33,26,3,209,0,8,7,216,17,0,237,41,6,0,71,115,8,0,4,127,25,5,151,4500,885,65,125,5578,193,83,279,5856,620,25,6495,89,35,0,9,134,63,16,77,210,36,0,251,174,102,0,0,271,58,55,116,390,62,0,448,260,131,0,10,404,120,71,193,599,96,0,698,4760,1018,69,133,5979,316,157,472,6457,711,25,7192,3351,1243,95,173,4857,241,117,358,5217,2149,18,7385,29,0,3,30,62,3,0,3,66,12,107,181,8139,2265,159,339,10903,559,276,833,11738,2872,149,14756
SED10013,374,11,0,14,387,34,3,421,5437,378,44,39,5893,53,11,67,5967,188,3,6161,6691,552,76,55,7379,54,6,69,7443,138,8,7591,817,31,110,9,970,4,5,7,976,8,0,986,83,10,0,126,220,0,0,0,220,6,0,224,13033,975,234,224,14468,113,27,141,14607,340,12,14957,131,14,0,3,142,7,3,9,149,6,0,162,293,26,4,13,334,6,3,14,351,14,0,361,425,37,4,17,481,16,5,23,497,26,0,521,13452,1016,237,241,14943,134,33,162,15103,363,12,15481,3590,322,62,94,4073,72,22,91,4164,430,14,4610,15,12,0,16,41,0,0,0,43,3,37,74,17064,1347,305,345,19059,204,52,256,19315,794,69,20170
SED10014,290,10,3,10,305,53,3,361,2793,301,48,25,3163,67,24,94,3258,278,0,3532,2990,383,44,36,3452,61,25,86,3535,216,3,3754,276,37,38,3,361,5,0,3,364,15,0,383,55,17,0,48,119,3,0,3,123,27,3,155,6110,741,129,113,7092,139,50,191,7280,535,10,7823,141,22,0,3,173,30,0,30,200,21,0,226,230,33,3,10,274,28,5,37,311,15,0,326,369,55,3,17,444,62,5,64,513,34,0,546,6480,791,130,132,7540,203,53,258,7796,569,10,8367,3056,616,56,127,3855,166,67,228,4087,1003,20,5109,22,0,0,8,27,8,0,8,33,4,53,96,9561,1412,194,263,11422,368,118,491,11913,1580,81,13574
SED10015,443,4,3,7,454,103,7,557,3282,400,21,34,3741,57,25,81,3820,247,5,4080,3588,732,49,30,4406,67,14,86,4490,260,16,4767,324,37,54,4,425,4,0,4,427,18,0,448,81,13,0,86,179,0,3,3,179,17,9,206,7282,1184,133,158,8749,129,43,177,8921,542,27,9497,101,25,3,3,127,24,3,29,163,16,3,174,252,63,0,13,324,6,13,23,345,20,0,372,349,88,3,18,453,33,18,55,509,38,3,545,7632,1272,132,172,9204,160,68,231,9431,578,31,10038,3118,871,79,152,4220,138,39,182,4403,842,18,5260,17,7,0,10,35,0,0,0,35,3,76,115,10764,2152,212,330,13458,301,104,407,13870,1426,127,15416
