SED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED10001,1623,471,2118,11929,4886,526,17346,40079,6413,63838
SED10002,1003,162,1176,15263,3499,316,19077,56737,8693,84507
SED10003,1820,593,2442,10966,4273,514,15752,38261,7055,61065
SED10004,804,150,968,12305,3260,436,16002,47523,6902,70420
SED10005,1566,206,1788,13009,3287,277,16571,44055,6061,66687
SED10006,1479,422,1939,10303,4291,385,14978,38736,8466,62184
SED10007,1374,353,1758,11742,5138,509,17389,38073,7986,63447
SED10008,884,142,1046,15396,5257,385,21044,39739,2263,63044
SED10009,1838,524,2382,8418,3991,396,12807,40619,6115,59543
SED10010,1047,208,1264,15278,4413,400,20092,44967,4627,69680
SED10011,1342,183,1545,11682,5202,622,17508,37301,3517,58322
SED10012,1273,112,1407,11671,3654,271,15602,46791,4031,66428
SED10013,946,240,1199,17713,5453,644,23800,39348,4286,67436
SED10014,611,183,799,12589,5027,494,18116,38871,4948,61936
SED10015,1658,166,1857,13941,3864,306,18117,49364,5140,72622
SED10016,883,75,974,15819,4900,432,21156,38447,2540,62144
SED10017,1125,281,1424,13098,5795,587,19481,35134,5904,60520
SED10018,1651,347,2032,12374,5600,582,18559,36234,3386,58181
SED10019,1880,360,2258,9474,4478,495,14447,39952,6429,60827
SED10020,1448,600,2070,10888,4304,508,15699,38187,5710,59595
SED10021,1560,417,2009,13178,3486,396,17062,45395,7427,69886
SED10022,1797,443,2270,9786,4292,432,14516,36501,7200,58213
SED10023,1643,212,1893,12782,5469,430,18678,37825,3613,60112
SED10024,2061,355,2461,15571,4864,435,20871,38272,2826,61968
SED10025,1724,188,1946,13364,4050,285,17705,44839,4410,66955
SED10026,1366,266,1650,11871,4599,560,17023,36423,7113,60563
SED10027,1841,248,2125,12707,4231,347,17285,40849,3816,61955
SED10028,2103,616,2749,14432,4702,359,19494,43192,2907,65597
SED10029,1526,172,1726,11815,3537,248,15604,49063,4822,69487
SED10030,1931,532,2479,11061,4723,532,16318,39844,5337,61505
SED10031,1266,470,1755,11514,4943,510,16964,38342,6443,61744
SED10032,1207,168,1391,14953,3559,276,18783,47638,5518,71932
