SED_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
SED10001,20,3,3,0,30,0,0,0,31,0,0,31,6,0,0,3,8,0,0,0,8,0,0,8,1085,114,23,11,1239,15,5,20,1260,45,4,1309,0,0,0,0,8,0,0,0,4,0,0,4,14,0,0,0,14,0,0,0,12,4,0,14,12,0,0,0,21,3,0,3,21,4,0,20,1101,115,23,12,1256,16,5,27,1283,49,4,1331,144,23,10,0,181,3,3,5,189,57,0,241,3,0,0,0,3,0,0,0,3,0,7,11,1249,144,36,17,1441,21,9,34,1473,106,12,1583,126,11,0,0,141,3,0,3,142,4,0,142,138,19,0,0,155,3,3,3,162,4,0,169,0,0,0,0,3,0,0,0,3,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,273,29,3,0,305,5,3,3,308,7,0,322,3,0,0,0,3,3,0,3,8,0,0,8,3,0,0,0,3,0,0,0
SED10002,4,0,0,0,8,0,0,0,8,0,0,8,12,4,0,20,35,0,0,3,36,3,0,43,639,149,13,35,823,22,5,27,856,86,0,942,12,3,0,0,19,11,0,6,28,8,0,32,30,21,0,0,49,0,5,8,57,9,0,67,47,21,0,3,72,10,8,16,89,13,0,99,681,166,13,36,897,36,13,43,944,99,0,1043,391,198,13,39,637,21,16,44,680,344,8,1025,3,0,0,8,9,0,0,0,9,3,3,18,1080,371,21,75,1545,60,32,87,1633,441,12,2084,293,54,3,8,355,6,7,17,372,38,0,413,142,59,0,3,203,4,0,5,212,22,0,233,7,0,0,0,8,0,0,0,6,3,0,8,9,0,0,12,20,0,0,0,20,7,0,26,443,114,3,23,588,16,10,26,611,65,0,681,9,4,0,0,17,6,0,5,25,10,0,31,12,9,0,0,23,0,4,3
SED10003,14,9,8,0,26,0,0,0,26,0,0,28,6,4,0,14,23,0,0,0,23,0,0,23,807,209,19,19,1060,13,3,24,1080,75,0,1158,8,3,0,0,9,7,0,7,10,0,0,16,11,7,0,0,19,3,0,3,17,0,0,17,13,5,0,0,21,4,0,4,27,4,0,35,825,215,19,20,1083,22,3,29,1112,82,0,1193,80,32,7,0,121,7,0,6,130,45,3,182,3,0,0,0,4,0,0,0,4,0,0,6,911,246,27,25,1214,28,7,34,1248,131,0,1378,99,15,0,4,117,0,0,0,118,0,0,120,77,26,3,5,106,0,0,3,109,10,0,117,0,0,3,0,6,0,0,0,6,0,0,6,0,0,0,0,3,0,0,0,3,0,0,3,177,38,7,7,234,3,3,3,238,14,0,246,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0
SED10004,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,7,3,0,0,0,3,0,0,3,578,66,11,11,658,22,4,25,684,43,0,731,9,0,0,0,9,0,0,0,9,0,0,9,8,0,0,0,8,7,0,7,17,0,0,17,17,0,0,0,24,7,0,7,24,0,0,24,600,64,11,10,683,28,4,31,709,43,0,756,86,15,3,0,107,3,0,3,115,8,0,117,0,0,0,0,0,0,0,0,0,0,0,0,684,81,11,10,793,29,3,35,827,51,3,875,149,18,0,0,165,4,0,4,170,21,0,189,101,32,0,0,133,0,3,3,135,14,0,148,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,249,46,0,3,305,6,3,12,312,32,0,343,5,0,0,0,5,3,0,3,8,0,0,8,7,0,0,0,7,0,0,0
SED10005,6,3,3,0,15,0,0,0,16,0,0,15,3,0,0,16,19,0,0,0,19,0,0,18,667,157,10,16,855,32,10,40,895,81,3,973,19,9,0,0,32,10,0,10,35,9,0,44,29,15,0,0,45,5,0,3,51,0,0,52,49,26,0,0,74,10,0,12,83,8,0,96,717,186,10,19,930,42,6,49,980,86,3,1069,398,175,15,31,611,20,14,33,647,259,3,914,0,0,0,3,3,0,0,0,3,0,11,14,1113,359,25,53,1548,60,25,83,1629,352,15,1998,266,34,3,0,304,7,3,12,318,29,0,346,166,54,7,0,233,9,0,14,241,27,4,278,8,0,4,0,13,0,0,0,15,3,0,11,6,3,0,13,13,0,0,0,13,0,3,22,445,95,13,14,561,20,6,26,588,66,3,653,4,3,0,0,8,7,0,6,20,8,0,22,20,13,0,0,37,6,4,5
SED10006,8,0,7,0,19,0,0,0,19,0,0,19,5,0,0,7,12,0,0,0,17,0,0,15,629,90,23,24,761,16,3,18,785,48,0,838,9,0,0,0,9,3,0,3,15,5,0,20,3,0,0,0,9,0,0,0,4,0,0,11,11,0,0,0,19,3,0,7,23,4,0,28,642,92,25,26,781,22,3,25,809,56,0,862,96,17,0,3,119,15,0,15,125,67,4,196,0,0,0,0,0,0,0,0,0,0,3,3,733,104,30,29,900,37,3,36,935,125,8,1063,41,3,0,0,44,0,0,0,48,4,0,52,38,4,0,0,42,0,0,0,42,3,0,49,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,81,11,4,0,93,3,0,3,97,8,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED10007,19,0,9,0,30,0,0,0,30,0,0,26,11,0,0,5,16,0,0,0,16,0,0,22,1112,110,28,17,1271,17,0,22,1291,56,3,1350,11,0,0,0,13,0,0,0,14,0,0,14,7,0,0,0,8,0,0,0,8,9,0,15,15,3,0,0,18,0,0,0,21,10,0,26,1128,109,28,17,1283,18,0,21,1306,66,4,1373,164,22,4,6,188,17,3,20,208,57,0,267,0,0,0,0,0,0,0,0,0,0,0,3,1294,128,27,26,1471,41,4,44,1519,122,7,1644,116,4,0,0,126,3,0,3,125,6,0,133,114,13,0,0,124,4,0,4,132,6,0,132,3,0,0,0,6,0,0,0,6,0,0,7,0,0,0,0,3,0,0,0,3,0,0,3,235,17,4,0,261,4,0,9,263,9,0,279,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0
SED10008,21,0,3,0,27,0,0,0,27,0,0,32,16,0,0,10,26,0,0,0,26,0,0,23,1564,169,23,21,1768,40,6,47,1818,73,0,1893,15,0,0,0,15,3,0,3,19,6,0,23,16,4,0,0,26,3,0,3,29,0,0,28,28,4,3,0,38,10,0,10,51,4,0,51,1589,173,23,21,1809,52,6,53,1865,79,0,1948,311,40,3,12,368,9,3,10,375,42,0,419,0,3,0,3,3,0,0,0,3,0,3,7,1907,221,28,28,2185,57,5,67,2245,116,8,2372,569,51,4,0,622,22,4,25,646,37,0,679,438,48,5,3,490,15,0,14,505,25,0,531,17,8,4,0,25,0,0,0,25,0,0,21,0,0,0,9,6,0,0,0,8,0,0,8,1017,99,10,8,1141,31,8,38,1179,60,0,1242,11,0,0,0,11,0,0,0,11,0,0,7,11,0,0,0,17,3,0,3
SED10009,23,0,3,0,27,0,0,0,27,0,0,26,0,0,0,5,11,0,0,0,11,0,0,11,642,167,20,14,841,11,3,20,858,62,0,920,10,4,0,0,15,7,0,7,17,0,0,22,6,0,0,0,5,0,0,0,8,0,0,12,16,8,0,0,19,7,3,7,26,0,0,30,654,175,20,21,861,14,11,26,887,66,0,954,90,25,0,3,123,5,0,9,133,55,0,188,0,0,0,0,3,0,0,0,3,0,3,9,745,199,22,25,987,22,9,34,1022,117,3,1145,55,13,0,0,63,0,0,0,65,3,0,68,56,11,3,0,73,0,0,0,73,3,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,105,24,3,0,137,0,0,0,140,5,3,152,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SED10010,14,4,0,0,19,0,0,0,19,3,0,21,9,0,0,15,20,0,0,0,23,0,0,23,1026,127,16,27,1194,36,5,39,1237,74,3,1306,18,11,0,3,30,5,0,5,36,3,0,45,27,3,0,0,30,6,0,7,32,0,0,32,43,12,0,0,59,12,0,15,70,4,0,81,1072,140,16,24,1250,44,10,54,1305,77,3,1384,323,74,3,4,410,24,3,22,429,131,0,561,3,0,0,0,7,0,0,0,7,0,3,14,1397,218,15,31,1665,67,10,82,1744,208,3,1960,408,49,10,0,466,11,3,17,481,33,0,512,194,42,3,3,239,11,3,10,254,14,0,264,9,3,0,0,10,0,0,0,11,4,0,14,0,4,0,6,10,0,0,0,10,0,0,13,611,93,13,8,734,19,9,26,760,53,0,809,10,4,0,0,16,3,0,3,23,4,0,26,9,5,0,0,15,3,0,3
