SED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10001,39,252,2910,12342,7673,1166,227,555,25173,15,369,2124,495,34,3,8,120,3160,7,109,158,110,17,0,3,18,421,20,475,2279,601,50,3,9,137,3575,0,100,425,63,5,3,0,49,646,0,8,46,0,0,0,0,0,52,0,3,22,0,0,0,0,0,29,0,0,0,0,0,0,0,3,3,0,109,493,59,4,3,0,56,730,19,52,78,49,14,0,0,17,222,4,9,29,37,22,4,10,12,127,84,899,5789,13092,7766,1175,239,776,29834
SED10002,43,178,1980,6007,3668,1097,326,453,13749,35,159,204,183,46,4,0,60,681,9,147,557,1936,533,76,18,88,3363,43,302,757,2117,581,79,18,150,4051,61,350,1809,261,39,11,9,144,2693,26,129,1476,542,11,0,0,98,2272,46,1443,4119,1134,61,3,0,178,6979,3,19,32,23,0,0,4,6,84,137,1936,7433,1959,111,16,12,429,12029,0,30,62,52,17,5,3,10,191,4,23,29,19,11,6,3,46,142,228,2478,10262,10156,4393,1207,357,1087,30167
SED10003,93,539,2279,9510,6150,1140,291,468,20470,10,141,1136,1084,90,17,8,96,2573,5,140,680,866,91,9,3,64,1849,17,280,1814,1953,182,25,6,153,4427,22,212,594,282,36,5,3,51,1203,0,22,150,64,0,0,0,6,234,0,0,26,28,0,0,0,0,55,3,14,4,3,3,0,0,0,33,22,248,777,372,37,6,3,52,1526,86,284,350,73,16,5,0,54,873,5,28,63,67,35,14,8,48,276,229,1383,5285,11977,6423,1190,300,781,27570
SED10004,3,86,974,1767,764,156,38,95,3881,9,375,2399,2377,731,95,20,110,6124,45,472,2695,3820,1383,261,57,190,8924,51,851,5097,6202,2109,361,78,301,15046,81,698,777,237,48,6,7,89,1946,253,1240,1794,299,39,6,6,95,3728,432,2984,2767,692,79,7,21,197,7174,5,46,46,19,0,0,0,0,124,772,4976,5383,1246,165,24,31,382,12971,8,81,99,69,18,5,0,18,303,19,44,56,43,21,3,5,45,223,853,6033,11606,9324,3079,547,152,835,32423
SED10005,32,165,2071,6887,3775,1044,303,410,14694,36,88,217,412,38,3,0,36,827,13,125,386,1076,826,55,14,64,2557,45,214,607,1487,867,63,14,95,3385,92,539,509,262,52,7,0,92,1553,53,203,2825,439,14,0,3,105,3648,18,74,1427,312,3,0,3,54,1897,0,6,17,16,0,0,0,3,43,167,820,4775,1032,73,12,5,257,7133,0,9,48,45,9,3,0,5,128,0,12,33,20,13,0,0,17,101,245,1224,7536,9473,4731,1123,325,793,25442
SED10006,83,676,4073,12429,6503,1205,334,869,26182,10,85,236,74,17,3,3,24,455,0,5,30,12,0,0,0,3,52,16,91,263,81,19,3,3,31,505,21,346,479,57,6,0,3,68,982,3,5,16,0,0,0,0,0,26,0,12,6,0,0,0,0,0,22,0,0,3,0,3,0,0,0,4,24,367,502,62,9,0,3,65,1042,46,132,83,87,36,5,3,71,465,16,33,67,114,64,22,13,39,356,180,1302,4994,12776,6626,1236,352,1073,28544
SED10007,56,387,2975,10794,7734,1516,365,572,24397,16,167,882,457,45,4,0,63,1633,6,98,122,140,28,6,0,14,413,22,263,1005,597,74,6,3,78,2047,23,184,455,86,8,0,6,36,803,0,9,21,0,0,0,0,4,38,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,195,476,87,8,0,6,45,847,11,45,68,179,103,11,9,14,440,3,75,37,93,40,10,3,78,341,115,964,4569,11747,7958,1553,386,780,28077
SED10008,15,75,326,5569,10213,3417,666,240,20525,0,27,223,230,22,0,0,9,517,3,35,338,1645,416,32,4,33,2502,3,60,561,1877,442,35,4,40,3018,0,19,191,79,7,0,0,12,309,0,0,228,135,3,0,0,0,366,3,104,236,108,12,0,0,3,465,3,3,3,0,0,0,0,4,14,5,127,655,323,20,0,0,17,1153,0,0,0,0,8,3,0,0,12,0,14,9,8,12,9,0,13,52,24,277,1556,7774,10684,3463,677,314,24758
SED10009,77,541,3228,11162,6283,1146,235,569,23237,18,140,819,508,30,3,0,71,1585,3,79,398,380,45,4,4,35,944,21,221,1215,885,74,6,7,106,2530,14,213,765,315,20,5,8,72,1402,0,14,44,9,3,0,0,3,77,0,0,19,4,0,0,0,0,29,0,0,3,3,0,0,0,0,11,17,224,826,339,26,7,8,74,1515,49,163,219,86,15,0,4,33,576,10,16,67,70,36,10,7,14,231,169,1166,5560,12540,6436,1169,256,801,28095
SED10010,33,249,1875,11438,6237,1283,298,604,22011,25,119,234,414,108,9,0,51,959,8,96,386,1150,344,37,0,49,2071,32,219,621,1562,450,40,5,106,3027,52,304,131,30,3,0,0,35,561,5,3,92,3,0,0,0,4,107,8,66,1611,84,9,0,0,59,1836,0,16,5,5,3,0,0,3,35,67,381,1835,126,17,0,0,109,2532,0,4,21,15,3,3,0,0,44,0,18,20,23,7,3,0,20,100,133,874,4373,13159,6705,1330,302,836,27720
