SED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,0,4,0,13,12,3,3,0,0,35,5,36,34,147,62,48,26,4,0,362,0,0,0,7,4,11,10,3,16,46,0,0,7,19,29,62,75,46,12,247,3,0,0,9,13,4,0,0,0,28,0,12,23,43,33,16,18,6,4,155,0,0,0,0,6,4,12,11,6,41,5,7,9,64,11,9,0,0,0,111,0,0,0,3,0,0,0,0,0,4,3,12,14,41,17,7,7,0,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,16,33,19,25,16,3,0,135,0,7,3,26,3,3,3,0,0,47,0,0,0,8,7,14,14,0,0,59,0,4,8,17,4,7,3,0,0,37,7,42,53,327,152,122,137,107,41,985,278,550,671,1421,801,990,853,635,334,6524,4819,9980,9507,17928,10143,10625,8629,4889,2118,78641
SED10002,0,0,0,12,0,5,4,0,0,25,8,55,111,768,327,265,141,39,11,1724,0,0,3,30,13,31,19,18,18,124,0,0,0,20,9,22,27,12,6,97,6,23,28,72,23,27,8,5,0,195,0,10,20,114,42,16,21,3,0,231,0,0,0,11,12,15,17,10,0,69,4,43,132,771,281,231,142,56,22,1688,7,3,75,588,33,31,16,0,0,758,3,16,50,263,24,21,5,0,0,393,0,0,0,11,6,14,19,14,0,66,6,29,104,671,713,446,282,134,23,2418,16,34,31,59,10,9,6,0,0,156,7,17,114,830,920,1023,393,150,52,3511,0,0,0,7,0,3,9,0,0,18,0,6,7,32,5,8,0,0,0,60,71,269,481,1791,732,477,330,174,94,4428,462,639,950,2672,785,693,410,249,97,6957,7611,11574,15042,38626,11872,9737,5278,2777,1176,103686
SED10003,0,0,3,37,36,27,3,3,0,115,4,14,16,51,27,31,13,8,0,163,0,0,0,21,4,7,7,3,3,51,0,6,12,41,44,55,67,40,15,276,3,0,0,13,7,10,3,0,0,44,0,18,23,96,85,76,75,29,10,403,0,0,0,0,3,5,5,0,0,15,0,0,0,11,4,8,8,3,3,41,0,4,0,8,3,0,0,0,0,17,0,18,22,50,27,15,8,0,0,133,0,0,0,3,0,0,0,0,0,6,0,0,0,7,7,0,0,0,0,17,4,23,41,129,87,86,87,15,4,480,0,5,0,22,9,3,0,0,0,49,0,3,8,14,11,12,20,12,3,87,0,3,0,18,16,12,9,0,0,57,16,58,69,464,190,183,135,60,31,1204,286,701,596,1719,1186,1310,912,491,339,7543,3617,8592,6753,16003,10633,11907,8859,4473,2442,73276
SED10004,0,0,6,31,13,11,0,0,0,71,4,10,32,299,49,49,39,4,3,497,0,0,3,108,12,43,25,8,6,199,0,9,16,189,103,97,66,19,5,510,9,19,56,151,39,25,13,3,0,323,4,7,39,265,86,68,40,4,0,515,0,0,0,14,20,17,13,9,0,69,0,0,17,94,26,26,12,9,0,185,0,7,33,151,22,14,9,3,0,241,8,9,69,585,62,28,5,5,0,768,0,0,0,20,5,12,7,9,0,56,0,0,10,75,27,26,10,9,3,157,35,89,81,383,144,89,61,20,0,908,0,7,81,279,90,107,55,28,14,658,0,0,3,73,42,22,19,3,0,156,0,0,0,36,18,6,9,0,0,74,37,82,289,1563,388,265,284,143,60,3111,335,477,916,3035,948,798,548,260,119,7437,5062,7289,10571,31090,11064,8433,5901,2384,968,82772
SED10005,0,0,4,0,6,10,4,0,0,28,4,33,86,314,176,123,51,18,3,809,0,5,3,29,22,48,43,43,54,245,0,3,0,9,6,27,27,15,18,98,3,8,3,21,7,13,7,4,4,69,0,3,4,24,18,18,13,12,0,82,0,0,0,10,13,19,14,21,4,81,3,0,22,58,30,28,20,9,4,175,0,4,11,69,4,13,6,0,0,103,3,10,46,129,26,26,3,6,0,248,0,3,20,124,181,231,223,108,23,920,0,4,12,67,92,49,32,19,0,279,4,26,26,36,14,12,6,0,0,121,47,175,783,3247,2244,2039,717,314,157,9722,0,0,0,0,0,3,3,0,0,15,0,6,18,24,10,5,0,0,0,60,78,298,471,1779,826,603,446,269,137,4909,461,764,781,1715,810,658,480,336,155,6151,6792,12049,12005,24159,10441,9049,5800,3440,1788,85522
SED10006,0,10,0,17,13,0,0,0,0,45,7,38,21,146,53,40,21,4,0,319,0,0,0,3,0,7,3,0,0,13,0,4,3,9,15,26,30,11,0,101,0,0,0,3,0,4,0,0,0,13,0,10,21,43,26,20,7,3,0,131,0,0,0,0,3,3,14,16,0,39,0,8,0,20,13,3,3,3,0,46,0,3,0,0,0,0,0,0,0,3,0,6,0,21,6,3,0,0,0,37,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,6,23,14,21,19,14,7,119,0,0,3,8,4,0,3,0,0,25,0,0,0,3,3,3,3,6,3,21,0,3,0,11,9,6,0,0,0,28,3,13,27,80,50,67,74,55,12,387,521,905,825,2085,1386,1375,1223,755,334,9414,5098,10060,8190,17248,10354,10931,8578,4944,1939,77345
SED10007,0,0,0,12,16,3,0,0,0,41,12,27,31,97,50,44,14,4,0,274,0,0,0,7,0,14,14,14,12,59,3,5,10,24,50,72,83,44,11,298,0,0,0,13,9,5,3,3,0,30,0,7,23,52,29,16,22,8,0,160,0,0,0,0,6,9,16,9,0,41,0,11,8,25,17,13,3,0,0,78,0,0,3,3,3,0,0,0,0,8,0,4,18,43,10,3,0,0,0,88,0,0,0,3,4,3,7,0,0,13,0,0,0,0,0,0,0,0,0,3,3,14,16,36,15,31,20,7,0,133,3,4,13,65,19,8,0,0,0,114,0,0,0,4,25,11,15,7,0,57,0,3,4,12,5,6,3,0,0,34,3,18,45,130,88,99,115,77,14,589,284,611,887,1450,1011,1039,1021,588,289,7185,4627,10012,10145,17810,10367,10323,8666,4381,1758,78079
SED10008,0,0,8,24,11,12,8,0,0,63,4,32,45,293,161,219,124,21,13,919,0,3,3,66,36,69,34,14,6,226,0,13,5,29,42,53,61,28,13,236,13,48,48,82,53,51,45,10,3,347,17,76,124,307,165,119,66,20,5,899,0,0,0,5,18,12,13,3,3,60,6,58,75,431,362,331,139,49,20,1473,5,3,23,134,40,56,37,3,0,311,3,9,15,96,27,21,10,0,3,184,0,0,0,8,8,8,3,3,0,29,0,0,3,34,51,19,14,12,0,134,19,76,210,132,51,25,26,6,0,535,0,3,9,145,96,95,29,10,0,386,0,4,0,7,8,13,7,4,0,47,0,0,16,34,26,12,3,0,0,83,31,146,201,629,367,378,257,130,47,2177,106,198,215,589,310,285,246,139,39,2135,5036,11068,10174,20391,11043,9728,7472,3187,1046,79148
SED10009,0,0,0,8,13,11,6,0,0,37,7,19,6,79,39,44,20,7,4,219,0,0,0,10,7,11,16,9,12,57,0,0,3,18,37,89,140,76,33,403,3,3,0,3,3,7,3,0,0,29,3,7,3,39,27,46,57,19,6,204,0,0,0,3,10,5,11,20,8,57,0,0,0,11,4,0,5,0,0,24,0,0,0,5,0,0,0,0,0,5,3,5,14,40,11,11,4,0,0,85,0,0,0,0,3,0,6,4,0,16,0,0,0,0,7,0,0,0,0,8,0,14,7,46,24,64,70,11,3,240,0,0,0,30,16,7,6,0,0,56,0,0,0,6,16,28,29,14,6,93,0,0,0,0,3,14,11,0,0,25,6,11,17,115,115,137,227,158,49,832,166,468,450,1016,885,1191,1082,703,306,6269,2934,7579,6015,11543,9247,12864,11590,5904,2382,70054
SED10010,0,0,6,18,13,3,7,0,0,50,61,302,597,2326,1165,1076,551,126,75,6267,0,0,5,54,27,91,55,61,118,408,0,0,0,20,27,31,56,33,15,182,4,20,4,25,13,28,16,3,0,104,0,6,22,85,48,46,24,11,3,251,0,0,4,36,28,49,37,40,7,197,21,68,100,604,159,144,90,39,12,1231,0,0,9,32,7,11,0,0,0,55,3,16,19,87,30,27,7,0,0,191,0,0,0,9,16,17,13,8,0,59,3,8,21,153,114,69,46,15,0,427,3,28,20,53,21,19,11,0,0,162,0,0,9,92,55,53,24,11,7,247,0,0,0,8,4,3,12,7,0,30,0,0,7,14,4,3,0,0,0,39,42,233,535,1403,772,559,387,214,79,4216,296,443,541,1321,563,532,427,276,155,4556,6740,11290,11665,27960,10371,9324,5884,3220,1264,87705
SED10011,0,0,0,17,22,19,4,8,0,71,0,17,26,95,36,43,26,3,0,253,0,0,4,36,20,57,34,18,8,173,0,14,6,49,82,114,145,65,24,497,0,3,7,19,11,6,4,0,0,60,0,8,10,70,58,57,45,16,3,273,0,0,0,4,9,11,11,4,0,51,0,0,3,13,16,11,10,11,0,63,0,7,3,13,6,4,0,0,0,28,4,3,13,64,13,12,3,0,0,115,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,6,3,3,0,16,3,24,26,89,89,80,84,17,6,420,3,3,42,60,9,6,3,0,0,121,0,0,0,9,31,24,38,12,5,125,0,0,0,9,4,12,0,0,0,25,12,39,52,291,224,237,283,134,61,1326,135,317,292,767,549,644,588,287,105,3696,3954,9045,7687,15486,10154,10944,8679,3827,1545,71327
SED10012,0,0,0,4,0,0,0,0,0,5,5,32,84,312,126,190,119,18,14,893,5,0,0,40,19,51,44,27,28,214,0,3,0,9,5,10,23,9,4,68,0,0,6,10,3,10,12,4,0,49,0,3,3,6,12,9,6,3,0,42,0,0,4,72,72,114,98,69,24,459,0,3,3,15,15,22,14,4,0,73,0,0,10,19,14,17,3,0,0,66,7,22,86,513,89,81,28,7,0,823,0,0,3,40,71,101,75,30,10,333,3,11,14,25,46,21,36,14,0,169,0,16,19,24,3,3,4,0,0,68,86,337,1207,5920,4236,3522,1310,564,274,17462,0,0,0,0,0,3,4,7,0,12,3,8,3,3,3,0,0,0,0,17,34,213,372,1380,1175,1141,796,409,165,5694,229,525,562,1101,605,599,355,184,92,4260,4799,10563,12595,21173,11501,10540,5994,3219,1407,81784
SED10013,0,0,5,19,11,6,0,4,0,41,4,24,43,278,118,85,24,4,3,577,0,3,3,67,22,23,31,13,6,160,3,18,20,82,78,114,91,42,9,450,0,3,10,19,6,13,6,3,0,63,3,13,46,142,88,43,30,11,0,386,0,0,0,21,25,29,19,14,0,111,0,8,4,50,39,18,6,9,0,135,0,0,3,33,3,7,0,0,0,51,3,5,11,102,21,12,5,0,0,164,0,0,0,22,28,23,12,3,0,81,0,0,3,18,15,0,3,0,0,39,4,29,24,64,34,24,9,0,0,198,0,8,13,105,39,22,4,3,0,196,0,4,7,19,21,12,21,12,5,100,0,10,36,64,35,17,0,0,0,157,12,36,82,686,426,344,217,90,34,1921,306,557,558,1441,641,513,416,233,132,4792,7147,13621,11573,26292,11231,8518,5909,2704,1199,88202
SED10014,0,0,10,16,13,6,4,0,0,47,10,55,153,639,331,297,134,38,14,1670,0,0,9,58,32,62,44,16,7,233,0,4,5,32,62,126,134,61,10,433,0,4,7,19,8,16,9,4,0,54,0,10,49,171,78,104,69,27,9,516,0,0,3,4,20,12,15,9,0,70,9,31,21,141,33,36,25,12,3,320,0,0,6,17,0,6,0,0,0,34,0,9,19,139,39,24,19,0,0,251,0,0,3,17,22,16,16,6,0,89,0,0,0,12,10,3,4,3,0,33,3,10,24,57,30,14,17,0,0,150,3,5,25,168,75,77,24,10,0,388,0,0,3,5,7,23,14,11,4,64,0,3,21,29,17,5,3,0,0,77,20,140,273,1165,818,666,431,198,32,3751,328,684,766,1459,661,662,591,252,154,5555,5599,11307,11567,21677,9468,9092,6662,2659,799,78849
SED10015,0,0,6,12,10,7,8,8,3,53,20,68,127,691,277,246,111,22,13,1563,0,0,3,53,8,9,12,7,5,101,0,0,3,19,17,22,18,15,7,106,0,8,10,48,19,24,10,6,0,131,0,8,11,60,30,16,7,3,0,142,0,0,3,8,20,15,18,10,5,75,0,5,7,57,16,35,9,8,9,137,0,0,17,88,16,25,6,0,4,155,3,11,43,295,50,52,14,3,3,466,0,0,0,29,33,42,42,35,10,201,0,3,0,64,52,36,29,11,3,194,6,21,16,76,20,16,13,3,0,160,13,51,288,869,474,497,214,66,33,2514,0,0,0,3,9,4,3,0,0,18,0,3,9,20,9,5,0,0,0,47,30,141,305,1611,972,852,656,356,114,5035,306,520,600,1672,778,612,509,323,132,5458,5361,10032,11085,26855,12091,9366,6720,4656,1857,88009
SED10016,0,0,0,13,20,10,7,0,0,50,5,53,119,497,352,300,173,27,14,1540,0,0,3,51,32,74,26,13,5,212,0,18,14,54,58,65,57,30,8,309,5,56,36,65,51,55,28,3,0,299,17,160,242,464,340,197,73,27,10,1522,0,0,0,9,18,8,11,17,0,66,0,32,82,256,264,188,96,49,14,983,0,3,6,118,28,48,25,3,0,234,5,10,30,79,26,19,0,0,0,177,0,0,0,3,3,5,3,0,0,18,0,0,3,35,54,17,5,3,4,126,20,88,55,95,61,42,19,5,0,381,0,10,11,85,75,48,15,0,0,253,0,3,5,15,17,19,5,5,0,69,0,0,12,36,42,20,12,0,0,130,16,149,165,620,468,341,246,128,47,2170,105,305,285,689,432,309,273,133,60,2595,4834,12855,11033,20205,11783,9120,6357,2668,974,79826
SED10017,0,0,3,10,3,8,0,0,0,31,7,21,23,105,44,40,21,6,0,256,0,0,0,10,0,3,10,3,4,36,0,3,7,22,38,59,96,36,16,276,0,0,6,3,0,4,3,0,0,14,0,15,17,60,29,24,19,7,0,172,0,0,0,4,4,13,7,3,0,31,0,14,4,18,14,8,0,0,0,63,0,0,0,3,0,0,0,0,0,7,4,9,16,48,21,4,3,0,0,105,0,0,0,6,3,3,4,0,0,17,0,0,0,3,0,0,0,0,0,3,3,8,4,48,16,17,19,3,0,118,0,0,9,22,3,3,0,0,0,34,0,0,0,9,11,5,13,3,0,51,0,0,4,6,7,3,3,0,0,20,3,7,14,111,54,65,99,35,29,417,265,577,514,1334,744,806,764,362,175,5554,5485,10633,9371,20060,9584,9470,7282,3329,1424,76641
SED10018,0,0,3,21,13,14,0,0,0,44,6,16,23,93,26,52,8,3,0,230,0,0,0,11,10,24,18,15,18,89,0,17,5,47,55,51,70,66,18,323,0,0,0,9,8,5,3,3,0,32,0,18,35,74,49,37,15,8,3,242,0,0,0,4,7,12,12,7,6,47,0,4,0,16,8,4,11,7,0,60,0,0,0,8,4,5,0,0,0,15,5,8,14,63,17,8,0,0,0,112,0,0,0,14,33,74,83,51,24,278,0,0,0,7,8,5,0,0,0,23,4,41,26,62,44,27,11,8,0,231,0,3,10,23,22,4,4,0,0,65,0,4,6,10,25,17,16,6,4,96,0,0,0,19,4,10,3,0,0,28,5,44,39,231,125,89,115,73,52,776,119,259,253,770,458,432,444,301,165,3211,4509,9347,8428,17748,9629,8684,7119,4546,2032,72039
SED10019,0,0,0,10,18,17,0,3,0,56,0,23,17,95,61,46,21,3,0,263,0,0,0,3,0,0,3,3,0,10,0,3,0,7,37,44,74,31,8,206,0,0,0,4,4,0,3,0,0,14,0,3,9,26,28,29,17,7,0,115,0,0,0,0,0,3,0,0,0,7,0,5,0,11,3,3,7,7,0,27,0,0,0,9,0,4,0,0,0,14,0,10,3,24,16,9,0,0,0,67,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,21,10,28,29,26,31,9,3,159,0,0,4,17,3,4,0,0,0,34,0,0,0,5,6,14,21,9,0,53,0,0,0,8,11,7,6,0,0,41,3,14,14,92,56,72,96,53,16,420,237,561,591,1226,923,1109,1010,625,228,6519,3839,8849,7632,13769,9647,11650,10215,5664,2258,73511
SED10020,0,0,12,30,33,22,3,4,0,93,0,30,27,90,63,58,14,9,3,302,0,0,0,12,5,13,8,9,10,64,0,14,10,32,34,52,89,57,30,318,0,4,0,10,0,7,0,0,0,26,0,25,20,86,64,47,35,22,3,307,0,0,0,0,6,7,10,10,3,27,0,0,6,8,10,0,0,0,0,27,0,3,22,83,3,0,3,0,0,115,4,24,27,43,24,11,3,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,12,3,19,12,62,29,32,56,5,6,229,0,0,0,33,6,9,0,0,0,48,0,0,0,9,20,8,11,5,6,65,0,0,5,13,3,12,12,3,0,48,23,180,142,321,179,139,143,56,30,1209,247,493,549,1140,760,896,721,511,330,5642,4055,9301,8022,15868,9633,10689,8512,4793,2070,72944
SED10021,0,0,3,28,33,11,4,3,0,87,4,29,52,323,102,71,31,14,0,621,0,0,0,157,24,54,50,17,54,364,3,10,26,295,95,82,75,39,5,628,11,32,58,109,30,29,13,18,8,317,3,22,88,498,262,141,80,76,43,1218,0,0,0,11,11,13,13,15,8,74,0,0,3,56,17,13,19,4,0,118,0,3,14,55,18,10,9,0,0,113,4,14,32,173,38,20,11,0,0,300,0,0,0,10,5,3,3,0,0,21,0,4,3,28,22,14,5,3,3,85,38,110,101,498,143,72,44,9,3,1017,0,3,28,112,37,32,12,8,0,237,0,7,3,105,24,10,13,5,3,169,0,0,9,54,15,17,5,0,0,99,58,121,369,2670,631,610,620,400,278,5757,370,512,867,3095,987,702,558,430,383,7910,5176,8104,8553,32544,10641,7456,5451,3235,2009,83171
SED10022,5,6,7,10,17,7,7,0,0,54,6,33,16,79,39,28,14,0,0,215,0,0,0,0,0,3,7,4,3,15,3,0,3,6,14,27,43,27,3,123,0,0,3,8,3,5,3,0,0,20,0,6,13,21,28,10,8,4,0,89,0,0,0,3,0,6,10,7,0,19,0,3,3,19,5,0,3,4,0,41,0,0,17,80,7,0,0,0,0,103,0,0,3,16,9,3,3,0,0,30,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,13,0,9,14,20,9,26,14,0,3,97,0,0,0,22,8,10,0,0,0,43,0,0,0,3,0,3,14,3,4,24,0,3,0,6,6,3,0,0,0,24,6,19,12,70,35,67,74,37,13,347,268,668,627,1346,948,1097,1009,662,305,6923,4080,9481,7585,14537,9296,10131,9102,5295,2270,71781
SED10023,0,0,0,9,18,11,0,3,3,43,8,16,18,133,67,66,17,10,5,332,0,0,0,53,14,18,15,5,3,120,0,5,0,57,56,49,72,44,15,299,3,16,12,19,13,11,15,3,0,92,3,14,29,123,82,46,47,18,0,361,0,0,0,5,13,7,10,9,0,43,0,0,0,7,6,8,3,0,0,29,0,3,3,10,4,13,0,0,0,30,0,10,9,65,30,6,4,0,0,134,0,0,0,21,27,15,11,4,0,84,3,0,0,13,8,11,3,0,0,36,3,27,29,101,55,29,23,9,3,283,0,0,0,39,22,20,14,0,0,102,0,0,10,30,22,20,20,4,0,108,0,0,0,15,11,3,3,0,0,32,17,72,79,623,251,212,177,102,29,1557,151,304,341,1183,509,508,384,245,162,3782,4340,9271,8631,19314,10203,9508,6675,3889,1893,73728
SED10024,0,5,0,35,75,48,30,39,12,243,0,12,18,160,60,48,21,16,0,349,0,9,7,35,16,32,15,15,12,147,3,25,26,58,104,64,59,41,24,404,14,102,66,97,64,50,34,15,7,455,22,214,330,737,637,496,244,97,39,2813,0,0,0,6,4,17,11,6,0,45,0,4,16,64,56,39,28,18,3,222,5,14,38,230,53,67,55,10,0,484,7,20,24,86,40,16,5,0,0,199,0,0,3,3,5,3,3,0,0,21,0,3,8,12,27,22,19,14,7,113,17,133,90,134,126,83,52,22,5,662,0,7,3,110,45,24,16,0,0,212,0,3,3,28,35,13,24,6,4,117,0,0,6,54,48,39,14,3,0,164,33,154,153,587,525,339,282,211,89,2379,95,259,239,549,417,326,351,320,244,2800,4119,12210,9990,16177,12183,8784,7491,4884,2461,78300
SED10025,0,0,3,20,23,10,3,0,0,59,0,22,32,321,91,84,32,6,3,584,0,3,0,65,12,27,24,19,9,167,0,3,9,86,48,43,47,26,14,275,13,22,24,87,24,30,16,11,0,218,3,11,25,182,69,65,37,10,3,411,0,0,3,17,24,18,7,11,4,84,0,0,6,140,40,42,36,24,6,305,4,3,22,132,22,29,9,3,0,229,5,23,24,181,25,24,10,3,0,295,0,0,0,16,14,8,8,3,0,50,0,0,11,72,58,43,29,5,6,230,25,50,35,107,54,38,39,9,4,348,0,6,24,270,113,70,35,11,3,534,0,0,0,22,10,12,10,5,3,57,0,0,4,19,14,7,4,3,0,45,62,150,160,1209,389,297,277,153,83,2776,269,368,438,1718,591,549,477,273,181,4861,5023,8269,8931,26403,10475,8754,6602,3845,1946,80243
SED10026,0,0,0,6,11,8,0,0,0,27,3,33,31,120,47,37,11,3,0,286,0,0,0,3,0,4,0,0,4,16,0,0,5,12,18,37,41,20,6,138,0,3,0,3,6,5,5,3,0,24,0,12,17,53,19,25,15,6,0,159,0,0,0,0,0,3,9,7,0,22,6,16,19,62,29,9,3,3,0,144,0,0,3,13,0,0,0,0,0,20,0,3,0,23,11,4,0,0,0,49,0,0,0,0,0,0,4,0,0,10,0,0,0,5,3,0,0,0,0,6,0,6,3,33,14,20,19,7,3,115,0,3,3,45,10,3,3,0,0,69,0,0,0,3,4,0,8,4,0,28,0,19,12,45,9,6,7,0,0,92,11,22,17,110,61,77,73,47,10,428,375,704,733,1717,1013,1101,929,507,201,7281,5491,10508,9012,18632,9911,9608,7516,4221,1650,76563
SED10027,0,0,0,18,5,9,0,0,0,29,0,36,90,275,157,118,46,7,4,735,0,3,0,36,10,23,17,29,30,147,0,0,0,10,21,39,23,20,19,124,0,16,17,32,16,19,17,8,0,115,0,4,20,70,49,28,23,11,0,210,0,0,0,3,11,18,22,13,3,65,0,3,5,29,20,29,24,12,3,128,3,3,9,43,0,8,7,0,0,73,3,9,16,115,40,29,6,0,0,219,0,3,14,101,131,160,132,61,18,621,0,0,3,13,22,13,18,12,3,88,0,26,15,45,18,15,6,3,0,134,15,67,232,1266,860,728,217,125,48,3552,0,0,0,12,7,3,4,5,4,30,0,0,3,17,9,6,0,0,0,35,22,128,221,939,519,406,273,193,104,2800,198,395,450,998,524,516,380,260,166,3880,5136,10252,10081,20489,10030,9114,6242,3870,2125,77348
SED10028,0,0,4,22,8,20,9,7,0,69,3,37,49,256,118,119,66,12,11,670,0,0,0,29,16,34,23,9,11,117,0,15,9,38,46,39,49,32,31,252,12,83,114,92,84,88,51,19,3,549,13,103,172,248,229,124,71,50,17,1011,0,0,0,11,5,14,7,11,0,46,4,79,128,364,392,350,157,71,30,1565,11,30,68,269,91,110,54,7,0,636,0,5,26,73,29,18,5,0,0,161,0,0,0,0,8,3,4,0,0,14,0,0,3,16,27,16,3,4,3,63,11,108,68,88,51,41,26,12,11,415,3,5,36,169,134,104,19,7,6,484,0,5,11,16,16,7,16,14,4,84,0,3,8,31,23,19,4,0,0,80,24,127,155,521,356,273,178,148,93,1870,88,196,211,550,284,235,237,251,220,2279,3912,10420,11572,18840,11619,10091,6479,4259,2749,79934
SED10029,0,0,0,3,3,0,0,3,0,14,3,51,95,400,195,191,87,39,11,1071,0,0,0,29,19,56,41,35,28,204,0,0,0,7,16,20,20,20,13,98,0,3,4,13,4,7,8,0,3,36,0,0,3,9,8,0,8,3,0,38,0,0,3,34,34,62,77,58,15,288,0,8,13,44,17,14,19,9,7,130,0,3,11,40,4,17,7,0,0,82,9,68,105,340,62,51,23,3,0,658,0,3,0,36,38,69,63,20,9,243,25,11,26,79,74,32,36,15,3,293,3,19,25,33,4,7,3,0,0,101,51,216,706,4092,2953,2461,917,403,173,11972,0,0,0,0,0,0,9,0,4,15,0,0,3,8,3,0,0,0,0,13,103,377,563,1820,1146,972,747,465,161,6360,345,582,562,1403,706,642,432,286,141,5086,5861,11644,12625,23493,11538,10025,6269,3819,1726,86985
