SED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,6386,4344,2243,868,36803
SED10002,4470,2088,969,390,45337
SED10003,8518,5534,2350,1181,39989
SED10004,6508,4080,1239,377,52746
SED10005,3878,2204,1166,528,32429
SED10006,5595,3689,1965,815,31988
SED10007,6404,4753,2112,782,37488
SED10008,7026,4675,1765,548,42585
SED10009,8352,6789,3253,1240,35731
SED10010,4912,2675,1224,435,39114
SED10011,8275,5899,2391,833,39798
SED10012,3399,1918,795,315,25707
SED10013,4851,2883,1171,583,39188
SED10014,4867,3189,1152,359,32420
SED10015,4562,2427,1306,537,39573
SED10016,6500,3842,1385,407,40537
SED10017,5159,3483,1457,602,33011
SED10018,5723,4009,2277,926,35663
SED10019,6857,5007,2473,910,32871
SED10020,6967,4737,2385,1122,35554
SED10021,5811,3719,1881,1124,53334
SED10022,5529,4229,2149,808,30765
SED10023,6834,4156,2152,903,40103
SED10024,7040,5385,3183,1523,43702
SED10025,6131,3845,1611,794,45842
SED10026,5711,3740,1838,638,35156
SED10027,4918,2770,1542,911,33978
SED10028,7757,4545,2683,1769,45600
SED10029,3562,2047,1138,527,27900
SED10030,6083,4685,2456,1194,36511
SED10031,6932,5450,2434,980,37681
SED10032,4032,2220,1081,518,39416
SED10033,5740,3583,1479,454,35089
SED10034,6423,3973,1690,823,39761
SED10035,4724,2535,1219,376,61765
SED10036,4703,2507,983,462,36260
SED10037,7099,4567,2077,734,43596
SED10038,6668,4234,2178,841,40117
SED10039,7120,5019,2479,1120,37085
SED10040,5189,2863,1635,975,45870
SED10041,7019,5062,3120,1868,46449
SED10042,6420,5034,2624,1250,34704
SED10043,3697,2057,1161,556,35284
SED10044,6680,4530,2234,1351,48289
SED10045,8028,4869,2040,921,36181
SED10046,4273,1994,975,231,34787
SED10047,4474,2804,1243,304,36344
SED10048,5622,2794,966,437,37853
SED10049,5154,3125,1472,557,34305
SED10050,6315,4001,1726,864,47856
SED10051,5673,3636,1872,938,43459
SED10052,6211,4009,2157,1241,38304
SED10053,6498,3814,1552,503,38803
SED10054,4763,2164,764,285,34800
SED10055,5272,2193,695,177,34904
SED10056,5937,3956,2184,916,34903
SED10057,6891,5948,3142,1372,33261
SED10058,6447,3828,1835,982,40211
SED10059,4839,2566,1166,307,56304
SED10060,7147,5621,2506,1038,53309
SED10061,6287,4578,2217,751,36054
SED10062,5880,3641,1908,937,38538
SED10063,5686,4008,2061,735,35423
SED10064,7584,5388,2627,1049,34452
SED10065,5877,3280,1573,652,55754
SED10066,5210,3388,1423,561,35935
SED10067,7281,5417,2789,1569,40366
SED10068,7018,6327,3466,1457,36635
SED10069,6322,5743,2717,965,34690
SED10070,4683,2865,1161,442,34773
SED10071,4929,2311,623,145,43646
SED10072,4836,3087,1699,896,45051
SED10073,6407,3769,1931,1032,53358
SED10074,5378,3574,1792,751,42971
SED10075,5731,3834,1926,655,35933
SED10076,6629,5953,3022,1189,33772
SED10077,5603,3011,1627,800,51345
SED10078,5363,2724,1327,676,46347
SED10079,5942,4687,2557,937,32983
SED10080,6440,4262,1677,768,72117
SED10081,5943,4076,2069,747,34479
SED10082,6899,5080,2714,1258,37721
SED10083,5724,4150,2168,1245,34488
SED10084,6759,5220,3161,1488,36663
SED10085,5549,3541,1673,593,33347
SED10086,6309,4935,2334,1118,51048
SED10087,5749,3477,1748,732,35245
SED10088,5844,3803,2285,1052,41762
SED10089,5523,3526,1899,1189,37871
SED10090,6740,4414,1989,1013,50511
SED10091,6259,4691,2453,843,36312
SED10092,5885,3779,2171,962,40621
SED10093,5198,3769,2312,1139,33569
SED19494,1142,722,150,41,7741
SED19797,43,60,25,3,212
