SED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SED10011,0,8,10,40,28,18,16,6,3,123,0,0,0,0,9,12,6,8,0,34,0,0,0,0,0,4,14,0,4,26,3,51,37,203,416,484,511,256,127,2080,0,0,3,11,15,17,10,0,3,51,0,0,4,8,13,12,14,4,3,54,3,0,3,33,45,36,108,48,17,291,0,0,0,0,0,8,11,12,0,28,0,0,4,13,10,12,7,0,0,47,0,3,7,26,18,25,19,12,5,111,0,0,25,22,3,10,6,10,3,81,0,0,0,7,0,4,0,0,0,10,0,0,0,6,0,0,0,0,0,8,0,11,0,16,20,18,35,11,4,112,0,0,3,7,10,12,21,11,7,67,0,6,0,29,24,7,8,0,0,69,0,0,23,18,7,4,0,0,0,55,0,0,0,6,8,6,0,0,0,23,0,0,9,23,18,16,6,5,0,78,0,0,0,3,5,17,15,4,3,39
SED10012,0,19,53,248,195,187,93,115,123,1032,0,0,9,71,51,106,121,111,50,512,0,0,0,13,10,10,11,9,3,61,0,3,3,20,25,30,32,25,13,163,0,0,16,94,68,69,28,18,3,295,0,0,0,8,3,3,0,0,0,17,0,3,4,3,3,8,40,11,12,88,0,0,12,6,8,14,28,16,7,82,0,0,15,42,5,18,10,5,0,96,0,3,9,52,16,26,8,3,0,112,0,0,8,45,11,20,15,3,0,101,0,3,8,49,17,27,9,13,5,134,10,93,257,755,371,280,161,78,21,2032,0,0,0,0,3,10,6,0,0,22,0,0,0,16,42,92,168,170,50,535,0,0,0,13,0,0,0,0,0,13,0,0,0,9,3,4,0,0,0,21,0,7,11,70,61,78,32,11,10,294,0,3,9,53,26,20,12,5,3,125,0,0,3,3,7,32,35,15,0,95
SED10013,6,11,23,167,66,58,21,7,3,362,0,0,0,15,20,26,33,23,4,130,0,3,4,29,13,17,20,0,3,83,4,34,49,208,308,296,231,126,64,1313,0,9,31,162,53,33,17,0,0,305,0,3,0,5,8,8,0,0,0,23,0,0,5,17,21,28,57,17,12,166,0,5,3,4,13,9,9,11,4,56,0,3,0,18,8,11,3,0,0,45,3,21,18,183,38,34,13,4,3,325,0,3,0,24,13,6,3,4,0,59,0,0,7,30,7,11,3,0,0,54,0,0,14,80,31,24,5,3,4,165,3,14,7,53,16,18,20,10,5,144,0,0,7,14,28,80,151,112,81,474,0,0,0,6,6,0,0,0,3,20,0,0,5,22,9,3,0,0,0,37,0,3,7,79,49,34,19,7,3,197,0,0,9,31,7,13,9,3,0,67,0,0,6,14,23,71,90,36,8,250
SED10014,0,3,24,120,61,48,25,17,3,302,0,0,4,9,14,24,20,11,0,81,0,12,4,46,18,23,14,12,3,140,3,12,17,99,216,252,312,164,39,1111,0,4,31,207,91,71,46,12,0,465,0,0,0,4,0,3,3,0,0,17,0,3,6,11,16,23,45,19,8,127,0,0,0,0,12,18,24,8,0,65,0,3,4,15,13,14,9,0,0,58,7,40,54,271,95,58,33,20,6,584,0,0,12,69,31,21,7,3,0,147,0,3,6,15,8,14,10,4,0,51,4,10,35,89,31,10,7,4,3,193,0,3,4,6,11,10,20,6,0,69,0,0,0,7,13,26,20,20,10,100,0,0,3,10,3,5,3,0,3,26,0,0,3,28,0,7,3,0,0,38,0,0,6,74,68,56,33,9,3,248,5,3,15,28,18,25,23,8,0,124,0,0,0,3,4,23,24,7,3,69
SED10015,22,77,493,1524,1000,783,300,257,102,4553,0,0,0,4,11,16,15,23,3,71,0,6,3,31,41,39,56,34,11,225,10,23,14,93,99,59,52,19,19,383,0,4,12,94,76,58,34,15,3,300,0,0,9,22,13,3,3,5,0,47,0,3,5,21,17,7,22,8,10,93,8,24,22,94,108,281,707,666,152,2059,0,5,25,128,66,94,30,22,4,372,16,35,58,386,60,45,19,9,0,628,0,23,42,284,108,74,55,9,5,611,0,4,7,21,10,6,0,0,0,47,0,0,9,17,3,6,3,0,0,35,0,4,0,30,13,10,7,9,3,72,0,4,13,33,78,111,212,242,96,781,0,3,14,73,16,9,3,0,0,116,3,27,71,281,177,153,92,53,28,889,4,14,31,234,329,383,237,133,53,1415,0,10,25,195,34,48,24,10,8,365,0,0,0,0,7,14,17,16,4,59
SED10016,20,61,89,871,326,290,123,55,37,1873,0,0,0,5,27,22,24,17,3,94,0,10,7,47,38,25,27,14,0,164,10,99,123,259,319,213,218,99,36,1379,0,0,12,89,59,45,16,10,0,232,0,0,5,6,8,6,6,0,0,29,0,4,7,18,23,19,56,12,9,150,0,0,0,8,4,18,21,13,3,60,8,8,21,86,67,99,21,12,0,321,9,54,65,547,191,148,86,36,18,1156,0,3,20,108,49,34,21,11,0,249,0,19,34,204,111,58,19,3,7,461,0,0,0,20,6,15,0,3,0,50,0,16,13,37,21,23,21,3,0,142,0,0,4,12,25,48,77,67,34,274,0,4,4,19,12,6,4,0,0,52,3,46,70,240,131,59,32,12,3,593,0,0,0,55,61,39,19,5,3,177,3,17,21,116,63,110,63,18,6,420,0,0,0,6,5,35,54,19,6,133
SED10017,0,3,8,33,11,10,4,4,0,69,0,0,0,0,0,6,0,3,0,14,0,0,0,0,0,0,3,0,0,3,9,12,17,88,135,159,163,92,48,720,0,0,3,8,7,3,3,0,0,28,0,0,0,3,0,4,0,0,0,6,0,0,0,5,11,18,74,15,14,145,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,10,0,6,7,82,10,3,12,3,3,125,0,3,0,12,7,0,3,3,0,27,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,3,0,0,0,11,0,5,0,7,4,9,4,4,3,41,0,0,0,3,0,5,7,0,0,18,0,0,0,0,3,0,0,0,0,10,0,0,0,14,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,8,0,3,0,16,4,7,0,0,0,37,0,0,0,0,0,8,7,0,0,21
SED10018,0,11,16,58,21,13,14,3,3,141,0,0,0,0,0,3,0,4,0,15,0,0,0,0,3,0,3,3,0,14,9,48,33,169,159,148,153,109,51,878,0,0,0,9,10,3,3,0,0,25,0,0,3,13,6,0,0,0,0,26,0,3,4,24,19,14,86,15,19,191,0,0,0,0,0,8,15,14,8,48,0,5,4,9,5,13,5,0,0,48,0,16,7,61,13,12,8,9,0,134,0,0,3,13,13,6,0,0,0,42,0,0,0,9,3,0,0,0,0,10,0,0,0,4,0,3,0,0,0,8,3,8,3,28,8,4,7,4,0,64,0,0,3,5,8,20,37,28,13,120,0,4,9,18,3,3,3,0,0,39,0,6,4,29,3,9,0,0,0,47,0,0,0,0,3,0,0,0,0,3,0,0,0,23,15,24,6,3,0,70,0,0,0,0,0,6,7,0,0,12
SED10019,0,0,0,18,16,9,4,0,0,47,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,0,0,7,3,12,13,71,135,196,236,131,50,846,0,0,0,9,0,3,0,0,0,18,0,0,0,0,3,8,8,3,0,17,0,0,0,9,12,23,37,19,8,104,0,0,0,0,0,0,0,0,0,8,0,0,3,6,7,6,0,0,0,17,0,3,0,28,4,5,5,4,0,48,0,0,0,9,4,3,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,7,7,3,0,33,0,0,0,0,3,3,4,4,0,20,0,0,0,10,4,5,3,0,0,21,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,8,0,0,30,0,0,0,0,0,7,4,0,0,17
SED10020,0,9,10,30,12,9,3,3,3,82,0,0,0,0,0,0,3,3,0,10,0,3,0,3,0,3,5,0,0,20,6,36,38,149,203,251,317,192,94,1285,0,0,4,13,15,9,5,0,0,43,0,0,3,6,6,4,3,3,3,33,0,3,8,27,28,38,48,29,12,194,0,0,0,0,3,3,3,0,0,10,3,0,3,12,0,5,3,0,0,32,9,19,29,276,68,59,36,13,10,517,0,0,0,12,4,3,5,0,3,35,0,7,9,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,10,0,9,4,27,6,15,8,6,0,78,0,3,0,3,5,11,18,15,7,58,0,3,3,28,3,4,3,0,0,45,0,0,7,21,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,7,6,6,0,21,14,6,12,0,0,68,0,0,0,0,0,6,12,4,0,25
SED10021,12,26,277,324,119,90,54,29,22,960,0,0,0,9,10,13,8,10,3,45,0,0,0,11,5,19,18,26,8,82,28,143,169,1484,461,205,157,80,54,2788,0,0,3,30,18,16,8,5,3,90,4,19,42,230,29,12,23,6,3,371,3,6,21,200,56,23,44,22,30,394,0,0,0,4,14,25,51,74,44,219,12,11,30,77,39,28,22,11,0,222,11,11,26,133,21,14,23,13,10,264,6,4,23,95,28,22,12,6,4,202,0,0,0,42,3,6,0,3,0,59,0,0,0,4,6,9,8,7,0,38,5,10,63,978,74,31,32,22,7,1225,0,6,12,138,14,19,42,58,38,334,0,9,21,130,50,29,9,6,0,248,0,9,18,112,19,10,6,0,0,165,0,0,3,22,15,17,12,12,5,90,0,0,30,98,42,46,36,11,3,270,0,0,0,0,3,10,15,13,4,48
SED10022,0,3,4,27,10,17,6,0,0,65,0,0,0,0,3,3,7,0,0,15,0,0,0,3,0,0,0,0,0,3,3,7,13,48,96,111,160,86,30,549,0,0,0,4,0,3,0,0,0,13,0,0,3,6,0,0,0,0,0,9,0,0,3,7,3,13,32,5,5,73,0,0,0,0,3,0,6,0,0,7,0,0,0,12,0,0,0,0,0,21,3,4,7,45,3,3,0,3,0,72,0,0,0,3,3,4,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,3,0,20,0,0,0,3,4,3,7,7,0,23,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,12,0,0,0,17,10,6,3,0,0,40,0,0,0,8,4,5,5,0,0,25,0,0,0,0,0,3,6,0,0,13
SED10023,0,3,14,105,82,52,15,9,3,293,0,0,0,4,11,19,17,12,0,63,0,3,0,7,10,28,22,24,5,98,6,53,60,329,253,179,225,141,61,1307,0,0,3,9,6,10,8,3,0,33,0,0,5,17,8,3,0,6,0,45,0,0,5,42,24,18,37,26,13,162,0,5,6,3,15,39,42,22,5,135,0,6,0,25,6,19,7,3,0,77,0,5,3,36,18,7,13,11,4,101,0,0,3,31,20,9,6,0,0,75,0,0,0,3,3,3,0,0,0,13,0,0,0,6,0,0,0,0,0,6,0,8,0,51,24,29,11,4,4,136,0,0,0,15,9,27,55,41,14,169,0,8,4,22,6,9,3,0,0,54,0,0,0,18,7,7,3,0,0,39,0,0,0,13,7,7,18,3,0,53,0,0,3,14,12,22,11,3,0,71,0,0,0,3,0,7,27,13,3,54
SED10024,37,122,238,1167,541,366,221,108,38,2829,0,0,0,4,3,15,10,8,5,47,0,4,0,7,6,14,28,14,4,84,33,295,225,364,492,292,275,201,119,2290,0,0,8,17,12,15,14,4,0,61,0,9,13,27,15,9,8,4,3,97,0,13,16,37,47,27,48,35,21,241,0,0,0,0,7,4,12,13,0,32,14,57,68,264,150,197,111,25,5,892,8,15,17,165,89,65,56,17,17,450,0,0,13,69,36,26,36,14,3,197,0,10,7,135,65,77,38,21,7,368,0,0,0,3,3,0,3,0,0,10,0,17,11,34,41,24,19,10,3,158,0,4,6,11,14,28,38,36,19,156,5,19,21,117,85,51,33,13,5,355,10,29,50,266,137,69,42,12,0,621,0,0,5,8,16,17,18,6,3,75,0,12,26,122,84,61,76,22,5,408,0,0,0,0,0,3,8,3,3,15
