SED_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SED10001,40,252,6,45,52,3,0,3,3,403,13,80,0,7,9,0,0,0,0,118,353,1928,54,252,354,91,3,50,19,3114,3,3,3,17,3,3,0,0,0,34,121,249,27,163,158,46,5,24,3,794,167,228,60,416,325,82,9,60,10,1369,224,164,369,847,759,313,47,221,29,2965,26,15,17,70,134,51,6,48,3,374,65,35,16,138,186,66,3,45,0,563,18,18,11,26,37,10,4,10,4,124,52,55,15,67,71,50,3,66,24,403,1184,3457,590,2080,2118,739,95,536,98,10900,4,21,0,0,0,0,0,0,3,33,25,159,3,3,11,0,0,0,0,197,178,486,14,42,50,20,7,18,4,825,12,42,0,3,3,0,0,0,0,57,74,381,22,64,59,8,0,6,3,617,29,101,0,13,19,0,0,0,0,166,804,2872,166,366,460,139,55,108,42,5011,4,5,3,19,3,6,0,8,0,46
SED10002,30,117,3,54,30,12,0,3,3,250,15,37,0,3,15,3,0,0,0,73,437,2194,131,502,826,371,37,246,95,4830,3,0,3,10,4,4,0,3,4,29,98,146,55,113,204,73,8,48,22,765,115,162,77,424,324,137,17,95,30,1383,61,79,137,366,311,106,24,85,28,1196,11,15,5,34,54,21,6,26,0,173,17,25,12,96,129,32,8,27,3,346,14,31,16,31,44,22,3,33,5,202,14,34,10,49,60,29,4,39,42,289,1037,3796,481,1807,2271,936,120,650,264,11368,8,18,0,4,4,0,0,0,0,40,32,214,7,10,8,4,0,6,4,275,589,1727,194,219,481,296,94,168,69,3842,16,66,4,8,17,7,3,3,0,125,61,203,23,68,40,14,17,17,8,437,27,56,6,3,17,3,3,3,5,116,1239,4243,702,832,1343,795,390,719,197,10456,3,0,6,11,7,5,0,6,3,50
SED10003,53,282,11,54,28,8,0,0,0,443,12,66,0,7,10,4,0,0,3,110,424,2150,112,378,408,143,14,101,40,3761,4,10,0,9,6,3,0,0,0,34,148,312,36,202,181,69,4,42,14,1011,125,194,54,420,262,131,7,61,6,1269,167,193,288,644,469,244,15,162,27,2215,17,16,11,52,86,51,3,22,6,264,69,49,23,118,159,87,4,39,4,542,15,31,8,28,27,21,3,6,0,146,35,53,16,85,67,54,3,40,35,377,1183,3984,559,2052,1759,822,61,489,149,11064,4,41,0,0,0,3,0,0,0,56,32,248,0,11,10,3,0,3,0,300,234,747,20,60,66,23,0,20,17,1190,5,40,5,3,3,4,0,6,5,69,92,462,23,64,36,13,4,6,4,704,20,96,4,9,15,5,0,0,3,147,976,3582,273,527,528,249,50,214,69,6461,7,10,3,13,6,3,0,5,0,49
SED10004,160,467,8,34,68,22,0,0,9,769,47,121,0,9,18,9,0,0,0,208,1688,4505,190,528,1109,430,5,102,100,8653,3,3,0,4,4,5,0,4,0,28,214,338,50,123,205,91,7,18,10,1059,206,319,76,221,305,126,3,29,13,1299,134,151,162,235,266,100,5,30,11,1091,16,21,0,26,50,24,0,0,0,132,46,54,13,63,115,44,3,13,5,363,32,72,10,18,45,11,0,7,3,199,36,54,8,30,41,20,0,5,29,232,3466,8888,565,1407,2604,973,35,226,229,18395,18,81,0,0,12,3,0,0,0,118,159,1238,12,10,28,3,0,0,7,1458,1591,3650,111,167,543,165,13,35,85,6360,54,130,4,7,13,3,0,0,0,209,292,773,26,47,93,22,4,10,20,1286,99,181,3,11,25,7,0,0,3,331,3509,8583,513,828,1687,801,94,241,216,16462,4,3,3,7,5,7,0,5,0,37
SED10005,14,93,0,36,18,0,0,3,0,181,3,20,0,4,7,3,0,0,3,39,212,1361,59,302,477,215,28,71,38,2762,4,0,0,14,0,0,0,0,0,23,41,107,13,116,165,57,11,36,12,558,96,153,52,425,285,102,12,45,18,1192,79,90,157,450,305,145,34,92,21,1370,15,9,10,28,69,41,10,21,3,204,20,12,8,93,132,43,11,26,5,351,11,17,8,24,45,20,5,12,6,150,16,31,10,44,61,33,9,33,36,270,573,2353,339,1576,1661,706,123,351,149,7828,3,8,0,0,3,0,0,0,0,18,14,94,3,6,9,3,3,0,5,129,174,813,79,72,178,84,68,44,17,1528,5,30,0,0,7,8,0,0,0,54,31,145,10,43,26,6,14,12,0,282,4,29,4,8,9,3,0,0,3,61,563,2537,335,475,807,414,215,238,97,5676,4,3,0,15,0,4,0,3,4,33
SED10006,41,162,4,31,20,3,0,0,0,257,13,40,0,6,3,0,0,0,0,65,342,1490,31,196,184,45,8,36,19,2345,3,4,0,3,0,0,0,0,0,19,127,214,5,151,118,23,3,26,9,675,153,149,31,346,217,40,9,38,10,1007,237,218,268,725,568,157,38,169,28,2410,42,22,16,85,104,40,4,39,3,354,74,32,20,115,114,51,6,34,3,441,21,24,4,17,24,11,3,3,0,109,85,67,28,94,82,51,3,77,44,529,1193,2688,416,1774,1459,431,78,427,115,8581,3,13,0,0,0,0,0,0,0,18,6,64,0,0,3,0,0,0,0,80,100,314,14,10,28,10,6,3,3,497,8,18,0,3,0,0,0,0,0,35,67,218,6,38,23,3,3,0,4,360,24,51,0,9,5,0,0,0,0,97,690,2056,72,291,213,69,33,71,32,3524,3,8,3,3,0,0,0,0,0,28
SED10007,40,226,3,28,27,3,0,3,0,337,11,81,5,6,5,0,0,0,0,108,324,1725,63,250,359,81,13,49,22,2891,0,0,0,3,0,0,0,0,4,14,99,263,29,156,174,43,6,24,11,797,116,173,56,369,259,76,5,45,11,1115,209,206,337,777,702,276,28,199,27,2757,37,25,23,71,151,59,4,44,0,415,52,38,36,106,193,74,16,47,8,562,11,28,9,21,33,21,8,11,3,147,43,51,20,60,80,48,9,58,23,389,1028,3211,584,1879,2031,687,83,486,121,10114,3,15,0,0,0,0,0,0,0,23,23,167,4,0,15,0,0,0,4,214,161,489,13,38,51,4,0,8,9,776,4,30,0,3,0,0,0,0,0,40,80,318,12,40,37,12,4,9,0,507,32,107,12,17,13,0,3,0,0,184,659,2522,187,383,426,135,43,113,38,4493,0,0,0,3,0,4,0,0,4,15
SED10008,54,313,6,35,57,4,0,0,3,479,20,63,3,3,10,0,0,0,0,101,755,3256,134,361,1018,307,17,67,74,5976,0,3,0,0,0,3,0,0,0,10,175,347,46,161,391,80,8,27,23,1263,166,236,50,267,406,106,4,35,12,1279,113,136,166,301,450,133,14,25,29,1368,23,26,9,30,88,41,0,4,3,218,56,47,9,73,260,57,5,21,12,539,15,66,5,33,76,21,0,4,8,228,24,68,6,30,93,38,0,16,37,308,1732,5972,476,1373,3212,862,55,211,233,14128,12,46,0,0,10,0,0,0,3,73,60,415,15,3,23,3,4,0,3,529,985,2505,155,112,533,151,44,34,72,4597,43,95,0,4,20,5,0,0,3,172,129,464,23,41,88,17,5,9,4,777,37,91,4,9,18,0,0,3,0,164,2144,6118,488,542,1473,574,138,190,164,11825,4,4,0,3,0,4,0,4,0,27
SED10009,54,233,3,31,43,8,0,3,3,371,13,44,3,3,8,0,0,0,0,68,250,1238,55,210,250,79,13,44,18,2155,4,9,0,3,3,0,0,0,0,19,91,216,30,149,144,46,4,18,3,707,114,144,32,269,208,69,4,34,10,892,175,162,326,724,475,283,18,178,27,2369,30,19,21,55,97,61,3,43,0,334,56,34,21,112,140,80,4,41,3,483,10,13,8,22,35,18,0,3,0,108,45,57,25,65,64,57,3,39,26,369,890,2483,524,1667,1493,712,43,409,102,8323,0,17,0,0,3,0,0,0,0,25,16,88,0,0,3,0,0,0,5,117,96,412,17,27,33,9,3,5,3,608,5,20,3,0,3,0,0,0,0,35,85,337,7,41,47,15,0,9,5,540,14,60,5,6,7,3,0,0,0,92,476,1908,140,298,304,120,28,104,30,3404,7,9,3,3,3,0,0,0,0,23
SED10010,15,109,0,38,33,10,3,4,3,218,8,38,0,3,3,0,0,0,0,60,316,1934,170,507,871,276,70,193,62,4387,3,0,0,7,4,3,0,0,0,30,70,151,31,139,185,52,13,52,9,687,118,197,84,392,376,127,16,61,31,1410,155,177,206,624,551,189,68,173,26,2171,21,7,14,47,90,47,9,29,9,276,27,25,15,101,144,47,20,45,10,432,13,44,17,35,46,24,8,12,7,200,18,44,17,60,80,36,10,37,37,334,868,3406,593,2089,2673,900,246,668,213,11654,3,14,0,0,4,3,3,0,0,31,16,112,6,9,12,3,3,0,0,165,341,1271,146,182,482,165,158,135,49,2928,8,51,5,5,15,10,3,3,0,104,41,179,7,50,61,11,10,11,3,377,19,56,4,6,9,8,0,0,0,108,756,3391,564,735,1334,474,479,471,120,8323,10,4,8,15,9,3,4,3,0,53
