SED_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED10001,41,1313,620,220,1464,0.8,1153,2.4
SED10002,32,2000,494,435,1374,1.2,1407,3.2
SED10003,46,1733,599,360,1411,0.8,1153,2.4
SED10004,36,3000,1070,550,3028,1,2173,2.3
SED10005,34,1950,460,380,1277,1.1,1154,3.1
SED10006,42,1062,546,160,1304,0.8,1023,2.3
SED10007,41,1517,593,250,1501,0.8,1177,2.4
SED10008,39,2500,806,550,2400,0.8,2286,3.1
SED10009,52,1387,523,250,1210,0.7,960,2.2
SED10010,34,2000,633,380,1659,1,1526,3
SED10011,44,1820,678,350,1823,0.8,1435,2.5
SED10012,36,1733,437,330,1238,1.1,1234,3.4
SED10013,34,2217,800,450,2142,0.8,2028,3.1
SED10014,34,1780,614,350,1543,0.9,1400,2.9
SED10015,37,2167,565,400,1541,1.1,1413,2.9
SED10016,37,2600,836,585,2507,0.8,2423,3.3
SED10017,37,1603,569,295,1488,0.8,1264,2.6
SED10018,40,1842,660,330,1790,0.8,1411,2.5
SED10019,48,1300,482,250,1151,0.8,923,2.3
SED10020,44,1603,566,305,1346,0.8,1107,2.4
SED10021,35,2947,1150,580,2894,1,2277,2.4
SED10022,45,1100,544,185,1290,0.7,1004,2.4
SED10023,40,2600,895,460,2440,0.9,2017,2.6
SED10024,42,3000,907,695,2929,0.8,2581,3
SED10025,37,2500,900,580,2405,1,2081,2.6
SED10026,39,1517,634,250,1503,0.8,1240,2.5
SED10027,38,2167,620,430,1798,0.9,1583,3
SED10028,40,2500,747,555,2401,0.9,2174,3
SED10029,35,1769,423,350,1189,1.1,1125,3.2
SED10030,44,1733,597,350,1522,0.8,1190,2.4
SED10031,44,1717,668,268,1668,0.7,1318,2.5
SED10032,32,2000,521,400,1457,1.1,1356,3
SED10033,38,2113,730,365,1945,0.8,1713,2.9
SED10034,39,2300,830,440,2254,0.9,2012,2.8
SED10035,31,2400,796,560,2248,1.1,1837,2.4
SED10036,34,2167,667,420,1892,0.9,1781,3.2
SED10037,39,2383,791,470,2283,0.9,2056,2.9
SED10038,40,2167,633,320,1919,0.8,1487,2.6
SED10039,43,1800,620,320,1614,0.8,1355,2.6
SED10040,34,2027,569,460,1592,1.1,1512,2.9
SED10041,40,2774,907,550,2784,0.9,2374,2.8
SED10042,44,1733,580,320,1491,0.8,1236,2.5
SED10043,33,1950,439,350,1220,1.2,1107,3.2
SED10044,38,2600,1025,505,2794,1,2262,2.6
SED10045,45,1400,509,250,1253,0.8,983,2.4
SED10046,33,1950,495,340,1419,1,1305,3.2
SED10047,33,1950,647,344,1571,0.9,1415,2.9
SED10048,34,1950,652,360,1673,0.9,1553,3
SED10049,36,1733,643,320,1663,0.8,1415,2.7
SED10050,37,3000,1101,590,2931,1,2396,2.6
SED10051,38,2600,754,485,2161,1,1717,2.6
SED10052,41,2479,787,448,2236,0.9,1890,2.7
SED10053,39,1950,847,280,2108,0.8,1666,2.5
SED10054,32,1950,601,350,1594,1,1535,3.3
SED10055,34,2167,774,438,2098,0.9,2054,3.3
SED10056,42,1300,608,190,1425,0.8,1154,2.4
SED10057,51,1309,478,250,1112,0.7,883,2.3
SED10058,39,1863,731,350,1908,0.8,1399,2.2
SED10059,32,2600,941,500,2584,1.1,1863,2.1
SED10060,38,2700,1377,575,3373,1,2408,2.1
SED10061,41,1300,546,210,1323,0.8,1058,2.4
SED10062,39,2200,708,420,2021,0.9,1776,2.8
SED10063,39,1500,625,235,1549,0.8,1224,2.5
SED10064,48,1300,481,250,1143,0.8,915,2.3
SED10065,34,2100,685,410,1794,1.1,1637,2.7
SED10066,36,1980,719,360,1847,0.8,1538,2.7
SED10067,44,2800,880,575,2411,0.9,2059,2.7
SED10068,50,1660,534,315,1282,0.8,1023,2.3
SED10069,45,1690,563,300,1402,0.7,1158,2.5
SED10070,37,2156,592,410,1716,1,1596,3.1
SED10071,33,2418,844,500,2301,0.9,2265,3.3
SED10072,35,2167,691,480,1803,1,1612,2.6
SED10073,35,2167,703,455,2011,1,1719,2.6
SED10074,36,2167,729,420,1974,0.9,1776,2.8
SED10075,40,1800,569,330,1530,0.8,1300,2.7
SED10076,49,1495,491,280,1157,0.7,941,2.3
SED10077,33,2167,644,480,1851,1.1,1703,2.9
SED10078,36,2200,786,442,2112,1.1,1777,2.5
SED10079,45,1733,557,320,1440,0.8,1161,2.5
SED10080,33,2600,1060,600,2759,1.2,2099,2
SED10081,40,1473,623,250,1452,0.8,1177,2.4
SED10082,44,2000,675,400,1867,0.8,1491,2.6
SED10083,41,1733,606,345,1581,0.8,1275,2.5
SED10084,47,1733,548,350,1355,0.8,1082,2.4
SED10085,40,1733,613,250,1602,0.8,1302,2.5
SED10086,36,3000,1233,650,3232,1,2456,2.4
SED10087,37,1517,675,250,1631,0.8,1309,2.5
SED10088,39,2600,819,520,2319,1,2026,2.8
SED10089,36,1733,582,330,1616,0.8,1287,2.5
SED10090,37,2890,1027,590,2829,1,2304,2.6
SED10091,41,2015,698,370,1875,0.8,1627,2.8
SED10092,38,1733,518,320,1481,0.9,1159,2.4
SED10093,40,1733,567,340,1473,0.8,1233,2.6
SED19494,39,0,405,0,0,0,0,0
SED19797,58,0,540,0,0,0,0,0
