SED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED10001,19918,20272,40188,3316,3638,6954,5429,6035,11464,2378,2609,4984,480,490,969,119,109,222,143,136,280,66,70,134,83,73,149,103,128,230,0,0,0,8787,9655,18443,587,732,1321,220,235,461,12910,14264,27176,3253,3204,6453,36078,37740,73818
SED10002,22646,22568,45221,2869,2688,5551,9883,9208,19094,250,192,440,247,241,488,137,56,191,137,80,217,20,21,45,16,9,25,68,52,119,3,0,3,10767,9864,20631,9171,6389,15562,373,287,664,23179,19227,42408,5076,3379,8456,50904,45175,96080
SED10003,17219,18197,35410,3421,3739,7159,5775,6516,12298,599,718,1316,1278,1492,2773,85,103,190,180,206,389,70,66,137,63,61,128,71,87,164,5,0,5,8134,9261,17398,936,1070,2004,249,263,507,12735,14328,27066,3496,3682,7181,33450,36211,69663
SED10004,15051,16817,31866,2335,2470,4800,9436,10026,19464,490,499,987,486,535,1019,143,149,294,195,216,414,37,51,86,29,36,62,202,224,423,0,0,0,11017,11731,22746,4756,5716,10470,288,296,585,18395,20212,38611,3586,3657,7243,37029,40685,77716
SED10005,22149,22780,44937,1795,1801,3596,8402,8574,16978,89,75,168,95,83,179,36,39,79,51,36,86,6,6,10,16,14,24,18,21,34,0,0,0,8715,8848,17558,2970,3171,6138,198,180,371,13666,13996,27669,3231,2900,6134,39050,39684,78735
SED10006,21831,21226,43062,4462,4970,9433,3515,3645,7156,228,229,459,546,620,1165,250,288,531,128,111,235,52,52,103,70,63,136,35,38,76,3,0,3,4828,5038,9861,298,380,678,191,169,360,9778,10554,20334,4534,4313,8848,36149,36096,72244
SED10007,19721,19608,39329,4339,4673,9012,6944,7498,14442,103,117,215,284,318,598,38,42,83,82,61,142,22,24,44,31,28,63,68,62,125,0,0,3,7569,8154,15721,424,455,875,181,154,338,12513,13434,25948,4725,3446,8175,36962,36494,73454
SED10008,22444,23183,45626,1247,1280,2532,8843,9060,17902,145,138,286,180,187,367,50,50,95,70,61,128,16,22,41,14,18,32,66,62,126,0,0,0,9377,9591,18973,2229,2510,4742,94,114,204,12949,13497,26443,979,1063,2039,36368,37743,74118
SED10009,18477,18864,37341,3351,3713,7066,5230,5691,10919,709,703,1410,419,423,846,76,77,152,146,162,306,67,76,144,57,72,130,851,925,1773,0,0,0,7555,8128,15681,305,370,674,202,203,400,11403,12418,23824,2929,3024,5952,32810,34312,67117
SED10010,22372,22822,45193,1871,1799,3671,9862,9418,19276,142,102,246,199,178,369,47,29,77,63,48,115,18,14,30,16,16,30,38,33,66,0,0,3,10376,9832,20212,3403,3560,6967,214,145,355,15864,15340,31202,2274,2303,4571,40501,40468,80969
SED10011,19657,21200,40859,2949,3108,6061,6742,7366,14110,85,125,210,220,260,479,26,46,72,58,54,111,36,47,76,25,36,64,45,50,99,3,0,3,7235,7978,15213,571,696,1268,181,178,360,10933,11968,22902,1736,1879,3607,32326,35050,67375
SED10012,24794,25846,50639,1864,1948,3806,6329,6440,12770,92,86,180,94,60,155,26,25,55,21,27,45,6,3,10,3,3,11,9,13,21,0,0,5,6585,6662,13245,2346,2704,5053,174,124,303,10971,11440,22409,1907,2032,3939,37671,39316,76991
SED10013,19585,20152,39736,2465,2646,5103,13927,14721,28650,99,107,211,268,284,554,53,42,90,43,42,87,12,8,26,31,35,64,57,53,107,0,0,0,14486,15302,29782,732,852,1587,193,165,353,17878,18961,36835,2198,2290,4490,39658,41399,81057
SED10014,20997,21919,42917,1895,2088,3984,8477,9013,17492,86,83,172,199,204,398,35,42,76,54,49,99,14,10,27,23,19,40,35,21,53,0,0,0,8922,9438,18358,1118,1308,2424,213,189,403,12149,13032,25175,2462,2696,5153,35603,37643,73246
SED10015,23181,24284,47473,2505,2328,4836,7973,7888,15864,150,128,278,131,123,256,39,38,80,47,55,104,19,8,22,18,14,31,39,36,79,0,0,0,8426,8284,16713,3886,4171,8056,222,186,409,15046,14973,30013,2553,2613,5164,40781,41870,82652
SED10016,21276,21946,43221,1552,1538,3088,10201,10572,20773,161,158,320,247,251,498,57,70,124,65,63,122,17,19,41,26,14,37,67,59,121,0,0,4,10843,11200,22044,1876,2040,3918,115,106,219,14386,14886,29267,1205,1295,2506,36863,38130,74995
SED10017,19426,19605,39025,3667,4021,7686,7585,8341,15931,101,95,191,331,386,719,25,25,44,68,72,140,24,21,43,31,41,69,32,31,67,0,0,0,8203,9019,17220,258,308,568,206,229,435,12333,13574,25911,3432,2788,6220,35187,35966,71154
SED10018,20244,21568,41812,1945,2030,3978,7435,8084,15514,133,155,288,276,316,596,66,62,132,66,81,151,25,21,48,34,46,83,66,69,138,0,0,3,8114,8840,16951,587,667,1257,169,135,302,10818,11671,22483,1581,1648,3230,32638,34888,67529
SED10019,19918,20181,40100,4179,4585,8765,4693,4967,9667,179,207,389,1290,1342,2636,53,48,107,141,124,260,50,39,85,92,82,179,47,49,96,3,0,3,6559,6858,13415,264,324,588,225,209,433,11226,11976,23196,3348,3029,6376,34493,35183,69672
SED10020,17280,18028,35309,3322,3689,7016,6832,7595,14419,391,468,858,997,973,1971,102,87,188,178,216,391,78,78,155,73,81,154,87,92,176,0,0,0,8742,9583,18319,933,1155,2088,273,301,577,13272,14725,27995,2716,2871,5590,33264,35628,68890
SED10021,15757,17459,33211,2264,2316,4583,8653,9739,18391,394,444,837,409,478,885,80,92,172,153,186,340,21,37,56,29,38,66,178,175,356,0,0,0,9915,11188,21108,5132,5691,10826,241,242,490,17565,19436,37001,3823,3952,7775,37141,40849,77989
SED10022,20102,20122,40223,4248,4639,8886,4091,4324,8422,173,235,412,346,366,711,59,53,111,80,76,157,14,26,41,45,47,88,221,261,483,0,0,0,5034,5385,10422,294,342,633,125,105,235,9707,10476,20182,4053,3251,7303,33856,33845,67699
