SED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SED10001,0,0,0,0,5,10,15,27,11,64,3,3,3,17,5,9,3,0,0,45,14,52,30,435,31,22,14,9,4,608,0,3,0,14,3,0,0,3,0,22,0,3,0,16,4,5,0,0,0,25,0,0,0,3,0,0,0,0,0,3,0,13,5,36,14,9,15,14,3,108,0,0,3,4,4,19,33,29,15,111,0,0,3,18,3,0,0,0,0,29,0,3,11,30,0,0,0,0,0,51,0,0,0,9,4,3,0,0,0,22,0,3,8,27,9,3,0,4,0,55,0,0,0,0,0,11,12,6,0,31,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,9,65,79,46,3,0,0,0,0,204,0,8,3,19,18,48,109,64,23,298,6,45,63,199,174,147,106,42,9,792,0,0,0,8,0,0,10,3,0,32,0,8,0,24,4,3,0,0,0,42
SED10002,0,0,0,10,14,31,70,71,17,213,8,27,121,451,148,200,63,18,4,1036,88,162,430,2037,220,146,84,43,15,3226,8,32,71,306,80,52,42,13,3,608,6,64,132,426,54,32,15,8,3,735,7,71,164,557,304,107,29,17,3,1260,0,3,3,55,6,11,19,9,3,118,0,8,3,37,49,68,94,117,48,430,0,3,12,58,19,10,4,4,0,120,65,169,640,2910,824,550,245,84,14,5491,11,64,191,1198,940,785,498,179,47,3920,13,27,84,360,73,97,42,19,3,709,0,0,0,5,3,15,41,42,8,112,0,0,6,31,14,19,9,6,0,79,0,14,50,237,132,81,32,12,6,566,9,59,884,2280,49,28,11,0,0,3322,0,4,4,11,0,4,8,5,3,39,21,113,163,388,142,112,50,12,0,999,0,0,0,7,4,0,3,0,0,21,67,277,589,1693,237,101,18,5,0,2985
SED10003,0,0,0,3,4,5,7,0,6,38,0,3,0,8,13,10,3,0,0,38,3,6,8,87,14,24,13,16,5,172,3,6,0,31,7,5,9,0,0,63,0,0,0,8,3,5,3,0,3,20,0,0,0,0,3,0,0,0,0,3,0,3,3,54,28,20,19,11,11,151,0,3,3,75,30,27,35,29,15,222,0,16,16,103,31,15,12,0,3,201,0,0,11,30,5,0,0,0,0,39,0,0,0,0,0,3,0,0,0,6,0,0,5,21,15,15,10,3,3,77,0,0,3,3,0,7,25,3,3,41,0,0,0,0,3,5,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,10,0,13,5,42,37,61,83,42,28,299,10,69,70,394,277,315,181,64,25,1411,0,0,3,6,7,9,8,0,3,34,0,0,0,0,0,3,3,0,0,6
SED10004,0,3,6,21,35,36,88,106,30,321,7,18,109,223,60,57,28,6,4,517,11,15,102,411,57,41,29,16,3,676,4,3,99,220,18,32,28,6,0,418,0,8,14,157,24,24,6,0,3,229,0,0,9,22,4,7,0,0,0,41,6,14,13,441,136,68,45,24,10,747,7,12,52,286,105,111,173,219,119,1084,8,12,63,198,83,20,15,4,0,406,0,9,115,287,38,16,8,6,0,489,0,0,3,49,28,29,13,13,3,136,3,9,94,296,64,62,42,8,5,582,0,0,0,0,6,32,40,28,6,114,0,0,3,16,10,12,9,3,0,56,0,0,27,21,3,3,9,4,0,76,3,0,7,43,0,0,0,0,0,58,5,6,17,92,38,23,35,7,4,224,17,47,146,909,491,383,192,59,10,2253,0,0,0,39,24,12,14,4,0,94,0,3,10,29,0,0,0,0,0,45
SED10005,0,7,16,51,64,109,235,198,39,724,0,10,40,115,43,58,20,7,0,292,24,37,82,435,97,64,40,21,17,817,3,21,40,246,86,69,23,15,3,510,3,30,57,157,24,19,10,0,0,294,6,65,136,438,202,76,25,4,3,960,0,0,3,13,6,16,27,10,5,82,0,0,4,17,49,88,185,194,106,642,0,4,0,23,7,5,6,0,3,50,3,18,53,198,105,81,42,39,4,550,21,115,289,1984,1409,1112,670,246,70,5916,7,11,40,120,43,43,33,4,0,313,0,0,0,4,0,23,51,33,18,122,0,0,3,32,27,39,24,16,6,148,0,7,17,98,34,33,10,6,0,217,0,3,11,103,6,3,0,3,0,127,0,0,9,3,3,9,5,8,17,57,36,181,211,403,146,97,32,14,3,1123,0,0,0,0,3,0,9,0,0,13,54,141,164,822,124,48,6,0,0,1365
SED10006,0,0,0,0,0,3,18,11,0,27,0,0,0,3,3,3,3,0,0,18,8,10,11,142,9,7,7,0,0,201,0,0,3,6,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,37,10,5,5,5,3,67,0,3,3,0,5,8,20,16,14,59,3,0,3,11,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,19,0,0,0,0,3,4,3,0,0,17,0,0,0,11,5,0,4,0,0,31,0,0,0,0,0,3,14,9,6,29,0,0,0,0,5,0,0,0,0,4,0,0,0,9,0,0,0,0,0,9,0,3,0,41,0,0,0,0,0,49,0,0,0,5,5,20,47,9,3,103,4,18,28,141,108,106,69,22,3,490,0,0,0,6,5,5,9,4,0,29,0,10,0,33,5,4,0,0,0,47
SED10007,0,0,0,0,0,5,19,9,4,37,0,7,12,10,4,9,0,0,0,41,5,19,18,151,21,17,14,9,0,248,0,4,7,9,7,3,4,3,0,41,0,3,3,21,10,3,0,0,0,39,0,0,8,20,9,4,0,0,0,37,0,4,0,36,19,16,16,12,0,116,0,0,0,8,12,31,37,16,14,115,0,3,6,4,9,3,3,3,0,34,0,3,5,19,3,0,0,0,0,39,0,0,5,12,13,15,7,0,0,60,0,3,6,25,21,10,7,3,0,76,0,0,0,0,12,14,15,4,0,45,0,0,0,4,0,4,0,0,0,16,0,0,0,8,0,0,0,0,0,10,0,9,9,35,4,0,0,0,0,58,0,0,0,14,15,41,75,54,18,212,5,40,75,233,178,147,120,29,11,848,0,0,0,4,4,12,8,6,3,39,0,3,5,27,3,0,0,0,0,35
SED10008,0,6,3,8,13,39,53,33,4,169,19,56,126,451,327,525,164,47,4,1714,36,192,223,1549,647,398,230,114,34,3418,0,22,61,210,86,56,45,15,8,503,4,39,47,413,130,94,30,17,7,777,0,0,3,31,26,11,9,8,0,82,3,20,7,78,44,38,39,15,3,255,0,0,5,29,35,103,142,84,29,425,3,12,20,40,29,4,7,3,0,120,13,126,141,650,351,223,88,48,4,1629,0,0,13,86,111,94,73,26,3,402,9,45,56,250,156,226,217,54,20,1033,0,0,0,6,6,37,57,33,6,159,0,3,0,17,23,26,20,3,3,94,0,4,3,39,28,22,16,4,0,112,0,0,14,58,13,0,0,0,0,84,0,3,10,25,20,21,51,24,13,165,11,84,153,274,218,199,104,34,0,1086,0,3,0,13,18,16,21,6,3,70,9,29,23,140,40,31,14,0,6,301
SED10009,0,0,3,0,3,9,29,10,3,65,0,0,0,9,3,10,0,4,0,24,0,4,4,53,19,4,15,9,0,120,0,5,0,9,3,7,12,4,6,43,0,0,0,6,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,12,3,20,19,25,40,22,5,137,0,0,3,3,22,41,49,37,4,160,0,6,3,8,7,4,4,0,0,33,0,0,5,15,4,0,0,0,0,25,0,0,0,0,4,3,4,3,0,12,0,0,0,8,14,15,5,4,0,58,0,0,0,4,3,22,44,16,0,87,0,0,0,4,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,3,0,4,3,7,0,0,0,0,0,11,0,0,0,8,20,68,170,88,27,389,7,21,20,122,156,254,165,62,22,827,0,0,0,4,4,9,16,13,6,49,0,0,0,0,0,0,0,0,0,5
SED10010,0,11,6,16,17,59,84,55,13,250,0,8,13,90,44,69,23,5,3,248,143,532,1096,5900,742,475,206,71,20,9188,3,3,22,146,71,67,33,13,8,371,0,26,42,146,74,42,31,12,3,382,3,14,41,63,50,25,7,7,0,201,0,14,3,42,20,21,18,12,0,129,0,3,9,17,41,60,129,130,55,448,0,5,0,20,4,6,0,0,0,38,3,9,47,144,102,90,52,31,10,492,0,9,24,172,141,139,77,33,4,600,0,3,23,90,39,73,33,13,0,276,0,0,3,12,43,165,275,133,22,654,0,4,5,26,14,35,21,16,5,135,3,15,32,138,84,44,32,9,0,357,3,52,93,333,34,9,0,3,0,527,0,0,3,3,4,29,58,46,15,169,34,221,387,722,277,204,67,10,6,1924,0,0,0,3,15,13,16,8,0,51,16,71,119,358,99,61,22,13,0,757
